Date,Price
2022-09-12,10.01
2022-09-13,10.0
2022-09-14,10.04
2022-09-15,10.04
2022-09-19,10.05
2022-09-21,10.04
2022-09-22,10.04
2022-09-23,10.05
2022-09-27,10.06
2022-09-28,10.08
2022-09-29,10.08
2022-10-03,10.11
2022-10-04,10.09
2022-10-06,10.1
2022-10-10,10.11
2022-10-11,10.13
2022-10-19,10.15
2022-10-20,10.16
2022-10-24,10.19
2022-10-25,10.19
2022-10-26,10.2
2022-10-27,10.21
2022-10-28,10.21
2022-11-01,10.24
2022-11-03,10.23
2022-11-04,10.22
2022-11-07,10.25
2022-11-08,10.25
2022-11-10,10.24
2022-11-11,10.26
2022-11-14,10.27
2022-11-15,10.27
2022-11-16,10.26
2022-11-17,10.28
2022-11-18,10.29
2022-11-21,10.29
2022-11-22,10.3
2022-11-23,10.31
2022-11-24,10.3
2022-11-25,10.31
2022-11-28,10.32
2022-11-29,10.32
2022-12-01,10.33
2022-12-05,10.3
2022-12-06,10.34
2022-12-07,10.34
2022-12-08,10.36
2022-12-09,10.36
2022-12-12,10.37
2022-12-13,10.36
2022-12-14,10.38
2022-12-15,10.38
2022-12-16,10.39
2022-12-19,10.38
2022-12-20,10.39
2022-12-21,10.39
2022-12-22,10.4
2022-12-23,10.4
2022-12-26,10.42
2022-12-28,10.39
2022-12-29,10.4
2023-01-03,10.44
2023-01-04,10.45
2023-01-05,10.45
2023-01-09,10.46
2023-01-11,10.47
2023-01-13,10.47
2023-01-16,10.49
2023-01-23,10.46
2023-01-24,10.48
2023-01-25,10.48
2023-01-26,10.45
2023-01-27,10.55
2023-01-31,10.58
2023-02-02,10.59
2023-02-03,10.58
2023-02-06,10.57
2023-02-07,10.57
2023-02-08,10.58
2023-02-09,10.58
2023-02-10,10.58
2023-02-13,10.61
2023-02-14,10.66
2023-02-15,10.63
2023-02-16,10.64
2023-02-17,10.67
2023-02-20,10.67
2023-02-21,10.65
2023-02-22,10.66
2023-02-24,10.69
2023-02-27,10.7
2023-03-01,10.71
2023-03-02,10.69
2023-03-03,10.7
2023-03-06,10.71
2023-03-07,10.74
2023-03-14,10.78
2023-03-17,10.8
2023-03-20,10.81
2023-03-21,10.8
2023-03-22,10.82
2023-03-24,10.84
2023-03-27,10.85
2023-03-29,10.83
2023-03-30,10.84
2023-03-31,10.87
2023-04-05,10.87
2023-04-06,10.9
2023-04-10,10.92
2023-04-12,10.93
2023-04-17,10.94
2023-04-18,10.97
2023-04-19,10.98
2023-04-20,10.99
2023-04-26,11.02
2023-05-02,11.05
2023-05-03,11.05
2023-05-05,11.06
2023-05-09,11.08
2023-05-11,11.1
2023-05-12,11.11
2023-05-15,11.13
2023-05-16,11.14
2023-05-17,11.15
2023-05-18,11.16
2023-05-19,11.17
2023-05-23,11.17
2023-05-24,11.2
2023-05-25,11.19
2023-05-26,11.22
2023-05-29,11.23
2023-05-30,11.25
2023-05-31,11.25
2023-06-01,11.25
2023-06-02,11.27
2023-06-05,11.29
