Date,Price
2021-07-19,11.3
2021-07-29,11.2
2021-07-30,10.73
2021-08-03,10.82
2021-08-10,10.65
2021-08-12,11.07
2021-08-13,11.2
2021-08-16,10.75
2021-08-20,10.75
2021-08-23,10.8
2021-08-24,10.87
2021-09-02,10.75
2021-09-03,9.95
2021-09-06,10.61
2021-09-14,10.63
2021-09-22,10.4
2021-09-27,10.59
2021-09-28,10.53
2021-10-04,10.5
2021-10-05,10.61
2021-10-28,10.9
2021-10-29,11.2
2021-11-01,11.0
2021-11-04,10.55
2021-11-12,10.89
2021-11-19,10.97
2021-11-25,10.25
2021-11-30,10.79
2021-12-02,9.9
2021-12-13,10.05
2021-12-16,10.21
2021-12-31,10.24
2022-01-03,10.47
2022-01-06,10.8
2022-01-18,10.47
2022-01-31,10.51
2022-02-04,10.56
2022-02-10,10.63
2022-02-17,10.56
2022-03-09,10.08
2022-03-10,10.22
2022-03-14,10.12
2022-03-15,10.08
2022-03-18,9.98
2022-03-29,10.23
2022-03-31,10.25
2022-04-11,10.37
2022-04-12,10.5
2022-05-09,10.14
2022-05-11,9.93
2022-05-25,9.61
2022-05-31,9.87
2022-06-07,9.53
2022-06-13,9.46
2022-06-20,9.64
2022-06-23,9.88
2022-06-30,9.41
2022-07-04,9.39
2022-07-14,9.72
2022-07-18,9.57
2022-07-26,9.22
2022-08-11,9.9
2022-08-18,10.02
2022-09-06,9.68
2022-09-12,9.7
2022-09-19,9.92
2022-10-03,9.65
2022-10-18,9.69
2022-10-24,9.79
2022-10-27,9.54
2022-10-31,9.51
2022-11-02,9.75
2022-11-10,9.88
2022-11-28,9.94
2022-12-02,9.93
2023-01-11,9.58
2023-01-23,8.94
2023-02-09,10.3
2023-04-20,10.0
2023-04-26,10.07
2023-05-09,10.08
2023-05-11,10.11
2023-05-12,10.2
2023-05-15,10.06
2023-05-31,10.2
2023-07-11,10.71
2023-07-14,9.99
2023-07-24,10.94
2023-07-31,11.59
2023-08-03,11.83
2023-08-09,11.42
2023-08-15,11.7
2023-08-18,11.77
2023-09-11,11.0
2023-10-02,10.86
2023-11-23,13.06
2023-11-24,13.11
2023-11-27,13.23
2023-12-08,14.56
2023-12-13,14.56
2023-12-14,14.42
2023-12-20,13.72
2023-12-22,13.81
2024-01-02,14.24
2024-01-25,14.55
2024-02-02,14.05
2024-02-12,13.69
2024-02-21,13.53
2024-02-26,14.0
2024-03-04,14.73
2024-03-05,14.53
2024-03-12,14.49
2024-03-13,14.36
2024-03-27,14.6
2024-03-28,14.6
2024-04-03,14.6
2024-04-09,15.76
2024-04-17,15.68
2024-04-18,15.25
2024-04-29,16.05
2024-04-30,16.05
2024-05-30,16.76
2024-06-05,16.63
2024-06-06,16.6
2024-06-07,16.12
2024-06-10,16.24
2024-06-11,16.05
2024-06-14,17.5
2024-06-20,17.72
2024-06-21,17.61
2024-06-24,17.9
2024-06-25,17.73
2024-06-26,17.82
2024-06-27,17.9
2024-06-28,17.77
2024-07-01,17.7
2024-07-02,16.21
2024-07-05,16.37
2024-07-08,16.38
2024-07-09,16.34
2024-07-10,16.25
2024-07-11,16.21
2024-07-12,16.18
2024-07-15,16.37
2024-07-18,16.42
2024-07-22,16.0
2024-07-25,16.0
2024-07-31,16.0
2024-08-02,15.75
2024-08-05,15.96
2024-08-12,15.85
2024-08-19,15.7
2024-08-20,15.8
2024-08-23,15.82
2024-08-30,15.68
2024-09-04,15.88
2024-09-05,15.88
2024-09-11,15.66
2024-09-12,15.68
2024-09-19,16.19
2024-09-20,16.41
2024-09-26,16.45
2024-09-27,16.45
2024-10-01,16.4
2024-10-02,16.43
2024-10-04,16.45
2024-10-07,17.19
2024-10-16,17.3
2024-10-21,17.2
2024-10-25,18.35
2024-10-28,17.98
2024-10-30,18.4
2024-11-05,18.43
2024-11-06,18.4
2024-11-11,18.67
2024-11-12,18.8
2024-11-13,18.56
2024-11-18,19.04
2024-11-19,19.2
2024-11-20,19.15
2024-11-25,19.85
2024-11-26,19.01
2024-11-28,20.06
2024-11-29,20.32
2024-12-03,18.45
2024-12-04,20.51
2024-12-05,21.16
2024-12-06,21.53
2024-12-09,21.4
2024-12-10,21.4
2024-12-11,21.6
2024-12-12,22.18
2024-12-13,22.2
2024-12-17,22.68
2024-12-18,21.84
2024-12-19,20.95
2024-12-20,21.28
2024-12-23,22.1
2024-12-24,22.61
2024-12-26,21.68
2024-12-27,21.82
2024-12-30,22.44
2024-12-31,22.62
2025-01-01,22.82
2025-01-02,22.75
2025-01-06,22.67
2025-01-07,22.22
2025-01-08,21.0
2025-01-10,22.23
2025-01-13,22.6
2025-01-14,22.53
2025-01-15,22.61
2025-01-16,22.53
2025-01-17,22.83
2025-01-20,22.78
2025-01-21,22.7
2025-01-23,22.37
2025-01-24,22.61
2025-01-27,22.53
2025-01-28,22.61
2025-01-29,22.29
2025-01-30,22.45
2025-01-31,22.56
2025-02-03,22.41
