Date,Price
2023-12-23,10
2023-12-24,10.0038
2023-12-25,10.0075
2023-12-26,10.0113
2023-12-27,10.0126
2023-12-28,10.015
2023-12-29,10.0177
2023-12-30,10.0224
2023-12-31,10.0276
2024-01-01,10.0335
2024-01-02,10.0393
2024-01-03,10.0448
2024-01-04,10.0504
2024-01-05,10.0552
2024-01-06,10.0594
2024-01-07,10.065
2024-01-08,10.0706
2024-01-09,10.076
2024-01-10,10.0794
2024-01-11,10.0834
2024-01-12,10.0882
2024-01-13,10.0938
2024-01-14,10.0993
2024-01-15,10.1049
2024-01-16,10.1104
2024-01-17,10.1147
2024-01-18,10.1204
2024-01-19,10.1261
2024-01-20,10.1318
2024-01-21,10.1375
2024-01-22,10.1432
2024-01-23,10.1489
2024-01-24,10.1538
2024-01-25,10.1592
2024-01-26,10.1647
2024-01-27,10.1701
2024-01-28,10.1756
2024-01-29,10.1811
2024-01-30,10.1866
2024-01-31,10.1921
2024-02-01,10.1971
2024-02-02,10.2024
2024-02-03,10.2075
2024-02-04,10.2128
2024-02-05,10.2181
2024-02-06,10.2233
2024-02-07,10.2286
2024-02-08,10.2339
2024-02-09,10.2393
2024-02-10,10.2447
2024-02-11,10.2502
2024-02-12,10.2556
2024-02-13,10.261
2024-02-14,10.2664
2024-02-15,10.2716
2024-02-16,10.2767
2024-02-17,10.2815
2024-02-18,10.2866
2024-02-19,10.2917
2024-02-20,10.2968
2024-02-21,10.3016
2024-02-22,10.3071
2024-02-23,10.3125
2024-02-24,10.318
2024-02-25,10.3236
2024-02-26,10.3291
2024-02-27,10.3346
2024-02-28,10.3404
2024-02-29,10.3457
2024-03-01,10.3506
2024-03-02,10.3559
2024-03-03,10.3613
2024-03-04,10.3666
2024-03-05,10.372
2024-03-06,10.3772
2024-03-07,10.3827
2024-03-08,10.3881
2024-03-09,10.3936
2024-03-10,10.3991
2024-03-11,10.4046
2024-03-12,10.4095
2024-03-13,10.415
2024-03-14,10.42
2024-03-15,10.4255
2024-03-16,10.431
2024-03-17,10.4366
2024-03-18,10.4423
2024-03-19,10.448
2024-03-20,10.4536
2024-03-21,10.4576
2024-03-22,10.4631
2024-03-23,10.4685
2024-03-24,10.474
2024-03-25,10.4795
2024-03-26,10.485
2024-03-27,10.4905
2024-03-28,10.496
2024-03-29,10.5014
2024-03-30,10.5179
2024-03-31,10.5124
2024-04-01,10.5179
2024-04-02,10.5235
2024-04-03,10.5289
2024-04-04,10.5344
2024-04-05,10.5382
2024-04-06,10.5437
2024-04-07,10.5493
2024-04-08,10.5549
2024-04-09,10.5604
2024-04-10,10.566
2024-04-11,10.5716
2024-04-12,10.5772
2024-04-13,10.5828
2024-04-14,10.5884
2024-04-15,10.594
2024-04-16,10.5995
2024-04-17,10.6051
2024-04-18,10.6108
2024-04-19,10.6164
2024-04-20,10.6219
2024-04-21,10.6274
2024-04-22,10.6329
2024-04-23,10.6384
2024-04-24,10.6437
2024-04-25,10.6492
2024-04-26,10.6546
2024-04-27,10.6602
2024-04-28,10.6657
2024-04-29,10.6713
2024-04-30,10.6769
2024-05-01,10.6825
2024-05-02,10.6883
2024-05-03,10.6936
2024-05-04,10.6993
2024-05-05,10.7049
2024-05-06,10.7106
2024-05-07,10.7157
2024-05-08,10.7212
2024-05-09,10.7266
2024-05-10,10.7322
2024-05-11,10.7378
2024-05-12,10.7435
2024-05-13,10.7491
2024-05-14,10.7547
2024-05-15,10.7605
2024-05-16,10.7664
2024-05-17,10.7722
2024-05-18,10.778
2024-05-19,10.7838
2024-05-20,10.7897
2024-05-21,10.7955
2024-05-22,10.8014
2024-05-23,10.8072
2024-05-24,10.813
2024-05-25,10.8189
2024-05-26,10.8247
2024-05-27,10.8306
2024-05-28,10.8363
2024-05-29,10.8421
2024-05-30,10.8479
2024-05-31,10.8537
2024-06-01,10.8594
2024-06-02,10.8652
2024-06-03,10.8711
2024-06-04,10.8768
2024-06-05,10.8825
2024-06-06,10.888
2024-06-07,10.8937
2024-06-08,10.8995
2024-06-09,10.9053
2024-06-10,10.9111
2024-06-11,10.9169
2024-06-12,10.9223
2024-06-13,10.9277
2024-06-14,10.933
2024-06-15,10.9383
2024-06-16,10.9437
2024-06-17,10.9491
2024-06-18,10.9546
2024-06-19,10.96
2024-06-20,10.9654
2024-06-21,10.9708
2024-06-22,10.9761
2024-06-23,10.9815
2024-06-24,10.9869
2024-06-25,10.992
2024-06-26,10.9975
2024-06-27,11.0013
2024-06-28,11.0078
2024-06-29,10
2024-06-30,10.0038
2024-07-01,10.0075
2024-07-02,10.0113
2024-07-03,10.0146
2024-07-04,10.0183
2024-07-05,10.0234
2024-07-06,10.0281
2024-07-07,10.0327
2024-07-08,10.0374
2024-07-09,10.0418
2024-07-10,10.0461
2024-07-11,10.0503
2024-07-12,10.0551
2024-07-13,10.06
2024-07-14,10.065
2024-07-15,10.0699
2024-07-16,10.0747
2024-07-17,10.0796
2024-07-18,10.0845
2024-07-19,10.0892
2024-07-20,10.094
2024-07-22,10.1036
2024-07-23,10.1087
2024-07-25,10.1248
2024-07-26,10.1297
2024-07-28,10.1394
2024-07-29,10.1442
2024-07-30,10.1495
2024-07-31,10.154
2024-08-01,10.1585
2024-08-02,10.1631
2024-08-03,10.1679
2024-08-04,10.1727
2024-08-05,10.1776
2024-08-06,10.1824
2024-08-07,10.1871
2024-08-08,10.192
2024-08-09,10.1965
2024-08-11,10.2054
2024-08-12,10.2102
2024-08-13,10.215
2024-08-14,10.2198
2024-08-15,10.2246
2024-08-16,10.2292
2024-08-18,10.239
2024-08-19,10.244
2024-08-20,10.2488
2024-08-21,10.2537
2024-08-22,10.2586
2024-08-23,10.2636
2024-08-24,10.2686
2024-08-25,10.2735
2024-08-26,10.2784
2024-08-27,10.2833
2024-08-28,10.2883
2024-08-29,10.2932
2024-08-30,10.2981
2024-09-01,10.308
2024-09-02,10.3129
2024-09-03,10.3178
2024-09-04,10.3229
2024-09-05,10.3278
2024-09-06,10.3327
2024-09-08,10.3427
2024-09-09,10.3476
2024-09-11,10.3576
2024-09-12,10.3625
2024-09-13,10.3678
2024-09-15,10.377
2024-09-16,10.3817
2024-09-17,10.3863
2024-09-18,10.3909
2024-09-19,10.3956
2024-09-20,10.3999
2024-09-23,10.4128
2024-09-24,10.4172
2024-09-25,10.4216
2024-09-26,10.4261
2024-09-27,10.4304
2024-09-30,10.4436
2024-10-01,10.4479
2024-10-02,10.4523
2024-10-03,10.4567
2024-10-04,10.4611
2024-10-07,10.474
2024-10-08,10.4779
2024-10-09,10.4828
2024-10-10,10.487
2024-10-11,10.4914
2024-10-14,10.5036
2024-10-15,10.5076
2024-10-16,10.5117
2024-10-17,10.516
2024-10-18,10.5204
2024-10-21,10.5335
2024-10-22,10.5379
2024-10-23,10.5437
2024-10-24,10.5481
2024-10-25,10.5525
2024-10-28,10.5668
2024-10-29,10.5711
2024-10-30,10.5754
2024-10-31,10.5799
2024-11-01,10.5847
2024-11-04,10.5977
2024-11-05,10.6022
2024-11-06,10.6059
2024-11-07,10.6097
2024-11-08,10.6135
2024-11-11,10.6246
2024-11-12,10.6284
2024-11-13,10.6325
2024-11-14,10.6365
2024-11-15,10.6406
2024-11-18,10.6529
2024-11-19,10.6562
2024-11-20,10.6596
2024-11-21,10.6666
2024-11-22,10.6697
2024-11-25,10.6815
2024-11-26,10.6856
2024-11-27,10.6898
2024-11-28,10.6934
2024-11-29,10.6971
2024-12-02,10.7125
2024-12-03,10.7165
2024-12-04,10.7206
2024-12-05,10.7245
2024-12-06,10.7285
2024-12-09,10.7415
2024-12-10,10.7458
2024-12-11,10.75
2024-12-12,10.7543
2024-12-13,10.7589
2024-12-16,10.7686
2024-12-17,10.7718
2024-12-18,10.7754
2024-12-19,10.7788
2024-12-20,10.7824
2024-12-23,10.7936
2024-12-24,10.7978
2024-12-25,10.8023
2024-12-26,10.8056
2024-12-27,10.7947
2024-12-30,10.8208
2024-12-31,10.8257
2025-01-01,10.8288
2025-01-05,10.8407
2025-01-06,10.8432
2025-01-07,10.8464
2025-01-08,10.8495
2025-01-09,10.8528
2025-01-10,10.8571
2025-01-12,10.8632
2025-01-13,10.8662
2025-01-14,10.8691
2025-01-15,10.872
2025-01-16,10.8748
2025-01-17,10.8772
2025-01-19,10.8834
2025-01-20,10.886
2025-01-21,10.8894
2025-01-22,10.8927
2025-01-23,10.8905
2025-01-24,10.9003
2025-01-26,10.9068
2025-01-27,10.9096
2025-01-28,10.9124
2025-01-29,10.9151
2025-01-30,10.919
2025-01-31,10.922
2025-02-01,10.9261
2025-02-02,10.929
2025-02-03,10.9319
2025-02-04,10.9346
2025-02-05,10.9377
2025-02-06,10.9409
2025-02-07,10.9447
2025-02-09,10.9497
2025-02-10,10.9516
2025-02-11,10.9532
2025-02-12,10.9584
2025-02-13,10.9625
2025-02-14,10.9658
2025-02-16,10.9717
2025-02-17,10.9747
2025-02-18,10.9784
2025-02-19,10.9811
2025-02-20,10.9839
2025-02-21,10.9872
2025-02-23,10.993
2025-02-24,10.9949
2025-02-25,10.9979
2025-02-26,11.0024
2025-02-27,11.0101
2025-02-28,11.0144
2025-03-02,11.0191
2025-03-03,11.0211
2025-03-04,11.0231
2025-03-05,11.0287
2025-03-06,11.0377
2025-03-07,11.0316
2025-03-09,11.037
2025-03-10,11.0394
2025-03-11,11.0422
2025-03-12,11.0452
2025-03-13,11.0487
2025-03-14,11.0524
2025-03-16,11.0597
2025-03-17,11.0619
2025-03-18,11.0649
2025-03-19,11.0681
2025-03-20,11.0718
2025-03-23,11.0833
2025-03-24,11.0862
2025-03-25,11.0894
2025-03-26,11.0923
2025-03-27,11.0954
2025-03-28,11.0976
2025-03-31,11.1053
2025-04-01,11.1079
2025-04-02,11.1105
2025-04-03,11.113
2025-04-04,11.1165
2025-04-06,11.1216
2025-04-07,11.1242
2025-04-08,11.127
2025-04-09,11.1306
2025-04-10,11.133
2025-04-11,11.1386
2025-04-13,11.143
2025-04-14,11.1454
2025-04-15,11.1453
2025-04-16,11.1488
2025-04-17,11.1545
2025-04-18,11.1572
