Date,Price
2021-01-07,500
2021-01-08,500
2021-01-09,500.082
2021-01-10,500.164
2021-01-11,500
2021-01-12,500
2021-01-13,500
2021-01-14,500
2021-01-15,500
2021-01-16,500.084
2021-01-17,500.168
2021-01-18,500
2021-01-19,500
2021-01-20,500
2021-01-21,500
2021-01-22,500
2021-01-23,500.085
2021-01-24,500.168
2021-01-25,500
2021-01-26,500
2021-01-27,500
2021-01-28,500
2021-01-29,500
2021-01-30,500.082
2021-01-31,500.164
2021-02-01,500
2021-02-02,500
2021-02-03,500
2021-02-04,500
2021-02-05,500.083
2021-02-06,500.166
2021-02-07,500.249
2021-02-08,500
2021-02-09,500
2021-02-10,500
2021-02-11,500
2021-02-12,500
2021-02-13,500.083
2021-02-14,500.169
2021-02-15,500
2021-02-16,500
2021-02-17,500
2021-02-18,500
2021-02-19,500
2021-02-20,500.082
2021-02-21,500.164
2021-02-22,500
2021-02-23,500
2021-02-24,500
2021-02-25,500
2021-02-26,500
2021-02-27,500.082
2021-02-28,500.164
2021-03-01,500
2021-03-02,500
2021-03-03,500
2021-03-04,500
2021-03-05,500
2021-03-06,500.082
2021-03-07,500.164
2021-03-08,500
2021-03-09,500
2021-03-10,500
2021-03-11,500
2021-03-12,500
2021-03-13,500.083
2021-03-14,500.165
2021-03-15,500
2021-03-16,500
2021-03-17,500
2021-03-18,500
2021-03-19,500
2021-03-20,500.084
2021-03-21,500.171
2021-03-22,500
2021-03-23,500.087
2021-03-24,500
2021-03-25,500
2021-03-26,500
2021-03-27,500.087
2021-03-28,500.174
2021-03-29,500
2021-03-30,500
2021-03-31,500
2021-04-01,500
2021-04-02,500
2021-04-03,500.088
2021-04-04,500.175
2021-04-05,500
2021-04-06,500
2021-04-07,500
2021-04-08,500
2021-04-09,500
2021-04-10,500.087
2021-04-11,500.173
2021-04-12,500
2021-04-13,500
2021-04-14,500
2021-04-15,500
2021-04-16,500
2021-04-17,500.087
2021-04-18,500.174
2021-04-19,500
2021-04-20,500
2021-04-21,500
2021-04-22,500
2021-04-23,500
2021-04-24,500.087
2021-04-25,500.173
2021-04-26,500
2021-04-27,500
2021-04-28,500
2021-04-29,500
2021-04-30,500
2021-05-01,500.085
2021-05-02,500.168
2021-05-03,500
2021-05-04,500
2021-05-05,500
2021-05-06,500
2021-05-07,500
2021-05-08,500.083
2021-05-09,500.166
2021-05-10,500.249
2021-05-11,500.332
2021-05-12,500.415
2021-05-13,500.499
2021-05-14,500.582
2021-05-15,500.665
2021-05-16,500.748
2021-05-17,500
2021-05-18,500
2021-05-19,500
2021-05-20,500
2021-05-21,500
2021-05-22,500.083
2021-05-23,500.166
2021-05-24,500
2021-05-25,500
2021-05-26,500
2021-05-27,500
2021-05-28,500
2021-05-29,500.085
2021-05-30,500.169
2021-05-31,500
2021-06-01,500
2021-06-02,500
2021-06-03,500
2021-06-04,500
2021-06-05,500.084
2021-06-06,500.168
2021-06-07,500
2021-06-08,500
2021-06-09,500
2021-06-10,500
2021-06-11,500
2021-06-12,500.084
2021-06-13,500.167
2021-06-14,500
2021-06-15,500
2021-06-16,500
2021-06-17,500
2021-06-18,500
2021-06-19,500.084
2021-06-20,500.168
2021-06-21,500
2021-06-22,500
2021-06-23,500
2021-06-24,500
2021-06-25,500
2021-06-26,500.083
2021-06-27,500.165
2021-06-28,500
2021-06-29,500
2021-06-30,500
2021-07-01,500.088
2021-07-02,500.175
2021-07-03,500.263
2021-07-04,500.351
2021-07-05,500
2021-07-06,500
2021-07-07,500
2021-07-08,500
2021-07-09,500
2021-07-10,500.09
2021-07-11,500.18
2021-07-12,500
2021-07-13,500
2021-07-14,500
2021-07-15,500
2021-07-16,500
2021-07-17,500.089
2021-07-18,500.178
2021-07-19,500
2021-07-20,500.089
2021-07-21,500.178
2021-07-22,500.267
2021-07-23,500
2021-07-24,500.089
2021-07-25,500.178
2021-07-26,500
2021-07-27,500
2021-07-28,500
2021-07-29,500
2021-07-30,500
2021-07-31,500.089
2021-08-01,500.178
2021-08-02,500
2021-08-03,500
2021-08-04,500
2021-08-05,500
2021-08-06,500
2021-08-07,500.089
2021-08-08,500.179
2021-08-09,500
2021-08-10,500
2021-08-11,500
2021-08-12,500
2021-08-13,500
2021-08-14,500.091
2021-08-15,500.182
2021-08-16,500
2021-08-17,500
2021-08-18,500.091
2021-08-19,500.182
2021-08-20,500
2021-08-21,500.091
2021-08-22,500.182
2021-08-23,500
2021-08-24,500
2021-08-25,500
2021-08-26,500
2021-08-27,500
2021-08-28,500.091
2021-08-29,500.182
2021-08-30,500
2021-08-31,500
2021-09-01,500
2021-09-02,500
2021-09-03,500
2021-09-04,500.091
2021-09-05,500.181
2021-09-06,500
2021-09-07,500
2021-09-08,500
2021-09-09,500
2021-09-10,500
2021-09-11,500.091
2021-09-12,500.181
2021-09-13,500
2021-09-14,500
2021-09-15,500
2021-09-16,500
2021-09-17,500
2021-09-18,500.091
2021-09-19,500.182
2021-09-20,500
2021-09-21,500
2021-09-22,500
2021-09-23,500
2021-09-24,500
2021-09-25,500.09
2021-09-26,500.18
2021-09-27,500
2021-09-28,500
2021-09-29,500
2021-09-30,500
2021-10-01,500
2021-10-02,500.09
2021-10-03,500.181
2021-10-04,500
2021-10-05,500
2021-10-06,500
2021-10-07,500
2021-10-08,500
2021-10-09,500.095
2021-10-10,500.189
2021-10-11,500
2021-10-12,500
2021-10-13,500
2021-10-14,500
2021-10-15,500
2021-10-16,500.093
2021-10-17,500.187
2021-10-18,500
2021-10-19,500.094
2021-10-20,500
2021-10-21,500
2021-10-22,500
2021-10-23,500.095
2021-10-24,500.189
2021-10-25,500
2021-10-26,500
2021-10-27,500
2021-10-28,500
2021-10-29,500
2021-10-30,500.095
2021-10-31,500.189
2021-11-01,500
2021-11-02,500
2021-11-03,500
2021-11-04,500
2021-11-05,500
2021-11-06,500.095
2021-11-07,500.19
2021-11-08,500
2021-11-09,500
2021-11-10,500
2021-11-11,500
2021-11-12,500
2021-11-13,500.095
2021-11-14,500.19
2021-11-15,500
2021-11-16,500
2021-11-17,500
2021-11-18,500
2021-11-19,500
2021-11-20,500.095
2021-11-21,500.19
2021-11-22,500
2021-11-23,500
2021-11-24,500
2021-11-25,500
2021-11-26,500
2021-11-27,500.106
2021-11-28,500.212
2021-11-29,500
2021-11-30,500
2021-12-01,500
2021-12-02,500
2021-12-03,500
2021-12-04,500.111
2021-12-05,500.222
2021-12-06,500
2021-12-07,500
2021-12-08,500
2021-12-09,500
2021-12-10,500
2021-12-11,500.124
2021-12-12,500.249
2021-12-13,500
2021-12-14,500
2021-12-15,500
2021-12-16,500
2021-12-17,500
2021-12-18,500.161
2021-12-19,500.282
2021-12-20,500
2021-12-21,500
2021-12-22,500
2021-12-23,500
2021-12-24,500
2021-12-25,500.139
2021-12-26,500.27
2021-12-27,500
2021-12-28,500
2021-12-29,500
2021-12-30,500
2021-12-31,500
2022-01-01,500.132
2022-01-02,500.264
2022-01-03,500
2022-01-04,500
2022-01-05,500
2022-01-06,500
2022-01-07,500
2022-01-08,500.142
2022-01-09,500.284
2022-01-10,500
2022-01-11,500
2022-01-12,500
2022-01-13,500
2022-01-14,500
2022-01-15,500.131
2022-01-16,500.262
2022-01-17,500
2022-01-18,500
2022-01-19,500
2022-01-20,500
2022-01-21,500
2022-01-22,500.131
2022-01-23,500.263
2022-01-24,500
2022-01-25,500
2022-01-26,500
2022-01-27,500
2022-01-28,500
2022-01-29,500.133
2022-01-30,500.267
2022-01-31,500
2022-02-01,500
2022-02-02,500
2022-02-03,500
2022-02-04,500
2022-02-05,500.128
2022-02-06,500.256
2022-02-07,500
2022-02-08,500
2022-02-09,500
2022-02-10,500
2022-02-11,500
2022-02-12,500.129
2022-02-13,500.257
2022-02-14,500
2022-02-15,500
2022-02-16,500
2022-02-17,500
2022-02-18,500
2022-02-19,500.129
2022-02-20,500.257
2022-02-21,500
2022-02-22,500
2022-02-23,500
2022-02-24,500
2022-02-25,500
2022-02-26,500.128
2022-02-27,500.257
2022-02-28,500
2022-03-01,500
2022-03-02,500
2022-03-03,500
2022-03-04,500
2022-03-05,500.132
2022-03-06,500.264
2022-03-07,500
2022-03-08,500
2022-03-09,500
2022-03-10,500
2022-03-11,500
2022-03-12,500.132
2022-03-13,500.264
2022-03-14,500
2022-03-15,500
2022-03-16,500
2022-03-17,500
2022-03-18,500
2022-03-19,500.138
2022-03-20,500.276
2022-03-21,500
2022-03-22,500
2022-03-23,500.139
2022-03-24,500
2022-03-25,500
2022-03-26,500.164
2022-03-27,500.295
2022-03-28,500
2022-03-29,500
2022-03-30,500
2022-03-31,500
2022-04-01,500
2022-04-02,500.135
2022-04-03,500.271
2022-04-04,500
2022-04-05,500
2022-04-06,500
2022-04-07,500
2022-04-08,500
2022-04-09,500.158
2022-04-10,500.301
2022-04-11,500
2022-04-12,500
2022-04-13,500
2022-04-14,500
2022-04-15,500
2022-04-16,500.157
2022-04-17,500.313
2022-04-18,500
2022-04-19,500
2022-04-20,500
2022-04-21,500
2022-04-22,500
2022-04-23,500.159
2022-04-24,500.319
2022-04-25,500
2022-04-26,500
2022-04-27,500
2022-04-28,500
2022-04-29,500
2022-04-30,500.151
2022-05-01,500.304
2022-05-02,500.457
2022-05-03,500.61
2022-05-04,500.762
2022-05-05,500.914
2022-05-06,500
2022-05-07,500.15
2022-05-08,500.302
2022-05-09,500
2022-05-10,500
2022-05-11,500
2022-05-12,500
2022-05-13,500
2022-05-14,500.162
2022-05-15,500.325
2022-05-16,500
2022-05-17,500
2022-05-18,500
2022-05-19,500
2022-05-20,500
2022-05-21,500.16
2022-05-22,500.321
2022-05-23,500
2022-05-24,500
2022-05-25,500
2022-05-26,500
2022-05-27,500
2022-05-28,500.18
2022-05-29,500.36
2022-05-30,500
2022-05-31,500
2022-06-01,500
2022-06-02,500
2022-06-03,500
2022-06-04,500.185
2022-06-05,500.369
2022-06-06,500
2022-06-07,500
2022-06-08,500
2022-06-09,500
2022-06-10,500
2022-06-11,500.194
2022-06-12,500.384
2022-06-13,500
2022-06-14,500
2022-06-15,500
2022-06-16,500
2022-06-17,500
2022-06-18,500.193
2022-06-19,500.381
2022-06-20,500
2022-06-21,500
2022-06-22,500
2022-06-23,500
2022-06-24,500
2022-06-25,500.197
2022-06-26,500.394
2022-06-27,500
2022-06-28,500
2022-06-29,500
2022-06-30,500
2022-07-01,500.187
2022-07-02,500.374
2022-07-03,500.555
2022-07-04,500
2022-07-05,500
2022-07-06,500
2022-07-07,500
2022-07-08,500.189
2022-07-09,500.378
2022-07-10,500.567
2022-07-11,500.755
2022-07-12,500.944
2022-07-13,500
2022-07-14,500
2022-07-15,500
2022-07-16,500.185
2022-07-17,500.37
2022-07-18,500
2022-07-19,500
2022-07-20,500
2022-07-21,500
2022-07-22,500
2022-07-23,500.177
2022-07-24,500.354
2022-07-25,500
2022-07-26,500
2022-07-27,500
2022-07-28,500
2022-07-29,500
2022-07-30,500.172
2022-07-31,500.349
2022-08-01,500
2022-08-02,500
2022-08-03,500
2022-08-04,500
2022-08-05,500
2022-08-06,500.176
2022-08-07,500.353
2022-08-08,500.529
2022-08-09,500.706
2022-08-10,500
2022-08-11,500
2022-08-12,500
2022-08-13,500.172
2022-08-14,500.345
2022-08-15,500
2022-08-16,500
2022-08-17,500
2022-08-18,500
2022-08-19,500
2022-08-20,500.176
2022-08-21,500.351
2022-08-22,500
2022-08-23,500
2022-08-24,500
2022-08-25,500
2022-08-26,500
2022-08-27,500.179
2022-08-28,500.358
2022-08-29,500
2022-08-30,500
2022-08-31,500
2022-09-01,500
2022-09-02,500
2022-09-03,500.186
2022-09-04,500.373
2022-09-05,500
2022-09-06,500
2022-09-07,500
2022-09-08,500
2022-09-09,500
2022-09-10,500.18
2022-09-11,500.365
2022-09-12,500
2022-09-13,500
2022-09-14,500
2022-09-15,500
2022-09-16,500
2022-09-17,500.204
2022-09-18,500.388
2022-09-19,500
2022-09-20,500
2022-09-21,500
2022-09-22,500
2022-09-23,500
2022-09-24,500.184
2022-09-25,500.367
2022-09-26,500
2022-09-27,500
2022-09-28,500
2022-09-29,500
2022-09-30,500
2022-10-01,500.182
2022-10-02,500.365
2022-10-03,500
2022-10-04,500
2022-10-05,500
2022-10-06,500
2022-10-07,500
2022-10-08,500.199
2022-10-09,500.384
2022-10-10,500
2022-10-11,500
2022-10-12,500
2022-10-13,500
2022-10-14,500
2022-10-15,500.19
2022-10-16,500.38
2022-10-17,500
2022-10-18,500
2022-10-19,500
2022-10-20,500
2022-10-21,500
2022-10-22,500.192
2022-10-23,500.382
2022-10-24,500
2022-10-25,500
2022-10-26,500
2022-10-27,500
2022-10-28,500
2022-10-29,500.2
2022-10-30,500.4
2022-10-31,500
2022-11-01,500
2022-11-02,500
2022-11-03,500
2022-11-04,500
2022-11-05,500.199
2022-11-06,500.399
2022-11-07,500
2022-11-08,500
2022-11-09,500.195
2022-11-10,500
2022-11-11,500.196
2022-11-12,500.392
2022-11-13,500.589
2022-11-14,500.788
2022-11-15,500.985
2022-11-16,501.181
2022-11-17,501.376
2022-11-18,501.572
2022-11-19,501.777
2022-11-20,501.972
2022-11-21,502.177
2022-11-22,502.372
2022-11-23,502.571
2022-11-24,502.767
2022-11-25,502.965
2022-11-26,503.163
2022-11-27,503.362
2022-11-28,503.553
2022-11-29,503.749
2022-11-30,503.986
2022-12-01,504.181
2022-12-02,504.38
2022-12-03,504.576
2022-12-04,504.771
2022-12-05,504.973
2022-12-06,505.235
2022-12-07,505.442
2022-12-08,505.65
2022-12-09,505.857
2022-12-10,506.071
2022-12-11,506.278
2022-12-12,506.512
2022-12-13,506.72
2022-12-14,506.932
2022-12-15,507.143
2022-12-16,507.353
2022-12-17,507.563
2022-12-18,507.773
2022-12-19,507.991
2022-12-20,508.216
2022-12-21,508.485
2022-12-22,508.7
2022-12-23,508.91
2022-12-24,509.12
2022-12-25,509.33
2022-12-26,509.559
2022-12-27,509.773
2022-12-28,509.97
2022-12-29,500.236
2022-12-30,500.433
2022-12-31,500.626
2023-01-01,500.835
2023-01-02,501.043
2023-01-03,501.252
2023-01-04,501.451
2023-01-05,501.666
2023-01-06,501.862
2023-01-07,502.036
2023-01-08,502.209
2023-01-09,502.444
2023-01-10,502.645
2023-01-11,502.846
2023-01-12,503.086
2023-01-13,503.28
2023-01-14,503.475
2023-01-15,503.67
2023-01-16,503.866
2023-01-17,504.061
2023-01-18,504.256
2023-01-19,504.452
2023-01-20,504.647
2023-01-21,504.847
2023-01-22,505.042
2023-01-23,505.239
2023-01-24,505.442
2023-01-25,505.638
2023-01-26,505.832
2023-01-27,506.029
2023-01-28,506.227
2023-01-29,506.424
2023-01-30,506.621
2023-01-31,506.821
2023-02-01,507.034
2023-02-02,507.253
2023-02-03,507.462
2023-02-04,507.668
2023-02-05,507.874
2023-02-06,508.089
2023-02-07,508.303
2023-02-08,508.521
2023-02-09,508.733
2023-02-10,508.945
2023-02-11,509.157
2023-02-12,509.37
2023-02-13,509.585
2023-02-14,509.813
2023-02-15,510.043
2023-02-16,510.256
2023-02-17,500.214
2023-02-18,500.428
2023-02-19,500.63
2023-02-20,500.841
2023-02-21,501.051
2023-02-22,501.261
2023-02-23,501.471
2023-02-24,501.68
2023-02-25,501.889
2023-02-26,502.098
2023-02-27,502.313
2023-02-28,502.52
2023-03-01,502.729
2023-03-02,502.95
2023-03-03,503.186
2023-03-04,503.42
2023-03-05,503.654
2023-03-06,503.871
2023-03-07,504.097
2023-03-08,504.325
2023-03-09,504.553
2023-03-10,504.798
2023-03-11,505.017
2023-03-12,505.236
2023-03-13,505.473
2023-03-14,505.71
2023-03-15,505.947
2023-03-16,506.184
2023-03-17,506.421
2023-03-18,506.658
2023-03-19,506.895
2023-03-20,507.131
2023-03-21,507.369
2023-03-22,507.607
2023-03-23,507.841
2023-03-24,508.076
2023-03-25,508.306
2023-03-26,508.571
2023-03-27,508.783
2023-03-28,500.24
2023-03-29,500.475
2023-03-30,500.716
2023-03-31,501.007
2023-04-01,501.241
2023-04-02,501.475
2023-04-03,501.712
2023-04-04,501.949
2023-04-05,502.185
2023-04-06,502.421
2023-04-07,502.66
2023-04-08,502.897
2023-04-09,503.134
2023-04-10,503.383
2023-04-11,503.635
2023-04-12,503.887
2023-04-13,504.138
2023-04-14,504.393
2023-04-15,504.647
2023-04-16,504.901
2023-04-17,505.163
2023-04-18,505.419
2023-04-19,500.257
2023-04-20,500.508
2023-04-21,500.753
2023-04-22,501.007
2023-04-23,501.261
2023-04-24,501.515
2023-04-25,501.769
2023-04-26,502.02
