Date,Price
2024-03-13,100
2024-03-14,100.052
2024-03-15,100.104
2024-03-18,100.256
2024-03-19,100.309
2024-03-20,100.362
2024-03-21,100.406
2024-03-22,100.46
2024-03-25,100.626
2024-03-26,100.68
2024-03-27,100.735
2024-03-28,100.79
2024-03-29,100.845
2024-04-01,100.995
2024-04-02,101.05
2024-04-03,101.106
2024-04-04,101.162
2024-04-05,101.217
2024-04-08,101.383
2024-04-09,101.436
2024-04-15,101.762
2024-04-16,101.814
2024-04-17,101.866
2024-04-18,101.918
2024-04-19,101.971
2024-04-22,102.132
2024-04-23,102.186
2024-04-24,102.24
2024-04-25,102.294
2024-04-26,102.347
2024-04-29,102.508
2024-04-30,102.561
2024-05-02,102.665
2024-05-03,102.734
2024-05-06,102.894
2024-05-07,102.947
2024-05-08,102.999
2024-05-09,103.052
2024-05-10,103.123
2024-05-13,103.266
2024-05-14,103.319
2024-05-15,103.369
2024-05-16,103.422
2024-05-17,103.499
2024-05-20,103.675
2024-05-21,103.719
2024-05-22,103.776
2024-05-23,103.829
2024-05-24,103.907
2024-05-27,104.056
2024-05-29,104.162
2024-05-30,104.217
2024-05-31,104.286
2024-06-03,104.43
2024-06-04,104.483
2024-06-05,104.801
2024-06-06,104.599
2024-06-07,104.657
2024-06-10,104.801
2024-06-11,104.852
2024-06-12,104.903
2024-06-13,104.952
2024-06-14,105.03
2024-06-20,105.329
2024-06-21,105.39
2024-06-24,105.502
2024-06-25,105.55
2024-06-26,105.625
2024-06-27,105.671
2024-06-28,105.768
2024-07-02,100.243
2024-07-03,100.295
2024-07-04,100.346
2024-07-05,100.406
2024-07-06,100.545
2024-07-08,100.545
2024-07-09,100.593
2024-07-10,100.643
2024-07-11,100.688
2024-07-12,100.746
2024-07-15,100.891
2024-07-18,101.008
2024-07-19,101.062
2024-07-22,101.182
2024-07-23,101.228
2024-07-25,101.316
2024-07-29,101.52
2024-07-30,101.567
2024-07-31,101.644
2024-08-01,101.68
2024-08-02,101.752
2024-08-05,101.947
2024-08-06,101.898
2024-08-07,101.946
2024-08-15,102.325
2024-08-19,102.528
2024-08-20,102.583
2024-08-21,102.634
2024-08-22,102.681
2024-08-23,102.761
2024-08-26,102.877
2024-08-27,102.935
2024-08-28,102.981
2024-08-29,103.032
2024-08-30,103.104
2024-09-02,103.221
2024-09-03,103.276
2024-09-04,103.323
2024-09-05,103.377
2024-09-09,103.598
2024-09-10,103.652
2024-09-11,103.636
2024-09-19,104.041
2024-09-20,104.119
2024-09-23,104.244
2024-09-26,104.377
2024-10-04,104.774
2024-10-07,104.88
2024-10-09,104.974
2024-10-10,105.055
2024-10-11,105.118
2024-10-16,105.291
2024-10-21,105.493
2024-10-22,105.541
2024-10-23,105.59
2024-10-25,105.709
2024-10-28,105.838
2024-10-29,105.878
2024-10-30,105.938
2024-10-31,105.996
2024-11-01,106.083
2024-11-04,106.18
2024-11-05,106.217
2024-11-06,106.315
2024-11-07,106.369
2024-11-08,106.422
2024-11-11,106.492
2024-11-12,110.205
2024-11-13,106.57
2024-11-14,106.602
2024-11-15,106.664
2024-11-18,106.74
2024-11-19,106.772
2024-11-20,106.806
2024-11-21,106.838
2024-11-22,106.896
2024-11-25,106.99
2024-11-26,107.027
2024-11-27,107.027
2024-11-28,107.117
2024-11-29,107.184
2024-12-02,107.268
2024-12-03,107.347
2024-12-09,107.553
2024-12-10,107.59
2024-12-11,107.62
2024-12-12,107.657
2024-12-13,107.701
2024-12-16,107.773
2024-12-17,107.798
2024-12-18,107.821
2024-12-19,107.851
2024-12-20,107.887
2024-12-23,107.966
2024-12-24,108.006
2024-12-26,108.06
2024-12-27,108.107
2024-12-30,108.16
2025-01-02,108.279
2025-01-03,108.309
2025-01-06,108.403
2025-01-07,108.436
2025-01-08,108.422
2025-01-09,108.443
2025-01-10,108.476
2025-01-13,108.531
2025-01-14,108.558
2025-01-15,108.608
2025-01-16,108.609
2025-01-17,108.647
2025-01-20,108.755
2025-01-21,108.785
2025-01-22,108.806
2025-01-23,108.837
2025-01-24,108.876
2025-01-27,108.968
2025-01-28,109.007
2025-01-29,109.034
2025-01-30,109.033
2025-01-31,109.063
2025-02-03,109.14
2025-02-04,109.169
2025-02-06,109.229
2025-02-12,109.361
2025-02-13,109.382
2025-02-17,109.666
2025-02-18,109.506
2025-02-19,109.53
2025-02-20,109.561
2025-02-21,109.589
2025-02-26,109.699
2025-02-27,109.728
2025-03-06,109.892
2025-03-07,109.914
2025-03-10,109.99
2025-03-11,109.9
2025-03-12,110.034
2025-03-13,110.062
2025-03-14,110.065
2025-03-17,110.159
2025-03-18,110.205
2025-03-19,110.231
2025-03-20,110.261
2025-03-21,110.306
2025-03-24,110.369
2025-03-25,110.393
2025-03-26,110.414
2025-03-27,110.472
2025-04-03,110.61
2025-04-04,110.778
2025-04-07,110.705
2025-04-08,110.74
2025-04-09,110.758
2025-04-10,110.794
2025-04-14,110.88
2025-04-15,110.901
2025-04-16,110.95
2025-04-17,110.974
2025-04-18,110.995
