Date,Price
2023-11-16,10.0
2023-11-17,10.0144
2023-11-18,10.0203
2023-11-19,10.0253
2023-11-20,10.0302
2023-11-21,10.0335
2023-11-22,10.039
2023-11-23,10.044
2023-11-24,10.0484
2023-11-25,10.0541
2023-11-26,10.0597
2023-11-27,10.0653
2023-11-28,10.071
2023-11-29,10.0767
2023-11-30,10.0824
2023-12-01,10.0877
2023-12-02,10.0932
2023-12-03,10.099
2023-12-04,10.1047
2023-12-05,10.1104
2023-12-06,10.1163
2023-12-07,10.1221
2023-12-08,10.1273
2023-12-09,10.1333
2023-12-10,10.139
2023-12-11,10.1448
2023-12-12,10.1504
2023-12-13,10.1549
2023-12-14,10.1615
2023-12-15,10.1651
2023-12-16,10.1733
2023-12-17,10.1784
2023-12-18,10.1836
2023-12-19,10.1899
2023-12-20,10.196
2023-12-21,10.2013
2023-12-22,10.2074
2023-12-23,10.2124
2023-12-24,10.2185
2023-12-25,10.2246
2023-12-26,10.2307
2023-12-27,10.236
2023-12-28,10.241
2023-12-29,10.2488
2023-12-30,10.2563
2023-12-31,10.266
2024-01-01,10.2677
2024-01-02,10.2688
2024-01-03,10.2741
2024-01-04,10.2803
2024-01-05,10.2848
2024-01-06,10.29
2024-01-07,10.295
2024-01-08,10.3
2024-01-09,10.3051
2024-01-10,10.3102
2024-01-11,10.3156
2024-01-12,10.3267
2024-01-13,10.332
2024-01-14,10.3372
2024-01-15,10.3424
2024-01-16,10.3482
2024-01-17,10.3548
2024-01-18,10.3603
2024-01-19,10.3774
2024-01-20,10.3823
2024-01-21,10.3877
2024-01-22,10.3949
2024-01-23,10.3989
2024-01-24,10.4046
2024-01-25,10.4111
2024-01-26,10.4182
2024-01-27,10.4309
2024-01-28,10.436
2024-01-29,10.4412
2024-01-30,10.4461
2024-01-31,10.4516
2024-02-01,10.4565
2024-02-02,10.4614
2024-02-03,10.4667
2024-02-04,10.4722
2024-02-05,10.4777
2024-02-06,10.4832
2024-02-07,10.4888
2024-02-08,10.4968
2024-02-09,10.5021
2024-02-10,10.5052
2024-02-11,10.5105
