Date,Price
2023-03-04,100.049
2023-03-05,100.1
2023-03-06,100.15
2023-03-07,100.2
2023-03-08,100.249
2023-03-09,100.299
2023-03-10,100.35
2023-03-11,100.411
2023-03-12,100.461
2023-03-13,100.511
2023-03-14,100.566
2023-03-15,100.63
2023-03-16,100.69
2023-03-17,100.751
2023-03-18,100.804
2023-03-19,100.854
2023-03-20,100.904
2023-03-21,100.987
2023-03-22,101.042
2023-03-23,101.117
2023-03-24,101.157
2023-03-25,101.197
2023-03-26,101.236
2023-03-27,101.29
2023-03-28,101.343
2023-03-29,101.396
2023-03-30,101.449
2023-03-31,101.502
2023-04-01,101.554
2023-04-02,101.596
2023-04-03,101.652
2023-04-04,101.705
2023-04-05,101.759
2023-04-06,101.815
2023-04-07,101.871
2023-04-08,101.929
2023-04-09,101.986
2023-04-10,102.043
2023-04-11,102.094
2023-04-12,102.148
2023-04-13,102.209
2023-04-14,102.201
2023-04-15,102.317
2023-04-16,102.371
2023-04-17,102.426
2023-04-18,102.487
2023-04-19,102.543
2023-04-20,102.595
2023-04-21,102.645
2023-04-22,102.702
2023-04-23,102.803
2023-04-24,102.859
2023-04-25,102.916
2023-04-26,102.978
2023-04-27,103.037
2023-04-28,103.093
2023-04-29,103.151
2023-04-30,103.207
2023-05-01,103.262
2023-05-02,103.322
2023-05-03,103.379
2023-05-04,100.5
2023-05-05,100.555
2023-05-06,100.62
2023-05-07,100.676
2023-05-08,100.736
2023-05-09,100.79
2023-05-10,100.848
2023-05-11,100.905
2023-05-12,100.97
2023-05-13,101.027
2023-05-14,101.084
2023-05-15,101.143
2023-05-16,101.198
2023-05-17,101.249
2023-05-18,101.303
2023-05-19,101.366
2023-05-20,101.42
2023-05-21,101.473
2023-05-22,101.527
2023-05-23,101.576
2023-05-24,101.628
2023-05-25,101.665
2023-05-26,101.716
2023-05-27,101.762
2023-05-28,101.818
2023-05-29,101.874
2023-05-30,101.925
2023-05-31,101.975
2023-06-01,102.038
2023-06-02,102.095
2023-06-03,102.173
2023-06-04,102.232
2023-06-05,102.291
2023-06-06,102.354
2023-06-07,102.423
2023-06-08,102.481
2023-06-09,102.532
2023-06-10,102.58
2023-06-11,102.638
2023-06-12,102.696
2023-06-13,102.758
2023-06-14,102.82
