Date,Price
2016-01-22,10.0
2016-01-25,10.0043
2016-01-26,10.0058
2016-01-27,10.0073
2016-01-28,10.0088
2016-01-29,10.011
2016-02-01,10.0165
2016-02-02,10.0169
2016-02-03,10.0184
2016-02-04,10.0193
2016-02-08,10.0252
2016-02-09,10.0264
2016-02-10,10.0279
2016-02-11,10.0293
2016-02-12,10.031
2016-02-15,10.0354
2016-02-16,10.0367
2016-02-17,10.038
2016-02-18,10.0398
2016-02-19,10.0414
2016-02-22,10.0457
2016-02-23,10.047
2016-02-24,10.0482
2016-02-25,10.0498
2016-02-26,10.0512
2016-02-29,10.0553
2016-03-01,10.0569
2016-03-02,10.0583
2016-03-03,10.0601
2016-03-04,10.0616
2016-03-07,10.0659
2016-03-08,10.0675
2016-03-09,10.0688
2016-03-10,10.0703
2016-03-11,10.0717
2016-03-14,10.076
2016-03-15,10.0774
2016-03-16,10.0786
2016-03-17,10.08
2016-03-18,10.0814
2016-03-21,10.0858
2016-03-22,10.0872
2016-03-24,10.0899
2016-03-25,10.0913
2016-03-28,10.0959
2016-03-29,10.0973
2016-03-30,10.0986
2016-03-31,10.0998
2016-04-01,10.1013
2016-04-04,10.1056
2016-04-05,10.1071
2016-04-06,10.1086
2016-04-07,10.1101
2016-04-08,10.1113
2016-04-11,10.1156
2016-04-12,10.1168
2016-04-13,10.1182
2016-04-14,10.1196
2016-04-15,10.1211
2016-04-18,10.1257
2016-04-19,10.1273
2016-04-20,10.1289
2016-04-21,10.1301
2016-04-22,10.132
2016-04-25,10.1359
2016-04-26,10.1372
2016-04-27,10.1385
2016-04-28,10.1395
2016-04-29,10.1414
2016-05-02,10.1456
2016-05-03,10.147
2016-05-04,10.1483
2016-05-05,10.1498
2016-05-06,10.1512
2016-05-09,10.1551
2016-05-10,10.1566
2016-05-11,10.1579
2016-05-12,10.1593
2016-05-13,10.1598
2016-05-16,10.164
2016-05-17,10.1652
2016-05-18,10.1665
2016-05-19,10.1679
2016-05-20,10.1692
2016-05-23,10.1732
2016-05-24,10.1771
2016-05-25,10.1785
2016-05-26,10.1802
2016-05-27,10.1815
2016-05-30,10.1853
2016-05-31,10.1866
2016-06-01,10.1878
2016-06-02,10.1892
2016-06-03,10.1906
2016-06-06,10.1946
2016-06-07,10.1958
2016-06-08,10.1969
2016-06-09,10.1978
2016-06-10,10.1987
2016-06-13,10.2026
2016-06-16,10.0065
2016-06-17,10.0075
2016-06-20,10.0116
2016-06-21,10.0127
2016-06-22,10.0142
2016-06-23,10.0154
2016-06-24,10.0168
2016-06-27,10.0209
2016-06-28,10.0223
2016-06-29,10.0238
2016-06-30,10.0238
2016-07-01,10.0216
2016-07-04,10.0259
2016-07-11,10.035
2016-07-12,10.0356
2016-07-13,10.0372
2016-07-14,10.0388
2016-07-15,10.0401
2016-07-18,10.0443
2016-07-19,10.046
2016-07-20,10.0471
2016-07-21,10.0484
2016-07-22,10.0496
2016-07-25,10.0535
2016-07-26,10.0547
2016-07-27,10.0563
2016-07-28,10.0577
2016-07-29,10.0591
2016-08-01,10.0634
2016-08-02,10.0643
2016-08-03,10.0654
2016-08-04,10.0664
2016-08-05,10.0675
2016-08-08,10.0718
2016-08-09,10.0732
2016-08-10,10.0742
2016-08-11,10.0753
2016-08-12,10.0766
2016-08-15,10.0808
2016-08-16,10.0821
