Date,Price
2010-10-13,100.0
2010-10-14,100.036
2010-10-15,100.067
2010-10-18,100.153
2010-10-19,100.182
2010-10-20,100.209
2010-10-21,100.288
2010-10-22,100.313
2010-10-25,100.405
2010-10-26,100.435
2010-10-27,100.462
2010-10-28,100.488
2010-10-29,100.512
2010-11-01,100.603
2010-11-02,100.639
2010-11-03,100.663
2010-11-04,100.704
2010-11-05,100.733
2010-11-08,100.826
2010-11-10,100.884
2010-11-11,100.909
2010-11-12,100.938
2010-11-15,101.026
2010-11-16,101.064
2010-11-22,101.244
2010-11-23,101.264
2010-11-24,101.289
2010-11-25,101.318
2010-11-26,101.34
2010-11-27,101.359
2010-11-29,101.41
2010-11-30,101.435
2010-12-01,101.448
2010-12-02,101.495
2010-12-03,101.531
2010-12-04,101.563
2010-12-06,101.623
2010-12-07,101.654
2010-12-08,101.684
2010-12-09,101.713
2010-12-10,101.742
2010-12-11,101.773
2010-12-13,101.836
2010-12-14,101.872
2010-12-15,101.9
2010-12-18,102.004
2010-12-20,102.063
2010-12-21,102.089
2010-12-22,102.121
2010-12-23,102.148
2010-12-24,102.179
2010-12-27,102.279
2010-12-28,102.309
2010-12-29,102.336
2010-12-31,102.4
2011-01-01,102.432
2011-01-03,102.494
2011-01-04,102.527
2011-01-05,102.584
2011-01-06,102.612
2011-01-07,102.646
2011-01-08,102.678
2011-01-10,102.742
2011-01-11,102.775
2011-01-12,102.806
2011-01-13,102.858
2011-01-14,102.881
2011-01-15,102.912
2011-01-17,102.977
2011-01-18,103.008
2011-01-19,103.04
2011-01-20,103.073
2011-01-21,103.106
2011-01-22,103.137
2011-01-24,103.202
2011-01-25,103.231
2011-01-26,103.262
2011-01-27,103.303
2011-01-28,103.326
2011-01-29,103.359
2011-01-31,103.424
2011-02-01,103.459
2011-02-02,103.493
2011-02-03,103.527
2011-02-04,103.559
2011-02-07,103.657
2011-02-08,103.691
2011-02-09,103.723
2011-02-10,103.767
2011-02-11,103.8
2011-02-12,103.832
2011-02-14,103.901
2011-02-15,103.935
2011-02-17,103.999
2011-02-18,104.028
2011-02-19,104.062
2011-02-21,104.132
2011-02-22,104.166
2011-02-23,104.195
2011-02-24,104.226
2011-02-25,104.259
2011-02-26,104.289
2011-02-28,104.356
2011-03-01,104.39
2011-03-02,104.419
2011-03-03,104.455
2011-03-04,104.488
2011-03-05,104.52
2011-03-07,104.588
2011-03-08,104.618
2011-03-09,104.65
2011-03-10,104.688
2011-03-11,104.729
2011-03-12,104.766
2011-03-14,104.832
2011-03-15,104.868
2011-03-16,104.897
2011-03-17,104.928
2011-03-18,104.961
2011-03-19,104.994
2011-03-21,105.058
2011-03-22,105.09
2011-03-24,105.16
2011-03-25,105.198
2011-03-26,105.227
2011-03-28,105.29
2011-03-29,105.316
2011-03-30,105.347
2011-03-31,105.38
2011-04-01,105.412
2011-04-02,105.446
2011-04-04,105.511
2011-04-05,105.542
2011-04-06,105.575
2011-04-07,105.627
2011-04-08,105.662
2011-04-09,105.695
2011-04-11,105.76
2011-04-12,105.794
2011-04-13,105.83
2011-04-14,105.866
2011-04-15,105.902
2011-04-16,105.932
2011-04-18,106.0
2011-04-19,106.035
2011-04-20,106.069
2011-04-21,106.103
2011-04-22,106.148
2011-04-23,106.186
2011-04-25,106.257
2011-04-26,106.286
2011-04-27,106.32
2011-04-28,106.36
2011-04-29,106.391
2011-04-30,106.426
2011-05-02,106.488
2011-05-03,106.526
2011-05-04,106.563
2011-05-05,106.61
2011-05-06,106.671
2011-05-07,106.699
2011-05-09,106.764
2011-05-10,106.794
2011-05-11,106.832
2011-05-12,106.858
2011-05-13,106.894
2011-05-14,106.925
2011-05-16,106.985
2011-05-17,107.01
2011-05-18,107.047
2011-05-19,107.074
2011-05-20,107.081
2011-05-21,107.114
2011-05-23,107.179
2011-05-24,107.213
2011-05-25,107.242
2011-05-26,107.28
2011-05-27,107.304
2011-05-28,107.338
2011-05-30,107.405
2011-05-31,107.436
2011-06-01,107.465
2011-06-02,107.504
2011-06-03,107.522
2011-06-04,107.554
2011-06-06,107.622
2011-06-07,107.671
2011-06-08,107.7
2011-06-09,107.732
2011-06-10,107.764
2011-06-11,107.804
2011-06-13,107.876
2011-06-14,107.909
2011-06-15,107.942
2011-06-16,107.973
2011-06-17,107.998
2011-06-18,108.029
2011-06-20,108.096
2011-06-21,108.13
2011-06-22,108.163
2011-06-23,108.2
2011-06-24,108.236
2011-06-25,108.272
2011-06-27,108.343
2011-06-28,108.377
2011-06-29,100.103
2011-06-30,100.137
2011-07-01,100.173
2011-07-02,100.206
2011-07-03,100.238
2011-07-04,100.274
2011-07-05,100.309
2011-07-06,100.344
2011-07-07,100.374
2011-07-08,100.407
2011-07-09,100.438
2011-07-10,100.47
2011-07-11,100.502
2011-07-12,100.53
2011-07-13,100.558
2011-07-14,100.601
2011-07-15,100.625
2011-07-16,100.658
2011-07-17,100.69
2011-07-18,100.724
2011-07-19,100.756
2011-07-20,100.786
2011-07-21,100.818
2011-07-22,100.85
2011-07-23,100.879
2011-07-24,100.911
2011-07-25,100.941
2011-07-26,100.976
2011-07-27,101.01
2011-07-28,101.039
2011-07-29,101.065
2011-07-30,101.094
2011-07-31,101.126
2011-08-01,101.157
2011-08-02,101.32
2011-08-03,101.352
2011-08-04,101.377
2011-08-05,101.408
2011-08-06,101.436
2011-08-07,101.465
2011-08-08,101.498
2011-08-09,101.539
2011-08-10,101.571
2011-08-11,101.602
2011-08-12,101.631
2011-08-13,101.66
2011-08-15,101.719
2011-08-16,101.749
2011-08-17,101.779
2011-08-18,101.807
2011-08-19,101.904
2011-08-20,101.934
2011-08-22,102.002
2011-08-23,102.043
2011-08-24,102.071
2011-08-25,102.115
2011-08-26,102.155
2011-08-27,101.353
2011-08-29,102.261
2011-08-30,102.31
2011-09-05,102.543
2011-09-06,102.609
2011-09-07,102.636
2011-09-08,102.643
2011-09-09,102.647
2011-09-10,102.653
2011-09-12,102.682
2011-09-13,102.723
2011-09-14,102.755
2011-09-15,102.77
2011-09-16,102.856
2011-09-17,102.892
2011-09-19,102.928
2011-09-20,102.935
2011-09-21,103.008
2011-09-22,103.05
2011-09-23,103.104
2011-09-24,103.128
2011-09-26,103.202
2011-09-27,103.235
2011-09-28,103.32
2011-09-29,103.384
2011-09-30,103.466
2011-10-01,103.668
2011-10-03,103.736
2011-10-04,103.886
2011-10-05,103.889
2011-10-06,103.938
2011-10-07,104.004
2011-10-08,104.056
2011-10-10,104.196
2011-10-11,104.792
2011-10-12,104.801
2011-10-13,104.807
2011-10-14,104.814
2011-10-17,104.868
2011-10-18,104.9
2011-10-19,104.918
2011-10-20,104.935
2011-10-21,105.042
2011-10-25,105.191
2011-10-26,105.243
2011-10-27,105.271
2011-10-28,105.292
2011-10-31,105.396
2011-11-01,105.433
2011-11-02,105.45
2011-11-03,105.484
2011-11-04,105.491
2011-11-10,105.631
2011-11-11,105.653
2011-11-14,105.728
2011-11-15,105.75
2011-11-16,105.78
2011-11-17,105.806
2011-11-18,105.838
2011-11-21,105.911
2011-11-22,105.931
2011-11-23,105.982
2011-11-24,106.001
2011-11-25,106.028
2011-11-28,106.109
2011-11-29,106.138
2011-11-30,106.194
2011-12-01,106.04
2011-12-02,106.068
2011-12-07,106.216
2011-12-08,106.189
2011-12-09,106.199
2011-12-12,106.284
2011-12-13,106.32
2011-12-14,106.346
2011-12-15,106.37
