s_close,s_date
100,"Sep 04, 2022"
100.039,"Sep 05, 2022"
100.077,"Sep 06, 2022"
100.097,"Sep 07, 2022"
100.108,"Sep 08, 2022"
100.381,"Sep 09, 2022"
100.42,"Sep 10, 2022"
100.459,"Sep 11, 2022"
100.735,"Sep 12, 2022"
100.676,"Sep 13, 2022"
100.606,"Sep 14, 2022"
100.459,"Sep 15, 2022"
100.21,"Sep 16, 2022"
100.238,"Sep 17, 2022"
100.266,"Sep 18, 2022"
100.303,"Sep 19, 2022"
100.097,"Sep 20, 2022"
99.6988,"Sep 21, 2022"
99.7962,"Sep 22, 2022"
99.1875,"Sep 23, 2022"
99.2139,"Sep 24, 2022"
99.2404,"Sep 25, 2022"
99.433,"Sep 26, 2022"
99.9013,"Sep 27, 2022"
99.5035,"Sep 28, 2022"
99.101,"Sep 29, 2022"
99.0919,"Sep 30, 2022"
99.1075,"Oct 01, 2022"
99.1231,"Oct 02, 2022"
99.4096,"Oct 03, 2022"
99.5466,"Oct 04, 2022"
100.487,"Oct 05, 2022"
102.698,"Oct 06, 2022"
102.239,"Oct 07, 2022"
102.24,"Oct 08, 2022"
102.241,"Oct 09, 2022"
102.109,"Oct 10, 2022"
102.082,"Oct 11, 2022"
102.516,"Oct 12, 2022"
102.806,"Oct 13, 2022"
102.658,"Oct 14, 2022"
102.66,"Oct 15, 2022"
102.661,"Oct 16, 2022"
102.45,"Oct 17, 2022"
102.636,"Oct 18, 2022"
103.686,"Oct 19, 2022"
103.253,"Oct 20, 2022"
103.656,"Oct 21, 2022"
103.658,"Oct 22, 2022"
103.66,"Oct 23, 2022"
103.854,"Oct 24, 2022"
103.637,"Oct 25, 2022"
102.836,"Oct 26, 2022"
102.645,"Oct 27, 2022"
101.606,"Oct 28, 2022"
101.608,"Oct 29, 2022"
101.61,"Oct 30, 2022"
101.811,"Oct 31, 2022"
103.552,"Nov 01, 2022"
104.185,"Nov 02, 2022"
104.671,"Nov 03, 2022"
103.732,"Nov 04, 2022"
103.734,"Nov 05, 2022"
103.736,"Nov 06, 2022"
104.387,"Nov 07, 2022"
