Date,Price
2010-05-19,100.0
2010-05-20,99.9183
2010-05-21,99.9216
2010-05-24,99.5182
2010-05-25,98.9911
2010-05-26,99.4995
2010-05-27,99.1421
2010-05-28,99.3647
2010-05-31,99.1079
2010-06-01,99.0171
2010-06-02,99.4901
2010-06-03,99.6497
2010-06-04,99.7028
2010-06-07,99.8664
2010-06-08,99.8992
2010-06-09,99.6911
2010-06-10,98.9464
2010-06-11,99.1538
2010-06-14,98.5521
2010-06-15,98.54
2010-06-16,99.15
2010-06-17,99.49
2010-06-18,99.18
2010-06-21,99.18
2010-06-22,99.28
2010-06-23,99.21
2010-06-24,99.03
2010-06-25,98.95
2010-06-28,98.5
2010-06-29,98.62
2010-06-30,98.68
2010-07-01,98.71
2010-07-02,98.62
2010-07-03,98.63
2010-07-04,98.63
2010-07-05,98.5
2010-07-06,98.31
2010-07-07,99.06
2010-07-08,99.51
2010-07-09,99.7
2010-07-10,99.7
2010-07-11,99.71
2010-07-12,99.82
2010-07-13,100.42
2010-07-14,100.63
2010-07-15,100.13
2010-07-16,100.23
2010-07-17,100.23
2010-07-18,100.23
2010-07-19,100.6
2010-07-20,101.05
2010-07-21,100.97
2010-07-22,100.81
2010-07-23,100.75
2010-07-26,100.62
2010-07-27,101.38
2010-07-28,101.97
2010-07-29,102.1
2010-07-30,102.6
2010-08-02,102.13
2010-08-03,102.07
2010-08-04,102.11
2010-08-05,101.33
2010-08-06,101.22
2010-08-09,99.77
2010-08-10,99.68
2010-08-11,99.67
2010-08-12,99.68
2010-08-13,100.23
2010-08-16,98.58
2010-08-17,99.45
2010-08-18,99.63
2010-08-19,99.99
2010-08-20,100.04
2010-08-23,99.67
2010-08-24,98.84
2010-08-25,98.43
2010-08-26,99.31
2010-08-27,99.19
2010-08-30,99.04
2010-08-31,100.32
2010-09-01,100.14
2010-09-02,100.07
2010-09-03,99.56
2010-09-06,99.51
2010-09-07,99.86
2010-09-08,100.66
2010-09-09,100.46
2010-09-14,101.75
2010-09-15,101.56
2010-09-16,101.48
2010-09-17,102.01
2010-09-20,102.01
2010-09-21,101.41
2010-09-22,101.23
2010-09-23,100.7
2010-09-24,100.83
2010-09-27,101.1
2010-09-28,101.5
2010-09-29,101.59
2010-09-30,100.97
2010-10-01,101.03
2010-10-04,101.06
2010-10-05,101.15
2010-10-06,101.12
2010-10-07,102.02
2010-10-08,102.67
2010-10-11,103.25
2010-10-12,102.95
2010-10-13,103.86
2010-10-14,104.01
2010-10-15,103.74
2010-10-18,104.11
2010-10-19,104.11
2010-10-20,104.3
2010-10-21,104.83
2010-10-22,105.65
2010-10-25,106.23
2010-10-26,105.68
2010-10-27,105.48
2010-10-28,105.31
2010-10-29,104.86
2010-11-01,104.49
2010-11-02,106.19
2010-11-03,105.36
2010-11-04,106.28
2010-11-05,108.18
2010-11-08,109.5
2010-11-10,108.67
2010-11-11,108.33
2010-11-12,108.36
2010-11-15,108.9
2010-11-16,109.66
2010-11-22,111.56
2010-11-23,111.58
2010-11-24,111.4
2010-11-25,111.64
2010-11-26,111.4
2010-11-27,111.4
2010-11-29,111.34
2010-11-30,112.93
2010-12-01,112.2
2010-12-02,113.54
2010-12-03,113.6
2010-12-06,113.45
2010-12-07,113.26
2010-12-08,114.6
2010-12-09,114.13
2010-12-10,114.52
2010-12-13,114.75
2010-12-14,114.6
2010-12-15,115.84
2010-12-20,116.45
2010-12-21,117.42
2010-12-22,117.92
2010-12-23,117.17
2010-12-24,118.23
2010-12-27,119.27
2010-12-28,118.91
2010-12-29,118.99
2010-12-30,120.48
2010-12-31,120.46
2011-01-03,118.42
2011-01-04,122.18
2011-01-05,122.73
2011-01-06,124.64
2011-01-07,125.04
2011-01-10,124.74
2011-01-11,125.23
2011-01-12,125.73
2011-01-13,127.52
2011-01-14,129.29
2011-01-17,130.66
2011-01-18,130.19
2011-01-19,129.5
2011-01-20,127.1
2011-01-21,126.86
2011-01-24,125.87
2011-01-25,126.85
2011-01-26,127.45
2011-01-27,127.37
2011-01-28,127.0
2011-01-31,125.71
2011-02-01,123.83
2011-02-02,122.76
2011-02-03,124.79
2011-02-04,125.45
2011-02-07,125.6
2011-02-08,125.17
2011-02-09,124.7
2011-02-10,123.41
2011-02-11,121.41
2011-02-14,121.6
2011-02-15,122.38
2011-02-17,121.73
2011-02-18,121.94
2011-02-21,122.25
2011-02-22,119.64
2011-02-23,118.42
2011-02-24,118.26
2011-02-25,115.69
2011-02-28,118.6
2011-03-01,122.22
2011-03-02,123.25
2011-03-03,124.11
2011-03-04,126.39
2011-03-07,125.48
2011-03-08,124.92
2011-03-09,127.07
2011-03-10,126.9
2011-03-11,126.25
2011-03-14,126.62
2011-03-15,125.34
2011-03-16,125.89
2011-03-17,127.25
2011-03-18,125.62
2011-03-21,124.32
2011-03-22,125.3
2011-03-24,126.03
2011-03-25,125.76
2011-03-28,126.0
2011-03-29,127.6
2011-03-30,128.76
2011-03-31,128.86
2011-04-01,129.34
2011-04-04,128.86
2011-04-05,129.11
2011-04-06,129.18
2011-04-07,128.94
2011-04-08,129.52
2011-04-11,129.61
2011-04-12,128.8
2011-04-13,128.4
2011-04-14,127.57
2011-04-15,127.86
2011-04-18,128.13
2011-04-19,127.23
2011-04-20,128.33
2011-04-21,129.31
2011-04-22,129.95
2011-04-25,129.6
2011-04-26,130.21
2011-04-27,130.61
2011-04-28,130.5
2011-04-29,130.92
2011-05-02,129.75
2011-05-03,129.05
2011-05-04,126.68
2011-05-05,128.06
2011-05-06,127.86
2011-05-09,128.29
2011-05-10,128.56
2011-05-11,128.29
2011-05-12,127.94
2011-05-13,127.96
2011-05-16,126.79
2011-05-17,127.17
2011-05-18,126.93
2011-05-19,127.14
2011-05-20,128.01
2011-05-23,128.89
2011-05-24,130.12
2011-05-25,130.26
2011-05-26,130.77
2011-05-27,131.4
2011-05-30,130.33
2011-05-31,130.33
2011-06-01,131.94
2011-06-02,131.19
2011-06-03,131.66
2011-06-06,130.99
2011-06-07,131.85
2011-06-08,131.98
2011-06-09,131.62
2011-06-10,131.59
2011-06-13,131.02
2011-06-14,131.12
2011-06-15,130.65
2011-06-16,130.85
2011-06-17,130.64
2011-06-20,128.52
2011-06-21,130.51
2011-06-22,131.09
2011-06-23,132.56
2011-06-24,131.65
2011-06-27,131.5
2011-06-28,130.04
2011-06-29,130.26
2011-06-30,129.81
2011-07-01,130.08
2011-07-04,130.81
2011-07-05,131.95
2011-07-06,132.39
2011-07-07,132.16
2011-07-08,132.22
2011-07-11,131.62
2011-07-12,131.22
2011-07-13,132.12
2011-07-14,131.93
2011-07-15,133.69
2011-07-18,133.97
2011-07-19,133.92
2011-07-20,133.88
2011-07-21,133.71
2011-07-22,134.27
2011-07-25,133.99
2011-07-26,133.65
2011-07-27,132.04
2011-07-28,130.73
2011-07-29,131.11
2011-08-01,132.35
2011-08-02,131.97
2011-08-03,129.47
