Date,Price
2011-12-15,100
2011-12-16,100.342
2011-12-19,100.362
2011-12-20,100.709
2011-12-21,100.586
2011-12-22,100.678
2011-12-23,100.412
2011-12-26,100.282
2011-12-27,100.053
2011-12-28,99.863
2011-12-29,99.6793
2011-12-30,98.6631
2012-01-03,100.398
2012-01-04,100.307
2012-01-05,99.4246
2012-01-06,99.0117
2012-01-09,98.6605
2012-01-10,98.304
2012-01-11,98.8708
2012-01-12,98.8132
2012-01-13,99.739
2012-01-16,100.359
2012-01-17,101.128
2012-01-18,102.577
2012-01-19,102.434
2012-01-20,104.662
2012-01-23,106.979
2012-01-24,106.268
2012-01-25,106.394
2012-01-26,106.232
2012-01-27,107.006
2012-01-30,106.14
2012-01-31,105.918
2012-02-01,106.246
2012-02-02,105.874
2012-02-03,106.561
2012-02-06,107.515
2012-02-07,108.187
2012-02-08,108.11
2012-02-09,107.609
2012-02-10,107.125
2012-02-13,107.391
2012-02-14,107.144
2012-02-15,107.582
2012-02-16,108.244
2012-02-17,108.614
2012-02-20,108.711
2012-02-21,110.193
2012-02-22,109.339
2012-02-23,108.859
2012-02-24,111.364
2012-02-27,111.485
2012-02-28,111.652
2012-02-29,112.379
2012-03-01,112.938
2012-03-02,114.361
2012-03-05,115.594
2012-03-06,115.099
2012-03-07,114.368
2012-03-08,114.368
2012-03-09,115.175
2012-03-12,115.239
2012-03-13,114.128
2012-03-14,114.024
2012-03-15,114.326
2012-03-16,112.434
2012-03-19,110.814
2012-03-20,112.439
2012-03-21,112.075
2012-03-22,111.958
2012-03-26,111.881
2012-03-27,113.71
2012-03-28,116.081
2012-03-29,116.118
2012-03-30,118.891
2012-04-02,119.052
2012-04-03,119.029
2012-04-04,120.778
2012-04-05,121.326
2012-04-06,121.879
2012-04-09,121.881
2012-04-10,122.076
2012-04-11,122.149
2012-04-12,119.539
2012-04-13,120.04
2012-04-16,121.858
2012-04-17,121.193
2012-04-18,123.595
2012-04-19,123.839
2012-04-20,124.031
2012-04-23,125.796
2012-04-24,125.006
2012-04-25,124.952
2012-04-26,123.396
2012-04-27,123.522
2012-04-30,122.913
2012-05-02,124.435
2012-05-03,126.611
2012-05-04,127
2012-05-07,128.356
2012-05-08,127.136
2012-05-09,128.354
2012-05-10,126.424
2012-05-11,124.525
2012-05-14,124.833
2012-05-15,125.629
2012-05-16,122.878
2012-05-17,123.116
2012-05-18,120.271
2012-05-21,120.243
2012-05-22,122.948
2012-05-23,122.337
2012-05-24,121.519
2012-05-25,122.232
2012-05-28,123.707
2012-05-29,123.254
2012-05-30,121.513
2012-05-31,120.967
2012-06-01,122.358
2012-06-04,120.858
2012-06-05,120.075
2012-06-06,120.351
2012-06-07,120.177
2012-06-08,118.56
2012-06-11,119.47
2012-06-12,117.372
2012-06-13,117.003
2012-06-14,119.755
2012-06-15,119.902
2012-06-18,120.627
2012-06-19,119.855
2012-06-20,119.539
2012-06-21,118.393
2012-06-22,119.763
2012-06-25,118.561
2012-06-26,118.615
2012-06-27,120.096
2012-06-28,120.162
2012-06-29,119.871
2012-06-30,119.932
2012-07-03,123.271
2012-07-04,123.752
2012-07-05,123.849
2012-07-06,125.168
2012-07-09,125.648
2012-07-10,125.755
2012-07-11,125.392
2012-07-12,125.446
2012-07-13,124.696
2012-07-16,125.328
2012-07-17,126.085
2012-07-18,127.044
2012-07-19,126.602
2012-07-20,126.494
2012-07-24,125.869
2012-07-25,126.771
2012-07-26,126.384
2012-07-27,126.44
2012-07-30,125.956
2012-07-31,126.492
2012-08-01,125.794
2012-08-02,128.09
2012-08-03,127.692
2012-08-06,127.124
2012-08-07,127.083
2012-08-08,128.093
2012-08-09,128.18
2012-08-10,127.817
2012-08-13,131.507
2012-08-15,131.781
2012-08-16,131.712
2012-08-17,131.712
2012-08-23,133.235
2012-08-24,132.591
2012-08-27,134.371
2012-08-28,135.055
2012-08-29,134.536
2012-08-30,135.673
2012-08-31,136.596
2012-09-03,136.551
2012-09-04,136.014
2012-09-05,135.033
2012-09-06,133.84
2012-09-07,133.813
2012-09-10,133.067
2012-09-11,132.902
2012-09-12,134.108
2012-09-13,134.843
2012-09-14,134.766
2012-09-17,134.155
2012-09-18,135.766
2012-09-19,135.524
2012-09-20,133.789
2012-09-24,133.257
2012-09-25,133.693
2012-09-26,134.084
2012-09-27,134.096
2012-09-28,135.185
2012-10-01,137.619
2012-10-02,138.483
2012-10-03,139.088
2012-10-04,140.36
2012-10-05,139.494
2012-10-08,137.245
2012-10-09,138.469
2012-10-10,138.017
2012-10-11,138.249
2012-10-12,137.115
2012-10-15,137.155
2012-10-16,136.592
2012-10-17,136.363
2012-10-18,137.945
2012-10-19,139.788
2012-10-22,139.796
2012-10-23,139.882
2012-10-24,139.798
2012-10-25,139.033
2012-10-30,138.787
2012-10-31,140.085
2012-11-01,141.023
2012-11-02,141.831
2012-11-05,141.646
2012-11-06,140.947
2012-11-07,141.54
2012-11-08,141.589
2012-11-12,141.344
2012-11-13,140.598
2012-11-14,140.563
2012-11-15,140.359
2012-11-16,140.677
2012-11-19,141.315
2012-11-20,141.553
2012-11-21,140.802
2012-11-22,141.008
2012-11-23,140.754
2012-11-26,140.842
2012-11-27,142.076
2012-11-28,141.714
2012-11-29,141.612
2012-11-30,141.639
2012-12-03,141.587
2012-12-04,142.242
2012-12-05,141.639
2012-12-06,143.239
2012-12-07,142.516
2012-12-10,141.563
2012-12-11,141.066
2012-12-12,141.624
2012-12-13,142.553
2012-12-14,142.723
2012-12-17,142.581
2012-12-18,142.819
2012-12-19,143.33
2012-12-20,143.525
2012-12-21,143.474
2012-12-24,143.724
2012-12-26,144.158
2012-12-27,144.02
2012-12-28,144.211
2012-12-31,144.611
2013-01-02,141.822
2013-01-03,142.151
2013-01-04,142.337
2013-01-07,141.395
2013-01-08,142.484
2013-01-09,143.641
2013-01-10,141.869
2013-01-11,142.299
2013-01-14,142.26
2013-01-15,138.524
2013-01-16,139.102
2013-01-17,139.337
2013-01-18,142.137
2013-01-21,142.225
2013-01-22,144.725
2013-01-23,144.761
2013-01-24,146.22
2013-01-28,145.385
2013-01-29,146.666
2013-01-30,147.308
2013-01-31,147.318
2013-02-01,147.287
2013-02-04,147.881
2013-02-06,149.501
2013-02-07,148.73
2013-02-08,149.354
2013-02-11,149.747
2013-02-12,150.633
2013-02-13,151.292
2013-02-14,152.575
2013-02-15,153.65
2013-02-18,155.376
2013-02-19,153.846
2013-02-20,155.516
2013-02-21,155.991
2013-02-22,157.15
2013-02-25,156.348
2013-02-26,155.46
2013-02-27,157.456
2013-02-28,157.34
2013-03-01,157.63
2013-03-04,157.136
2013-03-05,157.572
2013-03-06,156.619
2013-03-07,156.473
2013-03-08,155.159
2013-03-11,151.827
2013-03-12,154.615
2013-03-13,153.335
2013-03-14,153.047
2013-03-15,153.069
2013-03-18,152.933
2013-03-19,154.683
2013-03-20,155.087
2013-03-21,156.225
2013-03-22,156.867
2013-03-25,156.805
2013-03-26,156.28
2013-03-27,155.887
2013-03-28,155.928
2013-03-29,156.934
2013-04-01,158.842
2013-04-02,159.577
2013-04-03,160.828
2013-04-04,160.717
2013-04-05,160.787
2013-04-08,161.112
2013-04-09,161.469
2013-04-10,161.749
2013-04-11,161.703
2013-04-12,161.047
2013-04-15,158.777
2013-04-16,156.185
2013-04-17,155.019
2013-04-18,156.695
2013-04-19,156.336
2013-04-22,155.77
2013-04-23,156.321
2013-04-24,156.79
2013-04-25,157.838
2013-04-26,157.816
2013-04-29,156.928
2013-04-30,157.724
2013-05-02,157.985
2013-05-03,159.619
2013-05-06,159.831
2013-05-07,159.598
2013-05-08,161.847
2013-05-09,162.64
2013-05-10,163.781
2013-05-13,166.976
2013-05-14,167.586
2013-05-15,167.537
2013-05-16,166.398
2013-05-17,168.627
2013-05-20,171.471
2013-05-21,175.456
2013-05-22,178.195
2013-05-23,176.62
2013-05-24,175.782
2013-05-27,173.471
2013-05-28,178.121
2013-05-29,177.329
2013-05-30,178.693
2013-05-31,180.578
2013-06-03,183.33
2013-06-04,184.548
2013-06-05,182.061
2013-06-06,182.893
2013-06-07,182.906
2013-06-10,181.901
2013-06-11,182.023
2013-06-12,183.24
2013-06-13,188.296
2013-06-14,187.859
2013-06-17,184.339
2013-06-18,182.871
2013-06-19,186.121
2013-06-20,184.312
2013-06-21,182.059
2013-06-24,178.395
2013-06-25,180.117
2013-06-26,180.021
2013-06-27,179.781
2013-06-28,180.227
2013-06-30,180.252
2013-07-02,185.714
2013-07-03,186.069
2013-07-04,187.346
2013-07-05,188.323
2013-07-08,190.861
2013-07-09,193.867
2013-07-10,196.678
2013-07-12,194.333
2013-07-15,193.944
2013-07-16,193.619
2013-07-17,192.454
2013-07-18,194.133
2013-07-19,197.486
2013-07-22,200.175
2013-07-23,199.499
2013-07-24,200.375
2013-07-25,199.876
2013-07-26,200.328
2013-07-29,199.125
2013-07-30,198.626
2013-07-31,198.145
2013-08-01,196.297
2013-08-02,196.287
2013-08-05,192.805
2013-08-06,189.662
2013-08-07,193.594
2013-08-12,195.718
2013-08-13,195.777
2013-08-15,195.549
2013-08-16,195.817
2013-08-19,195.246
2013-08-20,193.997
2013-08-21,189.579
2013-08-22,186.737
2013-08-23,185.617
2013-08-26,188.74
2013-08-27,185.796
2013-08-28,183.487
2013-08-29,181.19
2013-08-30,180.804
2013-09-02,178.269
2013-09-03,178.346
2013-09-04,177.955
2013-09-05,182.427
2013-09-06,185.406
2013-09-09,186.178
2013-09-10,188.608
2013-09-11,190.732
2013-09-12,188.574
2013-09-13,188.62
2013-09-16,186.916
2013-09-17,185.153
2013-09-18,182.991
2013-09-19,184.971
2013-09-20,186.151
2013-09-23,186.405
2013-09-24,183.143
2013-09-25,183.322
2013-09-26,181.334
2013-09-27,179.567
2013-09-30,176.975
2013-10-01,179.533
2013-10-02,180.419
2013-10-03,181.229
2013-10-04,180.738
2013-10-07,178.938
2013-10-08,179.844
2013-10-09,176.924
2013-10-10,177.23
2013-10-11,179.59
2013-10-14,178.655
2013-10-21,180.593
2013-10-22,184.572
2013-10-23,183.342
2013-10-24,182.624
2013-10-25,182.692
2013-10-28,182.45
2013-10-29,181.801
2013-10-30,182.67
2013-10-31,185.77
2013-11-01,184.788
2013-11-04,182.965
2013-11-05,185.074
2013-11-06,188.843
2013-11-07,189.077
2013-11-08,189.305
2013-11-11,189.897
2013-11-12,188.713
2013-11-13,187.192
2013-11-18,191.441
2013-11-19,193.759
2013-11-20,194.323
2013-11-21,195.072
2013-11-22,196.197
2013-11-25,197.512
2013-11-26,195.72
2013-11-27,196.087
2013-11-28,199.591
2013-11-29,201.537
2013-12-02,203.539
2013-12-03,203.249
2013-12-04,201.983
2013-12-05,206.105
2013-12-06,206.67
2013-12-09,206.968
2013-12-10,206.107
2013-12-11,208.396
2013-12-12,210.538
2013-12-13,213.04
2013-12-16,214.115
2013-12-17,214.326
2013-12-18,214.917
2013-12-19,213.884
2013-12-20,213.362
2013-12-23,213.697
2013-12-24,213.862
2013-12-26,213.678
2013-12-27,213.007
2013-12-30,213.447
2013-12-31,213.951
2014-01-02,220.899
2014-01-03,222.264
2014-01-06,224.196
2014-01-07,225.191
2014-01-08,225.754
2014-01-09,225.973
2014-01-10,226.726
2014-01-13,228.986
2014-01-15,229.809
2014-01-16,229.435
2014-01-17,230.511
2014-01-20,231.667
2014-01-21,232.558
2014-01-22,231.802
2014-01-23,232.719
2014-01-24,232.105
2014-01-27,228.749
2014-01-28,228.465
2014-01-29,226.701
2014-01-30,226.85
2014-01-31,230.971
2014-02-03,232.893
2014-02-04,230.714
2014-02-06,229.768
2014-02-07,229.004
2014-02-10,224.962
2014-02-11,224.701
2014-02-12,228.024
2014-02-13,226.121
2014-02-14,223.648
2014-02-17,219.532
2014-02-18,216.782
2014-02-19,213.359
2014-02-20,210.759
2014-02-21,212.964
2014-02-24,213.307
2014-02-25,211.527
2014-02-26,212.013
2014-02-27,213.35
2014-02-28,217.846
2014-03-03,219.667
2014-03-04,223.22
2014-03-05,226.22
2014-03-06,227.503
2014-03-07,227.7
2014-03-10,229.678
2014-03-11,230.961
2014-03-12,230.334
2014-03-13,231.062
2014-03-14,232.141
2014-03-17,232.852
2014-03-18,232.47
2014-03-19,231.281
2014-03-20,230.481
2014-03-21,228.44
2014-03-24,224.62
2014-03-25,226.556
2014-03-26,228.33
2014-03-27,230.135
2014-03-28,230.435
2014-03-31,234.081
2014-04-01,236.771
2014-04-02,238.759
2014-04-03,239.156
2014-04-04,239.102
2014-04-07,239.977
2014-04-08,240.719
2014-04-09,242.457
2014-04-10,245.637
2014-04-11,246.103
2014-04-14,246.399
2014-04-15,246.215
2014-04-16,248.686
2014-04-17,248.059
2014-04-18,245.271
2014-04-21,242.41
2014-04-22,244.793
2014-04-23,240.784
2014-04-24,240.744
2014-04-25,241.823
2014-04-28,240.35
2014-04-29,237.816
2014-04-30,244.467
2014-05-02,243.283
2014-05-05,237.932
2014-05-06,235.105
2014-05-07,234.409
2014-05-08,236.446
2014-05-09,236.201
2014-05-12,236.338
2014-05-13,237.202
2014-05-14,237.861
2014-05-15,241.901
2014-05-16,242.359
2014-05-19,244.467
2014-05-20,244.246
2014-05-21,241.926
2014-05-22,243.8
2014-05-23,242.921
2014-05-26,245.335
2014-05-27,245.042
2014-05-28,245.585
2014-05-29,249.292
2014-05-30,250.515
2014-06-02,251.921
2014-06-03,249.673
2014-06-04,250.439
2014-06-05,250.501
2014-06-06,251.197
2014-06-09,250.289
2014-06-10,253.057
2014-06-11,255.103
2014-06-12,253.336
2014-06-13,252.352
2014-06-16,254.637
2014-06-17,252.673
2014-06-18,251.586
2014-06-19,247.633
2014-06-20,249.553
2014-06-23,250.92
2014-06-24,252.656
2014-06-25,250.167
2014-06-26,254.738
2014-06-27,256.96
2014-06-30,260.293
2014-07-02,262.533
2014-07-03,261.595
2014-07-04,260.244
2014-07-07,258.594
2014-07-08,258.554
2014-07-09,257.603
2014-07-10,255.599
2014-07-11,254.619
2014-07-14,259.506
2014-07-15,259.849
2014-07-16,261.346
2014-07-17,266.996
2014-07-18,265.804
2014-07-21,265.302
2014-07-22,265.717
2014-07-23,266.189
2014-07-24,264.006
2014-07-25,263.995
2014-07-28,261.487
2014-08-04,256.358
2014-08-05,257.073
2014-08-06,255.298
2014-08-07,257.952
2014-08-08,256.388
2014-08-11,243.318
2014-08-12,243.693
2014-08-13,246.67
2014-08-15,251.998
2014-08-18,253.148
2014-08-19,249.199
2014-08-20,250.538
2014-08-21,252.779
2014-08-22,252.596
2014-08-25,249.318
2014-08-26,244.964
2014-08-27,238.554
2014-08-28,239.301
2014-08-29,246.951
2014-09-01,247.524
2014-09-02,254.029
2014-09-03,257.777
2014-09-04,257.728
2014-09-05,256.284
2014-09-08,255.668
2014-09-09,259.377
2014-09-10,259.368
2014-09-11,260.987
2014-09-12,261.583
2014-09-15,259.363
2014-09-16,259.541
2014-09-17,258.164
2014-09-18,258.857
2014-09-19,257.514
2014-09-22,257.75
2014-09-23,261.715
2014-09-24,260.824
2014-09-25,260.412
2014-09-26,258.338
2014-09-29,256.415
2014-09-30,258.413
2014-10-01,260.77
2014-10-02,260.728
2014-10-03,261.399
2014-10-09,262.927
2014-10-10,265.817
2014-10-13,269.259
2014-10-14,269.636
2014-10-15,267.518
2014-10-16,269.372
2014-10-17,265.873
2014-10-20,262.002
2014-10-21,264.354
2014-10-22,267.229
2014-10-23,269.051
2014-10-24,269.564
2014-10-27,270.999
2014-10-28,271.314
2014-10-29,268.126
2014-10-30,272.563
2014-10-31,276.399
2014-11-05,283.949
2014-11-06,287.139
2014-11-07,290.095
2014-11-10,293.197
2014-11-11,293.207
2014-11-12,297.155
2014-11-13,295.795
2014-11-14,295.655
2014-11-17,297.718
2014-11-18,304.761
2014-11-19,300.352
2014-11-20,294.383
2014-11-21,296.865
2014-11-24,292.224
2014-11-25,292.094
2014-11-26,294.596
2014-11-27,293.282
2014-11-28,295.251
2014-12-01,297.827
2014-12-02,299.5
2014-12-03,302.957
2014-12-04,302.426
2014-12-05,300.102
2014-12-08,299.249
2014-12-09,301.822
2014-12-10,297.757
2014-12-11,298.69
2014-12-12,297.8
2014-12-15,300.408
2014-12-16,289.275
2014-12-17,286.884
2014-12-18,289.985
2014-12-19,293.106
2014-12-22,295.958
2014-12-23,294.234
2014-12-24,297.025
2014-12-26,295.749
2014-12-29,295.658
2014-12-30,296.882
2014-12-31,299.468
2015-01-02,302.762
2015-01-05,301.821
2015-01-06,301.626
2015-01-07,303.099
2015-01-08,304.146
2015-01-09,306.063
2015-01-12,308.28
2015-01-13,309.075
2015-01-14,310.927
2015-01-15,312.366
2015-01-16,313.47
2015-01-19,315.355
2015-01-20,316.29
2015-01-21,318.086
2015-01-22,314.508
2015-01-23,311.494
2015-01-26,318.635
2015-01-27,321.005
2015-01-28,318.425
2015-01-29,318.612
2015-01-30,319.123
2015-02-02,322.299
2015-02-03,324.543
2015-02-04,323.852
2015-02-06,323.748
2015-02-09,324.9
2015-02-10,323.549
2015-02-11,323.056
2015-02-12,319.625
2015-02-13,321.772
2015-02-16,320.178
2015-02-17,320.024
2015-02-18,317.56
2015-02-19,321.327
2015-02-20,320.919
2015-02-23,319.74
2015-02-24,317.794
2015-02-25,317.455
2015-02-26,316.621
2015-02-27,316.069
2015-03-02,312.09
2015-03-03,314.228
2015-03-04,313.802
2015-03-05,316.569
2015-03-06,318.89
2015-03-09,315.983
2015-03-10,313.251
2015-03-11,314.634
2015-03-12,316.856
2015-03-13,322.755
2015-03-16,317.106
2015-03-17,315.818
2015-03-18,306.131
2015-03-19,306.514
2015-03-20,312.58
2015-03-24,305.263
2015-03-25,301.595
2015-03-26,294.788
2015-03-27,288.919
2015-03-30,278.338
2015-03-31,290.96
2015-04-01,295.53
2015-04-02,301.763
2015-04-03,306.034
2015-04-06,311.491
2015-04-07,309.345
2015-04-08,311.088
2015-04-09,311.059
2015-04-10,312.984
2015-04-13,312.136
2015-04-14,309.139
2015-04-15,308.764
2015-04-16,311.481
2015-04-17,314.124
2015-04-20,314.831
2015-04-21,311.589
2015-04-22,316.867
2015-04-23,317.199
2015-04-24,320.221
2015-04-27,322.126
2015-04-28,319.953
2015-04-29,320.141
2015-04-30,323.555
2015-05-04,321.871
2015-05-05,320.286
2015-05-06,320.645
2015-05-07,318.547
2015-05-08,317.522
2015-05-11,304.388
2015-05-12,310.911
2015-05-13,309.911
2015-05-14,312.237
2015-05-15,311.547
2015-05-18,308.558
2015-05-19,307.087
2015-05-20,306.2
2015-05-21,306.317
2015-05-22,305.515
2015-05-25,309.422
2015-05-26,307.686
2015-05-27,309.891
2015-05-28,309.207
2015-05-29,312.744
2015-06-01,316.988
2015-06-02,319.015
2015-06-03,320.087
2015-06-04,321.645
2015-06-05,320.394
2015-06-08,325.791
2015-06-09,326.765
2015-06-10,329.013
2015-06-11,332.645
2015-06-12,334.146
2015-06-15,336.838
2015-06-16,334.746
2015-06-17,335.487
2015-06-18,335.808
2015-06-22,328.987
2015-06-23,327.916
2015-06-24,328.606
2015-06-25,325.862
