Date,Price
2008-06-19,100.42
2008-06-20,100.42
2008-06-21,100.42
2008-06-22,100.42
2008-06-23,100.44
2008-06-24,100.44
2008-06-25,100.45
2008-06-26,100.45
2008-06-27,100.46
2008-06-28,100.46
2008-06-29,100.46
2008-06-30,100.49
2008-07-01,100.51
2008-07-02,100.51
2008-07-03,100.54
2008-07-04,100.56
2008-07-05,100.56
2008-07-06,100.56
2008-07-07,100.61
2008-07-08,100.63
2008-07-09,100.64
2008-07-10,100.66
2008-07-11,100.68
2008-07-12,100.68
2008-07-13,100.68
2008-07-14,100.72
2008-07-15,100.6
2008-07-16,100.12
2008-07-17,100.27
2008-07-18,100.92
2008-07-19,100.92
2008-07-20,100.92
2008-07-21,102.8
2008-07-22,105.06
2008-07-23,106.1
2008-07-24,105.48
2008-07-25,104.41
2008-07-26,104.41
2008-07-27,104.41
2008-07-28,102.15
2008-07-29,101.95
2008-07-30,103.68
2008-07-31,102.05
2008-08-01,100.13
2008-08-02,100.13
2008-08-03,100.13
2008-08-04,98.25
2008-08-05,99.57
2008-08-06,97.71
2008-08-07,98.23
2008-08-08,99.57
2008-08-09,99.57
2008-08-10,99.57
2008-08-11,101.44
2008-08-12,99.4
2008-08-13,98.11
2008-08-14,98.11
2008-08-15,100.65
2008-08-16,100.65
2008-08-17,100.65
2008-08-18,103.42
2008-08-19,105.08
2008-08-20,102.51
2008-08-21,100.78
2008-08-22,98.84
2008-08-23,98.84
2008-08-24,98.84
2008-08-25,97.78
2008-08-26,95.22
2008-08-27,93.68
2008-08-28,93.77
2008-08-29,93.89
2008-08-30,93.89
2008-08-31,93.89
2008-09-01,93.84
2008-09-02,93.94
2008-09-03,93.83
2008-09-04,93.79
2008-09-05,95.11
2008-09-06,95.11
2008-09-07,95.11
2008-09-08,94.1
2008-09-09,94.08
2008-09-10,94.54
2008-09-11,94.29
2008-09-12,94.26
2008-09-13,94.26
2008-09-14,94.26
2008-09-15,94.15
2008-09-16,94.22
2008-09-17,94.29
2008-09-18,94.13
2008-09-19,94.06
2008-09-20,94.06
2008-09-21,94.06
2008-09-22,94.07
2008-09-23,94.09
2008-09-24,94.08
2008-09-25,94.08
2008-09-26,94.08
2008-09-27,94.08
2008-09-28,94.08
2008-09-29,94.08
2008-09-30,94.09
2008-10-01,94.09
2008-10-02,94.09
2008-10-03,94.09
2008-10-04,94.09
2008-10-05,94.09
2008-10-06,94.1
2008-10-07,94.1
2008-10-09,94.11
2008-10-10,94.1
2008-10-11,94.1
2008-10-12,94.1
2008-10-13,94.11
2008-10-14,94.11
2008-10-15,94.11
2008-10-16,94.11
2008-10-17,94.12
2008-10-18,94.12
2008-10-19,94.12
2008-10-20,94.11
2008-10-21,94.12
2008-10-22,94.12
2008-10-23,94.12
2008-10-24,94.12
2008-10-25,94.12
2008-10-26,94.12
2008-10-27,94.13
2008-10-28,94.13
2008-10-29,94.13
2008-10-30,94.13
2008-10-31,94.09
2008-11-01,94.09
