Date,Price
2013-07-02,100.725
2013-07-03,101.624
2013-07-04,101.974
2013-07-05,102.947
2013-07-08,104.53
2013-07-09,106.508
2013-07-10,107.937
2013-07-12,107.197
2013-07-15,106.67
2013-07-16,106.827
2013-07-17,106.11
2013-07-18,106.981
2013-07-19,109.123
2013-07-22,110.958
2013-07-23,111.392
2013-07-24,112.41
2013-07-25,112.664
2013-07-26,113.516
2013-07-29,112.549
2013-07-30,112.182
2013-07-31,112.147
2013-08-01,111.187
2013-08-02,111.181
2013-08-05,109.087
2013-08-06,106.957
2013-08-07,110.015
2013-08-12,111.443
2013-08-13,111.587
2013-08-15,111.137
2013-08-16,110.938
2013-08-19,110.385
2013-08-20,109.431
2013-08-21,107.0
2013-08-22,105.553
2013-08-23,104.776
2013-08-26,106.499
2013-08-27,104.273
2013-08-28,102.593
2013-08-29,101.299
2013-08-30,101.026
2013-09-02,99.4054
2013-09-03,100.012
2013-09-04,99.7623
2013-09-05,102.1
2013-09-06,103.438
2013-09-09,103.773
2013-09-10,104.706
2013-09-11,106.238
2013-09-12,105.355
2013-09-13,105.112
2013-09-16,104.552
2013-09-17,103.337
2013-09-18,102.189
2013-09-19,103.855
2013-09-20,104.933
2013-09-23,105.012
2013-09-24,103.236
2013-09-25,103.161
2013-09-26,102.148
2013-09-27,100.946
2013-09-30,99.4537
2013-10-01,100.927
2013-10-02,101.546
2013-10-03,101.885
2013-10-04,101.645
2013-10-07,100.64
2013-10-08,101.032
2013-10-09,99.061
2013-10-10,99.5017
2013-10-11,99.5147
2013-10-14,99.1375
2013-10-21,100.161
2013-10-22,102.657
2013-10-23,103.324
2013-10-24,103.264
2013-10-25,103.604
2013-10-28,103.196
2013-10-29,102.731
2013-10-30,102.554
2013-10-31,103.72
2013-11-01,103.159
2013-11-04,101.834
2013-11-05,102.845
2013-11-06,105.035
2013-11-07,105.549
2013-11-08,105.845
2013-11-11,105.979
2013-11-12,105.249
2013-11-13,104.508
2013-11-18,106.018
2013-11-19,107.417
2013-11-20,107.502
2013-11-21,107.427
2013-11-22,107.842
2013-11-25,108.408
2013-11-26,107.687
2013-11-27,107.138
2013-11-28,108.648
2013-11-29,109.055
2013-12-02,109.858
2013-12-03,110.516
2013-12-04,110.592
2013-12-05,112.608
2013-12-06,113.269
2013-12-09,114.03
2013-12-10,113.724
2013-12-11,114.522
2013-12-12,115.373
2013-12-13,116.427
2013-12-16,117.024
2013-12-17,117.389
2013-12-18,118.349
2013-12-19,118.207
2013-12-20,117.951
2013-12-23,117.988
2013-12-24,118.401
2013-12-26,118.061
2013-12-27,117.462
2013-12-30,117.187
2013-12-31,117.137
2014-01-02,120.622
2014-01-03,121.087
2014-01-06,121.006
2014-01-07,121.116
2014-01-08,121.248
2014-01-09,121.317
2014-01-10,121.233
2014-01-13,121.626
2014-01-15,121.515
2014-01-16,121.46
2014-01-17,122.505
2014-01-20,123.652
2014-01-21,124.623
2014-01-22,124.208
2014-01-23,124.332
2014-01-24,123.655
2014-01-27,121.374
2014-01-28,120.809
2014-01-29,120.51
2014-01-30,120.8
2014-01-31,122.517
2014-02-03,123.589
2014-02-04,122.479
2014-02-06,122.965
2014-02-07,122.239
2014-02-10,120.437
2014-02-11,120.549
2014-02-12,122.917
2014-02-13,122.454
