Date,Price
2022-06-30,100.033
2022-07-01,100.065
2022-07-02,100.102
2022-07-03,100.137
2022-07-04,100.171
2022-07-05,100.206
2022-07-06,100.24
2022-07-07,100.275
2022-07-08,100.309
2022-07-09,100.344
2022-07-10,100.378
2022-07-11,100.413
2022-07-12,100.447
2022-07-13,100.482
2022-07-14,100.519
2022-07-15,100.557
2022-07-16,100.595
2022-07-17,100.633
2022-07-18,100.671
2022-07-19,100.709
2022-07-20,100.747
2022-07-21,100.785
2022-07-22,100.823
2022-07-23,100.86
2022-07-24,100.898
2022-07-25,100.936
2022-07-26,100.974
2022-07-27,101.012
2022-07-28,101.05
2022-07-29,101.088
2022-07-30,101.126
2022-07-31,101.164
2022-08-01,101.202
2022-08-02,101.24
2022-08-03,101.278
2022-08-04,101.316
2022-08-05,101.354
2022-08-06,101.392
2022-08-07,101.429
2022-08-08,101.467
2022-08-09,101.505
2022-08-10,101.543
2022-08-11,101.581
2022-08-12,101.619
2022-08-13,101.657
2022-08-14,101.695
2022-08-15,101.733
2022-08-16,101.771
2022-08-17,101.809
2022-08-18,101.847
2022-08-19,101.885
2022-08-20,101.923
2022-08-21,101.961
2022-08-22,101.998
2022-08-23,102.036
2022-08-24,102.074
2022-08-25,102.112
2022-08-26,102.15
2022-08-27,102.188
2022-08-28,102.226
2022-08-29,102.264
2022-08-30,102.286
2022-08-31,102.322
2022-09-01,102.36
2022-09-02,102.391
2022-09-03,102.43
2022-09-04,102.468
2022-09-05,102.506
2022-09-06,102.493
2022-09-07,102.454
2022-09-08,102.57
2022-09-09,102.906
2022-09-10,102.944
2022-09-11,102.982
2022-09-12,103.103
2022-09-13,103.131
2022-09-14,102.946
2022-09-15,102.533
2022-09-16,102.182
2022-09-17,102.199
2022-09-18,102.215
2022-09-19,101.772
2022-09-20,101.269
2022-09-21,100.728
2022-09-22,100.653
2022-09-23,100.109
2022-09-24,100.126
2022-09-25,100.142
2022-09-26,100.497
2022-09-27,101.127
2022-09-28,100.813
2022-09-29,100.213
2022-09-30,100.225
2022-10-01,100.242
2022-10-02,100.259
2022-10-03,100.365
2022-10-04,100.427
2022-10-05,101.326
2022-10-06,103.004
2022-10-07,102.658
2022-10-08,102.66
2022-10-09,102.662
2022-10-10,102.882
2022-10-11,102.941
2022-10-12,103.007
2022-10-13,102.942
2022-10-14,103.093
2022-10-15,103.095
2022-10-16,103.097
2022-10-17,102.76
2022-10-18,103.016
2022-10-19,104.146
2022-10-20,103.725
2022-10-21,103.98
2022-10-22,103.987
2022-10-23,103.985
2022-10-24,104.169
2022-10-25,103.689
2022-10-26,102.361
2022-10-27,102.519
2022-10-28,101.577
2022-10-29,101.579
2022-10-30,101.581
2022-10-31,101.686
2022-11-01,103.338
2022-11-02,103.871
2022-11-03,104.391
2022-11-04,103.655
2022-11-05,103.657
2022-11-06,103.659
2022-11-07,104.324
2022-11-08,105.337
2022-11-09,105.339
2022-11-10,107.101
2022-11-11,107.396
2022-11-12,107.398
2022-11-13,107.4
2022-11-14,106.672
2022-11-15,106.601
2022-11-16,106.693
2022-11-17,106.451
2022-11-18,106.481
2022-11-19,106.482
2022-11-20,106.482
2022-11-21,106.629
2022-11-22,107.264
2022-11-23,107.438
2022-11-24,107.324
2022-11-25,107.37
2022-11-26,107.37
2022-11-27,107.371
2022-11-28,104.794
2022-11-29,105.404
2022-11-30,105.645
2022-12-01,105.656
2022-12-02,104.654
2022-12-03,104.661
2022-12-04,104.668
2022-12-05,102.877
2022-12-06,102.822
2022-12-07,103.307
2022-12-08,102.765
2022-12-09,102.984
2022-12-10,102.981
2022-12-11,102.978
2022-12-12,102.587
2022-12-13,102.544
2022-12-14,102.524
2022-12-15,100.953
2022-12-16,101.247
2022-12-17,101.244
2022-12-18,101.241
2022-12-19,100.656
2022-12-20,98.3927
2022-12-21,97.3448
2022-12-22,98.4973
2022-12-23,97.7718
2022-12-24,97.7689
2022-12-25,97.7661
2022-12-26,98.8731
2022-12-27,98.1848
2022-12-28,96.5423
2022-12-29,97.7169
2022-12-30,98.9352
2022-12-31,98.9384
2023-01-01,98.9415
2023-01-02,100.133
2023-01-03,99.7225
2023-01-04,99.5566
2023-01-05,99.7137
2023-01-06,100.257
2023-01-07,100.26
2023-01-08,100.264
2023-01-09,99.0306
2023-01-10,99.725
2023-01-11,99.6436
2023-01-12,99.6131
2023-01-13,98.4244
2023-01-14,98.4275
2023-01-15,98.4307
2023-01-16,97.0703
2023-01-17,93.541
2023-01-18,94.6699
2023-01-19,94.7291
2023-01-20,93.6556
2023-01-21,93.6587
2023-01-22,93.6619
2023-01-23,93.9422
2023-01-24,95.3034
2023-01-25,97.272
2023-01-26,99.8919
2023-01-27,98.73
2023-01-28,98.7293
2023-01-29,98.7287
2023-01-30,97.3407
2023-01-31,99.1739
2023-02-01,99.1898
2023-02-02,99.4235
2023-02-03,98.8715
2023-02-04,98.8709
2023-02-05,98.8702
2023-02-06,101.191
2023-02-07,101.993
2023-02-08,102.426
2023-02-09,104.729
2023-02-10,102.749
2023-02-11,102.748
2023-02-12,102.748
2023-02-13,102.595
2023-02-14,101.366
2023-02-15,101.711
2023-02-16,101.449
2023-02-17,101.483
2023-02-18,101.482
2023-02-19,101.481
2023-02-20,100.205
2023-02-21,100.663
2023-02-22,101.186
2023-02-23,100.437
2023-02-24,100.268
2023-02-25,100.267
2023-02-26,100.267
2023-02-27,100.315
2023-02-28,99.6258
2023-03-01,99.2968
2023-03-02,100.475
2023-03-03,102.08
2023-03-04,102.082
2023-03-05,102.085
2023-03-06,102.111
2023-03-07,102.04
2023-03-08,102.077
2023-03-09,103.119
2023-03-10,103.759
2023-03-11,103.762
2023-03-12,103.764
2023-03-13,104.198
2023-03-14,103.796
2023-03-15,104.4
2023-03-16,104.131
2023-03-17,103.501
2023-03-18,103.504
2023-03-19,103.507
2023-03-20,102.276
2023-03-21,102.287
2023-03-22,101.438
2023-03-23,101.436
2023-03-24,100.391
2023-03-25,100.39
2023-03-26,100.388
2023-03-27,100.718
2023-03-28,101.132
2023-03-29,100.943
2023-03-30,101.043
2023-03-31,101.412
2023-04-01,101.415
2023-04-02,101.419
2023-04-03,101.133
2023-04-04,100.867
2023-04-05,100.975
2023-04-06,102.618
2023-04-07,101.82
2023-04-08,101.824
2023-04-09,101.827
2023-04-10,101.39
2023-04-11,101.39
2023-04-12,102.397
2023-04-13,102.751
2023-04-14,102.755
2023-04-15,102.758
2023-04-16,102.762
2023-04-17,102.446
2023-04-18,102.892
2023-04-19,103.252
2023-04-20,104.42
2023-04-21,104.423
2023-04-22,104.426
2023-04-23,104.43
2023-04-24,104.434
2023-04-25,104.437
2023-04-26,104.054
2023-04-27,105.103
2023-04-28,105.112
