s_close,s_date
100.07,"Jul 03, 2007"
100.09,"Jul 04, 2007"
100.11,"Jul 05, 2007"
100.12,"Jul 06, 2007"
100.17,"Jul 09, 2007"
100.19,"Jul 10, 2007"
100.22,"Jul 11, 2007"
100.24,"Jul 12, 2007"
100.26,"Jul 13, 2007"
100.31,"Jul 16, 2007"
100.33,"Jul 17, 2007"
100.35,"Jul 18, 2007"
100.37,"Jul 19, 2007"
100.39,"Jul 21, 2007"
100.44,"Jul 23, 2007"
100.46,"Jul 24, 2007"
100.48,"Jul 25, 2007"
100.49,"Jul 26, 2007"
100.51,"Jul 27, 2007"
100.57,"Jul 30, 2007"
100.58,"Jul 31, 2007"
100.6,"Aug 01, 2007"
100.62,"Aug 02, 2007"
100.64,"Aug 03, 2007"
100.68,"Aug 06, 2007"
100.7,"Aug 07, 2007"
100.71,"Aug 08, 2007"
100.73,"Aug 09, 2007"
100.74,"Aug 10, 2007"
100.79,"Aug 13, 2007"
100.82,"Aug 15, 2007"
100.84,"Aug 16, 2007"
100.86,"Aug 17, 2007"
100.89,"Aug 20, 2007"
100.65,"Aug 21, 2007"
100.82,"Aug 22, 2007"
100.32,"Aug 23, 2007"
100.41,"Aug 24, 2007"
100.3,"Aug 27, 2007"
100.56,"Aug 28, 2007"
101.07,"Aug 29, 2007"
100.92,"Aug 31, 2007"
100.65,"Sep 03, 2007"
101.17,"Sep 04, 2007"
102.44,"Sep 05, 2007"
102.05,"Sep 06, 2007"
101.5,"Sep 07, 2007"
102.12,"Sep 10, 2007"
102.12,"Sep 11, 2007"
103.03,"Sep 12, 2007"
103.38,"Sep 13, 2007"
102.91,"Sep 17, 2007"
103.91,"Sep 18, 2007"
104.94,"Sep 19, 2007"
104.24,"Sep 20, 2007"
104.43,"Sep 21, 2007"
105.94,"Sep 24, 2007"
105.91,"Sep 25, 2007"
106.2,"Sep 26, 2007"
106.62,"Sep 27, 2007"
106.85,"Sep 28, 2007"
109.47,"Oct 01, 2007"
110.53,"Oct 02, 2007"
111.67,"Oct 03, 2007"
112.37,"Oct 04, 2007"
112.04,"Oct 05, 2007"
113.65,"Oct 08, 2007"
113.72,"Oct 09, 2007"
114.08,"Oct 11, 2007"
114.08,"Oct 12, 2007"
115.32,"Oct 17, 2007"
116.93,"Oct 19, 2007"
116.11,"Oct 22, 2007"
115.67,"Oct 23, 2007"
113.63,"Oct 24, 2007"
114.22,"Oct 25, 2007"
114.53,"Oct 26, 2007"
114.36,"Oct 29, 2007"
112.07,"Oct 30, 2007"
114.26,"Oct 31, 2007"
111.48,"Nov 01, 2007"
111.67,"Nov 02, 2007"
107.1,"Nov 05, 2007"
108.41,"Nov 06, 2007"
109.02,"Nov 07, 2007"
108.58,"Nov 08, 2007"
110.18,"Nov 12, 2007"
109.66,"Nov 13, 2007"
107.1,"Nov 14, 2007"
105.19,"Nov 15, 2007"
105.04,"Nov 16, 2007"
106.25,"Nov 19, 2007"
106.8,"Nov 20, 2007"
108.51,"Nov 21, 2007"
108.89,"Nov 22, 2007"
110.72,"Nov 23, 2007"
111.06,"Nov 26, 2007"
111.36,"Nov 27, 2007"
113.18,"Nov 28, 2007"
113.89,"Nov 29, 2007"
113.81,"Nov 30, 2007"
112.66,"Dec 03, 2007"
114,"Dec 04, 2007"
114.6,"Dec 05, 2007"
115.01,"Dec 06, 2007"
115.83,"Dec 07, 2007"
116.34,"Dec 10, 2007"
116.66,"Dec 11, 2007"
115.72,"Dec 12, 2007"
115.64,"Dec 13, 2007"
115.61,"Dec 14, 2007"
115.45,"Dec 17, 2007"
115.05,"Dec 18, 2007"
115.83,"Dec 19, 2007"
116.45,"Dec 25, 2007"
116.39,"Dec 26, 2007"
116.25,"Dec 27, 2007"
107.88,"Jan 01, 2008"
105.57,"Jan 02, 2008"
109.79,"Jan 03, 2008"
112,"Jan 04, 2008"
111.51,"Jan 07, 2008"
113.15,"Jan 08, 2008"
112.75,"Jan 09, 2008"
111.73,"Jan 10, 2008"
110.54,"Jan 11, 2008"
111.19,"Jan 14, 2008"
111.1,"Jan 15, 2008"
109.68,"Jan 16, 2008"
108.59,"Jan 17, 2008"
110.21,"Jan 18, 2008"
110.3,"Jan 21, 2008"
109.36,"Jan 22, 2008"
109.49,"Jan 23, 2008"
108.98,"Jan 24, 2008"
110.16,"Jan 25, 2008"
110.87,"Jan 28, 2008"
112.01,"Jan 29, 2008"
111.62,"Jan 30, 2008"
112,"Jan 31, 2008"
111.59,"Feb 01, 2008"
111.5,"Feb 04, 2008"
111.21,"Feb 06, 2008"
111.06,"Feb 07, 2008"
110.96,"Feb 08, 2008"
110.79,"Feb 11, 2008"
112.34,"Feb 12, 2008"
112.55,"Feb 13, 2008"
113.43,"Feb 14, 2008"
113.8,"Feb 15, 2008"
116.45,"Feb 19, 2008"
116.46,"Feb 20, 2008"
117.44,"Feb 21, 2008"
