Date,Price
2010-05-19,100.0
2010-05-20,99.93
2010-05-21,99.94
2010-05-24,99.67
2010-05-25,99.25
2010-05-26,99.59
2010-05-27,99.29
2010-05-28,99.48
2010-05-31,99.29
2010-06-01,99.15
2010-06-02,99.59
2010-06-03,99.89
2010-06-04,99.95
2010-06-07,100.22
2010-06-08,100.24
2010-06-09,100.02
2010-06-10,99.3
2010-06-11,99.53
2010-06-14,98.99
2010-06-15,99.0
2010-06-16,99.58
2010-06-17,99.95
2010-06-18,99.61
2010-06-21,99.67
2010-06-22,99.72
2010-06-23,99.67
2010-06-24,99.53
2010-06-25,99.41
2010-06-28,98.88
2010-06-29,99.14
2010-06-30,99.23
2010-07-01,99.22
2010-07-02,99.09
2010-07-03,99.11
2010-07-04,99.12
2010-07-05,99.01
2010-07-06,98.78
2010-07-07,99.69
2010-07-08,100.21
2010-07-09,100.64
2010-07-10,100.65
2010-07-11,100.66
2010-07-12,100.64
2010-07-13,101.25
2010-07-14,101.58
2010-07-15,100.99
2010-07-16,101.26
2010-07-17,101.26
2010-07-18,101.27
2010-07-19,101.61
2010-07-20,102.1
2010-07-21,101.88
2010-07-22,101.91
2010-07-23,101.87
2010-07-26,101.85
2010-07-27,102.6
2010-07-28,103.16
2010-07-29,103.4
2010-07-30,104.0
2010-08-02,103.44
2010-08-03,103.41
2010-08-04,103.39
2010-08-05,102.76
2010-08-06,102.27
2010-08-09,100.24
2010-08-10,99.99
2010-08-11,100.15
2010-08-12,99.96
2010-08-13,100.43
2010-08-16,98.79
2010-08-17,99.64
2010-08-18,99.75
2010-08-19,100.32
2010-08-20,100.62
2010-08-23,100.08
2010-08-24,99.32
2010-08-25,98.77
2010-08-26,99.21
2010-08-27,99.2
2010-08-30,98.85
2010-08-31,100.24
2010-09-01,100.03
2010-09-02,99.94
2010-09-03,99.51
2010-09-06,99.49
2010-09-07,99.79
2010-09-08,100.69
2010-09-09,100.51
2010-09-14,101.77
2010-09-15,101.63
2010-09-16,101.64
2010-09-17,102.08
2010-09-20,102.06
2010-09-21,101.42
2010-09-22,101.18
2010-09-23,100.69
2010-09-24,100.79
2010-09-27,101.0
2010-09-28,101.25
2010-09-29,101.37
2010-09-30,100.99
2010-10-01,101.02
2010-10-04,101.12
2010-10-05,101.12
2010-10-06,101.36
2010-10-07,102.17
2010-10-08,102.82
2010-10-11,103.24
2010-10-12,102.97
2010-10-13,103.66
2010-10-14,103.78
2010-10-15,103.93
2010-10-18,104.26
2010-10-19,104.22
2010-10-20,104.45
2010-10-21,104.93
2010-10-22,105.82
2010-10-25,106.59
2010-10-26,106.15
2010-10-27,106.16
2010-10-28,105.9
2010-10-29,105.44
2010-11-01,104.93
2010-11-02,106.46
2010-11-03,105.77
2010-11-04,106.67
2010-11-05,108.39
2010-11-08,109.78
2010-11-10,109.39
2010-11-11,109.01
2010-11-12,109.08
2010-11-15,109.35
2010-11-16,110.14
2010-11-22,111.68
2010-11-23,111.85
2010-11-24,111.71
2010-11-25,111.79
2010-11-26,111.63
2010-11-27,111.63
2010-11-29,111.75
2010-11-30,113.29
2010-12-01,112.46
2010-12-02,113.97
2010-12-03,114.36
2010-12-06,114.28
2010-12-07,114.24
2010-12-08,115.5
2010-12-09,114.74
2010-12-10,115.3
2010-12-13,115.46
2010-12-14,115.6
2010-12-15,116.53
2010-12-20,117.27
2010-12-21,118.16
2010-12-22,118.55
2010-12-23,117.88
2010-12-24,118.61
2010-12-27,119.69
2010-12-28,119.1
2010-12-29,119.24
2010-12-30,121.05
2010-12-31,121.01
2011-01-03,118.82
2011-01-04,122.54
2011-01-05,122.89
2011-01-06,124.24
2011-01-07,124.7
2011-01-10,124.53
2011-01-11,124.96
2011-01-12,125.73
2011-01-13,127.55
2011-01-14,128.87
2011-01-17,129.9
2011-01-18,129.18
2011-01-19,128.61
2011-01-20,125.9
2011-01-21,126.02
2011-01-24,125.19
2011-01-25,126.16
2011-01-26,126.29
2011-01-27,126.2
2011-01-28,126.22
2011-01-31,124.93
2011-02-01,123.06
2011-02-02,122.33
2011-02-03,124.11
2011-02-04,124.99
2011-02-07,125.23
2011-02-08,124.55
2011-02-09,123.86
2011-02-10,122.61
2011-02-11,120.72
2011-02-14,120.93
2011-02-15,121.64
2011-02-17,121.09
2011-02-18,121.37
2011-02-21,121.31
2011-02-22,118.71
2011-02-23,117.34
2011-02-24,117.13
2011-02-25,114.47
2011-02-28,117.18
2011-03-01,120.61
2011-03-02,121.21
2011-03-03,121.96
2011-03-04,124.19
2011-03-07,123.42
2011-03-08,123.06
2011-03-09,124.72
2011-03-10,124.57
2011-03-11,123.94
2011-03-14,124.1
2011-03-15,122.57
2011-03-16,122.73
2011-03-17,124.42
2011-03-18,122.9
2011-03-21,121.58
2011-03-22,122.51
2011-03-24,123.28
2011-03-25,123.22
2011-03-28,123.62
2011-03-29,125.11
2011-03-30,126.06
2011-03-31,125.98
2011-04-01,126.51
2011-04-04,126.22
2011-04-05,126.41
2011-04-06,126.48
2011-04-07,126.26
2011-04-08,126.74
2011-04-11,126.78
2011-04-12,125.83
2011-04-13,125.4
2011-04-14,124.63
2011-04-15,125.08
2011-04-18,125.28
2011-04-19,124.47
2011-04-20,125.71
2011-04-21,126.69
2011-04-22,127.02
2011-04-25,126.57
2011-04-26,127.02
2011-04-27,127.31
2011-04-28,127.47
2011-04-29,127.63
2011-05-02,126.35
2011-05-03,125.53
2011-05-04,123.26
2011-05-05,124.86
2011-05-06,124.85
2011-05-09,125.29
2011-05-10,125.7
2011-05-11,125.56
2011-05-12,125.12
2011-05-13,124.82
2011-05-16,123.7
2011-05-17,123.98
2011-05-18,123.72
2011-05-19,123.86
2011-05-20,124.64
2011-05-23,125.31
2011-05-24,126.37
2011-05-25,126.73
2011-05-26,127.31
2011-05-27,127.78
2011-05-30,127.0
2011-05-31,126.55
2011-06-01,127.87
2011-06-02,127.38
2011-06-03,127.72
2011-06-06,127.2
2011-06-07,127.91
2011-06-08,128.02
2011-06-09,127.57
2011-06-10,127.42
2011-06-13,127.17
2011-06-14,126.89
2011-06-15,126.63
2011-06-16,126.6
2011-06-17,126.38
2011-06-20,124.33
2011-06-21,125.95
2011-06-22,126.49
2011-06-23,127.86
2011-06-24,127.11
2011-06-27,126.63
2011-06-28,125.44
2011-06-29,125.91
2011-06-30,125.53
2011-07-01,125.52
2011-07-04,126.57
2011-07-05,127.28
2011-07-06,127.42
2011-07-07,127.07
2011-07-08,126.98
2011-07-11,126.56
2011-07-12,126.08
2011-07-13,126.45
2011-07-14,126.27
2011-07-15,127.42
2011-07-18,127.26
2011-07-19,127.66
2011-07-20,127.53
2011-07-21,127.38
2011-07-22,127.85
2011-07-25,127.38
2011-07-26,127.02
2011-07-27,125.69
2011-07-28,124.42
2011-07-29,124.66
2011-08-01,125.16
2011-08-02,124.69
2011-08-03,122.35
2011-08-04,121.57
2011-08-05,117.43
2011-08-08,117.45
2011-08-09,114.1
2011-08-10,117.13
2011-08-11,117.93
2011-08-12,119.22
2011-08-15,118.59
2011-08-16,118.71
2011-08-17,119.44
2011-08-18,118.46
2011-08-19,116.26
2011-08-22,116.85
2011-08-23,117.04
2011-08-24,117.96
2011-08-25,117.43
2011-08-29,118.13
2011-08-30,119.9
2011-09-05,120.62
2011-09-06,122.21
2011-09-07,122.67
2011-09-08,123.34
2011-09-09,122.83
2011-09-12,121.62
2011-09-13,122.33
2011-09-14,122.75
2011-09-15,123.2
2011-09-16,123.67
2011-09-19,123.7
2011-09-20,124.61
2011-09-21,126.76
2011-09-22,125.51
2011-09-23,124.88
2011-09-26,121.65
2011-09-27,124.19
2011-09-28,124.84
2011-09-29,125.16
2011-09-30,126.13
2011-10-03,125.88
2011-10-04,127.86
2011-10-05,127.36
2011-10-06,127.28
2011-10-07,127.65
2011-10-10,128.93
2011-10-11,129.66
2011-10-12,130.57
2011-10-13,129.89
2011-10-14,130.6
2011-10-17,131.15
2011-10-18,130.85
2011-10-19,128.02
2011-10-20,128.35
2011-10-21,126.11
2011-10-25,124.62
2011-10-26,122.53
2011-10-27,121.52
2011-10-28,123.73
2011-10-31,126.32
2011-11-01,124.99
2011-11-02,124.5
2011-11-03,124.71
2011-11-04,126.13
2011-11-10,125.78
2011-11-11,126.21
2011-11-14,125.9
2011-11-15,125.8
2011-11-16,125.69
2011-11-17,124.99
2011-11-18,125.09
2011-11-21,124.6
2011-11-22,123.6
2011-11-23,122.28
2011-11-24,123.07
2011-11-25,121.98
2011-11-28,120.29
2011-11-29,119.93
2011-11-30,120.76
2011-12-01,121.1
2011-12-02,119.5
2011-12-07,118.17
2011-12-08,119.78
2011-12-09,119.0
2011-12-12,119.93
2011-12-13,119.01
2011-12-14,119.72
2011-12-15,117.57
2011-12-16,116.76
2011-12-19,117.09
2011-12-20,118.87
2011-12-21,118.23
2011-12-22,118.08
2011-12-23,117.67
2011-12-26,117.79
2011-12-27,117.69
2011-12-28,117.65
2011-12-29,118.09
2011-12-30,117.42
2012-01-02,117.27
2012-01-03,119.17
2012-01-04,119.16
2012-01-05,118.34
2012-01-06,118.25
2012-01-09,118.18
2012-01-10,117.25
2012-01-11,117.35
2012-01-12,117.11
2012-01-13,118.06
2012-01-16,118.58
2012-01-17,120.05
2012-01-18,121.59
2012-01-19,121.66
2012-01-20,123.98
2012-01-23,126.92
2012-01-24,126.18
2012-01-26,125.85
2012-01-27,125.99
2012-01-30,124.65
2012-01-31,124.51
2012-02-01,124.77
2012-02-02,125.11
2012-02-03,125.78
2012-02-06,126.71
2012-02-07,127.43
2012-02-08,127.56
2012-02-09,127.32
2012-02-10,127.04
2012-02-13,127.17
2012-02-14,126.81
2012-02-15,127.3
2012-02-16,127.73
2012-02-17,128.34
2012-02-20,128.14
2012-02-21,128.56
2012-02-22,128.65
2012-02-23,128.24
2012-02-24,130.16
2012-02-27,129.91
2012-02-28,129.98
2012-02-29,130.53
2012-03-01,130.93
2012-03-02,132.37
2012-03-05,133.31
2012-03-06,133.39
2012-03-07,132.78
2012-03-08,133.61
2012-03-09,133.67
2012-03-12,133.71
2012-03-13,133.02
2012-03-14,133.08
2012-03-15,133.22
2012-03-16,131.93
2012-03-19,130.13
2012-03-20,132.3
2012-03-21,131.53
2012-03-22,131.43
2012-03-26,131.75
2012-03-27,133.49
2012-03-28,135.83
2012-03-29,136.03
2012-03-30,137.94
2012-04-02,137.58
2012-04-03,137.75
2012-04-04,139.68
2012-04-05,139.33
2012-04-06,139.35
2012-04-09,139.2
2012-04-10,139.67
2012-04-11,139.65
2012-04-12,137.89
2012-04-13,138.75
2012-04-16,139.38
2012-04-17,139.28
2012-04-18,141.42
2012-04-19,141.65
2012-04-20,141.54
2012-04-23,143.95
2012-04-24,144.29
2012-04-25,144.85
2012-04-26,143.2
2012-04-27,142.969
2012-04-30,152.09
2012-05-02,144.82
2012-05-03,147.38
2012-05-04,147.99
2012-05-07,147.74
2012-05-08,146.24
2012-05-09,146.94
2012-05-10,145.11
2012-05-11,143.08
2012-05-14,143.99
2012-05-15,144.808
2012-05-16,142.27
2012-05-17,142.76
2012-05-18,139.7
2012-05-21,139.73
2012-05-22,142.99
2012-05-23,142.73
2012-05-24,142.33
2012-05-25,142.53
2012-05-28,143.78
2012-05-29,143.93
2012-05-30,142.32
2012-05-31,141.76
2012-06-01,142.97
2012-06-04,142.12
2012-06-05,141.05
2012-06-06,140.7
2012-06-07,140.0
2012-06-08,138.29
2012-06-11,138.74
2012-06-12,137.04
2012-06-13,136.98
2012-06-14,139.95
2012-06-15,139.82
2012-06-18,140.55
2012-06-19,139.7
2012-06-20,139.44
2012-06-21,138.25
2012-06-22,139.68
2012-06-25,138.88
2012-06-26,139.16
2012-06-27,140.54
2012-06-28,140.36
2012-06-29,140.03
2012-06-30,140.039
2012-07-02,141.617
2012-07-03,141.716
2012-07-04,141.89
2012-07-05,141.95
2012-07-06,143.37
2012-07-09,145.04
2012-07-10,145.36
2012-07-11,145.68
2012-07-12,146.34
2012-07-13,146.04
2012-07-16,146.48
2012-07-17,147.69
2012-07-18,149.26
2012-07-19,149.29
2012-07-20,149.49
2012-07-23,149.03
2012-07-24,148.51
2012-07-25,149.7
2012-07-26,150.18
2012-07-27,150.57
2012-07-30,151.43
2012-07-31,151.74
2012-08-01,153.46
2012-08-02,153.42
2012-08-03,152.5
2012-08-06,152.39
2012-08-07,152.4
2012-08-08,152.9
2012-08-09,152.84
2012-08-10,152.34
2012-08-13,154.4
2012-08-15,154.82
2012-08-16,154.51
2012-08-17,154.51
2012-08-23,155.5
2012-08-24,155.44
2012-08-27,157.01
2012-08-28,158.28
2012-08-29,157.97
2012-08-30,159.77
2012-08-31,160.21
2012-09-03,160.48
2012-09-04,160.57
2012-09-05,159.71
2012-09-06,158.43
2012-09-07,158.73
2012-09-10,157.38
2012-09-11,157.21
2012-09-12,158.0
2012-09-13,157.87
2012-09-14,158.5
2012-09-17,158.06
2012-09-18,159.47
2012-09-19,159.43
2012-09-20,157.84
2012-09-24,157.03
2012-09-25,157.73
2012-09-26,157.91
2012-09-27,158.59
2012-09-28,159.2
2012-10-01,161.12
2012-10-02,161.83
2012-10-03,162.52
2012-10-04,164.2
2012-10-05,164.4
2012-10-08,163.08
2012-10-09,164.81
2012-10-10,164.58
2012-10-11,165.61
2012-10-12,165.03
2012-10-15,165.99
2012-10-16,165.48
2012-10-17,164.8
2012-10-18,166.7
2012-10-19,169.87
2012-10-22,170.11
2012-10-23,169.46
2012-10-24,169.17
2012-10-25,168.9
2012-10-30,168.46
2012-10-31,170.0
2012-11-01,171.22
2012-11-02,170.0
2012-11-05,172.03
2012-11-06,172.04
2012-11-07,173.13
2012-11-08,172.98
2012-11-12,172.33
2012-11-13,171.42
2012-11-14,171.53
2012-11-15,171.94
2012-11-16,172.65
2012-11-19,173.69
2012-11-20,173.62
2012-11-21,173.24
2012-11-22,173.97
2012-11-23,173.9
2012-11-26,174.77
2012-11-27,176.46
2012-11-28,177.09
2012-11-29,177.2
2012-11-30,176.64
2012-12-03,177.05
2012-12-04,177.84
2012-12-05,177.46
2012-12-06,179.36
2012-12-07,178.39
2012-12-10,177.52
2012-12-11,176.31
2012-12-12,177.02
2012-12-13,178.54
2012-12-14,179.15
2012-12-17,179.09
2012-12-18,179.88
2012-12-19,180.0
2012-12-20,179.68
2012-12-21,179.48
2012-12-24,179.8
2012-12-26,179.66
2012-12-27,180.0
2012-12-28,180.34
2012-12-31,180.26
2013-01-02,175.32
2013-01-03,176.43
2013-01-04,177.49
2013-01-07,175.57
2013-01-08,177.37
2013-01-09,178.0
2013-01-10,176.31
2013-01-11,177.01
2013-01-14,177.94
2013-01-15,172.34
2013-01-16,173.1
2013-01-17,174.03
2013-01-18,177.489
2013-01-21,178.11
2013-01-22,180.64
2013-01-23,180.99
2013-01-24,183.133
2013-01-28,182.62
2013-01-29,183.8
2013-01-30,184.18
2013-01-31,184.42
2013-02-01,184.9
2013-02-04,184.638
2013-02-06,185.65
2013-02-07,186.22
2013-02-08,186.222
2013-02-11,186.835
2013-02-12,187.46
2013-02-13,188.63
2013-02-14,189.37
2013-02-15,189.91
2013-02-18,191.03
2013-02-19,190.46
2013-02-20,192.07
2013-02-21,191.47
2013-02-22,192.94
2013-02-25,191.37
2013-02-26,189.36
2013-02-27,190.87
2013-02-28,191.26
2013-03-01,191.29
2013-03-04,191.24
2013-03-05,191.71
2013-03-06,190.85
2013-03-07,191.8
2013-03-08,190.74
2013-03-11,186.35
2013-03-12,189.8
2013-03-13,189.55
2013-03-14,189.65
2013-03-15,189.06
2013-03-18,187.87
2013-03-19,190.11
2013-03-20,191.33
2013-03-21,193.18
2013-03-22,193.88
2013-03-25,194.0
2013-03-26,193.23
2013-03-27,192.85
2013-03-28,193.04
2013-03-29,194.013
2013-04-01,196.664
2013-04-02,198.6
2013-04-03,202.13
2013-04-04,202.26
2013-04-05,201.75
2013-04-08,201.93
2013-04-09,202.3
2013-04-10,202.64
2013-04-11,202.73
2013-04-12,202.25
2013-04-15,199.79
2013-04-16,198.52
2013-04-17,197.43
2013-04-18,200.13
2013-04-19,200.44
2013-04-22,201.92
2013-04-23,203.02
2013-04-24,203.83
2013-04-25,205.02
2013-04-26,205.15
2013-04-29,205.05
2013-04-30,206.34
2013-05-02,207.09
2013-05-03,208.72
2013-05-06,209.65
2013-05-07,209.32
2013-05-08,212.75
2013-05-09,214.19
2013-05-10,214.65
2013-05-13,218.39
2013-05-14,218.46
2013-05-15,218.56
2013-05-16,217.6
2013-05-17,220.34
2013-05-20,222.97
2013-05-21,225.96
2013-05-22,228.68
2013-05-23,226.17
2013-05-24,225.24
2013-05-27,222.08
2013-05-28,227.43
2013-05-29,226.7
2013-05-30,228.63
2013-05-31,231.67
2013-06-03,235.53
2013-06-04,237.18
2013-06-05,234.51
2013-06-06,236.11
2013-06-07,236.48
2013-06-10,234.92
2013-06-11,235.88
2013-06-12,236.65
2013-06-13,242.86
2013-06-14,242.12
2013-06-17,237.92
2013-06-18,235.59
2013-06-19,239.45
2013-06-20,238.59
2013-06-21,235.98
2013-06-24,230.13
2013-06-25,232.95
2013-06-26,232.71
2013-06-27,232.29
2013-06-28,233.09
2013-06-30,233.06
2013-07-01,236.08
2013-07-02,239.54
2013-07-03,241.0
2013-07-04,242.0
2013-07-05,243.95
2013-07-08,246.32
2013-07-09,249.66
2013-07-10,252.93
2013-07-12,251.8
2013-07-15,251.43
2013-07-16,252.12
2013-07-17,250.53
2013-07-18,252.46
2013-07-19,256.46
2013-07-22,259.11
2013-07-23,260.18
2013-07-24,261.97
2013-07-25,261.19
2013-07-26,261.79
2013-07-29,259.41
2013-07-30,259.25
2013-07-31,259.77
2013-08-01,257.49
2013-08-02,257.48
2013-08-05,252.23
2013-08-06,249.08
2013-08-07,255.24
2013-08-12,258.85
2013-08-13,259.21
2013-08-15,258.5
2013-08-16,258.58
2013-08-19,257.38
2013-08-20,255.94
2013-08-21,250.78
2013-08-22,247.35
2013-08-23,246.53
2013-08-26,249.58
2013-08-27,245.02
2013-08-28,241.47
2013-08-29,238.36
2013-08-30,237.73
2013-09-02,234.06
2013-09-03,235.21
2013-09-04,235.88
2013-09-05,241.92
2013-09-06,245.52
2013-09-09,244.81
2013-09-10,247.97
2013-09-11,250.97
2013-09-12,248.53
2013-09-13,248.24
2013-09-16,247.49
2013-09-17,245.82
2013-09-18,244.54
2013-09-19,248.18
2013-09-20,249.53
2013-09-23,249.79
2013-09-24,245.98
2013-09-25,245.69
2013-09-26,243.32
2013-09-27,239.83
2013-09-30,236.13
2013-10-01,237.41
2013-10-02,239.21
2013-10-03,239.62
2013-10-04,239.15
2013-10-07,237.41
2013-10-08,238.98
2013-10-09,234.92
2013-10-10,234.35
2013-10-11,235.25
2013-10-14,234.08
2013-10-21,237.76
2013-10-22,243.18
2013-10-23,244.12
2013-10-24,243.78
2013-10-25,243.79
2013-10-28,242.66
2013-10-29,241.68
2013-10-30,242.02
2013-10-31,245.66
2013-11-01,245.15
2013-11-04,242.67
2013-11-05,246.72
2013-11-06,251.58
2013-11-07,252.13
2013-11-08,252.82
2013-11-11,253.33
2013-11-12,252.12
2013-11-13,251.61
2013-11-18,254.54
2013-11-19,257.07
2013-11-20,257.71
2013-11-21,256.94
2013-11-22,257.31
2013-11-25,259.5
2013-11-26,258.9
2013-11-27,258.0
2013-11-28,262.13
2013-11-29,263.12
2013-12-02,265.14
2013-12-03,265.75
2013-12-04,264.74
2013-12-05,269.15
2013-12-06,269.69
2013-12-09,270.01
2013-12-10,268.58
2013-12-11,270.1
2013-12-12,272.08
2013-12-13,274.33
2013-12-16,274.68
2013-12-17,276.05
2013-12-18,277.34
2013-12-19,276.74
2013-12-20,277.1
2013-12-23,276.97
2013-12-24,276.99
2013-12-26,276.92
2013-12-27,276.7
2013-12-30,277.1
2013-12-31,277.5
2014-01-01,277.5
2014-01-02,285.47
2014-01-03,286.16
2014-01-06,286.32
2014-01-07,285.75
2014-01-08,286.88
2014-01-09,287.51
2014-01-10,290.04
2014-01-13,290.04
2014-01-15,291.48
2014-01-16,291.38
2014-01-17,293.65
2014-01-20,294.83
2014-01-21,297.37
2014-01-22,297.2
2014-01-23,297.65
2014-01-24,296.47
2014-01-27,291.49
2014-01-28,290.56
2014-01-29,289.51
2014-01-30,289.44
2014-01-31,293.92
2014-02-03,297.12
2014-02-04,294.13
2014-02-06,294.51
2014-02-07,292.03
2014-02-10,286.89
2014-02-11,286.47
2014-02-12,291.56
2014-02-13,289.87
2014-02-14,286.82
2014-02-17,282.06
2014-02-18,280.89
2014-02-19,277.7
2014-02-20,275.52
2014-02-21,275.91
2014-02-24,276.99
2014-02-25,275.72
2014-02-26,274.93
2014-02-27,273.84
2014-02-28,278.89
2014-03-03,281.34
2014-03-04,285.79
2014-03-05,289.93
2014-03-06,292.97
2014-03-07,292.51
2014-03-10,295.55
2014-03-11,295.45
2014-03-12,293.77
2014-03-13,292.42
2014-03-14,292.57
2014-03-17,293.64
2014-03-18,293.7
2014-03-19,294.94
2014-03-20,293.22
2014-03-21,289.67
2014-03-24,286.1
2014-04-01,298.33
2014-04-02,302.77
2014-04-03,307.07
2014-04-04,308.99
2014-04-07,310.71
2014-04-08,310.66
2014-04-09,314.87
2014-04-10,317.8
2014-04-11,315.06
2014-04-14,312.59
2014-04-15,310.52
2014-04-16,314.29
2014-04-17,312.42
2014-04-18,311.25
2014-04-21,309.54
2014-04-22,313.42
2014-04-23,311.12
2014-04-24,313.88
2014-04-25,316.0
2014-04-28,314.24
2014-04-29,309.78
2014-04-30,315.13
2014-05-02,315.04
2014-05-05,312.68
2014-05-06,308.71
2014-05-07,308.18
2014-05-08,310.59
2014-05-09,309.65
2014-05-12,308.2
2014-05-13,308.82
2014-05-14,312.02
2014-05-15,318.23
2014-05-16,319.66
2014-05-19,319.74
2014-05-20,318.77
2014-05-21,319.02
2014-05-22,318.14
2014-05-23,318.3
2014-05-26,321.13
2014-05-27,321.61
2014-05-28,321.93
2014-05-29,325.63
2014-05-30,328.83
2014-06-02,329.28
2014-06-03,326.34
2014-06-04,325.44
2014-06-05,325.37
2014-06-06,325.29
2014-06-09,324.07
2014-06-10,325.55
2014-06-11,327.28
2014-06-12,327.62
2014-06-13,326.04
2014-06-16,325.03
2014-06-17,320.55
2014-06-18,318.97
2014-06-19,314.17
2014-06-20,314.27
2014-06-23,316.44
2014-06-24,317.82
2014-06-25,316.23
2014-06-26,320.98
2014-06-27,323.73
2014-06-30,326.04
2014-07-01,327.34
2014-07-02,326.73
2014-07-03,328.34
2014-07-04,328.99
2014-07-07,327.27
2014-07-08,326.88
2014-07-09,326.12
2014-07-10,324.33
2014-07-11,324.89
2014-07-14,328.68
2014-07-15,329.52
2014-07-16,329.74
2014-07-17,335.96
2014-07-18,336.66
2014-07-21,339.88
2014-07-22,340.4
2014-07-23,342.82
2014-07-24,342.03
2014-07-25,342.02
2014-07-28,340.25
2014-08-04,329.74
2014-08-05,329.68
2014-08-06,328.37
2014-08-07,331.1
2014-08-08,328.2
2014-08-11,314.94
2014-08-12,315.99
2014-08-13,318.01
2014-08-15,322.88
2014-08-18,325.99
2014-08-19,325.17
2014-08-20,326.58
2014-08-21,327.74
2014-08-22,326.36
2014-08-25,323.06
2014-08-26,318.62
2014-08-27,311.73
2014-08-28,314.33
2014-08-29,322.28
