0,1,s_close,s_date
"Jan 17, 22",10.05,10.05,"Jan 17, 22"
"Jan 18, 22",9.91,9.91,"Jan 18, 22"
"Jan 20, 22",9.89,9.89,"Jan 20, 22"
"Jan 21, 22",9.76,9.76,"Jan 21, 22"
"Jan 25, 22",10.25,10.25,"Jan 25, 22"
"Jan 27, 22",9.91,9.91,"Jan 27, 22"
"Jan 28, 22",9.85,9.85,"Jan 28, 22"
"Jan 31, 22",10.00,10.00,"Jan 31, 22"
"Feb 01, 22",10.10,10.10,"Feb 01, 22"
"Feb 02, 22",10.55,10.55,"Feb 02, 22"
"Feb 03, 22",11.00,11.00,"Feb 03, 22"
"Feb 04, 22",10.30,10.30,"Feb 04, 22"
"Feb 11, 22",9.97,9.97,"Feb 11, 22"
"Feb 21, 22",9.76,9.76,"Feb 21, 22"
"Feb 22, 22",9.70,9.70,"Feb 22, 22"
"Feb 24, 22",9.46,9.46,"Feb 24, 22"
"Feb 28, 22",9.67,9.67,"Feb 28, 22"
"Mar 01, 22",9.52,9.52,"Mar 01, 22"
"Mar 07, 22",8.85,8.85,"Mar 07, 22"
"Mar 08, 22",8.72,8.72,"Mar 08, 22"
"Mar 09, 22",8.61,8.61,"Mar 09, 22"
"Mar 10, 22",8.95,8.95,"Mar 10, 22"
"Mar 16, 22",9.12,9.12,"Mar 16, 22"
"Mar 17, 22",9.03,9.03,"Mar 17, 22"
"Mar 21, 22",8.66,8.66,"Mar 21, 22"
"Mar 25, 22",8.91,8.91,"Mar 25, 22"
"Mar 29, 22",9.35,9.35,"Mar 29, 22"
"Mar 31, 22",9.46,9.46,"Mar 31, 22"
"Apr 01, 22",9.60,9.60,"Apr 01, 22"
"Apr 07, 22",8.88,8.88,"Apr 07, 22"
"Apr 08, 22",8.92,8.92,"Apr 08, 22"
"Apr 11, 22",9.31,9.31,"Apr 11, 22"
"Apr 12, 22",9.63,9.63,"Apr 12, 22"
"Apr 25, 22",10.30,10.30,"Apr 25, 22"
"May 26, 22",9.50,9.50,"May 26, 22"
"May 27, 22",8.79,8.79,"May 27, 22"
"May 30, 22",8.19,8.19,"May 30, 22"
"May 31, 22",8.13,8.13,"May 31, 22"
"Jun 02, 22",7.76,7.76,"Jun 02, 22"
"Jun 03, 22",7.47,7.47,"Jun 03, 22"
"Jun 08, 22",7.57,7.57,"Jun 08, 22"
"Jun 14, 22",7.57,7.57,"Jun 14, 22"
"Jun 17, 22",8.01,8.01,"Jun 17, 22"
"Jun 20, 22",8.00,8.00,"Jun 20, 22"
"Jun 21, 22",8.13,8.13,"Jun 21, 22"
"Jun 22, 22",8.05,8.05,"Jun 22, 22"
"Jun 23, 22",8.10,8.10,"Jun 23, 22"
"Jun 24, 22",7.70,7.70,"Jun 24, 22"
"Jun 28, 22",7.91,7.91,"Jun 28, 22"
"Jun 30, 22",7.84,7.84,"Jun 30, 22"
"Jul 04, 22",7.77,7.77,"Jul 04, 22"
"Jul 14, 22",7.94,7.94,"Jul 14, 22"
"Jul 15, 22",8.09,8.09,"Jul 15, 22"
"Jul 18, 22",7.81,7.81,"Jul 18, 22"
"Jul 19, 22",7.55,7.55,"Jul 19, 22"
"Jul 20, 22",7.38,7.38,"Jul 20, 22"
"Jul 21, 22",7.30,7.30,"Jul 21, 22"
"Jul 22, 22",7.09,7.09,"Jul 22, 22"
"Jul 26, 22",7.39,7.39,"Jul 26, 22"
"Jul 28, 22",7.41,7.41,"Jul 28, 22"
"Jul 29, 22",7.30,7.30,"Jul 29, 22"
"Aug 01, 22",7.20,7.20,"Aug 01, 22"
"Aug 03, 22",7.49,7.49,"Aug 03, 22"
"Aug 04, 22",7.70,7.70,"Aug 04, 22"
"Aug 05, 22",7.90,7.90,"Aug 05, 22"
"Aug 10, 22",8.04,8.04,"Aug 10, 22"
"Aug 11, 22",8.05,8.05,"Aug 11, 22"
"Aug 12, 22",8.00,8.00,"Aug 12, 22"
"Aug 15, 22",8.35,8.35,"Aug 15, 22"
"Aug 16, 22",8.37,8.37,"Aug 16, 22"
"Aug 17, 22",8.40,8.40,"Aug 17, 22"
"Aug 18, 22",8.48,8.48,"Aug 18, 22"
"Aug 19, 22",8.30,8.30,"Aug 19, 22"
"Aug 22, 22",8.25,8.25,"Aug 22, 22"
"Aug 24, 22",8.23,8.23,"Aug 24, 22"
"Aug 29, 22",8.13,8.13,"Aug 29, 22"
"Aug 30, 22",8.31,8.31,"Aug 30, 22"
"Sep 05, 22",8.23,8.23,"Sep 05, 22"
"Sep 06, 22",8.50,8.50,"Sep 06, 22"
"Sep 07, 22",8.50,8.50,"Sep 07, 22"
"Sep 08, 22",8.88,8.88,"Sep 08, 22"
"Sep 09, 22",8.88,8.88,"Sep 09, 22"
"Sep 12, 22",8.26,8.26,"Sep 12, 22"
"Sep 13, 22",8.14,8.14,"Sep 13, 22"
"Sep 15, 22",8.17,8.17,"Sep 15, 22"
"Sep 19, 22",8.03,8.03,"Sep 19, 22"
"Sep 23, 22",7.84,7.84,"Sep 23, 22"
"Sep 27, 22",8.00,8.00,"Sep 27, 22"
"Sep 28, 22",8.07,8.07,"Sep 28, 22"
"Sep 30, 22",8.01,8.01,"Sep 30, 22"
"Oct 04, 22",8.06,8.06,"Oct 04, 22"
"Oct 06, 22",8.16,8.16,"Oct 06, 22"
"Oct 07, 22",8.25,8.25,"Oct 07, 22"
"Oct 10, 22",8.20,8.20,"Oct 10, 22"
"Oct 11, 22",8.21,8.21,"Oct 11, 22"
"Oct 18, 22",8.03,8.03,"Oct 18, 22"
"Oct 20, 22",7.94,7.94,"Oct 20, 22"
"Oct 26, 22",7.66,7.66,"Oct 26, 22"
"Oct 31, 22",7.39,7.39,"Oct 31, 22"
"Nov 01, 22",7.53,7.53,"Nov 01, 22"
"Nov 10, 22",7.80,7.80,"Nov 10, 22"
"Nov 18, 22",7.49,7.49,"Nov 18, 22"
"Nov 22, 22",7.57,7.57,"Nov 22, 22"
"Nov 28, 22",7.07,7.07,"Nov 28, 22"
"Dec 02, 22",7.05,7.05,"Dec 02, 22"
"Dec 05, 22",6.88,6.88,"Dec 05, 22"
"Dec 06, 22",6.80,6.80,"Dec 06, 22"
"Dec 12, 22",6.79,6.79,"Dec 12, 22"
"Dec 20, 22",6.47,6.47,"Dec 20, 22"
"Dec 21, 22",6.29,6.29,"Dec 21, 22"
"Dec 22, 22",6.36,6.36,"Dec 22, 22"
"Dec 26, 22",6.49,6.49,"Dec 26, 22"
"Dec 28, 22",6.26,6.26,"Dec 28, 22"
"Dec 30, 22",6.72,6.72,"Dec 30, 22"
"Jan 11, 23",7.22,7.22,"Jan 11, 23"
"Jan 17, 23",6.47,6.47,"Jan 17, 23"
"Jan 19, 23",6.05,6.05,"Jan 19, 23"
"Jan 20, 23",5.97,5.97,"Jan 20, 23"
"Jan 25, 23",6.26,6.26,"Jan 25, 23"
"Jan 26, 23",6.72,6.72,"Jan 26, 23"
"Feb 02, 23",6.39,6.39,"Feb 02, 23"
"Feb 09, 23",6.66,6.66,"Feb 09, 23"
"Feb 28, 23",6.29,6.29,"Feb 28, 23"
"Mar 03, 23",6.30,6.30,"Mar 03, 23"
"Mar 06, 23",6.39,6.39,"Mar 06, 23"
"Mar 08, 23",6.43,6.43,"Mar 08, 23"
"Mar 09, 23",6.55,6.55,"Mar 09, 23"
"Mar 10, 23",6.61,6.61,"Mar 10, 23"
"Mar 13, 23",6.66,6.66,"Mar 13, 23"
"Mar 15, 23",6.69,6.69,"Mar 15, 23"
"Mar 16, 23",6.83,6.83,"Mar 16, 23"
"Mar 17, 23",6.72,6.72,"Mar 17, 23"
"Mar 29, 23",6.46,6.46,"Mar 29, 23"
"Mar 30, 23",6.46,6.46,"Mar 30, 23"
"Mar 31, 23",6.33,6.33,"Mar 31, 23"
"Apr 04, 23",6.30,6.30,"Apr 04, 23"
"Apr 17, 23",6.36,6.36,"Apr 17, 23"
"Apr 26, 23",6.43,6.43,"Apr 26, 23"
"May 02, 23",6.62,6.62,"May 02, 23"
"May 03, 23",6.66,6.66,"May 03, 23"
"May 04, 23",6.76,6.76,"May 04, 23"
"May 05, 23",6.80,6.80,"May 05, 23"
"May 11, 23",6.62,6.62,"May 11, 23"
"May 12, 23",6.56,6.56,"May 12, 23"
"May 15, 23",6.56,6.56,"May 15, 23"
"May 22, 23",6.56,6.56,"May 22, 23"
"May 24, 23",6.44,6.44,"May 24, 23"
"Jun 20, 23",6.44,6.44,"Jun 20, 23"
"Jun 23, 23",6.33,6.33,"Jun 23, 23"
"Jul 03, 23",7.00,7.00,"Jul 03, 23"
"Jul 04, 23",7.03,7.03,"Jul 04, 23"
"Jul 05, 23",7.03,7.03,"Jul 05, 23"
"Jul 11, 23",7.67,7.67,"Jul 11, 23"
"Jul 20, 23",7.46,7.46,"Jul 20, 23"
"Jul 24, 23",7.53,7.53,"Jul 24, 23"
"Jul 25, 23",7.58,7.58,"Jul 25, 23"
"Jul 27, 23",7.75,7.75,"Jul 27, 23"
"Aug 01, 23",8.00,8.00,"Aug 01, 23"
"Aug 03, 23",8.08,8.08,"Aug 03, 23"
"Aug 04, 23",7.98,7.98,"Aug 04, 23"
"Aug 07, 23",8.08,8.08,"Aug 07, 23"
"Aug 09, 23",7.72,7.72,"Aug 09, 23"
"Aug 10, 23",7.93,7.93,"Aug 10, 23"
"Aug 18, 23",7.66,7.66,"Aug 18, 23"
"Aug 21, 23",7.69,7.69,"Aug 21, 23"
"Aug 22, 23",7.67,7.67,"Aug 22, 23"
