Date,Price
2022-01-17,10.05
2022-01-18,9.91
2022-01-20,9.89
2022-01-21,9.76
2022-01-25,10.25
2022-01-27,9.91
2022-01-28,9.85
2022-01-31,10.00
2022-02-01,10.10
2022-02-02,10.55
2022-02-03,11.00
2022-02-04,10.30
2022-02-11,9.97
2022-02-21,9.76
2022-02-22,9.70
2022-02-24,9.46
2022-02-28,9.67
2022-03-01,9.52
2022-03-07,8.85
2022-03-08,8.72
2022-03-09,8.61
2022-03-10,8.95
2022-03-16,9.12
2022-03-17,9.03
2022-03-21,8.66
2022-03-25,8.91
2022-03-29,9.35
2022-03-31,9.46
2022-04-01,9.60
2022-04-07,8.88
2022-04-08,8.92
2022-04-11,9.31
2022-04-12,9.63
2022-04-25,10.30
2022-05-26,9.50
2022-05-27,8.79
2022-05-30,8.19
2022-05-31,8.13
2022-06-02,7.76
2022-06-03,7.47
2022-06-08,7.57
2022-06-14,7.57
2022-06-17,8.01
2022-06-20,8.00
2022-06-21,8.13
2022-06-22,8.05
2022-06-23,8.10
2022-06-24,7.70
2022-06-28,7.91
2022-06-30,7.84
2022-07-04,7.77
2022-07-14,7.94
2022-07-15,8.09
2022-07-18,7.81
2022-07-19,7.55
2022-07-20,7.38
2022-07-21,7.30
2022-07-22,7.09
2022-07-26,7.39
2022-07-28,7.41
2022-07-29,7.30
2022-08-01,7.20
2022-08-03,7.49
2022-08-04,7.70
2022-08-05,7.90
2022-08-10,8.04
2022-08-11,8.05
2022-08-12,8.00
2022-08-15,8.35
2022-08-16,8.37
2022-08-17,8.40
2022-08-18,8.48
2022-08-19,8.30
2022-08-22,8.25
2022-08-24,8.23
2022-08-29,8.13
2022-08-30,8.31
2022-09-05,8.23
2022-09-06,8.50
2022-09-07,8.50
2022-09-08,8.88
2022-09-09,8.88
2022-09-12,8.26
2022-09-13,8.14
2022-09-15,8.17
2022-09-19,8.03
2022-09-23,7.84
2022-09-27,8.00
2022-09-28,8.07
2022-09-30,8.01
