0,1,s_close,s_date
"Sep 12, 22",10.01,10.01,"Sep 12, 22"
"Sep 13, 22",10.00,10.00,"Sep 13, 22"
"Sep 14, 22",10.04,10.04,"Sep 14, 22"
"Sep 15, 22",10.04,10.04,"Sep 15, 22"
"Sep 19, 22",10.05,10.05,"Sep 19, 22"
"Sep 21, 22",10.04,10.04,"Sep 21, 22"
"Sep 22, 22",10.04,10.04,"Sep 22, 22"
"Sep 23, 22",10.05,10.05,"Sep 23, 22"
"Sep 27, 22",10.06,10.06,"Sep 27, 22"
"Sep 28, 22",10.08,10.08,"Sep 28, 22"
"Sep 29, 22",10.08,10.08,"Sep 29, 22"
"Oct 03, 22",10.11,10.11,"Oct 03, 22"
"Oct 04, 22",10.09,10.09,"Oct 04, 22"
"Oct 06, 22",10.10,10.10,"Oct 06, 22"
"Oct 10, 22",10.11,10.11,"Oct 10, 22"
"Oct 11, 22",10.13,10.13,"Oct 11, 22"
"Oct 19, 22",10.15,10.15,"Oct 19, 22"
"Oct 20, 22",10.16,10.16,"Oct 20, 22"
"Oct 24, 22",10.19,10.19,"Oct 24, 22"
"Oct 25, 22",10.19,10.19,"Oct 25, 22"
"Oct 26, 22",10.20,10.20,"Oct 26, 22"
"Oct 27, 22",10.21,10.21,"Oct 27, 22"
"Oct 28, 22",10.21,10.21,"Oct 28, 22"
"Nov 01, 22",10.24,10.24,"Nov 01, 22"
"Nov 03, 22",10.23,10.23,"Nov 03, 22"
"Nov 04, 22",10.22,10.22,"Nov 04, 22"
"Nov 07, 22",10.25,10.25,"Nov 07, 22"
"Nov 08, 22",10.25,10.25,"Nov 08, 22"
"Nov 10, 22",10.24,10.24,"Nov 10, 22"
"Nov 11, 22",10.26,10.26,"Nov 11, 22"
"Nov 14, 22",10.27,10.27,"Nov 14, 22"
"Nov 15, 22",10.27,10.27,"Nov 15, 22"
"Nov 16, 22",10.26,10.26,"Nov 16, 22"
"Nov 17, 22",10.28,10.28,"Nov 17, 22"
"Nov 18, 22",10.29,10.29,"Nov 18, 22"
"Nov 21, 22",10.29,10.29,"Nov 21, 22"
"Nov 22, 22",10.30,10.30,"Nov 22, 22"
"Nov 23, 22",10.31,10.31,"Nov 23, 22"
"Nov 24, 22",10.30,10.30,"Nov 24, 22"
"Nov 25, 22",10.31,10.31,"Nov 25, 22"
"Nov 28, 22",10.32,10.32,"Nov 28, 22"
"Nov 29, 22",10.32,10.32,"Nov 29, 22"
"Dec 01, 22",10.33,10.33,"Dec 01, 22"
"Dec 05, 22",10.30,10.30,"Dec 05, 22"
"Dec 06, 22",10.34,10.34,"Dec 06, 22"
"Dec 07, 22",10.34,10.34,"Dec 07, 22"
"Dec 08, 22",10.36,10.36,"Dec 08, 22"
"Dec 09, 22",10.36,10.36,"Dec 09, 22"
"Dec 12, 22",10.37,10.37,"Dec 12, 22"
"Dec 13, 22",10.36,10.36,"Dec 13, 22"
"Dec 14, 22",10.38,10.38,"Dec 14, 22"
"Dec 15, 22",10.38,10.38,"Dec 15, 22"
"Dec 16, 22",10.39,10.39,"Dec 16, 22"
"Dec 19, 22",10.38,10.38,"Dec 19, 22"
"Dec 20, 22",10.39,10.39,"Dec 20, 22"
"Dec 21, 22",10.39,10.39,"Dec 21, 22"
"Dec 22, 22",10.40,10.40,"Dec 22, 22"
"Dec 23, 22",10.40,10.40,"Dec 23, 22"
"Dec 26, 22",10.42,10.42,"Dec 26, 22"
"Dec 28, 22",10.39,10.39,"Dec 28, 22"
"Dec 29, 22",10.40,10.40,"Dec 29, 22"
"Jan 03, 23",10.44,10.44,"Jan 03, 23"
"Jan 04, 23",10.45,10.45,"Jan 04, 23"
"Jan 05, 23",10.45,10.45,"Jan 05, 23"
"Jan 09, 23",10.46,10.46,"Jan 09, 23"
"Jan 11, 23",10.47,10.47,"Jan 11, 23"
"Jan 13, 23",10.47,10.47,"Jan 13, 23"
"Jan 16, 23",10.49,10.49,"Jan 16, 23"
"Jan 23, 23",10.46,10.46,"Jan 23, 23"
"Jan 24, 23",10.48,10.48,"Jan 24, 23"
"Jan 25, 23",10.48,10.48,"Jan 25, 23"
"Jan 26, 23",10.45,10.45,"Jan 26, 23"
"Jan 27, 23",10.55,10.55,"Jan 27, 23"
"Jan 31, 23",10.58,10.58,"Jan 31, 23"
"Feb 02, 23",10.59,10.59,"Feb 02, 23"
"Feb 03, 23",10.58,10.58,"Feb 03, 23"
"Feb 06, 23",10.57,10.57,"Feb 06, 23"
"Feb 07, 23",10.57,10.57,"Feb 07, 23"
"Feb 08, 23",10.58,10.58,"Feb 08, 23"
"Feb 09, 23",10.58,10.58,"Feb 09, 23"
"Feb 10, 23",10.58,10.58,"Feb 10, 23"
"Feb 13, 23",10.61,10.61,"Feb 13, 23"
"Feb 14, 23",10.66,10.66,"Feb 14, 23"
"Feb 15, 23",10.63,10.63,"Feb 15, 23"
"Feb 16, 23",10.64,10.64,"Feb 16, 23"
"Feb 17, 23",10.67,10.67,"Feb 17, 23"
"Feb 20, 23",10.67,10.67,"Feb 20, 23"
"Feb 21, 23",10.65,10.65,"Feb 21, 23"
"Feb 22, 23",10.66,10.66,"Feb 22, 23"
"Feb 24, 23",10.69,10.69,"Feb 24, 23"
"Feb 27, 23",10.70,10.70,"Feb 27, 23"
"Mar 01, 23",10.71,10.71,"Mar 01, 23"
"Mar 02, 23",10.69,10.69,"Mar 02, 23"
"Mar 03, 23",10.70,10.70,"Mar 03, 23"
"Mar 06, 23",10.71,10.71,"Mar 06, 23"
"Mar 07, 23",10.74,10.74,"Mar 07, 23"
"Mar 14, 23",10.78,10.78,"Mar 14, 23"
"Mar 17, 23",10.80,10.80,"Mar 17, 23"
"Mar 20, 23",10.81,10.81,"Mar 20, 23"
"Mar 21, 23",10.80,10.80,"Mar 21, 23"
"Mar 22, 23",10.82,10.82,"Mar 22, 23"
"Mar 24, 23",10.84,10.84,"Mar 24, 23"
"Mar 27, 23",10.85,10.85,"Mar 27, 23"
"Mar 29, 23",10.83,10.83,"Mar 29, 23"
"Mar 30, 23",10.84,10.84,"Mar 30, 23"
"Mar 31, 23",10.87,10.87,"Mar 31, 23"
