0,1,s_close,s_date
"Jan 07, 22",10.00,10.00,"Jan 07, 22"
"Jan 10, 22",10.10,10.10,"Jan 10, 22"
"Jan 11, 22",10.16,10.16,"Jan 11, 22"
"Jan 12, 22",10.16,10.16,"Jan 12, 22"
"Jan 13, 22",10.05,10.05,"Jan 13, 22"
"Jan 14, 22",9.97,9.97,"Jan 14, 22"
"Jan 17, 22",9.71,9.71,"Jan 17, 22"
"Jan 18, 22",9.65,9.65,"Jan 18, 22"
"Jan 19, 22",9.30,9.30,"Jan 19, 22"
"Jan 20, 22",9.30,9.30,"Jan 20, 22"
"Jan 21, 22",9.36,9.36,"Jan 21, 22"
"Jan 24, 22",9.15,9.15,"Jan 24, 22"
"Jan 25, 22",9.20,9.20,"Jan 25, 22"
"Jan 26, 22",9.31,9.31,"Jan 26, 22"
"Jan 27, 22",9.40,9.40,"Jan 27, 22"
"Jan 28, 22",9.40,9.40,"Jan 28, 22"
"Jan 31, 22",9.57,9.57,"Jan 31, 22"
"Feb 01, 22",9.70,9.70,"Feb 01, 22"
"Feb 02, 22",9.83,9.83,"Feb 02, 22"
"Feb 03, 22",9.72,9.72,"Feb 03, 22"
"Feb 04, 22",9.65,9.65,"Feb 04, 22"
"Feb 07, 22",9.50,9.50,"Feb 07, 22"
"Feb 08, 22",9.46,9.46,"Feb 08, 22"
"Feb 09, 22",9.55,9.55,"Feb 09, 22"
"Feb 10, 22",9.45,9.45,"Feb 10, 22"
"Feb 11, 22",9.37,9.37,"Feb 11, 22"
"Feb 14, 22",9.11,9.11,"Feb 14, 22"
"Feb 15, 22",9.36,9.36,"Feb 15, 22"
"Feb 16, 22",9.30,9.30,"Feb 16, 22"
"Feb 17, 22",9.05,9.05,"Feb 17, 22"
"Feb 18, 22",9.09,9.09,"Feb 18, 22"
"Feb 21, 22",9.05,9.05,"Feb 21, 22"
"Feb 22, 22",8.65,8.65,"Feb 22, 22"
"Feb 23, 22",8.60,8.60,"Feb 23, 22"
"Feb 24, 22",8.30,8.30,"Feb 24, 22"
"Feb 25, 22",8.30,8.30,"Feb 25, 22"
"Feb 28, 22",8.54,8.54,"Feb 28, 22"
"Mar 01, 22",8.79,8.79,"Mar 01, 22"
"Mar 02, 22",8.76,8.76,"Mar 02, 22"
"Mar 04, 22",8.64,8.64,"Mar 04, 22"
"Mar 09, 22",7.91,7.91,"Mar 09, 22"
"Mar 10, 22",7.84,7.84,"Mar 10, 22"
"Mar 11, 22",7.82,7.82,"Mar 11, 22"
"Mar 14, 22",7.72,7.72,"Mar 14, 22"
"Mar 15, 22",7.85,7.85,"Mar 15, 22"
"Mar 17, 22",7.62,7.62,"Mar 17, 22"
"Mar 21, 22",7.60,7.60,"Mar 21, 22"
"Mar 22, 22",7.63,7.63,"Mar 22, 22"
"Mar 24, 22",7.66,7.66,"Mar 24, 22"
"Mar 25, 22",7.73,7.73,"Mar 25, 22"
"Mar 28, 22",7.20,7.20,"Mar 28, 22"
"Mar 29, 22",7.74,7.74,"Mar 29, 22"
"Mar 31, 22",7.96,7.96,"Mar 31, 22"
"Apr 01, 22",8.22,8.22,"Apr 01, 22"
"Apr 08, 22",8.56,8.56,"Apr 08, 22"
"Apr 11, 22",9.04,9.04,"Apr 11, 22"
"Apr 12, 22",9.02,9.02,"Apr 12, 22"
"Apr 13, 22",9.05,9.05,"Apr 13, 22"
"Apr 15, 22",9.20,9.20,"Apr 15, 22"
"Apr 18, 22",9.05,9.05,"Apr 18, 22"
"Apr 19, 22",9.04,9.04,"Apr 19, 22"
"Apr 20, 22",9.00,9.00,"Apr 20, 22"
"Apr 21, 22",8.93,8.93,"Apr 21, 22"
"Apr 22, 22",9.00,9.00,"Apr 22, 22"
"Apr 25, 22",9.09,9.09,"Apr 25, 22"
"Apr 26, 22",9.20,9.20,"Apr 26, 22"
"Apr 27, 22",8.84,8.84,"Apr 27, 22"
"Apr 28, 22",8.76,8.76,"Apr 28, 22"
"May 09, 22",8.30,8.30,"May 09, 22"
"May 10, 22",8.37,8.37,"May 10, 22"
"May 11, 22",8.29,8.29,"May 11, 22"
"May 12, 22",8.00,8.00,"May 12, 22"
"May 13, 22",8.50,8.50,"May 13, 22"
"May 17, 22",8.51,8.51,"May 17, 22"
"May 18, 22",8.60,8.60,"May 18, 22"
"May 19, 22",8.65,8.65,"May 19, 22"
"May 20, 22",8.60,8.60,"May 20, 22"
"May 25, 22",8.30,8.30,"May 25, 22"
"May 26, 22",8.70,8.70,"May 26, 22"
"May 27, 22",9.34,9.34,"May 27, 22"
"May 30, 22",9.13,9.13,"May 30, 22"
"May 31, 22",9.08,9.08,"May 31, 22"
"Jun 02, 22",8.82,8.82,"Jun 02, 22"
"Jun 03, 22",8.44,8.44,"Jun 03, 22"
"Jun 06, 22",8.61,8.61,"Jun 06, 22"
"Jun 08, 22",9.20,9.20,"Jun 08, 22"
"Jun 09, 22",9.34,9.34,"Jun 09, 22"
"Jun 13, 22",9.08,9.08,"Jun 13, 22"
"Jun 14, 22",9.14,9.14,"Jun 14, 22"
"Jun 15, 22",9.23,9.23,"Jun 15, 22"
"Jun 16, 22",9.30,9.30,"Jun 16, 22"
"Jun 17, 22",9.37,9.37,"Jun 17, 22"
"Jun 21, 22",9.36,9.36,"Jun 21, 22"
"Jun 22, 22",9.73,9.73,"Jun 22, 22"
"Jun 23, 22",9.81,9.81,"Jun 23, 22"
"Jun 24, 22",9.42,9.42,"Jun 24, 22"
"Jun 27, 22",9.65,9.65,"Jun 27, 22"
"Jun 28, 22",9.59,9.59,"Jun 28, 22"
"Jun 30, 22",9.41,9.41,"Jun 30, 22"
"Jul 01, 22",9.38,9.38,"Jul 01, 22"
"Jul 04, 22",9.11,9.11,"Jul 04, 22"
"Jul 05, 22",9.13,9.13,"Jul 05, 22"
"Jul 06, 22",9.11,9.11,"Jul 06, 22"
"Jul 13, 22",9.11,9.11,"Jul 13, 22"
"Jul 15, 22",9.16,9.16,"Jul 15, 22"
"Jul 19, 22",8.55,8.55,"Jul 19, 22"
"Jul 20, 22",8.45,8.45,"Jul 20, 22"
"Jul 21, 22",8.19,8.19,"Jul 21, 22"
"Jul 22, 22",8.20,8.20,"Jul 22, 22"
"Jul 26, 22",8.42,8.42,"Jul 26, 22"
"Jul 27, 22",8.35,8.35,"Jul 27, 22"
"Jul 29, 22",8.41,8.41,"Jul 29, 22"
"Aug 03, 22",8.80,8.80,"Aug 03, 22"
"Aug 10, 22",9.02,9.02,"Aug 10, 22"
"Aug 11, 22",9.02,9.02,"Aug 11, 22"
"Aug 12, 22",9.28,9.28,"Aug 12, 22"
"Aug 15, 22",9.35,9.35,"Aug 15, 22"
"Aug 16, 22",9.29,9.29,"Aug 16, 22"
"Aug 17, 22",9.16,9.16,"Aug 17, 22"
"Aug 18, 22",9.29,9.29,"Aug 18, 22"
"Aug 19, 22",9.27,9.27,"Aug 19, 22"
"Aug 25, 22",9.16,9.16,"Aug 25, 22"
"Aug 26, 22",8.94,8.94,"Aug 26, 22"
"Aug 30, 22",8.85,8.85,"Aug 30, 22"
"Aug 31, 22",8.87,8.87,"Aug 31, 22"
"Sep 01, 22",8.89,8.89,"Sep 01, 22"
"Sep 06, 22",8.72,8.72,"Sep 06, 22"
"Sep 08, 22",8.77,8.77,"Sep 08, 22"
"Sep 12, 22",8.68,8.68,"Sep 12, 22"
"Sep 14, 22",8.69,8.69,"Sep 14, 22"
"Sep 15, 22",8.77,8.77,"Sep 15, 22"
"Sep 16, 22",8.74,8.74,"Sep 16, 22"
"Sep 19, 22",8.65,8.65,"Sep 19, 22"
"Sep 20, 22",8.53,8.53,"Sep 20, 22"
"Sep 23, 22",8.33,8.33,"Sep 23, 22"
