Date,Price
2022-01-07,10.00
2022-01-10,10.10
2022-01-11,10.16
2022-01-12,10.16
2022-01-13,10.05
2022-01-14,9.97
2022-01-17,9.71
2022-01-18,9.65
2022-01-19,9.30
2022-01-20,9.30
2022-01-21,9.36
2022-01-24,9.15
2022-01-25,9.20
2022-01-26,9.31
2022-01-27,9.40
2022-01-28,9.40
2022-01-31,9.57
2022-02-01,9.70
2022-02-02,9.83
2022-02-03,9.72
2022-02-04,9.65
2022-02-07,9.50
2022-02-08,9.46
2022-02-09,9.55
2022-02-10,9.45
2022-02-11,9.37
2022-02-14,9.11
2022-02-15,9.36
2022-02-16,9.30
2022-02-17,9.05
2022-02-18,9.09
2022-02-21,9.05
2022-02-22,8.65
2022-02-23,8.60
2022-02-24,8.30
2022-02-25,8.30
2022-02-28,8.54
2022-03-01,8.79
2022-03-02,8.76
2022-03-04,8.64
2022-03-09,7.91
2022-03-10,7.84
2022-03-11,7.82
2022-03-14,7.72
2022-03-15,7.85
2022-03-17,7.62
2022-03-21,7.60
2022-03-22,7.63
2022-03-24,7.66
2022-03-25,7.73
2022-03-28,7.20
2022-03-29,7.74
2022-03-31,7.96
2022-04-01,8.22
2022-04-08,8.56
2022-04-11,9.04
2022-04-12,9.02
2022-04-13,9.05
2022-04-15,9.20
2022-04-18,9.05
2022-04-19,9.04
2022-04-20,9.00
2022-04-21,8.93
2022-04-22,9.00
2022-04-25,9.09
2022-04-26,9.20
2022-04-27,8.84
2022-04-28,8.76
2022-05-09,8.30
2022-05-10,8.37
2022-05-11,8.29
2022-05-12,8.00
2022-05-13,8.50
2022-05-17,8.51
2022-05-18,8.60
2022-05-19,8.65
2022-05-20,8.60
2022-05-25,8.30
2022-05-26,8.70
2022-05-27,9.34
2022-05-30,9.13
2022-05-31,9.08
2022-06-02,8.82
2022-06-03,8.44
2022-06-06,8.61
2022-06-08,9.20
2022-06-09,9.34
2022-06-13,9.08
2022-06-14,9.14
2022-06-15,9.23
2022-06-16,9.30
2022-06-17,9.37
2022-06-21,9.36
2022-06-22,9.73
2022-06-23,9.81
2022-06-24,9.42
2022-06-27,9.65
2022-06-28,9.59
2022-06-30,9.41
2022-07-01,9.38
2022-07-04,9.11
2022-07-05,9.13
2022-07-06,9.11
2022-07-13,9.11
2022-07-15,9.16
2022-07-19,8.55
2022-07-20,8.45
2022-07-21,8.19
2022-07-22,8.20
2022-07-26,8.42
2022-07-27,8.35
2022-07-29,8.41
2022-08-03,8.80
2022-08-10,9.02
2022-08-11,9.02
2022-08-12,9.28
