0,1,s_close,s_date
"Mar 11, 24",10.06,10.06,"Mar 11, 24"
"Mar 12, 24",9.91,9.91,"Mar 12, 24"
"Mar 13, 24",9.84,9.84,"Mar 13, 24"
"Mar 14, 24",9.88,9.88,"Mar 14, 24"
"Mar 15, 24",9.91,9.91,"Mar 15, 24"
"Mar 18, 24",9.83,9.83,"Mar 18, 24"
"Mar 19, 24",9.98,9.98,"Mar 19, 24"
"Mar 20, 24",9.83,9.83,"Mar 20, 24"
"Mar 21, 24",9.80,9.80,"Mar 21, 24"
"Mar 22, 24",9.73,9.73,"Mar 22, 24"
"Mar 25, 24",9.91,9.91,"Mar 25, 24"
"Mar 26, 24",9.95,9.95,"Mar 26, 24"
"Mar 27, 24",10.01,10.01,"Mar 27, 24"
"Mar 28, 24",10.12,10.12,"Mar 28, 24"
"Mar 29, 24",10.14,10.14,"Mar 29, 24"
"Apr 01, 24",10.11,10.11,"Apr 01, 24"
"Apr 02, 24",10.11,10.11,"Apr 02, 24"
"Apr 03, 24",10.86,10.86,"Apr 03, 24"
"Apr 04, 24",10.39,10.39,"Apr 04, 24"
"Apr 08, 24",10.49,10.49,"Apr 08, 24"
"Apr 09, 24",10.63,10.63,"Apr 09, 24"
"Apr 15, 24",10.64,10.64,"Apr 15, 24"
"Apr 16, 24",10.70,10.70,"Apr 16, 24"
"Apr 17, 24",10.61,10.61,"Apr 17, 24"
"Apr 18, 24",10.51,10.51,"Apr 18, 24"
"Apr 19, 24",10.69,10.69,"Apr 19, 24"
"Apr 22, 24",10.80,10.80,"Apr 22, 24"
"Apr 23, 24",10.77,10.77,"Apr 23, 24"
"Apr 24, 24",10.93,10.93,"Apr 24, 24"
"Apr 25, 24",10.89,10.89,"Apr 25, 24"
"Apr 26, 24",11.22,11.22,"Apr 26, 24"
"Apr 29, 24",10.85,10.85,"Apr 29, 24"
"Apr 30, 24",10.80,10.80,"Apr 30, 24"
"May 02, 24",10.99,10.99,"May 02, 24"
"May 03, 24",10.93,10.93,"May 03, 24"
"May 06, 24",11.10,11.10,"May 06, 24"
"May 07, 24",10.95,10.95,"May 07, 24"
"May 08, 24",10.86,10.86,"May 08, 24"
"May 09, 24",11.30,11.30,"May 09, 24"
"May 10, 24",10.79,10.79,"May 10, 24"
"May 13, 24",10.90,10.90,"May 13, 24"
"May 14, 24",11.01,11.01,"May 14, 24"
"May 15, 24",11.00,11.00,"May 15, 24"
"May 16, 24",11.04,11.04,"May 16, 24"
"May 17, 24",11.08,11.08,"May 17, 24"
"May 20, 24",11.05,11.05,"May 20, 24"
"May 21, 24",11.13,11.13,"May 21, 24"
"May 22, 24",11.13,11.13,"May 22, 24"
"May 23, 24",11.18,11.18,"May 23, 24"
"May 24, 24",11.30,11.30,"May 24, 24"
"May 27, 24",11.23,11.23,"May 27, 24"
