Date,Price
2024-03-11,10.06
2024-03-12,9.91
2024-03-13,9.84
2024-03-14,9.88
2024-03-15,9.91
2024-03-18,9.83
2024-03-19,9.98
2024-03-20,9.83
2024-03-21,9.80
2024-03-22,9.73
2024-03-25,9.91
2024-03-26,9.95
2024-03-27,10.01
2024-03-28,10.12
2024-03-29,10.14
2024-04-01,10.11
2024-04-02,10.11
2024-04-03,10.86
2024-04-04,10.39
2024-04-08,10.49
2024-04-09,10.63
2024-04-15,10.64
2024-04-16,10.70
2024-04-17,10.61
2024-04-18,10.51
2024-04-19,10.69
2024-04-22,10.80
2024-04-23,10.77
2024-04-24,10.93
2024-04-25,10.89
2024-04-26,11.22
2024-04-29,10.85
2024-04-30,10.80
2024-05-02,10.99
2024-05-03,10.93
2024-05-06,11.10
2024-05-07,10.95
2024-05-08,10.86
2024-05-09,11.30
2024-05-10,10.79
2024-05-13,10.90
2024-05-14,11.01
2024-05-15,11.00
2024-05-16,11.04
2024-05-17,11.08
2024-05-20,11.05
2024-05-21,11.13
2024-05-22,11.13
2024-05-23,11.18
2024-05-24,11.30
2024-05-27,11.23
2024-05-29,11.17
2024-05-30,11.14
2024-05-31,11.30
2024-06-03,11.27
2024-06-04,11.13
2024-06-05,11.10
2024-06-06,11.02
2024-06-07,11.00
2024-06-10,10.97
2024-06-11,10.80
2024-06-12,10.92
2024-06-13,11.29
2024-06-14,11.32
2024-06-20,11.48
2024-06-21,11.47
2024-06-24,12.11
2024-06-25,11.14
2024-06-26,11.19
2024-06-27,10.96
2024-06-28,11.10
2024-07-01,11.00
2024-07-02,11.09
2024-07-03,11.09
2024-07-05,11.08
2024-07-08,11.12
2024-07-09,11.16
2024-07-10,11.05
2024-07-11,11.04
2024-07-12,11.00
2024-07-15,11.17
2024-07-18,11.29
2024-07-19,11.10
2024-07-22,10.86
2024-07-23,10.95
2024-07-24,10.95
2024-07-25,10.92
2024-07-26,10.80
2024-07-29,10.84
2024-07-30,10.77
2024-07-31,11.25
2024-08-01,10.62
2024-08-02,10.70
2024-08-05,10.70
2024-08-06,10.62
2024-08-07,10.83
2024-08-08,10.90
2024-08-09,10.99
2024-08-12,10.74
2024-08-13,10.71
2024-08-15,10.73
2024-08-16,10.69
2024-08-19,10.63
2024-08-20,10.63
2024-08-21,10.90
2024-08-22,10.90
2024-08-23,10.90
2024-08-26,10.74
2024-08-27,10.69
2024-08-28,10.66
2024-08-29,10.76
2024-08-30,10.75
2024-09-02,10.65
2024-09-03,10.69
2024-09-04,10.78
2024-09-05,10.75
2024-09-06,10.90
2024-09-09,10.70
2024-09-10,10.71
2024-09-11,10.75
2024-09-12,10.73
2024-09-13,10.79
2024-09-16,10.90
2024-09-18,10.91
2024-09-19,11.00
2024-09-20,11.05
2024-09-23,10.86
2024-09-24,10.73
2024-09-25,10.82
2024-09-26,10.74
2024-09-27,10.67
2024-09-30,10.63
2024-10-01,10.71
2024-10-02,10.76
2024-10-03,10.79
2024-10-04,10.93
2024-10-07,11.08
2024-10-08,11.17
2024-10-09,11.12
2024-10-10,11.16
2024-10-11,11.06
2024-10-14,11.05
2024-10-15,11.06
2024-10-16,11.14
2024-10-17,11.09
2024-10-18,11.04
2024-10-21,11.18
2024-10-22,11.34
2024-10-23,11.42
2024-10-24,11.60
2024-10-25,11.72
2024-10-28,11.73
2024-10-29,11.79
2024-10-30,11.77
2024-10-31,11.57
2024-11-01,11.78
2024-11-04,12.09
2024-11-05,12.13
2024-11-06,12.11
2024-11-07,12.16
2024-11-08,12.22
2024-11-11,12.28
2024-11-12,12.23
2024-11-13,12.40
2024-11-14,12.35
2024-11-15,12.40
2024-11-18,12.49
2024-11-19,12.57
2024-11-20,12.46
2024-11-21,12.73
2024-11-22,12.65
2024-11-25,13.01
2024-11-26,12.11
2024-11-27,12.64
2024-11-28,12.80
2024-11-29,12.92
2024-12-02,13.25
2024-12-03,13.41
2024-12-04,13.50
2024-12-05,14.00
2024-12-06,14.12
2024-12-09,14.41
2024-12-10,14.32
2024-12-11,14.60
2024-12-12,14.99
2024-12-13,15.12
2024-12-16,15.48
2024-12-17,15.23
2024-12-18,14.66
2024-12-19,14.01
2024-12-20,14.99
2024-12-23,15.01
2024-12-24,14.89
2024-12-26,14.48
2024-12-27,14.65
2024-12-30,15.16
2024-12-31,15.15
2025-01-01,15.49
2025-01-02,15.65
2025-01-03,15.92
2025-01-06,15.19
2025-01-07,15.14
2025-01-08,14.82
2025-01-09,14.56
2025-01-10,14.47
2025-01-13,14.85
2025-01-14,14.94
2025-01-15,14.94
2025-01-16,15.09
2025-01-17,15.00
2025-01-20,15.01
2025-01-21,14.81
2025-01-22,14.49
2025-01-23,14.59
2025-01-24,14.68
2025-01-27,14.42
2025-01-28,14.20
2025-01-29,14.16
2025-01-30,14.44
2025-01-31,14.54
2025-02-03,14.34
2025-02-04,14.22
2025-02-06,13.96
2025-02-07,13.94
2025-02-10,14.15
2025-02-11,14.46
2025-02-12,14.42
2025-02-13,14.36
2025-02-14,14.44
2025-02-17,14.21
2025-02-18,14.48
2025-02-19,14.54
2025-02-20,14.58
2025-02-21,14.45
2025-02-24,14.65
2025-02-25,14.68
2025-02-26,14.56
2025-02-27,14.55
2025-02-28,14.46
2025-03-03,14.28
2025-03-04,14.38
2025-03-05,14.27
2025-03-06,14.59
