Date,Price
2020-10-07,10.0299
2020-10-08,10.2502
2020-10-09,10.4643
2020-10-10,10.497
2020-10-11,10.4964
2020-10-12,10.4958
2020-10-13,10.3257
2020-10-14,10.2776
2020-10-15,10.3008
2020-10-16,10.2438
2020-10-17,10.2234
2020-10-18,10.2229
2020-10-19,10.2239
2020-10-20,10.305
2020-10-21,10.5063
2020-10-22,10.6009
2020-10-23,10.4871
2020-10-24,10.5366
2020-10-25,10.5361
2020-10-26,10.5371
2020-10-27,10.7421
2020-10-28,10.6087
2020-10-29,10.5007
2020-10-30,10.1883
2020-10-31,10.1878
2020-11-01,10.1873
2020-11-02,10.1887
2020-11-03,9.9744
2020-11-04,10.321
2020-11-05,10.2558
2020-11-06,10.4537
2020-11-07,10.3498
2020-11-08,10.3493
2020-11-09,10.3502
2020-11-10,10.332
2020-11-11,10.4567
2020-11-12,10.465
2020-11-13,10.2773
2020-11-14,10.198
2020-11-15,10.1976
2020-11-16,10.1984
2020-11-17,10.1616
2020-11-18,10.2109
2020-11-19,10.1367
2020-11-20,10.1358
2020-11-21,10.1358
2020-11-22,10.1358
2020-11-23,10.0567
2020-11-24,9.9137
2020-11-25,9.9671
2020-11-26,10.1419
2020-11-27,10.3115
2020-11-28,10.3115
2020-11-29,10.3115
2020-11-30,10.181
2020-12-01,10.2712
2020-12-02,10.3875
2020-12-03,10.456
2020-12-04,10.4744
2020-12-05,10.4744
2020-12-06,10.4744
2020-12-07,10.4785
2020-12-08,10.4051
2020-12-09,10.4112
2020-12-10,10.4502
2020-12-11,10.4239
2020-12-12,10.4239
2020-12-13,10.4239
2020-12-14,10.5
2020-12-15,10.7629
2020-12-16,10.6813
2020-12-17,10.6948
2020-12-18,10.8237
2020-12-19,10.8237
2020-12-20,10.8237
2020-12-21,10.8013
2020-12-22,10.6359
2020-12-23,10.5532
2020-12-24,10.6322
2020-12-25,10.6322
2020-12-26,10.6322
2020-12-27,10.6322
2020-12-28,10.7136
2020-12-29,10.7481
2020-12-30,10.6507
2020-12-31,10.711
2021-01-01,10.7405
2021-01-02,10.7405
2021-01-03,10.7405
2021-01-04,11.0116
2021-01-05,11.1126
2021-01-06,11.0373
2021-01-07,11.1829
2021-01-08,11.1342
2021-01-09,11.1342
2021-01-10,11.1342
2021-01-11,11.1726
2021-01-12,11.1659
2021-01-13,11.2499
2021-01-14,11.2675
2021-01-15,11.1757
2021-01-16,11.1757
2021-01-17,11.1757
2021-01-18,11.116
2021-01-19,11.0107
2021-01-20,11.0309
2021-01-21,10.9632
2021-01-22,11.0281
2021-01-23,10.9719
2021-01-24,10.9712
2021-01-25,10.9719
2021-01-26,11.0385
2021-01-27,11.1227
2021-01-28,11.1624
2021-01-29,11.1344
2021-01-30,11.1982
2021-01-31,11.1979
2021-02-01,11.1985
2021-02-02,11.1546
2021-02-03,11.2912
2021-02-04,11.4055
2021-02-05,11.4106
2021-02-06,11.4102
2021-02-07,11.4099
2021-02-08,11.4109
2021-02-09,11.3506
2021-02-10,11.3681
2021-02-11,11.3977
2021-02-12,11.2866
2021-02-13,11.2754
2021-02-14,11.2751
2021-02-15,11.2757
2021-02-16,11.5048
2021-02-17,11.7004
2021-02-18,11.7365
2021-02-19,11.5417
2021-02-20,11.5018
2021-02-21,11.5014
2021-02-22,11.5021
2021-02-23,11.4113
2021-02-24,11.4278
2021-02-25,11.3038
2021-02-26,11.4851
2021-02-27,11.4715
2021-02-28,11.4712
2021-03-01,11.4718
2021-03-02,11.4176
2021-03-03,11.4746
2021-03-04,11.533
2021-03-05,11.2876
2021-03-06,11.4477
2021-03-07,11.4473
2021-03-08,11.448
2021-03-09,11.254
2021-03-10,10.9738
2021-03-11,10.82
2021-03-12,10.5927
2021-03-13,10.8754
2021-03-14,10.8751
2021-03-15,10.8757
2021-03-16,11.1571
2021-03-17,11.1332
2021-03-18,11.2364
2021-03-19,11.0255
2021-03-20,11.0736
2021-03-21,11.0733
2021-03-22,11.074
2021-03-23,11.2652
2021-03-24,11.2655
2021-03-25,11.2191
2021-03-26,11.2089
2021-03-27,11.1036
2021-03-28,11.1033
2021-03-29,11.1039
2021-03-30,10.8362
2021-03-31,10.8453
2021-04-01,10.902
2021-04-02,10.9374
2021-04-03,10.9319
2021-04-04,10.9316
2021-04-05,10.9322
2021-04-06,10.787
2021-04-07,11.0033
2021-04-08,10.8945
2021-04-09,11.0922
2021-04-10,11.1488
2021-04-11,11.1485
2021-04-12,11.1491
2021-04-13,11.0617
2021-04-14,11.0539
2021-04-15,11.1018
2021-04-16,11.0707
2021-04-17,11.0723
2021-04-18,11.072
2021-04-19,11.0726
2021-04-20,11.0452
2021-04-21,11.1198
2021-04-22,11.05
2021-04-23,10.9148
2021-04-24,10.8468
2021-04-25,10.8465
2021-04-26,10.8471
2021-04-27,11.2083
2021-04-28,10.9875
2021-04-29,10.9125
2021-04-30,10.8624
2021-05-01,10.6898
2021-05-02,10.6895
2021-05-03,10.6901
2021-05-04,10.7092
2021-05-05,10.826
2021-05-06,10.9538
2021-05-07,11.0157
2021-05-08,11.0151
2021-05-09,11.0149
2021-05-10,11.0146
2021-05-11,11.0143
2021-05-12,11.0141
2021-05-13,11.0138
2021-05-14,11.0135
2021-05-15,11.0132
2021-05-16,11.013
2021-05-17,11.0154
2021-05-18,11.1853
2021-05-19,11.3131
2021-05-20,11.2353
2021-05-21,11.2176
2021-05-22,11.3071
2021-05-23,11.3069
2021-05-24,11.3075
2021-05-25,11.3701
2021-05-26,11.4467
2021-05-27,11.5738
2021-05-28,11.5665
2021-05-29,11.6358
2021-05-30,11.6355
2021-05-31,11.636
2021-06-01,11.8811
2021-06-02,11.9948
2021-06-03,11.9725
2021-06-04,11.9295
2021-06-05,11.9477
2021-06-06,11.9474
2021-06-07,11.948
2021-06-08,11.9438
2021-06-09,11.9013
2021-06-10,11.8367
2021-06-11,11.9383
2021-06-12,11.9318
2021-06-13,11.9315
2021-06-14,11.932
2021-06-15,12.117
2021-06-16,12.0935
2021-06-17,12.0228
2021-06-18,11.9545
2021-06-19,11.9911
2021-06-20,11.9908
2021-06-21,11.9914
2021-06-22,11.9061
2021-06-23,11.8566
2021-06-24,10.5558
2021-06-25,10.5665
2021-06-26,10.4419
2021-06-27,10.4417
2021-06-28,10.4421
2021-06-29,10.2929
2021-06-30,10.2981
2021-07-01,10.3387
2021-07-02,10.4765
2021-07-03,10.4556
2021-07-04,10.4553
2021-07-05,10.4558
2021-07-06,10.3626
2021-07-07,10.3663
2021-07-08,10.324
2021-07-09,10.5321
2021-07-10,10.3466
2021-07-11,10.3463
2021-07-12,10.3468
2021-07-13,10.316
2021-07-14,10.2925
2021-07-15,10.3096
2021-07-16,10.351
2021-07-17,10.3955
2021-07-18,10.3953
2021-07-19,10.3957
2021-07-20,10.3627
2021-07-21,10.3625
2021-07-22,10.3622
2021-07-23,10.363
2021-07-24,10.3279
2021-07-25,10.3276
2021-07-26,10.3281
2021-07-27,10.2578
2021-07-28,10.1884
2021-07-29,10.0697
2021-07-30,10.0707
2021-07-31,10.0055
2021-08-01,10.0053
2021-08-02,10.0057
2021-08-03,10.0822
2021-08-04,10.1296
2021-08-05,10.0866
2021-08-06,10.0451
2021-08-07,9.9666
2021-08-08,9.9664
2021-08-09,9.9669
2021-08-10,9.8501
2021-08-11,9.8698
2021-08-12,9.9281
2021-08-13,9.8687
2021-08-14,9.8207
2021-08-15,9.8205
2021-08-16,9.8209
2021-08-17,9.7591
2021-08-18,9.8866
2021-08-19,9.8864
2021-08-20,9.8869
2021-08-21,9.9894
2021-08-22,9.9892
2021-08-23,9.9896
2021-08-24,10.116
2021-08-25,9.9818
2021-08-26,9.9143
2021-08-27,9.792
2021-08-28,9.7354
2021-08-29,9.7352
2021-08-30,9.7357
2021-08-31,9.9089
2021-09-01,9.9168
2021-09-02,9.9225
2021-09-03,9.8312
2021-09-04,9.83
2021-09-05,9.8298
2021-09-06,9.8302
2021-09-07,9.7892
2021-09-08,9.7067
2021-09-09,9.5436
2021-09-10,9.571
2021-09-11,9.6379
2021-09-12,9.6377
2021-09-13,9.6381
2021-09-14,9.6506
2021-09-15,9.5067
2021-09-16,9.4413
2021-09-17,9.4819
2021-09-18,9.3804
2021-09-19,9.3802
2021-09-20,9.3806
2021-09-21,9.3161
2021-09-22,9.1791
2021-09-23,9.0759
2021-09-24,8.9961
2021-09-25,8.965
2021-09-26,8.9649
2021-09-27,8.9765
2021-09-28,8.9198
2021-09-29,8.9861
2021-09-30,8.7826
2021-10-01,8.9358
2021-10-02,8.9041
2021-10-03,8.904
2021-10-04,8.9043
2021-10-05,8.9485
2021-10-06,8.8292
2021-10-07,8.7685
2021-10-08,8.7979
2021-10-09,8.7373
2021-10-10,8.7371
2021-10-11,8.7375
2021-10-12,8.6562
2021-10-13,8.6451
2021-10-14,8.5246
2021-10-15,8.7554
2021-10-16,8.9041
2021-10-17,8.9039
2021-10-18,8.9043
2021-10-19,8.9044
2021-10-20,8.9046
2021-10-21,9.1036
2021-10-22,9.1824
2021-10-23,9.0731
2021-10-24,9.0729
2021-10-25,9.0733
2021-10-26,9.0463
2021-10-27,9.011
2021-10-28,9.115
2021-10-29,9.1558
2021-10-30,9.2185
2021-10-31,9.2183
2021-11-01,9.2187
2021-11-02,9.4615
2021-11-03,9.4657
2021-11-04,9.363
2021-11-05,9.3895
2021-11-06,9.4149
2021-11-07,9.4147
2021-11-08,9.4151
2021-11-09,9.3548
2021-11-10,9.1537
2021-11-11,9.2365
2021-11-12,9.1552
2021-11-13,8.9873
2021-11-14,8.9871
2021-11-15,8.9874
2021-11-16,8.9463
2021-11-17,9.2198
2021-11-18,9.0717
2021-11-19,9.078
2021-11-20,9.1771
2021-11-21,9.177
2021-11-22,9.1773
2021-11-23,8.9768
2021-11-24,8.791
2021-11-25,8.6085
2021-11-26,8.4923
2021-11-27,8.5445
2021-11-28,8.5443
2021-11-29,8.5446
2021-11-30,8.8658
2021-12-01,8.8824
2021-12-02,8.9505
2021-12-03,8.4621
2021-12-04,8.4063
2021-12-05,8.4062
2021-12-06,8.4065
2021-12-07,8.4569
2021-12-08,8.6165
2021-12-09,8.5779
2021-12-10,8.542
2021-12-11,8.5211
2021-12-12,8.5209
2021-12-13,8.5212
2021-12-14,8.4118
2021-12-15,8.5
2021-12-16,8.815
2021-12-17,8.6629
2021-12-18,8.6923
2021-12-19,8.6921
2021-12-20,8.6924
2021-12-21,8.8006
2021-12-22,8.7338
2021-12-23,8.7506
2021-12-24,8.7696
2021-12-25,8.7318
2021-12-26,8.7317
2021-12-27,8.732
2021-12-28,8.6732
2021-12-29,8.6674
2021-12-30,8.738
2021-12-31,8.7302
2022-01-01,8.7962
2022-01-02,8.7961
2022-01-03,8.7964
2022-01-04,8.8561
2022-01-05,9.0048
2022-01-06,9.0256
2022-01-07,8.9531
2022-01-08,9.0421
2022-01-09,9.0419
2022-01-10,9.0423
2022-01-11,9.171
