0,1,s_close,s_date
"Jul 19, 21",11.30,11.30,"Jul 19, 21"
"Jul 29, 21",11.20,11.20,"Jul 29, 21"
"Jul 30, 21",10.73,10.73,"Jul 30, 21"
"Aug 03, 21",10.82,10.82,"Aug 03, 21"
"Aug 10, 21",10.65,10.65,"Aug 10, 21"
"Aug 12, 21",11.07,11.07,"Aug 12, 21"
"Aug 13, 21",11.20,11.20,"Aug 13, 21"
"Aug 16, 21",10.75,10.75,"Aug 16, 21"
"Aug 20, 21",10.75,10.75,"Aug 20, 21"
"Aug 23, 21",10.80,10.80,"Aug 23, 21"
"Aug 24, 21",10.87,10.87,"Aug 24, 21"
"Sep 02, 21",10.75,10.75,"Sep 02, 21"
"Sep 03, 21",9.95,9.95,"Sep 03, 21"
"Sep 06, 21",10.61,10.61,"Sep 06, 21"
"Sep 14, 21",10.63,10.63,"Sep 14, 21"
"Sep 22, 21",10.40,10.40,"Sep 22, 21"
"Sep 27, 21",10.59,10.59,"Sep 27, 21"
"Sep 28, 21",10.53,10.53,"Sep 28, 21"
"Oct 04, 21",10.50,10.50,"Oct 04, 21"
"Oct 05, 21",10.61,10.61,"Oct 05, 21"
"Oct 28, 21",10.90,10.90,"Oct 28, 21"
"Oct 29, 21",11.20,11.20,"Oct 29, 21"
"Nov 01, 21",11.00,11.00,"Nov 01, 21"
"Nov 04, 21",10.55,10.55,"Nov 04, 21"
"Nov 12, 21",10.89,10.89,"Nov 12, 21"
"Nov 19, 21",10.97,10.97,"Nov 19, 21"
"Nov 25, 21",10.25,10.25,"Nov 25, 21"
"Nov 30, 21",10.79,10.79,"Nov 30, 21"
"Dec 02, 21",9.90,9.90,"Dec 02, 21"
"Dec 13, 21",10.05,10.05,"Dec 13, 21"
"Dec 16, 21",10.21,10.21,"Dec 16, 21"
"Dec 31, 21",10.24,10.24,"Dec 31, 21"
"Jan 03, 22",10.47,10.47,"Jan 03, 22"
"Jan 06, 22",10.80,10.80,"Jan 06, 22"
"Jan 18, 22",10.47,10.47,"Jan 18, 22"
"Jan 31, 22",10.51,10.51,"Jan 31, 22"
"Feb 04, 22",10.56,10.56,"Feb 04, 22"
"Feb 10, 22",10.63,10.63,"Feb 10, 22"
"Feb 17, 22",10.56,10.56,"Feb 17, 22"
"Mar 09, 22",10.08,10.08,"Mar 09, 22"
"Mar 10, 22",10.22,10.22,"Mar 10, 22"
"Mar 14, 22",10.12,10.12,"Mar 14, 22"
"Mar 15, 22",10.08,10.08,"Mar 15, 22"
"Mar 18, 22",9.98,9.98,"Mar 18, 22"
"Mar 29, 22",10.23,10.23,"Mar 29, 22"
"Mar 31, 22",10.25,10.25,"Mar 31, 22"
"Apr 11, 22",10.37,10.37,"Apr 11, 22"
"Apr 12, 22",10.50,10.50,"Apr 12, 22"
"May 09, 22",10.14,10.14,"May 09, 22"
"May 11, 22",9.93,9.93,"May 11, 22"
"May 25, 22",9.61,9.61,"May 25, 22"
"May 31, 22",9.87,9.87,"May 31, 22"
"Jun 07, 22",9.53,9.53,"Jun 07, 22"
"Jun 13, 22",9.46,9.46,"Jun 13, 22"
"Jun 20, 22",9.64,9.64,"Jun 20, 22"
"Jun 23, 22",9.88,9.88,"Jun 23, 22"
"Jun 30, 22",9.41,9.41,"Jun 30, 22"
"Jul 04, 22",9.39,9.39,"Jul 04, 22"
"Jul 14, 22",9.72,9.72,"Jul 14, 22"
"Jul 18, 22",9.57,9.57,"Jul 18, 22"
"Jul 26, 22",9.22,9.22,"Jul 26, 22"
"Aug 11, 22",9.90,9.90,"Aug 11, 22"
"Aug 18, 22",10.02,10.02,"Aug 18, 22"
"Sep 06, 22",9.68,9.68,"Sep 06, 22"
"Sep 12, 22",9.70,9.70,"Sep 12, 22"
"Sep 19, 22",9.92,9.92,"Sep 19, 22"
"Oct 03, 22",9.65,9.65,"Oct 03, 22"
"Oct 18, 22",9.69,9.69,"Oct 18, 22"
"Oct 24, 22",9.79,9.79,"Oct 24, 22"
"Oct 27, 22",9.54,9.54,"Oct 27, 22"
"Oct 31, 22",9.51,9.51,"Oct 31, 22"
"Nov 02, 22",9.75,9.75,"Nov 02, 22"
"Nov 10, 22",9.88,9.88,"Nov 10, 22"
"Nov 28, 22",9.94,9.94,"Nov 28, 22"
"Dec 02, 22",9.93,9.93,"Dec 02, 22"
"Jan 11, 23",9.58,9.58,"Jan 11, 23"
"Jan 23, 23",8.94,8.94,"Jan 23, 23"
"Feb 09, 23",10.30,10.30,"Feb 09, 23"
"Apr 20, 23",10.00,10.00,"Apr 20, 23"
"Apr 26, 23",10.07,10.07,"Apr 26, 23"
"May 09, 23",10.08,10.08,"May 09, 23"
"May 11, 23",10.11,10.11,"May 11, 23"
"May 12, 23",10.20,10.20,"May 12, 23"
"May 15, 23",10.06,10.06,"May 15, 23"
"May 31, 23",10.20,10.20,"May 31, 23"
"Jul 11, 23",10.71,10.71,"Jul 11, 23"
"Jul 14, 23",9.99,9.99,"Jul 14, 23"
"Jul 24, 23",10.94,10.94,"Jul 24, 23"
"Jul 31, 23",11.59,11.59,"Jul 31, 23"
"Aug 03, 23",11.83,11.83,"Aug 03, 23"
"Aug 09, 23",11.42,11.42,"Aug 09, 23"
"Aug 15, 23",11.70,11.70,"Aug 15, 23"
"Aug 18, 23",11.77,11.77,"Aug 18, 23"
"Sep 11, 23",11.00,11.00,"Sep 11, 23"
"Oct 02, 23",10.86,10.86,"Oct 02, 23"
"Nov 23, 23",13.06,13.06,"Nov 23, 23"
"Nov 24, 23",13.11,13.11,"Nov 24, 23"
"Nov 27, 23",13.23,13.23,"Nov 27, 23"
"Dec 08, 23",14.56,14.56,"Dec 08, 23"
"Dec 13, 23",14.56,14.56,"Dec 13, 23"
"Dec 14, 23",14.42,14.42,"Dec 14, 23"
"Dec 20, 23",13.72,13.72,"Dec 20, 23"
"Dec 22, 23",13.81,13.81,"Dec 22, 23"
"Jan 02, 24",14.24,14.24,"Jan 02, 24"
"Jan 25, 24",14.55,14.55,"Jan 25, 24"
"Feb 02, 24",14.05,14.05,"Feb 02, 24"
"Feb 12, 24",13.69,13.69,"Feb 12, 24"
"Feb 21, 24",13.53,13.53,"Feb 21, 24"
"Feb 26, 24",14.00,14.00,"Feb 26, 24"
"Mar 04, 24",14.73,14.73,"Mar 04, 24"
"Mar 05, 24",14.53,14.53,"Mar 05, 24"
"Mar 12, 24",14.49,14.49,"Mar 12, 24"
"Mar 13, 24",14.36,14.36,"Mar 13, 24"
"Mar 27, 24",14.60,14.60,"Mar 27, 24"
"Mar 28, 24",14.60,14.60,"Mar 28, 24"
"Apr 03, 24",14.60,14.60,"Apr 03, 24"
"Apr 09, 24",15.76,15.76,"Apr 09, 24"
"Apr 17, 24",15.68,15.68,"Apr 17, 24"
"Apr 18, 24",15.25,15.25,"Apr 18, 24"
"Apr 29, 24",16.05,16.05,"Apr 29, 24"
"Apr 30, 24",16.05,16.05,"Apr 30, 24"
"May 30, 24",16.76,16.76,"May 30, 24"
"Jun 05, 24",16.63,16.63,"Jun 05, 24"
