0,1,s_close,s_date
"Jul 19, 21",11.80,11.80,"Jul 19, 21"
"Jul 27, 21",11.30,11.30,"Jul 27, 21"
"Jul 28, 21",11.48,11.48,"Jul 28, 21"
"Aug 05, 21",11.50,11.50,"Aug 05, 21"
"Aug 09, 21",11.71,11.71,"Aug 09, 21"
"Aug 10, 21",11.90,11.90,"Aug 10, 21"
"Aug 11, 21",11.86,11.86,"Aug 11, 21"
"Aug 12, 21",11.64,11.64,"Aug 12, 21"
"Aug 13, 21",11.72,11.72,"Aug 13, 21"
"Aug 16, 21",11.50,11.50,"Aug 16, 21"
"Aug 20, 21",11.43,11.43,"Aug 20, 21"
"Aug 24, 21",11.48,11.48,"Aug 24, 21"
"Aug 31, 21",11.55,11.55,"Aug 31, 21"
"Sep 01, 21",11.51,11.51,"Sep 01, 21"
"Sep 02, 21",11.86,11.86,"Sep 02, 21"
"Sep 03, 21",11.50,11.50,"Sep 03, 21"
"Sep 09, 21",11.48,11.48,"Sep 09, 21"
"Sep 20, 21",11.20,11.20,"Sep 20, 21"
"Sep 22, 21",10.99,10.99,"Sep 22, 21"
"Sep 27, 21",11.00,11.00,"Sep 27, 21"
"Sep 29, 21",11.44,11.44,"Sep 29, 21"
"Sep 30, 21",11.15,11.15,"Sep 30, 21"
"Oct 01, 21",10.78,10.78,"Oct 01, 21"
"Oct 04, 21",10.79,10.79,"Oct 04, 21"
"Oct 05, 21",11.35,11.35,"Oct 05, 21"
"Oct 06, 21",11.23,11.23,"Oct 06, 21"
"Oct 28, 21",11.70,11.70,"Oct 28, 21"
"Oct 29, 21",11.00,11.00,"Oct 29, 21"
"Nov 04, 21",11.34,11.34,"Nov 04, 21"
"Nov 08, 21",11.90,11.90,"Nov 08, 21"
"Nov 09, 21",11.75,11.75,"Nov 09, 21"
"Nov 12, 21",11.66,11.66,"Nov 12, 21"
"Nov 23, 21",11.20,11.20,"Nov 23, 21"
"Dec 13, 21",10.85,10.85,"Dec 13, 21"
"Dec 30, 21",11.08,11.08,"Dec 30, 21"
"Jan 04, 22",11.29,11.29,"Jan 04, 22"
"Jan 05, 22",11.30,11.30,"Jan 05, 22"
"Jan 06, 22",11.53,11.53,"Jan 06, 22"
"Jan 07, 22",11.33,11.33,"Jan 07, 22"
"Jan 11, 22",11.45,11.45,"Jan 11, 22"
"Jan 14, 22",11.25,11.25,"Jan 14, 22"
"Jan 27, 22",11.16,11.16,"Jan 27, 22"
"Feb 03, 22",11.50,11.50,"Feb 03, 22"
"Feb 04, 22",11.30,11.30,"Feb 04, 22"
"Feb 10, 22",11.35,11.35,"Feb 10, 22"
"Feb 18, 22",11.17,11.17,"Feb 18, 22"
"Feb 22, 22",11.05,11.05,"Feb 22, 22"
"Mar 01, 22",10.94,10.94,"Mar 01, 22"
"Mar 02, 22",10.83,10.83,"Mar 02, 22"
"Mar 03, 22",11.10,11.10,"Mar 03, 22"
"Mar 07, 22",10.83,10.83,"Mar 07, 22"
"Mar 08, 22",10.77,10.77,"Mar 08, 22"
"Mar 09, 22",10.74,10.74,"Mar 09, 22"
"Mar 10, 22",10.91,10.91,"Mar 10, 22"
"Mar 14, 22",10.88,10.88,"Mar 14, 22"
"Mar 15, 22",10.82,10.82,"Mar 15, 22"
"Mar 16, 22",10.84,10.84,"Mar 16, 22"
"Mar 24, 22",10.75,10.75,"Mar 24, 22"
"Apr 01, 22",11.02,11.02,"Apr 01, 22"
"Apr 05, 22",10.71,10.71,"Apr 05, 22"
"Apr 06, 22",10.75,10.75,"Apr 06, 22"
"Apr 07, 22",10.71,10.71,"Apr 07, 22"
"Apr 08, 22",10.76,10.76,"Apr 08, 22"
"Apr 11, 22",11.32,11.32,"Apr 11, 22"
"Apr 12, 22",11.22,11.22,"Apr 12, 22"
"May 13, 22",10.50,10.50,"May 13, 22"
"May 18, 22",10.61,10.61,"May 18, 22"
"Jun 06, 22",10.15,10.15,"Jun 06, 22"
"Jun 09, 22",10.36,10.36,"Jun 09, 22"
