0,1,s_close,s_date
"Jul 19, 21",14.00,14.00,"Jul 19, 21"
"Jul 28, 21",14.00,14.00,"Jul 28, 21"
"Jul 29, 21",13.90,13.90,"Jul 29, 21"
"Jul 30, 21",13.97,13.97,"Jul 30, 21"
"Aug 03, 21",14.08,14.08,"Aug 03, 21"
"Aug 05, 21",13.66,13.66,"Aug 05, 21"
"Aug 06, 21",14.07,14.07,"Aug 06, 21"
"Aug 09, 21",14.02,14.02,"Aug 09, 21"
"Aug 10, 21",13.56,13.56,"Aug 10, 21"
"Aug 12, 21",13.80,13.80,"Aug 12, 21"
"Aug 13, 21",13.75,13.75,"Aug 13, 21"
"Aug 16, 21",13.58,13.58,"Aug 16, 21"
"Aug 17, 21",13.68,13.68,"Aug 17, 21"
"Aug 30, 21",13.75,13.75,"Aug 30, 21"
"Sep 01, 21",13.50,13.50,"Sep 01, 21"
"Sep 02, 21",13.50,13.50,"Sep 02, 21"
"Sep 03, 21",13.40,13.40,"Sep 03, 21"
"Sep 08, 21",13.30,13.30,"Sep 08, 21"
"Sep 10, 21",13.45,13.45,"Sep 10, 21"
"Sep 14, 21",13.31,13.31,"Sep 14, 21"
"Sep 15, 21",13.21,13.21,"Sep 15, 21"
"Sep 17, 21",13.40,13.40,"Sep 17, 21"
"Sep 20, 21",13.25,13.25,"Sep 20, 21"
"Sep 21, 21",13.35,13.35,"Sep 21, 21"
"Sep 22, 21",13.01,13.01,"Sep 22, 21"
"Sep 24, 21",13.21,13.21,"Sep 24, 21"
"Sep 27, 21",13.00,13.00,"Sep 27, 21"
"Sep 28, 21",13.00,13.00,"Sep 28, 21"
"Sep 29, 21",12.85,12.85,"Sep 29, 21"
"Sep 30, 21",12.91,12.91,"Sep 30, 21"
"Oct 01, 21",12.80,12.80,"Oct 01, 21"
"Oct 04, 21",12.90,12.90,"Oct 04, 21"
"Oct 05, 21",12.95,12.95,"Oct 05, 21"
"Oct 14, 21",12.65,12.65,"Oct 14, 21"
"Oct 15, 21",12.70,12.70,"Oct 15, 21"
"Oct 20, 21",13.15,13.15,"Oct 20, 21"
"Oct 21, 21",13.50,13.50,"Oct 21, 21"
"Oct 22, 21",13.51,13.51,"Oct 22, 21"
"Oct 28, 21",13.50,13.50,"Oct 28, 21"
"Nov 04, 21",13.40,13.40,"Nov 04, 21"
"Nov 08, 21",13.62,13.62,"Nov 08, 21"
"Nov 09, 21",13.60,13.60,"Nov 09, 21"
"Nov 11, 21",13.25,13.25,"Nov 11, 21"
"Nov 22, 21",13.07,13.07,"Nov 22, 21"
"Nov 23, 21",13.28,13.28,"Nov 23, 21"
"Nov 26, 21",12.30,12.30,"Nov 26, 21"
"Nov 29, 21",12.60,12.60,"Nov 29, 21"
"Nov 30, 21",12.70,12.70,"Nov 30, 21"
"Dec 02, 21",12.50,12.50,"Dec 02, 21"
"Dec 07, 21",12.45,12.45,"Dec 07, 21"
"Dec 08, 21",12.50,12.50,"Dec 08, 21"
"Dec 09, 21",12.25,12.25,"Dec 09, 21"
"Dec 13, 21",12.17,12.17,"Dec 13, 21"
"Dec 15, 21",12.50,12.50,"Dec 15, 21"
"Dec 16, 21",12.60,12.60,"Dec 16, 21"
"Dec 17, 21",12.50,12.50,"Dec 17, 21"
"Dec 23, 21",12.88,12.88,"Dec 23, 21"
"Dec 27, 21",12.66,12.66,"Dec 27, 21"
"Dec 29, 21",12.70,12.70,"Dec 29, 21"
"Dec 30, 21",12.80,12.80,"Dec 30, 21"
"Jan 03, 22",12.70,12.70,"Jan 03, 22"
"Jan 04, 22",12.57,12.57,"Jan 04, 22"
"Jan 06, 22",13.00,13.00,"Jan 06, 22"
"Jan 10, 22",12.90,12.90,"Jan 10, 22"
"Jan 11, 22",13.05,13.05,"Jan 11, 22"
"Jan 12, 22",13.12,13.12,"Jan 12, 22"
"Jan 14, 22",12.90,12.90,"Jan 14, 22"
"Jan 18, 22",12.85,12.85,"Jan 18, 22"
"Jan 24, 22",12.50,12.50,"Jan 24, 22"
"Jan 25, 22",12.75,12.75,"Jan 25, 22"
"Jan 26, 22",12.50,12.50,"Jan 26, 22"
"Jan 28, 22",13.00,13.00,"Jan 28, 22"
"Feb 01, 22",12.89,12.89,"Feb 01, 22"
