Date,Price
2021-07-19,14.00
2021-07-28,14.00
2021-07-29,13.90
2021-07-30,13.97
2021-08-03,14.08
2021-08-05,13.66
2021-08-06,14.07
2021-08-09,14.02
2021-08-10,13.56
2021-08-12,13.80
2021-08-13,13.75
2021-08-16,13.58
2021-08-17,13.68
2021-08-30,13.75
2021-09-01,13.50
2021-09-02,13.50
2021-09-03,13.40
2021-09-08,13.30
2021-09-10,13.45
2021-09-14,13.31
2021-09-15,13.21
2021-09-17,13.40
2021-09-20,13.25
2021-09-21,13.35
2021-09-22,13.01
2021-09-24,13.21
2021-09-27,13.00
2021-09-28,13.00
2021-09-29,12.85
2021-09-30,12.91
2021-10-01,12.80
2021-10-04,12.90
2021-10-05,12.95
2021-10-14,12.65
2021-10-15,12.70
2021-10-20,13.15
2021-10-21,13.50
2021-10-22,13.51
2021-10-28,13.50
2021-11-04,13.40
2021-11-08,13.62
2021-11-09,13.60
2021-11-11,13.25
2021-11-22,13.07
2021-11-23,13.28
2021-11-26,12.30
2021-11-29,12.60
2021-11-30,12.70
2021-12-02,12.50
2021-12-07,12.45
2021-12-08,12.50
2021-12-09,12.25
2021-12-13,12.17
2021-12-15,12.50
2021-12-16,12.60
2021-12-17,12.50
2021-12-23,12.88
2021-12-27,12.66
2021-12-29,12.70
2021-12-30,12.80
2022-01-03,12.70
2022-01-04,12.57
2022-01-06,13.00
2022-01-10,12.90
2022-01-11,13.05
2022-01-12,13.12
2022-01-14,12.90
2022-01-18,12.85
2022-01-24,12.50
2022-01-25,12.75
2022-01-26,12.50
2022-01-28,13.00
2022-02-01,12.89
2022-02-03,12.87
2022-02-04,12.80
2022-02-07,12.80
2022-02-08,12.72
2022-02-09,12.90
2022-02-10,12.87
2022-02-11,13.00
2022-02-14,12.78
2022-02-15,12.78
2022-02-17,12.83
2022-02-21,12.69
2022-02-23,12.71
2022-02-24,12.53
2022-02-25,12.50
2022-03-01,12.43
2022-03-10,12.07
2022-03-16,12.35
2022-03-28,12.18
2022-03-30,12.50
2022-03-31,12.35
2022-04-06,12.21
2022-04-07,12.22
2022-04-08,12.14
2022-04-11,12.55
2022-04-12,12.64
2022-04-13,12.75
2022-04-14,12.88
2022-04-15,12.80
2022-04-19,12.68
2022-04-20,12.61
2022-04-25,12.70
2022-04-26,12.65
2022-05-09,12.02
2022-05-16,11.76
2022-05-17,11.55
2022-05-19,11.79
2022-05-23,11.57
2022-05-25,11.15
2022-05-26,11.25
2022-05-27,11.68
2022-05-30,11.52
2022-05-31,11.57
2022-06-01,11.54
2022-06-02,11.28
2022-06-06,11.18
2022-06-08,11.13
2022-06-10,11.39
2022-06-13,11.00
2022-06-20,11.23
2022-06-22,11.36
2022-06-23,11.56
2022-06-24,11.10
2022-06-27,10.31
2022-06-30,10.11
2022-07-01,10.16
2022-07-04,10.10
2022-07-05,10.16
2022-07-07,10.15
2022-07-13,10.16
2022-07-14,10.27
2022-07-15,10.32
2022-07-19,10.05
2022-07-21,9.73
2022-07-22,9.88
2022-07-25,10.00
2022-07-28,9.80
2022-07-29,9.75
2022-08-03,9.84
2022-08-16,10.47
2022-08-17,10.39
2022-08-19,10.30
2022-08-30,10.26
2022-09-12,10.20
2022-09-21,9.90
2022-09-23,9.96
2022-09-29,9.70
2022-10-04,10.00
2022-10-06,10.13
2022-10-11,10.05
2022-10-12,10.24
2022-10-13,10.23
2022-10-24,10.38
2022-10-25,10.55
2022-10-27,10.33
2022-10-28,10.35
2022-11-10,10.17
2022-12-07,10.66
2022-12-08,10.58
2022-12-13,10.72
2022-12-28,10.02
2023-01-02,10.40
2023-01-06,10.58
2023-01-11,10.39
2023-01-17,10.26
2023-03-03,10.95
2023-03-07,11.12
2023-03-16,11.37
2023-04-04,10.93
2023-04-27,11.31
2023-05-08,11.46
2023-05-10,11.46
2023-05-12,11.50
2023-05-15,11.43
2023-05-22,11.58
2023-05-23,11.58
2023-05-24,11.58
2023-06-26,11.20
2023-07-04,10.60
2023-07-07,10.75
2023-07-10,10.64
2023-07-11,10.60
2023-07-12,10.83
2023-07-13,10.94
2023-07-24,11.06
2023-08-11,11.77
2023-08-18,11.71
2023-08-30,11.54
2023-08-31,11.10
2023-09-14,10.80
2023-09-18,10.90
2023-10-02,11.27
2023-10-04,11.46
2023-11-02,12.62
2023-11-03,12.46
2023-11-06,12.42
2023-11-08,12.73
2023-11-13,13.20
2023-11-14,13.15
2023-11-21,13.60
2023-11-22,13.66
2023-11-24,14.02
2023-11-27,14.15
2023-11-28,14.60
2023-11-30,14.49
2023-12-01,14.50
2023-12-04,14.75
2023-12-05,14.61
2023-12-06,14.86
2023-12-07,15.04
2023-12-08,15.23
2023-12-11,15.09
2023-12-12,15.24
2023-12-13,15.17
2023-12-19,14.40
2023-12-21,14.27
2023-12-22,14.24
2023-12-26,14.00
2023-12-28,14.30
2023-12-29,14.37
2024-01-01,14.70
2024-01-02,14.77
2024-01-03,14.67
2024-01-04,14.76
2024-01-08,14.74
2024-01-10,14.67
2024-01-12,14.68
2024-01-22,14.52
2024-01-24,14.75
2024-01-25,14.73
2024-01-26,14.63
2024-01-29,14.35
2024-01-30,14.24
2024-02-07,14.58
2024-02-09,14.47
2024-02-12,14.17
2024-02-13,14.05
2024-02-21,14.22
2024-02-27,14.79
2024-02-28,14.91
2024-03-04,15.26
2024-03-05,15.35
2024-03-08,15.33
2024-03-19,15.30
2024-03-20,15.32
2024-03-26,15.40
2024-04-04,15.93
2024-04-08,16.27
2024-04-09,16.67
2024-04-16,16.70
2024-04-17,16.67
2024-04-18,16.44
2024-04-22,16.78
2024-04-23,16.81
2024-04-24,16.94
2024-04-25,16.87
2024-04-29,16.94
2024-04-30,16.91
2024-05-02,16.69
2024-05-03,16.84
2024-05-06,16.96
2024-05-07,17.05
2024-05-08,17.02
2024-05-09,16.77
2024-05-10,16.92
2024-05-13,16.93
2024-05-16,17.45
2024-05-20,17.35
2024-05-23,17.40
2024-05-24,17.51
2024-05-27,17.63
2024-05-29,17.60
2024-05-30,17.45
2024-05-31,17.49
2024-06-03,17.62
2024-06-04,17.47
2024-06-05,17.45
2024-06-06,17.35
2024-06-07,17.25
2024-06-10,17.13
2024-06-12,16.99
2024-06-13,17.84
2024-06-14,18.18
2024-06-20,18.74
2024-06-21,18.98
2024-06-24,19.18
2024-06-25,19.12
2024-06-26,19.15
2024-06-27,19.25
2024-06-28,19.10
2024-07-01,19.25
2024-07-02,19.71
2024-07-03,19.20
2024-07-05,17.77
2024-07-08,17.94
2024-07-09,17.95
2024-07-10,17.47
2024-07-11,17.47
2024-07-12,17.50
2024-07-15,17.78
2024-07-18,17.94
2024-07-19,17.66
2024-07-22,17.35
2024-07-23,17.38
2024-07-25,17.29
