Date,Price,,,,,
2010-01-01,84.4,,,,,
2010-01-04,84.65,,,,,
2010-01-05,84.7,,,,,
2010-01-06,84.5,,,,,
2010-01-07,84.65,,,,,
2010-01-08,84.85,,,,,
2010-01-11,84.9,,,,,
2010-01-12,84.7,,,,,
2010-01-13,84.7,,,,,
2010-01-14,84.5,,,,,
2010-01-15,84.25,,,,,
2010-01-18,84.4,,,,,
2010-01-19,84.7,,,,,
2010-01-20,84.65,,,,,
2010-01-21,84.6,,,,,
2010-01-22,84.55,,,,,
2010-01-25,84.55,,,,,
2010-01-26,84.4,,,,,
2010-01-27,84.4,,,,,
2010-01-28,84.7,,,,,
2010-01-29,84.65,,,,,
2010-02-01,85,,,,,
2010-02-02,84.9,,,,,
2010-02-03,84.95,,,,,
2010-02-04,84.8,,,,,
2010-02-05,84.7,,,,,
2010-02-08,85.05,,,,,
2010-02-09,85.05,,,,,
2010-02-10,84.8,,,,,
2010-02-11,84.9,,,,,
2010-02-12,84.7,,,,,
2010-02-15,85,,,,,
2010-02-16,84.8,,,,,
2010-02-17,84.7,,,,,
2010-02-18,84.9,,,,,
2010-02-19,84.95,,,,,
2010-02-22,85.1,,,,,
2010-02-23,85.05,,,,,
2010-02-24,84.85,,,,,
2010-02-25,84.9,,,,,
2010-02-26,85.15,,,,,
2010-03-01,85.15,,,,,
2010-03-02,85.15,,,,,
2010-03-03,85.05,,,,,
2010-03-04,84.85,,,,,
2010-03-05,84.7,,,,,
2010-03-08,84.7,,,,,
2010-03-09,84.6,,,,,
2010-03-10,84.25,,,,,
2010-03-11,84.25,,,,,
2010-03-12,83.6,,,,,
2010-03-15,84.2,,,,,
2010-03-16,84.4,,,,,
2010-03-17,84.2,,,,,
2010-03-18,84.4,,,,,
2010-03-19,84.05,,,,,
2010-03-22,84.23,,,,,
2010-03-23,84.05,,,,,
2010-03-24,83.9,,,,,
2010-03-25,83.6,,,,,
2010-03-26,83.85,,,,,
2010-03-29,83.9,,,,,
2010-03-30,84.2,,,,,
2010-03-31,84,,,,,
2010-04-01,84.2,,,,,
2010-04-02,84.45,,,,,
2010-04-05,84.1,,,,,
2010-04-06,83.85,,,,,
2010-04-07,83.55,,,,,
2010-04-08,83.75,,,,,
2010-04-09,84.05,,,,,
2010-04-12,84,,,,,
2010-04-13,83.85,,,,,
2010-04-14,83.9,,,,,
2010-04-15,84.1,,,,,
2010-04-16,84.05,,,,,
2010-04-19,84.05,,,,,
2010-04-20,84.2,,,,,
2010-04-21,83.95,,,,,
2010-04-22,83.95,,,,,
2010-04-23,84.25,,,,,
2010-04-26,84,,,,,
2010-04-27,84.05,,,,,
2010-04-28,83.95,,,,,
2010-04-29,84.05,,,,,
2010-04-30,84,,,,,
2010-05-03,83.95,,,,,
2010-05-04,84.15,,,,,
2010-05-05,84.2,,,,,
2010-05-06,84.3,,,,,
2010-05-07,84.35,,,,,
2010-05-10,84.22,,,,,
2010-05-11,83.9,,,,,
2010-05-12,84.2,,,,,
2010-05-13,84.25,,,,,
2010-05-14,84.35,,,,,
2010-05-17,84.5,,,,,
2010-05-18,84.55,,,,,
2010-05-19,84.45,,,,,
2010-05-20,84.35,,,,,
2010-05-21,84.6,,,,,
2010-05-24,84.55,,,,,
2010-05-25,84.75,,,,,
2010-05-26,85.35,,,,,
2010-05-27,85.1,,,,,
2010-05-28,85.2,,,,,
2010-05-31,85.2,,,,,
2010-06-01,85.5,,,,,
2010-06-02,85.45,,,,,
2010-06-03,85.25,,,,,
2010-06-04,85.15,,,,,
2010-06-07,85.5,,,,,
2010-06-08,85.4,,,,,
2010-06-09,85.3,,,,,
2010-06-10,85.3,,,,,
2010-06-11,85.3,,,,,
2010-06-14,85.5,,,,,
2010-06-15,85.45,,,,,
2010-06-16,85.25,,,,,
2010-06-17,85.5,,,,,
2010-06-18,85.55,,,,,
2010-06-21,85.4,,,,,
2010-06-22,85.5,,,,,
2010-06-23,85.4,,,,,
2010-06-24,85.35,,,,,
2010-06-25,85.4,,,,,
2010-06-28,85.45,,,,,
2010-06-29,85.5,,,,,
2010-06-30,85.6,,,,,
2010-07-01,85.6,,,,,
2010-07-02,85.5,,,,,
2010-07-05,85.55,,,,,
2010-07-06,85.65,,,,,
2010-07-07,85.7,,,,,
2010-07-08,85.7,,,,,
2010-07-09,85.85,,,,,
2010-07-12,85.85,,,,,
2010-07-13,85.8,,,,,
2010-07-14,85.6,,,,,
2010-07-15,85.6,,,,,
2010-07-16,85.8,,,,,
2010-07-19,85.42,,,,,
