Date,Price
2025-02-25,22894.4
2025-02-24,23191.2
2025-02-23,23069.8
2025-02-22,23069.8
2025-02-21,23061.6
2025-02-20,23062.9
2025-02-19,23037.9
2025-02-18,23024.7
2025-02-17,22732.8
2025-02-16,22537.9
2025-02-15,22537.9
2025-02-14,22612.7
2025-02-13,22957.1
2025-02-12,22760.9
2025-02-11,22708.1
2025-02-10,22818.9
2025-02-09,22525.9
2025-02-08,22525.9
2025-02-07,22427.9
2025-02-06,22389.9
2025-02-05,22463.9
2025-02-04,22263.6
2025-02-03,22047.7
2025-02-02,22247.0
2025-02-01,21962.6
2025-01-31,21926.4
2025-01-30,21870.4
2025-01-29,21594.8
2025-01-28,21644.0
2025-01-27,21438.1
2025-01-26,21656.4
2025-01-25,21656.4
2025-01-24,21681.1
2025-01-23,21560.8
2025-01-22,21572.2
2025-01-21,21488.0
2025-01-20,21203.9
2025-01-19,21161.7
2025-01-18,21161.7
2025-01-17,21161.7
2025-01-16,21238.6
2025-01-15,21107.4
2025-01-14,20956.9
2025-01-13,20845.8
2025-01-12,21127.8
2025-01-11,21127.8
2025-01-10,21033.4
2025-01-09,20903.8
2025-01-08,20818.1
2025-01-07,20715.9
2025-01-06,20650.0
2025-01-05,20617.6
2025-01-04,20617.6
2025-01-03,20656.2
2025-01-02,20805.7
2025-01-01,20527.4
2024-12-31,20527.4
2024-12-30,20368.7
2024-12-29,20501.4
2024-12-28,20501.4
2024-12-27,20478.3
2024-12-26,20560.4
2024-12-25,20431.2
2024-12-24,20451.0
2024-12-23,20473.5
2024-12-22,20415.0
2024-12-21,20415.0
2024-12-20,20491.5
2024-12-19,20278.5
2024-12-18,20202.8
2024-12-17,20676.1
2024-12-16,20709.7
2024-12-15,20648.8
2024-12-14,20648.8
2024-12-13,20676.2
2024-12-12,20956.3
2024-12-11,21213.3
2024-12-10,21053.0
2024-12-09,20781.6
2024-12-08,20580.4
2024-12-07,20588.3
2024-12-06,20588.3
2024-12-05,20539.8
2024-12-04,20676.3
2024-12-03,20634.1
2024-12-02,20593.4
2024-12-01,20664.6
2024-11-30,20664.6
2024-11-29,20707.2
2024-11-28,20592.5
2024-11-27,20579.5
2024-11-26,20537.5
2024-11-25,20500.3
2024-11-24,21161.5
2024-11-23,21161.5
2024-11-22,21161.5
2024-11-21,20852.0
2024-11-20,20691.6
2024-11-19,20541.0
2024-11-18,20375.4
2024-11-17,20048.4
2024-11-16,20048.4
2024-11-15,19980.5
2024-11-14,20040.6
2024-11-13,20101.1
2024-11-12,20291.8
2024-11-11,20450.8
2024-11-10,21053.6
2024-11-09,20963.6
2024-11-08,20961.5
2024-11-07,21146.9
2024-11-06,20757.8
2024-11-05,21418.6
2024-11-04,21356.4
2024-11-03,21317.5
2024-11-02,21317.5
2024-11-01,21332.8
2024-10-31,21408.7
2024-10-30,21763.8
2024-10-29,21647.6
2024-10-28,21432.7
2024-10-27,21467.0
2024-10-26,21467.0
2024-10-25,21451.0
2024-10-24,21349.8
2024-10-23,21181.6
2024-10-22,21443.7
2024-10-21,21211.0
2024-10-20,21223.4
2024-10-19,21223.4
2024-10-18,21223.4
2024-10-17,21007.6
2024-10-16,20856.4
2024-10-15,20775.8
2024-10-14,20670.3
2024-10-13,20726.7
2024-10-12,20726.3
2024-10-11,20718.8
2024-10-10,20519.0
2024-10-09,20341.9
2024-10-08,20449.5
2024-10-07,20599.3
2024-10-06,20755.4
2024-10-05,20755.4
2024-10-04,20674.2
2024-10-03,20717.3
2024-10-02,20729.1
2024-10-01,20761.5
2024-09-30,20548.7
2024-09-29,20690.8
2024-09-28,20697.7
2024-09-27,20697.7
2024-09-26,20847.2
2024-09-25,20738.8
2024-09-24,20740.1
2024-09-23,20521.2
2024-09-22,20424.8
2024-09-21,20463.2
2024-09-20,20463.2
2024-09-19,20224.9
2024-09-18,19994.9
2024-09-17,20117.9
2024-09-16,20204.9
2024-09-15,20191.9
2024-09-14,20169.2
2024-09-13,20196.3
2024-09-12,20017.4
2024-09-11,19653.6
2024-09-10,19706.4
2024-09-09,19621.1
2024-09-08,19558.8
2024-09-07,19563.0
2024-09-06,19532.3
2024-09-05,19693.6
2024-09-04,19501.2
2024-09-03,19511.7
2024-09-02,19601.2
2024-09-01,19606.3
2024-08-31,19582.4
2024-08-30,19575.0
2024-08-29,19762.6
2024-08-28,19592.0
2024-08-27,19740.8
2024-08-26,19695.2
2024-08-25,19534.4
2024-08-24,19663.3
2024-08-23,19650.9
2024-08-22,19452.8
2024-08-21,19661.6
2024-08-20,19630.3
2024-08-19,19585.6
2024-08-18,19560.9
2024-08-17,19544.4
2024-08-16,19627.3
2024-08-15,19224.7
2024-08-14,19156.5
2024-08-13,19293.1
2024-08-12,19355.9
2024-08-11,19012.0
2024-08-10,19034.9
2024-08-09,19035.6
2024-08-08,18998.7
2024-08-07,18655.0
2024-08-06,18736.9
2024-08-05,18868.6
2024-08-04,18977.2
2024-08-03,19142.3
2024-08-02,19143.8
2024-08-01,19167.8
2024-07-31,19167.1
2024-07-30,18868.6
2024-07-29,18654.7
2024-07-28,18639.5
2024-07-27,18639.5
2024-07-26,18659.6
2024-07-25,18493.1
2024-07-24,18754.1
2024-07-23,18833.7
2024-07-22,18733.2
2024-07-21,18724.7
2024-07-20,18724.7
2024-07-19,18757.3
2024-07-18,19109.3
2024-07-17,19230.6
2024-07-16,19322.2
2024-07-15,18917.3
2024-07-14,18815.9
2024-07-13,18799.6
2024-07-12,18829.0
2024-07-11,18895.1
2024-07-10,18547.3
2024-07-09,18494.2
2024-07-08,18468.2
2024-07-07,18716.1
2024-07-06,18652.5
2024-07-05,18673.1
2024-07-04,18443.7
2024-07-03,18438.7
2024-07-02,18225.9
2024-07-01,18241.3
2024-06-30,18150.1
2024-06-29,18192.2
2024-06-28,18192.2
2024-06-27,18203.8
2024-06-26,17980.0
2024-06-25,18163.7
2024-06-24,18243.9
2024-06-23,18125.8
2024-06-22,18120.8
2024-06-21,18164.0
2024-06-20,18460.2
2024-06-19,18233.8
2024-06-18,18221.4
2024-06-17,18147.9
2024-06-16,18209.5
2024-06-15,18207.5
2024-06-14,18243.6
2024-06-13,18024.6
2024-06-12,18169.7
2024-06-11,18135.5
2024-06-10,18034.9
2024-06-09,18044.5
2024-06-08,17941.5
2024-06-07,17921.1
2024-06-06,18590.0
2024-06-05,18435.8
2024-06-04,18198.4
2024-06-03,18395.1
2024-06-02,18177.8
2024-06-01,18195.6
2024-05-31,18216.8
2024-05-30,18329.6
2024-05-29,18295.0
2024-05-28,18472.1
2024-05-27,18383.5
2024-05-26,18264.2
2024-05-25,18216.4
2024-05-24,18225.6
2024-05-23,18229.2
2024-05-22,18625.4
2024-05-21,18944.5
2024-05-20,18993.0
2024-05-19,18841.3
2024-05-18,18792.5
2024-05-17,18912.7
2024-05-16,18614.1
2024-05-15,18668.8
2024-05-14,18415.1
2024-05-13,18267.4
2024-05-12,18458.9
2024-05-11,18426.7
2024-05-10,18442.6
2024-05-09,18362.7
2024-05-08,18044.6
2024-05-07,18086.5
2024-05-06,18183.7
2024-05-05,17952.6
2024-05-04,18005.5
2024-05-03,18010.3
2024-05-02,18018.6
2024-05-01,18161.4
2024-04-30,17926.9
2024-04-29,18242.9
2024-04-28,18307.8
2024-04-27,18273.1
2024-04-26,18261.9
2024-04-25,18252.4
2024-04-24,18133.9
2024-04-23,18168.9
2024-04-22,18225.8
2024-04-21,18619.0
2024-04-20,18660.0
2024-04-19,18705.5
2024-04-18,18611.4
2024-04-17,18478.2
2024-04-16,18658.9
2024-04-15,18625.2
2024-04-14,18369.4
2024-04-13,18260.0
2024-04-12,18290.6
2024-04-11,18540.8
2024-04-10,18242.6
2024-04-09,18359.6
2024-04-08,18246.8
2024-04-07,18040.3
2024-04-06,18162.8
2024-04-05,18145.5
2024-04-04,17882.2
2024-04-03,17952.9
2024-04-02,17816.3
2024-04-01,17572.4
2024-03-31,17448.6
2024-03-30,17420.5
2024-03-29,17440.4
2024-03-28,17443.2
2024-03-27,17142.0
2024-03-26,17011.5
2024-03-25,16975.3
2024-03-24,16904.9
2024-03-23,16900.0
2024-03-22,16924.1
2024-03-21,17055.0
2024-03-20,17088.4
2024-03-19,16892.4
2024-03-18,16963.0
2024-03-17,16924.3
2024-03-16,16924.3
2024-03-15,16905.3
2024-03-14,16949.2
2024-03-13,17037.6
2024-03-12,16907.5
2024-03-11,17107.2
2024-03-10,17056.3
2024-03-09,17056.3
2024-03-08,17082.3
2024-03-07,16951.9
2024-03-06,16835.0
2024-03-05,16712.7
2024-03-04,16607.2
2024-03-03,16287.3
2024-03-02,16287.3
2024-03-01,16346.3
2024-02-29,16041.2
2024-02-28,15909.4
2024-02-27,15934.5
2024-02-26,15927.3
2024-02-25,15958.4
2024-02-24,15962.5
2024-02-23,16006.8
2024-02-22,15893.9
2024-02-21,15922.8
2024-02-20,15893.2
2024-02-19,15689.4
2024-02-18,15792.8
2024-02-17,15792.8
2024-02-16,15794.3
2024-02-15,15737.3
2024-02-14,15632.5
2024-02-13,15634.8
2024-02-12,15847.9
2024-02-11,15723.7
2024-02-10,15723.7
2024-02-09,15884.9
2024-02-08,15950.9
2024-02-07,15976.8
2024-02-06,15994.8
2024-02-05,15906.6
2024-02-04,16022.5
2024-02-03,16022.5
2024-02-02,16005.3
2024-02-01,16138.8
2024-01-31,15962.9
2024-01-30,15984.2
2024-01-29,15952.6
2024-01-28,15863.6
2024-01-27,15863.6
2024-01-26,15845.8
2024-01-25,15874.7
2024-01-24,15830.6
2024-01-23,15941.9
2024-01-22,15870.4
2024-01-21,15968.7
2024-01-20,15968.7
2024-01-19,15964.5
2024-01-18,15882.7
2024-01-17,15768.3
2024-01-16,15986.9
2024-01-15,16159.5
2024-01-14,15934.0
2024-01-13,15934.0
2024-01-12,16129.4
