Date,Actual Price,Predicted Price
2022-12-05,12726.2,12726.2
2022-12-06,12776.3,12776.3
2022-12-07,12901.8,12901.8
2022-12-08,12905.3,12905.3
2022-12-09,12974.6,12974.6
2022-12-10,12972.3,12972.3
2022-12-11,12972.3,12972.3
2022-12-12,12849.2,12849.2
2022-12-13,13078.2,13078.2
2022-12-14,13033.2,13033.2
2022-12-15,12849.4,12849.4
2022-12-16,12956.1,12956.1
2022-12-17,12984.4,12984.4
2022-12-18,12984.4,12984.4
2022-12-19,12908.9,12908.9
2022-12-20,13126.1,13126.1
2022-12-21,13127.1,13127.1
2022-12-22,12988.4,12988.4
2022-12-23,13006.3,13006.3
2022-12-24,13018.1,13018.1
2022-12-25,13018.1,13018.1
2022-12-26,13036.9,13036.9
2022-12-27,13169.2,13169.2
2022-12-28,13117.2,13117.2
2022-12-29,13210.1,13210.1
2022-12-30,13261.8,13261.8
2022-12-31,13264.0,13264.0
2023-01-01,13264.0,13264.0
2023-01-02,13274.1,13274.1
2023-01-03,13398.5,13398.5
2023-01-04,13491.4,13491.4
2023-01-05,13352.4,13352.4
2023-01-06,13635.4,13635.4
2023-01-07,13611.8,13611.8
2023-01-08,13611.8,13611.8
2023-01-09,13685.1,13685.1
2023-01-10,13761.7,13761.7
2023-01-11,13761.7,13761.7
2023-01-12,13914.8,13914.8
2023-01-13,14109.5,14109.5
2023-01-14,14057.0,14057.0
2023-01-15,14057.0,14057.0
2023-01-16,14080.6,14080.6
2023-01-17,14018.2,14018.2
2023-01-18,13978.3,13978.3
2023-01-19,14209.3,14209.3
2023-01-20,14235.5,14235.5
2023-01-21,14211.5,14211.5
2023-01-22,14211.5,14211.5
2023-01-23,14182.6,14182.6
2023-01-24,14402.2,14402.2
2023-01-25,14389.7,14389.7
2023-01-26,14295.4,14295.4
2023-01-27,15526.8,15526.8
2023-01-28,15513.2,15513.2
2023-01-29,15513.2,15513.2
2023-01-30,16060.6,16060.6
2023-01-31,16591.0,16591.0
2023-02-01,16694.4,16694.4
2023-02-02,16598.3,16598.3
2023-02-03,16182.8,16182.8
2023-02-04,16179.5,16179.5
2023-02-05,16179.5,16179.5
2023-02-06,16485.1,16485.1
2023-02-07,16595.7,16595.7
2023-02-08,16523.4,16523.4
2023-02-09,16252.7,16252.7
2023-02-10,16247.9,16247.9
2023-02-11,16125.6,16125.6
2023-02-12,16124.7,16124.7
2023-02-13,15871.1,15871.1
2023-02-14,15933.2,15933.2
2023-02-15,15627.7,15627.7
2023-02-16,15617.9,15617.9
2023-02-17,15595.7,15595.7
2023-02-18,15554.0,15554.0
2023-02-19,15401.9,15401.9
2023-02-20,15469.3,15469.3
2023-02-21,15479.2,15479.2
2023-02-22,15320.0,15320.0
2023-02-23,15275.5,15275.5
2023-02-24,15138.2,15138.2
2023-02-25,15125.6,15125.6
2023-02-26,14985.4,14985.4
2023-02-27,15164.5,15164.5
2023-02-28,15359.5,15359.5
2023-03-01,15461.8,15461.8
2023-03-02,15408.5,15408.5
2023-03-03,16603.5,16603.5
2023-03-04,16620.0,16620.0
2023-03-05,16610.9,16610.9
2023-03-06,16333.3,16333.3
2023-03-07,16058.0,16058.0
2023-03-08,16220.5,16220.5
2023-03-09,16349.3,16349.3
2023-03-10,16789.6,16789.6
2023-03-11,16742.9,16742.9
