s_close,s_date
50,"May 25, 2012"
50.17,"May 28, 2012"
50.12,"May 29, 2012"
49.51,"May 30, 2012"
49.35,"May 31, 2012"
49.82,"Jun 01, 2012"
49.17,"Jun 04, 2012"
48.8,"Jun 05, 2012"
48.92,"Jun 06, 2012"
48.82,"Jun 07, 2012"
48.24,"Jun 08, 2012"
48.5,"Jun 11, 2012"
47.73,"Jun 12, 2012"
47.57,"Jun 13, 2012"
48.56,"Jun 14, 2012"
48.53,"Jun 15, 2012"
48.89,"Jun 18, 2012"
48.71,"Jun 19, 2012"
48.63,"Jun 20, 2012"
48.34,"Jun 21, 2012"
48.84,"Jun 22, 2012"
48.47,"Jun 25, 2012"
48.5,"Jun 26, 2012"
48.94,"Jun 27, 2012"
48.8,"Jun 28, 2012"
48.83,"Jun 29, 2012"
48.83,"Jun 30, 2012"
51.02,"Jul 10, 2012"
50.97,"Jul 11, 2012"
50.96,"Jul 12, 2012"
50.64,"Jul 13, 2012"
50.82,"Jul 16, 2012"
51.11,"Jul 17, 2012"
51.51,"Jul 18, 2012"
51.38,"Jul 19, 2012"
51.3,"Jul 20, 2012"
51.03,"Jul 23, 2012"
51.03,"Jul 24, 2012"
51.28,"Jul 25, 2012"
51.23,"Jul 26, 2012"
51.21,"Jul 27, 2012"
51.27,"Jul 30, 2012"
51.49,"Jul 31, 2012"
52.03,"Aug 01, 2012"
52.35,"Aug 02, 2012"
52.29,"Aug 03, 2012"
52.13,"Aug 06, 2012"
52.22,"Aug 07, 2012"
52.55,"Aug 08, 2012"
52.67,"Aug 09, 2012"
52.57,"Aug 10, 2012"
53.88,"Aug 13, 2012"
54.06,"Aug 15, 2012"
54.2,"Aug 16, 2012"
54.53,"Aug 23, 2012"
54.16,"Aug 24, 2012"
54.8,"Aug 27, 2012"
54.93,"Aug 28, 2012"
54.83,"Aug 29, 2012"
55.28,"Aug 30, 2012"
55.76,"Aug 31, 2012"
55.84,"Sep 03, 2012"
55.63,"Sep 04, 2012"
55.42,"Sep 05, 2012"
54.93,"Sep 06, 2012"
55.29,"Sep 07, 2012"
55.04,"Sep 10, 2012"
55,"Sep 11, 2012"
55.43,"Sep 12, 2012"
55.57,"Sep 13, 2012"
55.82,"Sep 14, 2012"
55.69,"Sep 17, 2012"
56.3,"Sep 18, 2012"
56.46,"Sep 19, 2012"
55.82,"Sep 20, 2012"
55.58,"Sep 24, 2012"
55.59,"Sep 25, 2012"
55.74,"Sep 26, 2012"
55.61,"Sep 27, 2012"
56.13,"Sep 28, 2012"
56.97,"Oct 01, 2012"
57.38,"Oct 02, 2012"
57.73,"Oct 03, 2012"
57.94,"Oct 04, 2012"
57.55,"Oct 05, 2012"
56.9,"Oct 08, 2012"
57.16,"Oct 09, 2012"
57.07,"Oct 10, 2012"
57.01,"Oct 11, 2012"
56.43,"Oct 12, 2012"
56.55,"Oct 15, 2012"
