Date,Price
2012-05-25,50
2012-05-28,50.17
2012-05-29,50.12
2012-05-30,49.51
2012-05-31,49.35
2012-06-01,49.82
2012-06-04,49.17
2012-06-05,48.8
2012-06-06,48.92
2012-06-07,48.82
2012-06-08,48.24
2012-06-11,48.5
2012-06-12,47.73
2012-06-13,47.57
2012-06-14,48.56
2012-06-15,48.53
2012-06-18,48.89
2012-06-19,48.71
2012-06-20,48.63
2012-06-21,48.34
2012-06-22,48.84
2012-06-25,48.47
2012-06-26,48.5
2012-06-27,48.94
2012-06-28,48.8
2012-06-29,48.83
2012-06-30,48.83
2012-07-10,51.02
2012-07-11,50.97
2012-07-12,50.96
2012-07-13,50.64
2012-07-16,50.82
2012-07-17,51.11
2012-07-18,51.51
2012-07-19,51.38
2012-07-20,51.3
2012-07-23,51.03
2012-07-24,51.03
2012-07-25,51.28
2012-07-26,51.23
2012-07-27,51.21
2012-07-30,51.27
2012-07-31,51.49
2012-08-01,52.03
2012-08-02,52.35
2012-08-03,52.29
2012-08-06,52.13
2012-08-07,52.22
2012-08-08,52.55
2012-08-09,52.67
2012-08-10,52.57
2012-08-13,53.88
2012-08-15,54.06
2012-08-16,54.2
2012-08-23,54.53
2012-08-24,54.16
2012-08-27,54.8
2012-08-28,54.93
2012-08-29,54.83
2012-08-30,55.28
2012-08-31,55.76
2012-09-03,55.84
2012-09-04,55.63
2012-09-05,55.42
2012-09-06,54.93
2012-09-07,55.29
2012-09-10,55.04
2012-09-11,55
2012-09-12,55.43
2012-09-13,55.57
2012-09-14,55.82
2012-09-17,55.69
2012-09-18,56.3
2012-09-19,56.46
2012-09-20,55.82
2012-09-24,55.58
2012-09-25,55.59
2012-09-26,55.74
2012-09-27,55.61
2012-09-28,56.13
2012-10-01,56.97
2012-10-02,57.38
2012-10-03,57.73
2012-10-04,57.94
2012-10-05,57.55
2012-10-08,56.9
2012-10-09,57.16
2012-10-10,57.07
2012-10-11,57.01
2012-10-12,56.43
2012-10-15,56.55
2012-10-16,56.31
2012-10-17,56.22
2012-10-18,56.36
2012-10-19,56.75
2012-10-22,56.7
2012-10-23,56.71
2012-10-24,56.66
2012-10-25,56.42
2012-10-30,56.35
2012-10-31,56.79
2012-11-01,57.11
2012-11-02,57.77
2012-11-05,57.67
2012-11-06,57.34
2012-11-07,57.82
2012-11-08,57.75
2012-11-12,57.65
2012-11-13,57.33
2012-11-14,57.39
2012-11-15,57.43
2012-11-16,57.51
2012-11-19,57.68
2012-11-20,57.72
2012-11-21,57.51
2012-11-22,57.61
2012-11-23,57.5
2012-11-26,57.54
2012-11-27,57.89
2012-11-28,58.01
2012-11-29,58.23
2012-11-30,58.1
2012-12-03,57.98
2012-12-04,58.3
2012-12-05,58.2
2012-12-06,58.63
2012-12-07,58.5
2012-12-10,58.28
2012-12-11,58.18
2012-12-12,58.43
2012-12-13,58.69
2012-12-14,58.79
2012-12-17,58.66
2012-12-18,58.67
2012-12-19,58.98
2012-12-20,59.09
2012-12-21,58.96
2012-12-24,59.13
2012-12-26,59.32
2012-12-27,59.22
2012-12-28,59.5
2012-12-31,59.24
2013-01-01,58.83
2013-01-02,58
2013-01-03,58.24
2013-01-04,58.41
2013-01-07,57.85
2013-01-08,58.28
2013-01-09,58.66
2013-01-10,57.98
2013-01-11,58.3
2013-01-14,58.3
2013-01-15,56.78
2013-01-16,57.07
2013-01-17,57.23
2013-01-18,58.27
2013-01-21,58.35
2013-01-22,59.23
2013-01-23,59.13
2013-01-24,59.73
2013-01-28,59.5
2013-01-29,60.01
2013-01-30,60.11
2013-01-31,60.15
2013-02-01,60.25
2013-02-04,60.36
2013-02-06,60.99
2013-02-07,61
2013-02-08,61.3
2013-02-11,61.6
2013-02-12,61.67
2013-02-13,61.98
2013-02-14,62.24
2013-02-15,62.45
2013-02-18,62.68
2013-02-19,62.36
2013-02-20,62.88
2013-02-21,62.9
2013-02-22,63.1
2013-02-25,62.96
2013-02-26,62.68
2013-02-27,63.4
2013-02-28,63.34
2013-03-01,63.52
2013-03-04,63.36
2013-03-05,63.45
2013-03-06,63.2
2013-03-07,63.23
2013-03-08,63.02
2013-03-11,61.47
2013-03-12,62.57
2013-03-13,62.25
2013-03-14,62.06
2013-03-15,61.86
2013-03-18,61.83
2013-03-19,62.46
2013-03-20,62.51
2013-03-21,62.96
2013-03-22,63.13
2013-03-25,63.12
2013-03-26,62.97
2013-03-27,63.14
2013-03-28,63.31
2013-03-29,63.69
2013-04-01,64.6
2013-04-02,64.95
2013-04-03,66.13
2013-04-04,66.17
2013-04-05,66.14
2013-04-08,66.25
2013-04-09,66.49
2013-04-10,66.49
2013-04-11,66.6
2013-04-12,66.31
2013-04-15,65.72
2013-04-16,64.93
2013-04-17,64.79
2013-04-18,65.43
2013-04-19,65.46
2013-04-22,65.44
2013-04-23,65.6
2013-04-24,65.78
2013-04-25,66.12
2013-04-26,66.15
2013-04-29,65.84
2013-04-30,66.17
2013-05-02,66.29
2013-05-03,67.04
2013-05-06,67.19
2013-05-07,67.05
2013-05-08,67.78
2013-05-09,68.01
2013-05-10,68.6
2013-05-13,69.51
2013-05-14,69.82
2013-05-15,69.81
2013-05-16,69.43
2013-05-17,69.61
2013-05-20,71.23
2013-05-21,72.74
2013-05-22,73.82
2013-05-23,73.41
2013-05-24,73.13
2013-05-27,72.12
2013-05-28,74.05
2013-05-29,73.83
2013-05-30,74.42
2013-05-31,75.13
2013-06-03,76.05
2013-06-04,76.46
2013-06-05,75.47
2013-06-06,75.58
2013-06-07,75.48
2013-06-10,74.87
2013-06-11,74.84
2013-06-12,75.56
2013-06-13,77.12
2013-06-14,76.55
2013-06-17,75.14
2013-06-18,74.62
2013-06-19,75.71
2013-06-20,75.13
2013-06-21,74.06
2013-06-24,72.06
2013-06-25,72.98
2013-06-26,72.81
2013-06-27,72.84
2013-06-28,73.07
2013-06-30,73.06
2013-07-09,62.36
2013-07-10,63.17
2013-07-11,62.34
2013-07-12,62.91
2013-07-15,62.91
2013-07-16,62.79
2013-07-17,62.36
2013-07-18,62.77
2013-07-19,63.52
2013-07-22,64.25
2013-07-23,64.39
2013-07-24,64.51
2013-07-25,64.34
2013-07-26,64.27
2013-07-29,63.99
2013-07-30,63.69
2013-07-31,63.71
2013-08-01,63.29
2013-08-05,50.63
2013-08-06,61.5
2013-08-07,63.15
2013-08-12,63.72
2013-08-13,63.8
2013-08-15,63.68
2013-08-16,63.72
2013-08-19,63.58
2013-08-20,63.31
2013-08-21,61.89
2013-08-22,60.91
2013-08-23,60.72
2013-08-26,61.52
2013-08-27,60.4
2013-08-28,59.59
2013-08-29,59.25
2013-08-30,59.31
2013-09-02,58.35
2013-09-03,58.67
2013-09-04,58.58
2013-09-05,60.15
2013-09-06,60.96
2013-09-09,61.14
2013-09-10,61.88
2013-09-11,62.82
2013-09-12,62.31
2013-09-13,62.32
2013-09-16,61.68
2013-09-17,61
2013-09-18,60.03
2013-09-19,60.86
2013-09-20,61.26
2013-09-23,61.23
2013-09-24,60.04
2013-09-25,59.99
2013-09-26,59.27
2013-09-27,58.67
2013-09-30,57.55
2013-10-01,58.47
2013-10-02,59.1
2013-10-03,59.16
2013-10-04,58.99
2013-10-07,58.26
2013-10-08,58.56
2013-10-09,57.42
2013-10-10,57.47
2013-10-11,57.83
2013-10-14,57.42
2013-10-21,57.81
2013-10-22,58.95
2013-10-23,59.46
2013-10-24,59.29
2013-10-25,59.15
2013-10-28,58.92
2013-10-29,58.79
2013-10-30,59.14
2013-10-31,60.26
2013-11-01,59.81
2013-11-04,59.1
2013-11-05,60.01
2013-11-06,61.15
2013-11-07,61.05
2013-11-08,61.32
2013-11-11,61.3
2013-11-12,60.84
2013-11-13,60.32
2013-11-18,61.48
2013-11-19,62.01
2013-11-20,62.15
2013-11-21,62.33
2013-11-22,62.44
2013-11-25,62.82
2013-11-26,62.23
2013-11-27,62.05
2013-11-28,62.87
2013-11-29,63.2
2013-12-02,63.41
2013-12-03,63.82
2013-12-04,63.68
2013-12-05,64.62
2013-12-06,64.48
2013-12-09,64.79
2013-12-10,64.5
2013-12-11,64.77
2013-12-12,65.07
2013-12-13,65.63
2013-12-16,65.76
2013-12-17,65.84
2013-12-18,66.34
2013-12-19,66.25
2013-12-20,66.09
2013-12-23,66.16
2013-12-24,66.19
2013-12-26,66.08
2013-12-27,65.8
2013-12-30,65.77
2013-12-31,65.58
2014-01-01,66.79
2014-01-02,67.62
2014-01-03,67.76
2014-01-06,67.95
2014-01-07,68.19
2014-01-08,68.39
2014-01-09,68.33
2014-01-10,68.23
2014-01-13,68.42
2014-01-15,68.62
2014-01-16,68.63
2014-01-17,68.72
2014-01-20,68.92
2014-01-21,69.26
2014-01-22,68.89
2014-01-23,69.05
2014-01-24,68.96
2014-01-27,67.91
2014-01-28,67.64
2014-01-29,67.45
2014-01-30,67.42
2014-01-31,68.13
2014-02-03,68.66
2014-02-04,68.23
2014-02-06,68.44
2014-02-07,67.97
2014-02-10,67
2014-02-11,66.96
2014-02-12,67.98
2014-02-13,67.52
2014-02-14,67.04
2014-02-17,66.43
2014-02-18,66.11
2014-02-19,65.43
2014-02-20,64.91
2014-02-21,65.22
2014-02-24,65.65
2014-02-25,65.51
2014-02-26,65.34
2014-02-27,65.22
2014-02-28,66.08
2014-03-03,66.39
2014-03-04,67.63
2014-03-05,68.59
2014-03-06,69.19
2014-03-07,69.09
2014-03-10,70.12
2014-03-11,70.32
2014-03-12,69.73
2014-03-13,69.8
2014-03-14,70.09
2014-03-17,70.08
2014-03-18,70.17
2014-03-19,69.9
2014-03-20,69.5
2014-03-21,68.6
2014-03-24,67.7
2014-03-25,68.3
2014-03-26,68.64
2014-03-27,69.02
2014-03-28,68.4
2014-03-31,68.55
2014-04-01,69.69
2014-04-02,70.51
2014-04-03,71.52
2014-04-04,71.48
2014-04-07,71.41
2014-04-10,72.59
2014-04-11,72.42
2014-04-14,72.16
2014-04-15,71.78
2014-04-16,72.16
2014-04-17,71.63
2014-04-18,71.18
2014-04-21,70.58
2014-04-22,71.09
2014-04-23,70.16
2014-04-24,70.1
2014-04-25,70.41
2014-04-28,70.2
2014-04-29,69.64
2014-04-30,70.67
2014-05-02,70.55
2014-05-05,69.81
2014-05-06,69.33
2014-05-07,69.28
2014-05-08,69.76
2014-05-09,69.73
2014-05-12,69.21
2014-05-13,69.43
2014-05-14,69.55
2014-05-15,70.29
2014-05-16,70.35
2014-05-19,70.61
2014-05-20,70.19
2014-05-21,70.06
2014-05-22,69.93
2014-05-23,69.85
2014-05-26,70.29
2014-05-27,70.52
2014-05-28,70.35
2014-05-29,71.5
2014-05-30,62.01
2014-06-02,62.29
2014-06-03,62.01
2014-06-04,62.03
2014-06-05,62.27
2014-06-06,62.26
2014-06-09,62.23
2014-06-10,62.82
2014-06-11,63.31
2014-06-12,63.35
2014-06-13,62.91
2014-06-16,62.78
2014-06-17,62.15
2014-06-18,61.84
2014-06-19,60.74
2014-06-20,60.64
2014-06-23,61.3
2014-06-24,61.34
2014-06-25,61.08
2014-06-26,61.52
2014-06-27,61.79
2014-06-30,62.83
2014-07-01,63.06
2014-07-02,63.04
2014-07-03,63.23
2014-07-04,63.11
2014-07-07,62.94
2014-07-08,62.83
2014-07-09,62.7
2014-07-10,62.45
2014-07-11,62.39
2014-07-14,63.25
2014-07-15,63.33
2014-07-16,63.48
2014-07-17,64.44
2014-07-18,64.76
2014-07-21,65.25
2014-07-22,65.14
2014-07-23,65.19
2014-07-24,65.08
2014-07-28,64.42
2014-08-04,62.85
2014-08-05,62.93
2014-08-06,62.44
2014-08-07,62.83
2014-08-08,62.43
2014-08-11,59.79
2014-08-12,60.2
2014-08-13,60.65
2014-08-15,61.58
2014-08-18,61.43
2014-08-19,61.19
2014-08-20,61.44
2014-08-21,61.81
2014-08-22,61.85
2014-08-25,61.04
2014-08-26,60.5
2014-08-27,59.64
2014-08-28,59.45
2014-08-29,61.1
2014-09-01,61.1
2014-09-02,62.91
2014-09-03,63.74
2014-09-04,63.85
2014-09-05,63.58
2014-09-08,63.7
2014-09-09,63.93
2014-09-10,63.86
2014-09-11,64.32
2014-09-12,64.77
2014-09-15,64.53
2014-09-16,64.7
2014-09-17,64.44
2014-09-18,64.46
2014-09-19,64.14
2014-09-22,63.99
2014-09-23,64.56
2014-09-24,64.36
2014-09-25,63.85
2014-09-26,63.53
2014-09-29,62.76
2014-09-30,63.44
2014-10-01,63.99
2014-10-02,64.02
2014-10-03,64.11
2014-10-09,63.78
2014-10-10,64.05
2014-10-13,64.36
2014-10-14,64.29
2014-10-15,63.59
2014-10-16,63.27
2014-10-17,62.9
2014-10-20,62.38
2014-10-21,62.26
2014-10-22,62.59
2014-10-23,62.69
2014-10-24,63.22
2014-10-27,63.63
2014-10-28,63.75
2014-10-29,63.44
2014-10-30,63.41
2014-10-31,63.77
2014-11-05,64.25
2014-11-06,64.28
2014-11-07,64.86
2014-11-10,65.69
2014-11-11,65.65
2014-11-12,66.25
2014-11-13,65.76
2014-11-14,65.61
2014-11-17,66.27
2014-11-18,67.28
2014-11-19,66.85
2014-11-20,65.7
2014-11-21,66.05
2014-11-24,65.66
2014-11-25,65.53
2014-11-26,65.85
2014-11-27,65.41
2014-11-28,65.1
2014-12-01,65.3
2014-12-02,66.2
2014-12-03,66.66
2014-12-04,66.9
2014-12-05,66.72
2014-12-08,66.18
2014-12-09,66.63
2014-12-10,66.3
2014-12-11,66.49
2014-12-12,66.23
2014-12-15,66.63
2014-12-16,64.48
2014-12-17,63.88
2014-12-18,64.52
2014-12-19,64.92
2014-12-22,65.84
2014-12-23,66
