Date,Price
2008-07-08,10.4222
2008-07-09,10.3958
2008-07-10,10.3624
2008-07-11,10.2898
2008-07-12,10.2898
2008-07-13,10.2898
2008-07-14,9.8202
2008-07-15,9.6287
2008-07-16,9.2143
2008-07-17,8.9748
2008-07-18,9.0124
2008-07-19,9.0124
2008-07-20,9.0124
2008-07-21,9.1334
2008-07-22,9.5004
2008-07-23,9.7106
2008-07-24,9.8567
2008-07-25,9.7723
2008-07-26,9.7723
2008-07-27,9.7723
2008-07-28,9.3809
2008-07-29,9.2586
2008-07-30,9.6119
2008-07-31,9.3797
2008-08-01,9.0183
2008-08-02,9.0183
2008-08-03,9.0183
2008-08-04,8.7281
2008-08-05,8.9029
2008-08-06,8.5892
2008-08-07,8.611
2008-08-08,8.8004
2008-08-09,8.8004
2008-08-10,8.8004
2008-08-11,9.0305
2008-08-12,8.8417
2008-08-13,8.7878
2008-08-14,8.7878
2008-08-15,9.099
2008-08-16,9.099
2008-08-17,9.099
2008-08-18,9.4941
2008-08-19,9.6775
2008-08-20,9.3357
2008-08-21,9.0809
2008-08-22,8.8549
2008-08-23,8.8549
2008-08-24,8.8549
2008-08-25,8.6874
2008-08-26,8.3598
2008-08-27,8.0988
2008-08-28,8.1428
2008-08-29,8.141
2008-08-30,8.141
2008-08-31,8.141
2008-09-01,8.1333
2008-09-02,8.1411
2008-09-03,8.1403
2008-09-04,8.1317
2008-09-05,8.2099
2008-09-06,8.2099
2008-09-07,8.2099
2008-09-08,8.1608
2008-09-09,8.1402
2008-09-10,8.1715
2008-09-11,8.1341
2008-09-12,8.1414
2008-09-13,8.1414
2008-09-14,8.1414
2008-09-15,8.1303
2008-09-16,8.1303
2008-09-17,8.1314
2008-09-18,8.1264
2008-09-19,8.124
2008-09-20,8.124
2008-09-21,8.124
2008-09-22,8.1236
2008-09-23,8.1235
2008-09-24,8.1231
2008-09-25,8.1239
2008-09-26,8.1239
2008-09-27,8.1239
2008-09-28,8.1239
2008-09-29,8.1216
2008-09-30,8.1214
2008-10-01,8.1214
2008-10-02,8.1214
2008-10-03,8.1214
2008-10-04,8.1214
2008-10-05,8.1214
2008-10-06,8.1189
2008-10-07,8.118
2008-10-08,8.1176
2008-10-09,8.1173
2008-10-10,8.1171
2008-10-11,8.1171
2008-10-12,8.1171
2008-10-13,8.114
2008-10-14,8.1138
2008-10-15,8.1159
2008-10-16,8.1157
2008-10-17,8.1154
2008-10-18,8.1154
2008-10-19,8.1154
2008-10-20,8.1146
2008-10-21,8.1144
2008-10-22,8.1141
2008-10-23,8.1132
2008-10-24,8.1129
2008-10-25,8.1129
2008-10-26,8.1129
2008-10-27,8.1122
2008-10-28,8.1119
2008-10-29,8.1117
2008-10-30,8.1114
2008-10-31,8.1113
2008-11-01,8.1113
2008-11-02,8.1113
2008-11-03,8.1106
2008-11-04,8.1106
2008-11-05,8.1104
2008-11-06,8.1102
2008-11-07,8.11
2008-11-08,8.11
2008-11-09,8.11
2008-11-10,8.1093
2008-11-11,8.109
2008-11-12,8.1088
2008-11-13,8.1096
2008-11-14,8.1094
2008-11-15,8.1094
2008-11-16,8.1094
2008-11-17,8.1087
2008-11-18,8.1085
2008-11-19,8.1082
2008-11-20,8.108
2008-11-21,8.1078
2008-11-22,8.1078
2008-11-23,8.1078
2008-11-24,8.1071
2008-11-25,8.1068
2008-11-26,8.1066
2008-11-27,8.1064
2008-11-28,8.1061
2008-11-29,8.1061
2008-11-30,8.1061
2008-12-01,8.1054
2008-12-02,8.1052
2008-12-03,8.1049
2008-12-04,8.1047
2008-12-05,8.0991
2008-12-06,8.0991
2008-12-07,8.0991
2008-12-08,8.0991
2008-12-09,8.0991
2008-12-10,8.0991
2008-12-11,8.0991
2008-12-12,8.0974
2008-12-13,8.0974
2008-12-14,8.0974
2008-12-15,7.7181
2008-12-16,7.4356
2008-12-17,7.1553
2008-12-18,6.8894
2008-12-19,6.6399
2008-12-20,6.6399
2008-12-21,6.6399
2008-12-22,6.4066
2008-12-23,6.178
2008-12-24,5.9568
2008-12-25,5.9568
2008-12-26,5.7862
2008-12-27,5.7862
2008-12-28,5.7862
2008-12-29,5.6072
2008-12-30,5.425
2008-12-31,5.2811
2009-01-01,5.1831
2009-01-02,5.2023
2009-01-03,5.2023
2009-01-04,5.2023
2009-01-05,5.3112
2009-01-06,5.4382
2009-01-07,5.4382
2009-01-08,5.4382
2009-01-09,5.5289
2009-01-10,5.5289
2009-01-11,5.5289
2009-01-12,5.4492
2009-01-13,5.4581
2009-01-14,5.4421
2009-01-15,5.2863
2009-01-16,5.1306
2009-01-17,5.1306
2009-01-18,5.1306
2009-01-19,4.9935
2009-01-20,4.9634
2009-01-21,4.8846
2009-01-22,4.8069
2009-01-23,4.7488
2009-01-24,4.7488
2009-01-25,4.7488
2009-01-26,4.695
2009-01-27,4.783
2009-01-28,4.8813
2009-01-29,4.9105
2009-01-30,5.0173
2009-01-31,5.0173
2009-02-01,5.0173
2009-02-02,5.004
2009-02-03,5.0436
2009-02-04,5.1355
2009-02-05,5.1355
2009-02-06,5.1826
2009-02-07,5.1826
2009-02-08,5.1826
2009-02-09,5.1687
2009-02-10,5.0911
2009-02-11,5.0683
2009-02-12,5.0475
2009-02-13,5.1883
2009-02-14,5.1883
2009-02-15,5.1883
2009-02-16,5.2932
2009-02-17,5.3509
2009-02-18,5.3777
2009-02-19,5.4755
2009-02-20,5.4329
2009-02-21,5.4329
2009-02-22,5.4329
2009-02-23,5.3624
2009-02-24,5.3751
2009-02-25,5.1963
2009-02-26,5.2355
2009-02-27,5.2873
2009-02-28,5.2873
2009-03-01,5.2873
2009-03-02,5.2617
2009-03-03,5.2082
2009-03-04,5.3479
2009-03-05,5.3411
2009-03-06,5.3157
2009-03-07,5.3157
2009-03-08,5.3157
2009-03-09,5.2732
2009-03-10,5.2732
2009-03-11,5.2157
2009-03-12,5.3108
2009-03-13,5.3462
2009-03-14,5.3462
2009-03-15,5.3462
2009-03-16,5.5397
2009-03-17,5.6048
2009-03-18,5.6958
2009-03-19,5.8246
2009-03-20,5.7535
2009-03-21,5.7535
2009-03-22,5.7535
2009-03-23,5.7535
2009-03-24,5.9507
2009-03-25,6.0016
2009-03-26,5.9484
2009-03-27,6.091
2009-03-28,6.091
2009-03-29,6.091
2009-03-30,6.2155
2009-03-31,6.114
2009-04-01,6.1652
2009-04-02,6.3513
2009-04-03,6.5194
2009-04-04,6.5194
2009-04-05,6.5194
2009-04-06,6.581
2009-04-07,6.6587
2009-04-08,6.4482
2009-04-09,6.4082
2009-04-10,6.6286
2009-04-11,6.6286
2009-04-12,6.6286
2009-04-13,6.811
2009-04-14,6.788
2009-04-15,6.7759
2009-04-16,6.6722
2009-04-17,6.7544
2009-04-18,6.7544
2009-04-19,6.7544
2009-04-20,6.8294
2009-04-21,6.7874
2009-04-22,6.617
2009-04-23,6.4478
2009-04-24,6.649
2009-04-25,6.649
2009-04-26,6.649
2009-04-27,6.4582
2009-04-28,6.5151
2009-04-29,6.3947
2009-04-30,6.3407
2009-05-01,6.3407
2009-05-02,6.3407
2009-05-03,6.3407
2009-05-04,6.2356
2009-05-05,6.2441
2009-05-06,6.3169
2009-05-07,6.2644
2009-05-08,6.2814
2009-05-09,6.2814
2009-05-10,6.2814
2009-05-11,6.2817
2009-05-12,6.4092
2009-05-13,6.3785
2009-05-14,6.3116
2009-05-15,6.3421
2009-05-16,6.3421
2009-05-17,6.3421
2009-05-18,6.3508
2009-05-19,6.2794
2009-05-20,6.2832
2009-05-21,6.2177
2009-05-22,6.3447
2009-05-23,6.3447
2009-05-24,6.3447
2009-05-25,6.3691
2009-05-26,6.3653
2009-05-27,6.3867
2009-05-28,6.4397
2009-05-29,6.4263
2009-05-30,6.4263
2009-05-31,6.4263
2009-06-01,6.3773
2009-06-02,6.3191
2009-06-03,6.2176
2009-06-04,6.1427
2009-06-05,6.1507
2009-06-06,6.1507
2009-06-07,6.1507
2009-06-08,6.1486
2009-06-09,6.2879
2009-06-10,6.2557
2009-06-11,6.2909
2009-06-12,6.2718
2009-06-13,6.2718
2009-06-14,6.2718
2009-06-15,6.2011
2009-06-16,6.1464
2009-06-17,6.2837
2009-06-18,6.2726
2009-06-19,6.2611
2009-06-20,6.2611
2009-06-21,6.2611
2009-06-22,6.2726
2009-06-23,6.2498
2009-06-24,6.2577
2009-06-25,6.33
2009-06-26,6.3523
2009-06-27,6.3523
2009-06-28,6.3523
2009-06-29,6.3881
2009-06-30,6.3511
2009-07-01,6.4264
2009-07-02,6.5865
2009-07-03,6.5696
2009-07-04,6.5696
2009-07-05,6.5696
2009-07-06,6.6216
2009-07-07,6.6289
2009-07-08,6.581
2009-07-09,6.543
2009-07-10,6.5942
2009-07-11,6.5942
2009-07-12,6.5942
2009-07-13,6.7177
2009-07-14,6.6873
2009-07-15,6.7263
