Date,Price
"Jan 07, 2021",500
"Jan 08, 2021",500
"Jan 09, 2021",500.082
"Jan 10, 2021",500.164
"Jan 11, 2021",500
"Jan 12, 2021",500
"Jan 13, 2021",500
"Jan 14, 2021",500
"Jan 15, 2021",500
"Jan 16, 2021",500.084
"Jan 17, 2021",500.168
"Jan 18, 2021",500
"Jan 19, 2021",500
"Jan 20, 2021",500
"Jan 21, 2021",500
"Jan 22, 2021",500
"Jan 23, 2021",500.085
"Jan 24, 2021",500.168
"Jan 25, 2021",500
"Jan 26, 2021",500
"Jan 27, 2021",500
"Jan 28, 2021",500
"Jan 29, 2021",500
"Jan 30, 2021",500.082
"Jan 31, 2021",500.164
"Feb 01, 2021",500
"Feb 02, 2021",500
"Feb 03, 2021",500
"Feb 04, 2021",500
"Feb 05, 2021",500.083
"Feb 06, 2021",500.166
"Feb 07, 2021",500.249
"Feb 08, 2021",500
"Feb 09, 2021",500
"Feb 10, 2021",500
"Feb 11, 2021",500
"Feb 12, 2021",500
"Feb 13, 2021",500.083
"Feb 14, 2021",500.169
"Feb 15, 2021",500
"Feb 16, 2021",500
"Feb 17, 2021",500
"Feb 18, 2021",500
"Feb 19, 2021",500
"Feb 20, 2021",500.082
"Feb 21, 2021",500.164
"Feb 22, 2021",500
"Feb 23, 2021",500
"Feb 24, 2021",500
"Feb 25, 2021",500
"Feb 26, 2021",500
"Feb 27, 2021",500.082
"Feb 28, 2021",500.164
"Mar 01, 2021",500
"Mar 02, 2021",500
"Mar 03, 2021",500
"Mar 04, 2021",500
"Mar 05, 2021",500
"Mar 06, 2021",500.082
"Mar 07, 2021",500.164
"Mar 08, 2021",500
"Mar 09, 2021",500
"Mar 10, 2021",500
"Mar 11, 2021",500
"Mar 12, 2021",500
"Mar 13, 2021",500.083
"Mar 14, 2021",500.165
"Mar 15, 2021",500
"Mar 16, 2021",500
"Mar 17, 2021",500
"Mar 18, 2021",500
"Mar 19, 2021",500
"Mar 20, 2021",500.084
"Mar 21, 2021",500.171
"Mar 22, 2021",500
"Mar 23, 2021",500.087
"Mar 24, 2021",500
"Mar 25, 2021",500
"Mar 26, 2021",500
"Mar 27, 2021",500.087
"Mar 28, 2021",500.174
"Mar 29, 2021",500
"Mar 30, 2021",500
"Mar 31, 2021",500
"Apr 01, 2021",500
"Apr 02, 2021",500
"Apr 03, 2021",500.088
"Apr 04, 2021",500.175
"Apr 05, 2021",500
"Apr 06, 2021",500
"Apr 07, 2021",500
"Apr 08, 2021",500
"Apr 09, 2021",500
"Apr 10, 2021",500.087
"Apr 11, 2021",500.173
"Apr 12, 2021",500
"Apr 13, 2021",500
"Apr 14, 2021",500
"Apr 15, 2021",500
"Apr 16, 2021",500
"Apr 17, 2021",500.087
"Apr 18, 2021",500.174
"Apr 19, 2021",500
"Apr 20, 2021",500
"Apr 21, 2021",500
"Apr 22, 2021",500
"Apr 23, 2021",500
"Apr 24, 2021",500.087
"Apr 25, 2021",500.173
"Apr 26, 2021",500
"Apr 27, 2021",500
"Apr 28, 2021",500
"Apr 29, 2021",500
"Apr 30, 2021",500
"May 01, 2021",500.085
"May 02, 2021",500.168
"May 03, 2021",500
"May 04, 2021",500
"May 05, 2021",500
"May 06, 2021",500
"May 07, 2021",500
"May 08, 2021",500.083
"May 09, 2021",500.166
"May 10, 2021",500.249
"May 11, 2021",500.332
"May 12, 2021",500.415
"May 13, 2021",500.499
"May 14, 2021",500.582
"May 15, 2021",500.665
"May 16, 2021",500.748
"May 17, 2021",500
"May 18, 2021",500
"May 19, 2021",500
"May 20, 2021",500
"May 21, 2021",500
"May 22, 2021",500.083
"May 23, 2021",500.166
"May 24, 2021",500
"May 25, 2021",500
"May 26, 2021",500
"May 27, 2021",500
"May 28, 2021",500
"May 29, 2021",500.085
"May 30, 2021",500.169
"May 31, 2021",500
"Jun 01, 2021",500
"Jun 02, 2021",500
"Jun 03, 2021",500
"Jun 04, 2021",500
"Jun 05, 2021",500.084
"Jun 06, 2021",500.168
"Jun 07, 2021",500
"Jun 08, 2021",500
"Jun 09, 2021",500
"Jun 10, 2021",500
"Jun 11, 2021",500
"Jun 12, 2021",500.084
"Jun 13, 2021",500.167
"Jun 14, 2021",500
"Jun 15, 2021",500
"Jun 16, 2021",500
"Jun 17, 2021",500
"Jun 18, 2021",500
"Jun 19, 2021",500.084
"Jun 20, 2021",500.168
"Jun 21, 2021",500
"Jun 22, 2021",500
"Jun 23, 2021",500
"Jun 24, 2021",500
"Jun 25, 2021",500
"Jun 26, 2021",500.083
"Jun 27, 2021",500.165
"Jun 28, 2021",500
"Jun 29, 2021",500
"Jun 30, 2021",500
"Jul 01, 2021",500.088
"Jul 02, 2021",500.175
"Jul 03, 2021",500.263
"Jul 04, 2021",500.351
"Jul 05, 2021",500
"Jul 06, 2021",500
"Jul 07, 2021",500
"Jul 08, 2021",500
"Jul 09, 2021",500
"Jul 10, 2021",500.09
"Jul 11, 2021",500.18
"Jul 12, 2021",500
"Jul 13, 2021",500
"Jul 14, 2021",500
"Jul 15, 2021",500
"Jul 16, 2021",500
"Jul 17, 2021",500.089
"Jul 18, 2021",500.178
"Jul 19, 2021",500
"Jul 20, 2021",500.089
"Jul 21, 2021",500.178
"Jul 22, 2021",500.267
"Jul 23, 2021",500
"Jul 24, 2021",500.089
"Jul 25, 2021",500.178
"Jul 26, 2021",500
"Jul 27, 2021",500
"Jul 28, 2021",500
"Jul 29, 2021",500
"Jul 30, 2021",500
"Jul 31, 2021",500.089
"Aug 01, 2021",500.178
"Aug 02, 2021",500
"Aug 03, 2021",500
"Aug 04, 2021",500
"Aug 05, 2021",500
"Aug 06, 2021",500
"Aug 07, 2021",500.089
"Aug 08, 2021",500.179
"Aug 09, 2021",500
"Aug 10, 2021",500
"Aug 11, 2021",500
"Aug 12, 2021",500
"Aug 13, 2021",500
"Aug 14, 2021",500.091
"Aug 15, 2021",500.182
"Aug 16, 2021",500
"Aug 17, 2021",500
"Aug 18, 2021",500.091
"Aug 19, 2021",500.182
"Aug 20, 2021",500
"Aug 21, 2021",500.091
"Aug 22, 2021",500.182
"Aug 23, 2021",500
"Aug 24, 2021",500
"Aug 25, 2021",500
"Aug 26, 2021",500
"Aug 27, 2021",500
"Aug 28, 2021",500.091
"Aug 29, 2021",500.182
"Aug 30, 2021",500
"Aug 31, 2021",500
"Sep 01, 2021",500
"Sep 02, 2021",500
"Sep 03, 2021",500
"Sep 04, 2021",500.091
"Sep 05, 2021",500.181
"Sep 06, 2021",500
"Sep 07, 2021",500
"Sep 08, 2021",500
"Sep 09, 2021",500
"Sep 10, 2021",500
"Sep 11, 2021",500.091
"Sep 12, 2021",500.181
"Sep 13, 2021",500
"Sep 14, 2021",500
"Sep 15, 2021",500
"Sep 16, 2021",500
"Sep 17, 2021",500
"Sep 18, 2021",500.091
"Sep 19, 2021",500.182
"Sep 20, 2021",500
"Sep 21, 2021",500
"Sep 22, 2021",500
"Sep 23, 2021",500
"Sep 24, 2021",500
"Sep 25, 2021",500.09
"Sep 26, 2021",500.18
"Sep 27, 2021",500
"Sep 28, 2021",500
"Sep 29, 2021",500
"Sep 30, 2021",500
"Oct 01, 2021",500
"Oct 02, 2021",500.09
"Oct 03, 2021",500.181
"Oct 04, 2021",500
"Oct 05, 2021",500
"Oct 06, 2021",500
"Oct 07, 2021",500
"Oct 08, 2021",500
"Oct 09, 2021",500.095
"Oct 10, 2021",500.189
"Oct 11, 2021",500
"Oct 12, 2021",500
"Oct 13, 2021",500
"Oct 14, 2021",500
"Oct 15, 2021",500
"Oct 16, 2021",500.093
"Oct 17, 2021",500.187
"Oct 18, 2021",500
"Oct 19, 2021",500.094
"Oct 20, 2021",500
"Oct 21, 2021",500
"Oct 22, 2021",500
"Oct 23, 2021",500.095
"Oct 24, 2021",500.189
"Oct 25, 2021",500
"Oct 26, 2021",500
"Oct 27, 2021",500
"Oct 28, 2021",500
"Oct 29, 2021",500
"Oct 30, 2021",500.095
"Oct 31, 2021",500.189
"Nov 01, 2021",500
"Nov 02, 2021",500
"Nov 03, 2021",500
"Nov 04, 2021",500
"Nov 05, 2021",500
"Nov 06, 2021",500.095
"Nov 07, 2021",500.19
"Nov 08, 2021",500
"Nov 09, 2021",500
"Nov 10, 2021",500
"Nov 11, 2021",500
"Nov 12, 2021",500
"Nov 13, 2021",500.095
"Nov 14, 2021",500.19
"Nov 15, 2021",500
"Nov 16, 2021",500
"Nov 17, 2021",500
"Nov 18, 2021",500
"Nov 19, 2021",500
"Nov 20, 2021",500.095
"Nov 21, 2021",500.19
"Nov 22, 2021",500
"Nov 23, 2021",500
"Nov 24, 2021",500
"Nov 25, 2021",500
"Nov 26, 2021",500
"Nov 27, 2021",500.106
"Nov 28, 2021",500.212
"Nov 29, 2021",500
"Nov 30, 2021",500
"Dec 01, 2021",500
"Dec 02, 2021",500
"Dec 03, 2021",500
"Dec 04, 2021",500.111
"Dec 05, 2021",500.222
"Dec 06, 2021",500
"Dec 07, 2021",500
"Dec 08, 2021",500
"Dec 09, 2021",500
"Dec 10, 2021",500
"Dec 11, 2021",500.124
"Dec 12, 2021",500.249
"Dec 13, 2021",500
"Dec 14, 2021",500
"Dec 15, 2021",500
"Dec 16, 2021",500
"Dec 17, 2021",500
"Dec 18, 2021",500.161
"Dec 19, 2021",500.282
"Dec 20, 2021",500
"Dec 21, 2021",500
"Dec 22, 2021",500
"Dec 23, 2021",500
"Dec 24, 2021",500
"Dec 25, 2021",500.139
"Dec 26, 2021",500.27
"Dec 27, 2021",500
"Dec 28, 2021",500
"Dec 29, 2021",500
"Dec 30, 2021",500
"Dec 31, 2021",500
"Jan 01, 2022",500.132
"Jan 02, 2022",500.264
"Jan 03, 2022",500
"Jan 04, 2022",500
"Jan 05, 2022",500
"Jan 06, 2022",500
"Jan 07, 2022",500
"Jan 08, 2022",500.142
"Jan 09, 2022",500.284
"Jan 10, 2022",500
"Jan 11, 2022",500
"Jan 12, 2022",500
"Jan 13, 2022",500
"Jan 14, 2022",500
"Jan 15, 2022",500.131
"Jan 16, 2022",500.262
"Jan 17, 2022",500
"Jan 18, 2022",500
"Jan 19, 2022",500
"Jan 20, 2022",500
"Jan 21, 2022",500
"Jan 22, 2022",500.131
"Jan 23, 2022",500.263
"Jan 24, 2022",500
"Jan 25, 2022",500
"Jan 26, 2022",500
"Jan 27, 2022",500
"Jan 28, 2022",500
"Jan 29, 2022",500.133
"Jan 30, 2022",500.267
"Jan 31, 2022",500
"Feb 01, 2022",500
"Feb 02, 2022",500
"Feb 03, 2022",500
"Feb 04, 2022",500
"Feb 05, 2022",500.128
"Feb 06, 2022",500.256
"Feb 07, 2022",500
"Feb 08, 2022",500
"Feb 09, 2022",500
"Feb 10, 2022",500
"Feb 11, 2022",500
"Feb 12, 2022",500.129
"Feb 13, 2022",500.257
"Feb 14, 2022",500
"Feb 15, 2022",500
"Feb 16, 2022",500
"Feb 17, 2022",500
"Feb 18, 2022",500
"Feb 19, 2022",500.129
"Feb 20, 2022",500.257
"Feb 21, 2022",500
"Feb 22, 2022",500
"Feb 23, 2022",500
"Feb 24, 2022",500
"Feb 25, 2022",500
"Feb 26, 2022",500.128
"Feb 27, 2022",500.257
"Feb 28, 2022",500
"Mar 01, 2022",500
"Mar 02, 2022",500
"Mar 03, 2022",500
"Mar 04, 2022",500
"Mar 05, 2022",500.132
"Mar 06, 2022",500.264
"Mar 07, 2022",500
"Mar 08, 2022",500
"Mar 09, 2022",500
"Mar 10, 2022",500
"Mar 11, 2022",500
"Mar 12, 2022",500.132
"Mar 13, 2022",500.264
"Mar 14, 2022",500
"Mar 15, 2022",500
"Mar 16, 2022",500
"Mar 17, 2022",500
"Mar 18, 2022",500
"Mar 19, 2022",500.138
"Mar 20, 2022",500.276
"Mar 21, 2022",500
"Mar 22, 2022",500
"Mar 23, 2022",500.139
"Mar 24, 2022",500
"Mar 25, 2022",500
"Mar 26, 2022",500.164
"Mar 27, 2022",500.295
"Mar 28, 2022",500
"Mar 29, 2022",500
"Mar 30, 2022",500
"Mar 31, 2022",500
"Apr 01, 2022",500
"Apr 02, 2022",500.135
"Apr 03, 2022",500.271
"Apr 04, 2022",500
"Apr 05, 2022",500
"Apr 06, 2022",500
"Apr 07, 2022",500
