s_close,s_date
100,"Aug 12, 2020"
100,"Aug 13, 2020"
100,"Aug 14, 2020"
100,"Aug 15, 2020"
100,"Aug 16, 2020"
100,"Aug 17, 2020"
100,"Aug 18, 2020"
100,"Aug 19, 2020"
100,"Aug 20, 2020"
100,"Aug 21, 2020"
100,"Aug 22, 2020"
100,"Aug 23, 2020"
100,"Aug 24, 2020"
100,"Aug 25, 2020"
100,"Aug 26, 2020"
100,"Aug 27, 2020"
100,"Aug 28, 2020"
100,"Aug 29, 2020"
100,"Aug 30, 2020"
100,"Aug 31, 2020"
100,"Sep 01, 2020"
100,"Sep 02, 2020"
100,"Sep 03, 2020"
100,"Sep 04, 2020"
100,"Sep 05, 2020"
100,"Sep 06, 2020"
100,"Sep 07, 2020"
100,"Sep 08, 2020"
100,"Sep 09, 2020"
100,"Sep 10, 2020"
100,"Sep 11, 2020"
100,"Sep 12, 2020"
100,"Sep 13, 2020"
100,"Sep 14, 2020"
100,"Sep 15, 2020"
100,"Sep 16, 2020"
100,"Sep 17, 2020"
100,"Sep 18, 2020"
100,"Sep 19, 2020"
100,"Sep 20, 2020"
100,"Sep 21, 2020"
100,"Sep 22, 2020"
100,"Sep 23, 2020"
100,"Sep 24, 2020"
100,"Sep 25, 2020"
100,"Sep 26, 2020"
100,"Sep 27, 2020"
100,"Sep 28, 2020"
100,"Sep 29, 2020"
100,"Sep 30, 2020"
100,"Oct 01, 2020"
100,"Oct 02, 2020"
100,"Oct 03, 2020"
100,"Oct 04, 2020"
100,"Oct 05, 2020"
100,"Oct 06, 2020"
100,"Oct 07, 2020"
100,"Oct 08, 2020"
100,"Oct 09, 2020"
100,"Oct 10, 2020"
100,"Oct 11, 2020"
100,"Oct 12, 2020"
100,"Oct 13, 2020"
100,"Oct 14, 2020"
100,"Oct 15, 2020"
100,"Oct 16, 2020"
100,"Oct 17, 2020"
100,"Oct 18, 2020"
100,"Oct 19, 2020"
100,"Oct 20, 2020"
100,"Oct 21, 2020"
