Date,Price
"Mar 13, 2024",100
"Mar 14, 2024",100.052
"Mar 15, 2024",100.104
"Mar 18, 2024",100.256
"Mar 19, 2024",100.309
"Mar 20, 2024",100.362
"Mar 21, 2024",100.406
"Mar 22, 2024",100.46
"Mar 25, 2024",100.626
"Mar 26, 2024",100.68
"Mar 27, 2024",100.735
"Mar 28, 2024",100.79
"Mar 29, 2024",100.845
"Apr 01, 2024",100.995
"Apr 02, 2024",101.05
"Apr 03, 2024",101.106
"Apr 04, 2024",101.162
"Apr 05, 2024",101.217
"Apr 08, 2024",101.383
"Apr 09, 2024",101.436
"Apr 15, 2024",101.762
"Apr 16, 2024",101.814
"Apr 17, 2024",101.866
"Apr 18, 2024",101.918
"Apr 19, 2024",101.971
"Apr 22, 2024",102.132
"Apr 23, 2024",102.186
"Apr 24, 2024",102.24
"Apr 25, 2024",102.294
"Apr 26, 2024",102.347
"Apr 29, 2024",102.508
"Apr 30, 2024",102.561
"May 02, 2024",102.665
"May 03, 2024",102.734
"May 06, 2024",102.894
"May 07, 2024",102.947
"May 08, 2024",102.999
"May 09, 2024",103.052
"May 10, 2024",103.123
"May 13, 2024",103.266
"May 14, 2024",103.319
"May 15, 2024",103.369
"May 16, 2024",103.422
"May 17, 2024",103.499
"May 20, 2024",103.675
"May 21, 2024",103.719
"May 22, 2024",103.776
"May 23, 2024",103.829
"May 24, 2024",103.907
"May 27, 2024",104.056
"May 29, 2024",104.162
"May 30, 2024",104.217
"May 31, 2024",104.286
"Jun 03, 2024",104.43
"Jun 04, 2024",104.483
"Jun 05, 2024",104.801
"Jun 06, 2024",104.599
"Jun 07, 2024",104.657
"Jun 10, 2024",104.801
"Jun 11, 2024",104.852
"Jun 12, 2024",104.903
"Jun 13, 2024",104.952
"Jun 14, 2024",105.03
"Jun 20, 2024",105.329
"Jun 21, 2024",105.39
"Jun 24, 2024",105.502
"Jun 25, 2024",105.55
"Jun 26, 2024",105.625
"Jun 27, 2024",105.671
"Jun 28, 2024",105.768
"Jul 02, 2024",100.243
"Jul 03, 2024",100.295
"Jul 04, 2024",100.346
"Jul 05, 2024",100.406
"Jul 06, 2024",100.545
"Jul 08, 2024",100.545
"Jul 09, 2024",100.593
"Jul 10, 2024",100.643
"Jul 11, 2024",100.688
"Jul 12, 2024",100.746
"Jul 15, 2024",100.891
"Jul 18, 2024",101.008
"Jul 19, 2024",101.062
"Jul 22, 2024",101.182
"Jul 23, 2024",101.228
"Jul 25, 2024",101.316
"Jul 29, 2024",101.52
"Jul 30, 2024",101.567
"Jul 31, 2024",101.644
"Aug 01, 2024",101.68
"Aug 02, 2024",101.752
"Aug 05, 2024",101.947
"Aug 06, 2024",101.898
"Aug 07, 2024",101.946
"Aug 15, 2024",102.325
"Aug 19, 2024",102.528
"Aug 20, 2024",102.583
"Aug 21, 2024",102.634
"Aug 22, 2024",102.681
"Aug 23, 2024",102.761
"Aug 26, 2024",102.877
"Aug 27, 2024",102.935
"Aug 28, 2024",102.981
"Aug 29, 2024",103.032
"Aug 30, 2024",103.104
"Sep 02, 2024",103.221
"Sep 03, 2024",103.276
"Sep 04, 2024",103.323
"Sep 05, 2024",103.377
"Sep 09, 2024",103.598
"Sep 10, 2024",103.652
"Sep 11, 2024",103.636
"Sep 19, 2024",104.041
"Sep 20, 2024",104.119
"Sep 23, 2024",104.244
"Sep 26, 2024",104.377
"Oct 04, 2024",104.774
"Oct 07, 2024",104.88
"Oct 09, 2024",104.974
"Oct 10, 2024",105.055
"Oct 11, 2024",105.118
"Oct 16, 2024",105.291
"Oct 21, 2024",105.493
"Oct 22, 2024",105.541
"Oct 23, 2024",105.59
"Oct 25, 2024",105.709
"Oct 28, 2024",105.838
"Oct 29, 2024",105.878
"Oct 30, 2024",105.938
"Oct 31, 2024",105.996
"Nov 01, 2024",106.083
"Nov 04, 2024",106.18
"Nov 05, 2024",106.217
"Nov 06, 2024",106.315
"Nov 07, 2024",106.369
"Nov 08, 2024",106.422
"Nov 11, 2024",106.492
"Nov 12, 2024",110.205
"Nov 13, 2024",106.57
"Nov 14, 2024",106.602
"Nov 15, 2024",106.664
"Nov 18, 2024",106.74
"Nov 19, 2024",106.772
"Nov 20, 2024",106.806
"Nov 21, 2024",106.838
"Nov 22, 2024",106.896
"Nov 25, 2024",106.99
"Nov 26, 2024",107.027
"Nov 27, 2024",107.027
"Nov 28, 2024",107.117
"Nov 29, 2024",107.184
"Dec 02, 2024",107.268
"Dec 03, 2024",107.347
"Dec 09, 2024",107.553
"Dec 10, 2024",107.59
"Dec 11, 2024",107.62
"Dec 12, 2024",107.657
"Dec 13, 2024",107.701
"Dec 16, 2024",107.773
"Dec 17, 2024",107.798
"Dec 18, 2024",107.821
"Dec 19, 2024",107.851
"Dec 20, 2024",107.887
"Dec 23, 2024",107.966
"Dec 24, 2024",108.006
"Dec 26, 2024",108.06
"Dec 27, 2024",108.107
"Dec 30, 2024",108.16
"Jan 02, 2025",108.279
"Jan 03, 2025",108.309
"Jan 06, 2025",108.403
"Jan 07, 2025",108.436
"Jan 08, 2025",108.422
"Jan 09, 2025",108.443
"Jan 10, 2025",108.476
"Jan 13, 2025",108.531
"Jan 14, 2025",108.558
"Jan 15, 2025",108.608
"Jan 16, 2025",108.609
"Jan 17, 2025",108.647
"Jan 20, 2025",108.755
"Jan 21, 2025",108.785
"Jan 22, 2025",108.806
"Jan 23, 2025",108.837
"Jan 24, 2025",108.876
"Jan 27, 2025",108.968
"Jan 28, 2025",109.007
"Jan 29, 2025",109.034
"Jan 30, 2025",109.033
"Jan 31, 2025",109.063
"Feb 03, 2025",109.14
"Feb 04, 2025",109.169
"Feb 06, 2025",109.229
"Feb 12, 2025",109.361
"Feb 13, 2025",109.382
"Feb 17, 2025",109.666
"Feb 18, 2025",109.506
"Feb 19, 2025",109.53
"Feb 20, 2025",109.561
"Feb 21, 2025",109.589
"Feb 26, 2025",109.699
"Feb 27, 2025",109.728
"Mar 06, 2025",109.892
"Mar 07, 2025",109.914
"Mar 10, 2025",109.99
"Mar 11, 2025",109.9
"Mar 12, 2025",110.034
"Mar 13, 2025",110.062
"Mar 14, 2025",110.065
"Mar 17, 2025",110.159
"Mar 18, 2025",110.205
"Mar 19, 2025",110.231
"Mar 20, 2025",110.261
"Mar 21, 2025",110.306
"Mar 24, 2025",110.369
"Mar 25, 2025",110.393
"Mar 26, 2025",110.414
"Mar 27, 2025",110.472
"Apr 03, 2025",110.61
"Apr 04, 2025",110.778
"Apr 07, 2025",110.705
"Apr 08, 2025",110.74
"Apr 09, 2025",110.758
"Apr 10, 2025",110.794
"Apr 14, 2025",110.88
"Apr 15, 2025",110.901
"Apr 16, 2025",110.95
"Apr 17, 2025",110.974
"Apr 18, 2025",110.995
