s_close,s_date
10,"Nov 16, 2023"
10.0144,"Nov 17, 2023"
10.0203,"Nov 18, 2023"
10.0253,"Nov 19, 2023"
10.0302,"Nov 20, 2023"
10.0335,"Nov 21, 2023"
10.039,"Nov 22, 2023"
10.044,"Nov 23, 2023"
10.0484,"Nov 24, 2023"
10.0541,"Nov 25, 2023"
10.0597,"Nov 26, 2023"
10.0653,"Nov 27, 2023"
10.071,"Nov 28, 2023"
10.0767,"Nov 29, 2023"
10.0824,"Nov 30, 2023"
10.0877,"Dec 01, 2023"
10.0932,"Dec 02, 2023"
10.099,"Dec 03, 2023"
10.1047,"Dec 04, 2023"
10.1104,"Dec 05, 2023"
10.1163,"Dec 06, 2023"
10.1221,"Dec 07, 2023"
10.1273,"Dec 08, 2023"
10.1333,"Dec 09, 2023"
10.139,"Dec 10, 2023"
10.1448,"Dec 11, 2023"
10.1504,"Dec 12, 2023"
10.1549,"Dec 13, 2023"
10.1615,"Dec 14, 2023"
10.1651,"Dec 15, 2023"
10.1733,"Dec 16, 2023"
10.1784,"Dec 17, 2023"
10.1836,"Dec 18, 2023"
10.1899,"Dec 19, 2023"
10.196,"Dec 20, 2023"
10.2013,"Dec 21, 2023"
10.2074,"Dec 22, 2023"
10.2124,"Dec 23, 2023"
10.2185,"Dec 24, 2023"
10.2246,"Dec 25, 2023"
10.2307,"Dec 26, 2023"
10.236,"Dec 27, 2023"
10.241,"Dec 28, 2023"
10.2488,"Dec 29, 2023"
10.2563,"Dec 30, 2023"
10.266,"Dec 31, 2023"
10.2677,"Jan 01, 2024"
10.2688,"Jan 02, 2024"
10.2741,"Jan 03, 2024"
10.2803,"Jan 04, 2024"
10.2848,"Jan 05, 2024"
10.29,"Jan 06, 2024"
10.295,"Jan 07, 2024"
10.3,"Jan 08, 2024"
10.3051,"Jan 09, 2024"
10.3102,"Jan 10, 2024"
10.3156,"Jan 11, 2024"
10.3267,"Jan 12, 2024"
10.332,"Jan 13, 2024"
10.3372,"Jan 14, 2024"
10.3424,"Jan 15, 2024"
10.3482,"Jan 16, 2024"
10.3548,"Jan 17, 2024"
10.3603,"Jan 18, 2024"
10.3774,"Jan 19, 2024"
10.3823,"Jan 20, 2024"
10.3877,"Jan 21, 2024"
10.3949,"Jan 22, 2024"
10.3989,"Jan 23, 2024"
10.4046,"Jan 24, 2024"
10.4111,"Jan 25, 2024"
10.4182,"Jan 26, 2024"
10.4309,"Jan 27, 2024"
10.436,"Jan 28, 2024"
10.4412,"Jan 29, 2024"
10.4461,"Jan 30, 2024"
10.4516,"Jan 31, 2024"
10.4565,"Feb 01, 2024"
10.4614,"Feb 02, 2024"
10.4667,"Feb 03, 2024"
10.4722,"Feb 04, 2024"
10.4777,"Feb 05, 2024"
10.4832,"Feb 06, 2024"
10.4888,"Feb 07, 2024"
10.4968,"Feb 08, 2024"
10.5021,"Feb 09, 2024"
10.5052,"Feb 10, 2024"
10.5105,"Feb 11, 2024"
10.5158,"Feb 12, 2024"
10.5202,"Feb 13, 2024"
10.5254,"Feb 14, 2024"
10.5312,"Feb 15, 2024"
10.5363,"Feb 16, 2024"
10.539,"Feb 17, 2024"
10.5445,"Feb 18, 2024"
10.5499,"Feb 19, 2024"
10.5541,"Feb 20, 2024"
10.5581,"Feb 21, 2024"
10.564,"Feb 22, 2024"
10.5707,"Feb 23, 2024"
10.5765,"Feb 24, 2024"
10.5822,"Feb 25, 2024"
10.5879,"Feb 26, 2024"
10.5933,"Feb 27, 2024"
10.5992,"Feb 28, 2024"
10.6043,"Feb 29, 2024"
10.6133,"Mar 01, 2024"
10.6191,"Mar 02, 2024"
10.625,"Mar 03, 2024"
10.631,"Mar 04, 2024"
10.6391,"Mar 05, 2024"
10.6433,"Mar 06, 2024"
10.6467,"Mar 07, 2024"
10.6534,"Mar 08, 2024"
10.6596,"Mar 09, 2024"
10.6654,"Mar 10, 2024"
10.6712,"Mar 11, 2024"
10.6777,"Mar 12, 2024"
10.6835,"Mar 13, 2024"
10.6891,"Mar 14, 2024"
10.6939,"Mar 15, 2024"
10.7003,"Mar 16, 2024"
10.7061,"Mar 17, 2024"
10.7118,"Mar 18, 2024"
10.7172,"Mar 19, 2024"
10.7181,"Mar 20, 2024"
10.7214,"Mar 21, 2024"
10.7244,"Mar 22, 2024"
10.7279,"Mar 23, 2024"
10.7337,"Mar 24, 2024"
10.7395,"Mar 25, 2024"
10.7463,"Mar 26, 2024"
10.7511,"Mar 27, 2024"
10.7564,"Mar 28, 2024"
10.7613,"Mar 29, 2024"
10.767,"Mar 30, 2024"
10.7728,"Mar 31, 2024"
10.7785,"Apr 01, 2024"
10.7856,"Apr 02, 2024"
10.7922,"Apr 03, 2024"
10.798,"Apr 04, 2024"
10.8031,"Apr 05, 2024"
10.8084,"Apr 06, 2024"
10.8139,"Apr 07, 2024"
10.8194,"Apr 08, 2024"
10.8245,"Apr 09, 2024"
10.8296,"Apr 10, 2024"
10.8351,"Apr 11, 2024"
10.8406,"Apr 12, 2024"
10.8461,"Apr 13, 2024"
10.8516,"Apr 14, 2024"
10.857,"Apr 15, 2024"
10.8619,"Apr 16, 2024"
10.8676,"Apr 17, 2024"
10.8737,"Apr 18, 2024"
10.8808,"Apr 19, 2024"
10.8864,"Apr 20, 2024"
10.8924,"Apr 21, 2024"
10.8983,"Apr 22, 2024"
10.9042,"Apr 23, 2024"
10.9108,"Apr 24, 2024"
10.925,"Apr 25, 2024"
10.925,"Apr 26, 2024"
10.9309,"Apr 27, 2024"
10.937,"Apr 28, 2024"
10.943,"Apr 29, 2024"
10.9494,"Apr 30, 2024"
10.9555,"May 01, 2024"
10.9619,"May 02, 2024"
10.9672,"May 03, 2024"
10.9731,"May 04, 2024"
10.9792,"May 05, 2024"
10.9853,"May 06, 2024"
10.9925,"May 07, 2024"
10.9944,"May 08, 2024"
11.0046,"May 09, 2024"
11.0112,"May 10, 2024"
11.0171,"May 11, 2024"
11.023,"May 12, 2024"
11.029,"May 13, 2024"
11.0347,"May 14, 2024"
11.0413,"May 15, 2024"
11.0476,"May 16, 2024"
11.0572,"May 17, 2024"
11.0633,"May 18, 2024"
11.0692,"May 19, 2024"
11.0751,"May 20, 2024"
11.0812,"May 21, 2024"
11.0862,"May 22, 2024"
11.0917,"May 23, 2024"
11.0974,"May 24, 2024"
11.1035,"May 25, 2024"
11.1095,"May 26, 2024"
11.1155,"May 27, 2024"
11.1215,"May 28, 2024"
11.1275,"May 29, 2024"
11.1339,"May 30, 2024"
11.1413,"May 31, 2024"
11.1466,"Jun 01, 2024"
11.1527,"Jun 02, 2024"
11.1587,"Jun 03, 2024"
11.1658,"Jun 04, 2024"
11.1722,"Jun 05, 2024"
11.178,"Jun 06, 2024"
11.1839,"Jun 07, 2024"
11.1893,"Jun 08, 2024"
11.1952,"Jun 09, 2024"
11.2011,"Jun 10, 2024"
11.2077,"Jun 11, 2024"
11.2155,"Jun 12, 2024"
11.2213,"Jun 13, 2024"
11.2249,"Jun 14, 2024"
11.2288,"Jun 15, 2024"
11.2344,"Jun 16, 2024"
11.24,"Jun 17, 2024"
11.2456,"Jun 18, 2024"
11.2512,"Jun 19, 2024"
11.2568,"Jun 20, 2024"
11.2603,"Jun 21, 2024"
11.2657,"Jun 22, 2024"
11.2713,"Jun 23, 2024"
11.277,"Jun 24, 2024"
11.2833,"Jun 25, 2024"
11.2905,"Jun 26, 2024"
11.2992,"Jun 27, 2024"
11.3063,"Jun 28, 2024"
10,"Jun 29, 2024"
10.0047,"Jun 30, 2024"
10.0096,"Jul 01, 2024"
