s_close,s_date
100.049,"Mar 04, 2023"
100.1,"Mar 05, 2023"
100.15,"Mar 06, 2023"
100.2,"Mar 07, 2023"
100.249,"Mar 08, 2023"
100.299,"Mar 09, 2023"
100.35,"Mar 10, 2023"
100.411,"Mar 11, 2023"
100.461,"Mar 12, 2023"
100.511,"Mar 13, 2023"
100.566,"Mar 14, 2023"
100.63,"Mar 15, 2023"
100.69,"Mar 16, 2023"
100.751,"Mar 17, 2023"
100.804,"Mar 18, 2023"
100.854,"Mar 19, 2023"
100.904,"Mar 20, 2023"
100.987,"Mar 21, 2023"
101.042,"Mar 22, 2023"
101.117,"Mar 23, 2023"
101.157,"Mar 24, 2023"
101.197,"Mar 25, 2023"
101.236,"Mar 26, 2023"
101.29,"Mar 27, 2023"
101.343,"Mar 28, 2023"
101.396,"Mar 29, 2023"
101.449,"Mar 30, 2023"
101.502,"Mar 31, 2023"
101.554,"Apr 01, 2023"
101.596,"Apr 02, 2023"
101.652,"Apr 03, 2023"
101.705,"Apr 04, 2023"
101.759,"Apr 05, 2023"
101.815,"Apr 06, 2023"
101.871,"Apr 07, 2023"
101.929,"Apr 08, 2023"
101.986,"Apr 09, 2023"
102.043,"Apr 10, 2023"
102.094,"Apr 11, 2023"
102.148,"Apr 12, 2023"
102.209,"Apr 13, 2023"
102.201,"Apr 14, 2023"
102.317,"Apr 15, 2023"
102.371,"Apr 16, 2023"
102.426,"Apr 17, 2023"
102.487,"Apr 18, 2023"
102.543,"Apr 19, 2023"
102.595,"Apr 20, 2023"
102.645,"Apr 21, 2023"
102.702,"Apr 22, 2023"
102.803,"Apr 23, 2023"
102.859,"Apr 24, 2023"
102.916,"Apr 25, 2023"
102.978,"Apr 26, 2023"
103.037,"Apr 27, 2023"
103.093,"Apr 28, 2023"
103.151,"Apr 29, 2023"
103.207,"Apr 30, 2023"
103.262,"May 01, 2023"
103.322,"May 02, 2023"
103.379,"May 03, 2023"
100.5,"May 04, 2023"
100.555,"May 05, 2023"
100.62,"May 06, 2023"
100.676,"May 07, 2023"
100.736,"May 08, 2023"
100.79,"May 09, 2023"
100.848,"May 10, 2023"
100.905,"May 11, 2023"
100.97,"May 12, 2023"
101.027,"May 13, 2023"
101.084,"May 14, 2023"
101.143,"May 15, 2023"
101.198,"May 16, 2023"
101.249,"May 17, 2023"
101.303,"May 18, 2023"
101.366,"May 19, 2023"
101.42,"May 20, 2023"
101.473,"May 21, 2023"
101.527,"May 22, 2023"
101.576,"May 23, 2023"
101.628,"May 24, 2023"
101.665,"May 25, 2023"
101.716,"May 26, 2023"
101.762,"May 27, 2023"
101.818,"May 28, 2023"
101.874,"May 29, 2023"
101.925,"May 30, 2023"
