s_close,s_date
10,"Jan 22, 2016"
10.0043,"Jan 25, 2016"
10.0058,"Jan 26, 2016"
10.0073,"Jan 27, 2016"
10.0088,"Jan 28, 2016"
10.011,"Jan 29, 2016"
10.0165,"Feb 01, 2016"
10.0169,"Feb 02, 2016"
10.0184,"Feb 03, 2016"
10.0193,"Feb 04, 2016"
10.0252,"Feb 08, 2016"
10.0264,"Feb 09, 2016"
10.0279,"Feb 10, 2016"
10.0293,"Feb 11, 2016"
10.031,"Feb 12, 2016"
10.0354,"Feb 15, 2016"
10.0367,"Feb 16, 2016"
10.038,"Feb 17, 2016"
10.0398,"Feb 18, 2016"
10.0414,"Feb 19, 2016"
10.0457,"Feb 22, 2016"
10.047,"Feb 23, 2016"
10.0482,"Feb 24, 2016"
10.0498,"Feb 25, 2016"
10.0512,"Feb 26, 2016"
10.0553,"Feb 29, 2016"
10.0569,"Mar 01, 2016"
10.0583,"Mar 02, 2016"
10.0601,"Mar 03, 2016"
10.0616,"Mar 04, 2016"
10.0659,"Mar 07, 2016"
10.0675,"Mar 08, 2016"
10.0688,"Mar 09, 2016"
10.0703,"Mar 10, 2016"
10.0717,"Mar 11, 2016"
10.076,"Mar 14, 2016"
10.0774,"Mar 15, 2016"
10.0786,"Mar 16, 2016"
10.08,"Mar 17, 2016"
10.0814,"Mar 18, 2016"
10.0858,"Mar 21, 2016"
10.0872,"Mar 22, 2016"
10.0899,"Mar 24, 2016"
10.0913,"Mar 25, 2016"
10.0959,"Mar 28, 2016"
10.0973,"Mar 29, 2016"
10.0986,"Mar 30, 2016"
10.0998,"Mar 31, 2016"
10.1013,"Apr 01, 2016"
10.1056,"Apr 04, 2016"
10.1071,"Apr 05, 2016"
10.1086,"Apr 06, 2016"
10.1101,"Apr 07, 2016"
10.1113,"Apr 08, 2016"
10.1156,"Apr 11, 2016"
10.1168,"Apr 12, 2016"
10.1182,"Apr 13, 2016"
10.1196,"Apr 14, 2016"
10.1211,"Apr 15, 2016"
10.1257,"Apr 18, 2016"
10.1273,"Apr 19, 2016"
10.1289,"Apr 20, 2016"
10.1301,"Apr 21, 2016"
10.132,"Apr 22, 2016"
10.1359,"Apr 25, 2016"
10.1372,"Apr 26, 2016"
10.1385,"Apr 27, 2016"
10.1395,"Apr 28, 2016"
10.1414,"Apr 29, 2016"
10.1456,"May 02, 2016"
10.147,"May 03, 2016"
10.1483,"May 04, 2016"
10.1498,"May 05, 2016"
10.1512,"May 06, 2016"
10.1551,"May 09, 2016"
10.1566,"May 10, 2016"
10.1579,"May 11, 2016"
10.1593,"May 12, 2016"
10.1598,"May 13, 2016"
10.164,"May 16, 2016"
10.1652,"May 17, 2016"
10.1665,"May 18, 2016"
10.1679,"May 19, 2016"
10.1692,"May 20, 2016"
10.1732,"May 23, 2016"
10.1771,"May 24, 2016"
10.1785,"May 25, 2016"
10.1802,"May 26, 2016"
10.1815,"May 27, 2016"
10.1853,"May 30, 2016"
10.1866,"May 31, 2016"
10.1878,"Jun 01, 2016"
10.1892,"Jun 02, 2016"
10.1906,"Jun 03, 2016"
10.1946,"Jun 06, 2016"
10.1958,"Jun 07, 2016"
10.1969,"Jun 08, 2016"
10.1978,"Jun 09, 2016"
10.1987,"Jun 10, 2016"
10.2026,"Jun 13, 2016"
10.0065,"Jun 16, 2016"
10.0075,"Jun 17, 2016"
10.0116,"Jun 20, 2016"
10.0127,"Jun 21, 2016"
10.0142,"Jun 22, 2016"
10.0154,"Jun 23, 2016"
10.0168,"Jun 24, 2016"
10.0209,"Jun 27, 2016"
10.0223,"Jun 28, 2016"
10.0238,"Jun 29, 2016"
10.0238,"Jun 30, 2016"
10.0216,"Jul 01, 2016"
10.0259,"Jul 04, 2016"
10.035,"Jul 11, 2016"
10.0356,"Jul 12, 2016"
10.0372,"Jul 13, 2016"
10.0388,"Jul 14, 2016"
10.0401,"Jul 15, 2016"
10.0443,"Jul 18, 2016"
10.046,"Jul 19, 2016"
10.0471,"Jul 20, 2016"
10.0484,"Jul 21, 2016"
10.0496,"Jul 22, 2016"
10.0535,"Jul 25, 2016"
10.0547,"Jul 26, 2016"
10.0563,"Jul 27, 2016"
10.0577,"Jul 28, 2016"
10.0591,"Jul 29, 2016"
10.0634,"Aug 01, 2016"
10.0643,"Aug 02, 2016"
10.0654,"Aug 03, 2016"
10.0664,"Aug 04, 2016"
10.0675,"Aug 05, 2016"
10.0718,"Aug 08, 2016"
10.0732,"Aug 09, 2016"
10.0742,"Aug 10, 2016"
10.0753,"Aug 11, 2016"
10.0766,"Aug 12, 2016"
10.0808,"Aug 15, 2016"
10.0821,"Aug 16, 2016"
10.0835,"Aug 17, 2016"
10.0848,"Aug 18, 2016"
10.0862,"Aug 19, 2016"
10.0903,"Aug 22, 2016"
10.0915,"Aug 23, 2016"
10.0929,"Aug 24, 2016"
10.0941,"Aug 25, 2016"
10.0955,"Aug 26, 2016"
10.0996,"Aug 29, 2016"
10.1009,"Aug 30, 2016"
10.1023,"Aug 31, 2016"
10.1035,"Sep 01, 2016"
10.1049,"Sep 02, 2016"
10.1091,"Sep 05, 2016"
10.1105,"Sep 06, 2016"
10.1117,"Sep 07, 2016"
10.113,"Sep 08, 2016"
10.1143,"Sep 09, 2016"
10.1226,"Sep 15, 2016"
10.124,"Sep 16, 2016"
10.1282,"Sep 19, 2016"
10.1296,"Sep 20, 2016"
10.1309,"Sep 21, 2016"
10.1323,"Sep 22, 2016"
10.1336,"Sep 23, 2016"
10.1379,"Sep 26, 2016"
10.1391,"Sep 27, 2016"
10.1406,"Sep 28, 2016"
10.142,"Sep 29, 2016"
10.1432,"Sep 30, 2016"
10.1474,"Oct 03, 2016"
10.1492,"Oct 04, 2016"
10.1506,"Oct 05, 2016"
10.1519,"Oct 06, 2016"
10.1533,"Oct 07, 2016"
10.1574,"Oct 10, 2016"
10.1617,"Oct 13, 2016"
10.1632,"Oct 14, 2016"
10.1672,"Oct 17, 2016"
10.1687,"Oct 18, 2016"
10.1702,"Oct 19, 2016"
10.1716,"Oct 20, 2016"
10.173,"Oct 21, 2016"
10.1772,"Oct 24, 2016"
10.1786,"Oct 25, 2016"
10.18,"Oct 26, 2016"
10.1814,"Oct 27, 2016"
10.1828,"Oct 28, 2016"
10.1869,"Oct 31, 2016"
10.1883,"Nov 01, 2016"
10.1897,"Nov 02, 2016"
10.1911,"Nov 03, 2016"
10.1925,"Nov 04, 2016"
10.1968,"Nov 07, 2016"
10.1982,"Nov 08, 2016"
10.1996,"Nov 09, 2016"
10.2007,"Nov 10, 2016"
10.2016,"Nov 11, 2016"
10.2059,"Nov 14, 2016"
10.2073,"Nov 15, 2016"
10.2087,"Nov 16, 2016"
10.2101,"Nov 17, 2016"
10.2116,"Nov 18, 2016"
10.2157,"Nov 21, 2016"
10.2171,"Nov 22, 2016"
10.2185,"Nov 23, 2016"
10.2199,"Nov 24, 2016"
10.2213,"Nov 25, 2016"
10.2255,"Nov 28, 2016"
10.2268,"Nov 29, 2016"
10.2282,"Nov 30, 2016"
10.2295,"Dec 01, 2016"
10.2308,"Dec 02, 2016"
10.235,"Dec 05, 2016"
10.2364,"Dec 06, 2016"
10.2378,"Dec 07, 2016"
10.2392,"Dec 08, 2016"
10.2406,"Dec 09, 2016"
10.2462,"Dec 13, 2016"
10.2476,"Dec 14, 2016"
10.2489,"Dec 15, 2016"
10.2503,"Dec 16, 2016"
10.2548,"Dec 19, 2016"
10.2562,"Dec 20, 2016"
10.2577,"Dec 21, 2016"
10.2591,"Dec 22, 2016"
10.2603,"Dec 23, 2016"
10.2647,"Dec 26, 2016"
10.2662,"Dec 27, 2016"
10.2677,"Dec 28, 2016"
10.2691,"Dec 29, 2016"
10.2706,"Dec 30, 2016"
10.2766,"Jan 03, 2017"
10.2786,"Jan 04, 2017"
10.28,"Jan 05, 2017"
10.2816,"Jan 06, 2017"
10.2859,"Jan 09, 2017"
10.2872,"Jan 10, 2017"
10.2886,"Jan 11, 2017"
10.2901,"Jan 12, 2017"
10.2814,"Jan 13, 2017"
10.2858,"Jan 16, 2017"
10.287,"Jan 17, 2017"
10.2882,"Jan 18, 2017"
10.2896,"Jan 19, 2017"
10.291,"Jan 20, 2017"
10.2951,"Jan 23, 2017"
10.2964,"Jan 24, 2017"
10.2978,"Jan 25, 2017"
10.2993,"Jan 26, 2017"
10.3007,"Jan 27, 2017"
10.305,"Jan 30, 2017"
10.3062,"Jan 31, 2017"
