s_close,s_date
100,"Oct 13, 2010"
100.036,"Oct 14, 2010"
100.067,"Oct 15, 2010"
100.153,"Oct 18, 2010"
100.182,"Oct 19, 2010"
100.209,"Oct 20, 2010"
100.288,"Oct 21, 2010"
100.313,"Oct 22, 2010"
100.405,"Oct 25, 2010"
100.435,"Oct 26, 2010"
100.462,"Oct 27, 2010"
100.488,"Oct 28, 2010"
100.512,"Oct 29, 2010"
100.603,"Nov 01, 2010"
100.639,"Nov 02, 2010"
100.663,"Nov 03, 2010"
100.704,"Nov 04, 2010"
100.733,"Nov 05, 2010"
100.826,"Nov 08, 2010"
100.884,"Nov 10, 2010"
100.909,"Nov 11, 2010"
100.938,"Nov 12, 2010"
101.026,"Nov 15, 2010"
101.064,"Nov 16, 2010"
101.244,"Nov 22, 2010"
101.264,"Nov 23, 2010"
101.289,"Nov 24, 2010"
101.318,"Nov 25, 2010"
101.34,"Nov 26, 2010"
101.359,"Nov 27, 2010"
101.41,"Nov 29, 2010"
101.435,"Nov 30, 2010"
101.448,"Dec 01, 2010"
101.495,"Dec 02, 2010"
101.531,"Dec 03, 2010"
101.563,"Dec 04, 2010"
101.623,"Dec 06, 2010"
101.654,"Dec 07, 2010"
101.684,"Dec 08, 2010"
101.713,"Dec 09, 2010"
101.742,"Dec 10, 2010"
101.773,"Dec 11, 2010"
101.836,"Dec 13, 2010"
101.872,"Dec 14, 2010"
101.9,"Dec 15, 2010"
102.004,"Dec 18, 2010"
102.063,"Dec 20, 2010"
102.089,"Dec 21, 2010"
102.121,"Dec 22, 2010"
102.148,"Dec 23, 2010"
102.179,"Dec 24, 2010"
102.279,"Dec 27, 2010"
102.309,"Dec 28, 2010"
102.336,"Dec 29, 2010"
102.4,"Dec 31, 2010"
102.432,"Jan 01, 2011"
102.494,"Jan 03, 2011"
102.527,"Jan 04, 2011"
102.584,"Jan 05, 2011"
102.612,"Jan 06, 2011"
102.646,"Jan 07, 2011"
102.678,"Jan 08, 2011"
102.742,"Jan 10, 2011"
102.775,"Jan 11, 2011"
102.806,"Jan 12, 2011"
102.858,"Jan 13, 2011"
102.881,"Jan 14, 2011"
102.912,"Jan 15, 2011"
102.977,"Jan 17, 2011"
103.008,"Jan 18, 2011"
103.04,"Jan 19, 2011"
103.073,"Jan 20, 2011"
103.106,"Jan 21, 2011"
103.137,"Jan 22, 2011"
103.202,"Jan 24, 2011"
103.231,"Jan 25, 2011"
103.262,"Jan 26, 2011"
103.303,"Jan 27, 2011"
103.326,"Jan 28, 2011"
103.359,"Jan 29, 2011"
103.424,"Jan 31, 2011"
103.459,"Feb 01, 2011"
103.493,"Feb 02, 2011"
103.527,"Feb 03, 2011"
103.559,"Feb 04, 2011"
103.657,"Feb 07, 2011"
103.691,"Feb 08, 2011"
103.723,"Feb 09, 2011"
103.767,"Feb 10, 2011"
103.8,"Feb 11, 2011"
103.832,"Feb 12, 2011"
103.901,"Feb 14, 2011"
103.935,"Feb 15, 2011"
103.999,"Feb 17, 2011"
104.028,"Feb 18, 2011"
104.062,"Feb 19, 2011"
104.132,"Feb 21, 2011"
104.166,"Feb 22, 2011"
104.195,"Feb 23, 2011"
104.226,"Feb 24, 2011"
104.259,"Feb 25, 2011"
104.289,"Feb 26, 2011"
104.356,"Feb 28, 2011"
104.39,"Mar 01, 2011"
104.419,"Mar 02, 2011"
104.455,"Mar 03, 2011"
104.488,"Mar 04, 2011"
104.52,"Mar 05, 2011"
104.588,"Mar 07, 2011"
104.618,"Mar 08, 2011"
104.65,"Mar 09, 2011"
104.688,"Mar 10, 2011"
104.729,"Mar 11, 2011"
104.766,"Mar 12, 2011"
104.832,"Mar 14, 2011"
104.868,"Mar 15, 2011"
104.897,"Mar 16, 2011"
104.928,"Mar 17, 2011"
104.961,"Mar 18, 2011"
104.994,"Mar 19, 2011"
105.058,"Mar 21, 2011"
105.09,"Mar 22, 2011"
105.16,"Mar 24, 2011"
105.198,"Mar 25, 2011"
105.227,"Mar 26, 2011"
105.29,"Mar 28, 2011"
105.316,"Mar 29, 2011"
105.347,"Mar 30, 2011"
105.38,"Mar 31, 2011"
105.412,"Apr 01, 2011"
105.446,"Apr 02, 2011"
105.511,"Apr 04, 2011"
105.542,"Apr 05, 2011"
105.575,"Apr 06, 2011"
105.627,"Apr 07, 2011"
105.662,"Apr 08, 2011"
105.695,"Apr 09, 2011"
105.76,"Apr 11, 2011"
105.794,"Apr 12, 2011"
105.83,"Apr 13, 2011"
105.866,"Apr 14, 2011"
105.902,"Apr 15, 2011"
105.932,"Apr 16, 2011"
106,"Apr 18, 2011"
106.035,"Apr 19, 2011"
106.069,"Apr 20, 2011"
106.103,"Apr 21, 2011"
106.148,"Apr 22, 2011"
106.186,"Apr 23, 2011"
106.257,"Apr 25, 2011"
106.286,"Apr 26, 2011"
106.32,"Apr 27, 2011"
106.36,"Apr 28, 2011"
106.391,"Apr 29, 2011"
106.426,"Apr 30, 2011"
106.488,"May 02, 2011"
106.526,"May 03, 2011"
106.563,"May 04, 2011"
106.61,"May 05, 2011"
106.671,"May 06, 2011"
106.699,"May 07, 2011"
106.764,"May 09, 2011"
106.794,"May 10, 2011"
106.832,"May 11, 2011"
106.858,"May 12, 2011"
106.894,"May 13, 2011"
106.925,"May 14, 2011"
106.985,"May 16, 2011"
107.01,"May 17, 2011"
107.047,"May 18, 2011"
107.074,"May 19, 2011"
107.081,"May 20, 2011"
107.114,"May 21, 2011"
107.179,"May 23, 2011"
107.213,"May 24, 2011"
107.242,"May 25, 2011"
107.28,"May 26, 2011"
107.304,"May 27, 2011"
107.338,"May 28, 2011"
107.405,"May 30, 2011"
107.436,"May 31, 2011"
107.465,"Jun 01, 2011"
107.504,"Jun 02, 2011"
107.522,"Jun 03, 2011"
107.554,"Jun 04, 2011"
107.622,"Jun 06, 2011"
107.671,"Jun 07, 2011"
107.7,"Jun 08, 2011"
107.732,"Jun 09, 2011"
107.764,"Jun 10, 2011"
107.804,"Jun 11, 2011"
107.876,"Jun 13, 2011"
107.909,"Jun 14, 2011"
107.942,"Jun 15, 2011"
107.973,"Jun 16, 2011"
107.998,"Jun 17, 2011"
108.029,"Jun 18, 2011"
108.096,"Jun 20, 2011"
108.13,"Jun 21, 2011"
108.163,"Jun 22, 2011"
108.2,"Jun 23, 2011"
108.236,"Jun 24, 2011"
108.272,"Jun 25, 2011"
108.343,"Jun 27, 2011"
108.377,"Jun 28, 2011"
100.103,"Jun 29, 2011"
100.137,"Jun 30, 2011"
100.173,"Jul 01, 2011"
100.206,"Jul 02, 2011"
