s_close,s_date
100,"May 19, 2010"
99.9183,"May 20, 2010"
99.9216,"May 21, 2010"
99.5182,"May 24, 2010"
98.9911,"May 25, 2010"
99.4995,"May 26, 2010"
99.1421,"May 27, 2010"
99.3647,"May 28, 2010"
99.1079,"May 31, 2010"
99.0171,"Jun 01, 2010"
99.4901,"Jun 02, 2010"
99.6497,"Jun 03, 2010"
99.7028,"Jun 04, 2010"
99.8664,"Jun 07, 2010"
99.8992,"Jun 08, 2010"
99.6911,"Jun 09, 2010"
98.9464,"Jun 10, 2010"
99.1538,"Jun 11, 2010"
98.5521,"Jun 14, 2010"
98.54,"Jun 15, 2010"
99.15,"Jun 16, 2010"
99.49,"Jun 17, 2010"
99.18,"Jun 18, 2010"
99.18,"Jun 21, 2010"
99.28,"Jun 22, 2010"
99.21,"Jun 23, 2010"
99.03,"Jun 24, 2010"
98.95,"Jun 25, 2010"
98.5,"Jun 28, 2010"
98.62,"Jun 29, 2010"
98.68,"Jun 30, 2010"
98.71,"Jul 01, 2010"
98.62,"Jul 02, 2010"
98.63,"Jul 03, 2010"
98.63,"Jul 04, 2010"
98.5,"Jul 05, 2010"
98.31,"Jul 06, 2010"
99.06,"Jul 07, 2010"
99.51,"Jul 08, 2010"
99.7,"Jul 09, 2010"
99.7,"Jul 10, 2010"
99.71,"Jul 11, 2010"
99.82,"Jul 12, 2010"
100.42,"Jul 13, 2010"
100.63,"Jul 14, 2010"
100.13,"Jul 15, 2010"
100.23,"Jul 16, 2010"
100.23,"Jul 17, 2010"
100.23,"Jul 18, 2010"
100.6,"Jul 19, 2010"
101.05,"Jul 20, 2010"
100.97,"Jul 21, 2010"
100.81,"Jul 22, 2010"
100.75,"Jul 23, 2010"
100.62,"Jul 26, 2010"
101.38,"Jul 27, 2010"
101.97,"Jul 28, 2010"
102.1,"Jul 29, 2010"
102.6,"Jul 30, 2010"
102.13,"Aug 02, 2010"
102.07,"Aug 03, 2010"
102.11,"Aug 04, 2010"
101.33,"Aug 05, 2010"
101.22,"Aug 06, 2010"
99.77,"Aug 09, 2010"
99.68,"Aug 10, 2010"
99.67,"Aug 11, 2010"
99.68,"Aug 12, 2010"
100.23,"Aug 13, 2010"
98.58,"Aug 16, 2010"
99.45,"Aug 17, 2010"
99.63,"Aug 18, 2010"
99.99,"Aug 19, 2010"
100.04,"Aug 20, 2010"
99.67,"Aug 23, 2010"
98.84,"Aug 24, 2010"
98.43,"Aug 25, 2010"
99.31,"Aug 26, 2010"
99.19,"Aug 27, 2010"
99.04,"Aug 30, 2010"
100.32,"Aug 31, 2010"
