s_close,s_date
100,"Dec 15, 2011"
100.342,"Dec 16, 2011"
100.362,"Dec 19, 2011"
100.709,"Dec 20, 2011"
100.586,"Dec 21, 2011"
100.678,"Dec 22, 2011"
100.412,"Dec 23, 2011"
100.282,"Dec 26, 2011"
100.053,"Dec 27, 2011"
99.863,"Dec 28, 2011"
99.6793,"Dec 29, 2011"
98.6631,"Dec 30, 2011"
100.398,"Jan 03, 2012"
100.307,"Jan 04, 2012"
99.4246,"Jan 05, 2012"
99.0117,"Jan 06, 2012"
98.6605,"Jan 09, 2012"
98.304,"Jan 10, 2012"
98.8708,"Jan 11, 2012"
98.8132,"Jan 12, 2012"
99.739,"Jan 13, 2012"
100.359,"Jan 16, 2012"
101.128,"Jan 17, 2012"
102.577,"Jan 18, 2012"
102.434,"Jan 19, 2012"
104.662,"Jan 20, 2012"
106.979,"Jan 23, 2012"
106.268,"Jan 24, 2012"
106.394,"Jan 25, 2012"
106.232,"Jan 26, 2012"
107.006,"Jan 27, 2012"
106.14,"Jan 30, 2012"
105.918,"Jan 31, 2012"
106.246,"Feb 01, 2012"
105.874,"Feb 02, 2012"
106.561,"Feb 03, 2012"
107.515,"Feb 06, 2012"
108.187,"Feb 07, 2012"
108.11,"Feb 08, 2012"
107.609,"Feb 09, 2012"
107.125,"Feb 10, 2012"
107.391,"Feb 13, 2012"
107.144,"Feb 14, 2012"
107.582,"Feb 15, 2012"
108.244,"Feb 16, 2012"
108.614,"Feb 17, 2012"
108.711,"Feb 20, 2012"
110.193,"Feb 21, 2012"
109.339,"Feb 22, 2012"
108.859,"Feb 23, 2012"
111.364,"Feb 24, 2012"
111.485,"Feb 27, 2012"
111.652,"Feb 28, 2012"
112.379,"Feb 29, 2012"
112.938,"Mar 01, 2012"
114.361,"Mar 02, 2012"
115.594,"Mar 05, 2012"
115.099,"Mar 06, 2012"
114.368,"Mar 07, 2012"
114.368,"Mar 08, 2012"
115.175,"Mar 09, 2012"
115.239,"Mar 12, 2012"
114.128,"Mar 13, 2012"
114.024,"Mar 14, 2012"
114.326,"Mar 15, 2012"
112.434,"Mar 16, 2012"
110.814,"Mar 19, 2012"
112.439,"Mar 20, 2012"
112.075,"Mar 21, 2012"
111.958,"Mar 22, 2012"
111.881,"Mar 26, 2012"
113.71,"Mar 27, 2012"
116.081,"Mar 28, 2012"
116.118,"Mar 29, 2012"
118.891,"Mar 30, 2012"
119.052,"Apr 02, 2012"
119.029,"Apr 03, 2012"
120.778,"Apr 04, 2012"
121.326,"Apr 05, 2012"
121.879,"Apr 06, 2012"
121.881,"Apr 09, 2012"
122.076,"Apr 10, 2012"
122.149,"Apr 11, 2012"
119.539,"Apr 12, 2012"
120.04,"Apr 13, 2012"
121.858,"Apr 16, 2012"
121.193,"Apr 17, 2012"
123.595,"Apr 18, 2012"
123.839,"Apr 19, 2012"
124.031,"Apr 20, 2012"
125.796,"Apr 23, 2012"
125.006,"Apr 24, 2012"
124.952,"Apr 25, 2012"
123.396,"Apr 26, 2012"
123.522,"Apr 27, 2012"
122.913,"Apr 30, 2012"
124.435,"May 02, 2012"
126.611,"May 03, 2012"
