s_close,s_date
100.42,"Jun 19, 2008"
100.42,"Jun 20, 2008"
100.42,"Jun 21, 2008"
100.42,"Jun 22, 2008"
100.44,"Jun 23, 2008"
100.44,"Jun 24, 2008"
100.45,"Jun 25, 2008"
100.45,"Jun 26, 2008"
100.46,"Jun 27, 2008"
100.46,"Jun 28, 2008"
100.46,"Jun 29, 2008"
100.49,"Jun 30, 2008"
100.51,"Jul 01, 2008"
100.51,"Jul 02, 2008"
100.54,"Jul 03, 2008"
100.56,"Jul 04, 2008"
100.56,"Jul 05, 2008"
100.56,"Jul 06, 2008"
100.61,"Jul 07, 2008"
100.63,"Jul 08, 2008"
100.64,"Jul 09, 2008"
100.66,"Jul 10, 2008"
100.68,"Jul 11, 2008"
100.68,"Jul 12, 2008"
100.68,"Jul 13, 2008"
100.72,"Jul 14, 2008"
100.6,"Jul 15, 2008"
100.12,"Jul 16, 2008"
100.27,"Jul 17, 2008"
100.92,"Jul 18, 2008"
100.92,"Jul 19, 2008"
100.92,"Jul 20, 2008"
102.8,"Jul 21, 2008"
105.06,"Jul 22, 2008"
106.1,"Jul 23, 2008"
105.48,"Jul 24, 2008"
104.41,"Jul 25, 2008"
104.41,"Jul 26, 2008"
104.41,"Jul 27, 2008"
102.15,"Jul 28, 2008"
101.95,"Jul 29, 2008"
103.68,"Jul 30, 2008"
102.05,"Jul 31, 2008"
100.13,"Aug 01, 2008"
100.13,"Aug 02, 2008"
100.13,"Aug 03, 2008"
98.25,"Aug 04, 2008"
99.57,"Aug 05, 2008"
97.71,"Aug 06, 2008"
98.23,"Aug 07, 2008"
99.57,"Aug 08, 2008"
99.57,"Aug 09, 2008"
99.57,"Aug 10, 2008"
101.44,"Aug 11, 2008"
99.4,"Aug 12, 2008"
98.11,"Aug 13, 2008"
98.11,"Aug 14, 2008"
100.65,"Aug 15, 2008"
100.65,"Aug 16, 2008"
100.65,"Aug 17, 2008"
103.42,"Aug 18, 2008"
105.08,"Aug 19, 2008"
102.51,"Aug 20, 2008"
100.78,"Aug 21, 2008"
98.84,"Aug 22, 2008"
98.84,"Aug 23, 2008"
98.84,"Aug 24, 2008"
97.78,"Aug 25, 2008"
95.22,"Aug 26, 2008"
93.68,"Aug 27, 2008"
93.77,"Aug 28, 2008"
93.89,"Aug 29, 2008"
93.89,"Aug 30, 2008"
93.89,"Aug 31, 2008"
93.84,"Sep 01, 2008"
93.94,"Sep 02, 2008"
93.83,"Sep 03, 2008"
93.79,"Sep 04, 2008"
95.11,"Sep 05, 2008"
95.11,"Sep 06, 2008"
95.11,"Sep 07, 2008"
94.1,"Sep 08, 2008"
94.08,"Sep 09, 2008"
94.54,"Sep 10, 2008"
94.29,"Sep 11, 2008"
94.26,"Sep 12, 2008"
94.26,"Sep 13, 2008"
94.26,"Sep 14, 2008"
94.15,"Sep 15, 2008"
94.22,"Sep 16, 2008"
94.29,"Sep 17, 2008"
94.13,"Sep 18, 2008"
94.06,"Sep 19, 2008"
94.06,"Sep 20, 2008"
94.06,"Sep 21, 2008"
94.07,"Sep 22, 2008"
94.09,"Sep 23, 2008"
94.08,"Sep 24, 2008"
94.08,"Sep 25, 2008"
94.08,"Sep 26, 2008"
94.08,"Sep 27, 2008"
94.08,"Sep 28, 2008"
94.08,"Sep 29, 2008"
94.09,"Sep 30, 2008"
94.09,"Oct 01, 2008"
94.09,"Oct 02, 2008"
94.09,"Oct 03, 2008"
94.09,"Oct 04, 2008"
94.09,"Oct 05, 2008"
94.1,"Oct 06, 2008"
94.1,"Oct 07, 2008"
94.11,"Oct 09, 2008"
94.1,"Oct 10, 2008"
94.1,"Oct 11, 2008"
94.1,"Oct 12, 2008"
94.11,"Oct 13, 2008"
94.11,"Oct 14, 2008"
94.11,"Oct 15, 2008"
94.11,"Oct 16, 2008"
94.12,"Oct 17, 2008"
94.12,"Oct 18, 2008"
94.12,"Oct 19, 2008"
94.11,"Oct 20, 2008"
94.12,"Oct 21, 2008"
94.12,"Oct 22, 2008"
94.12,"Oct 23, 2008"
94.12,"Oct 24, 2008"
94.12,"Oct 25, 2008"
94.12,"Oct 26, 2008"
94.13,"Oct 27, 2008"
94.13,"Oct 28, 2008"
94.13,"Oct 29, 2008"
94.13,"Oct 30, 2008"
94.09,"Oct 31, 2008"
94.09,"Nov 01, 2008"
94.09,"Nov 02, 2008"
94.1,"Nov 03, 2008"
94.1,"Nov 04, 2008"
94.11,"Nov 05, 2008"
94.11,"Nov 06, 2008"
94.11,"Nov 07, 2008"
94.11,"Nov 08, 2008"
94.11,"Nov 09, 2008"
94.12,"Nov 10, 2008"
94.12,"Nov 11, 2008"
94.12,"Nov 12, 2008"
94.13,"Nov 13, 2008"
94.13,"Nov 14, 2008"
94.13,"Nov 15, 2008"
94.13,"Nov 16, 2008"
94.13,"Nov 17, 2008"
94.14,"Nov 18, 2008"
94.14,"Nov 19, 2008"
94.15,"Nov 20, 2008"
94.15,"Nov 21, 2008"
94.15,"Nov 22, 2008"
94.15,"Nov 23, 2008"
94.16,"Nov 24, 2008"
94.17,"Nov 25, 2008"
94.17,"Nov 26, 2008"
94.18,"Nov 27, 2008"
94.18,"Nov 28, 2008"
94.18,"Nov 29, 2008"
94.18,"Nov 30, 2008"
94.19,"Dec 01, 2008"
94.19,"Dec 02, 2008"
94.19,"Dec 03, 2008"
94.2,"Dec 04, 2008"
94.2,"Dec 05, 2008"
94.2,"Dec 06, 2008"
94.2,"Dec 07, 2008"
94.2,"Dec 08, 2008"
94.2,"Dec 09, 2008"
94.2,"Dec 10, 2008"
94.23,"Dec 11, 2008"
94.24,"Dec 12, 2008"
94.24,"Dec 13, 2008"
94.24,"Dec 14, 2008"
91.6,"Dec 15, 2008"
89.08,"Dec 16, 2008"
86.69,"Dec 17, 2008"
84.41,"Dec 18, 2008"
82.23,"Dec 19, 2008"
82.23,"Dec 20, 2008"
82.23,"Dec 21, 2008"
80.18,"Dec 22, 2008"
78.21,"Dec 23, 2008"
76.33,"Dec 24, 2008"
76.33,"Dec 25, 2008"
74.97,"Dec 26, 2008"
74.97,"Dec 27, 2008"
74.97,"Dec 28, 2008"
72.99,"Dec 29, 2008"
71.33,"Dec 30, 2008"
70.52,"Dec 31, 2008"
71.43,"Jan 02, 2009"
71.43,"Jan 03, 2009"
71.43,"Jan 04, 2009"
72.59,"Jan 05, 2009"
74.18,"Jan 06, 2009"
74.18,"Jan 07, 2009"
74.18,"Jan 08, 2009"
75.19,"Jan 09, 2009"
75.19,"Jan 10, 2009"
75.19,"Jan 11, 2009"
75.81,"Jan 12, 2009"
77.14,"Jan 13, 2009"
77.93,"Jan 14, 2009"
76.03,"Jan 15, 2009"
74.16,"Jan 16, 2009"
74.16,"Jan 17, 2009"
74.16,"Jan 18, 2009"
72.43,"Jan 19, 2009"
72.94,"Jan 20, 2009"
72.35,"Jan 21, 2009"
71.84,"Jan 22, 2009"
71.45,"Jan 23, 2009"
71.45,"Jan 24, 2009"
71.45,"Jan 25, 2009"
71.19,"Jan 26, 2009"
72.51,"Jan 27, 2009"
73.92,"Jan 28, 2009"
74.52,"Jan 29, 2009"
76.01,"Jan 30, 2009"
76.01,"Jan 31, 2009"
76.01,"Feb 01, 2009"
75.62,"Feb 02, 2009"
75.55,"Feb 03, 2009"
76.69,"Feb 04, 2009"
76.69,"Feb 05, 2009"
77.04,"Feb 06, 2009"
77.04,"Feb 07, 2009"
77.04,"Feb 08, 2009"
76.37,"Feb 09, 2009"
75.56,"Feb 10, 2009"
75.36,"Feb 11, 2009"
75.82,"Feb 12, 2009"
77.69,"Feb 13, 2009"
77.69,"Feb 14, 2009"
77.69,"Feb 15, 2009"
78.96,"Feb 16, 2009"
79.66,"Feb 17, 2009"
79.85,"Feb 18, 2009"
80.9,"Feb 19, 2009"
80,"Feb 20, 2009"
80,"Feb 21, 2009"
80,"Feb 22, 2009"
79.12,"Feb 23, 2009"
79.47,"Feb 24, 2009"
77.88,"Feb 25, 2009"
78.44,"Feb 26, 2009"
78.87,"Feb 27, 2009"
78.87,"Feb 28, 2009"
78.87,"Mar 01, 2009"
78.65,"Mar 02, 2009"
78.3,"Mar 03, 2009"
79.69,"Mar 04, 2009"
79.96,"Mar 05, 2009"
79.9,"Mar 06, 2009"
79.9,"Mar 07, 2009"
79.9,"Mar 08, 2009"
79.31,"Mar 09, 2009"
79.31,"Mar 10, 2009"
78.6,"Mar 11, 2009"
79.83,"Mar 12, 2009"
80.51,"Mar 13, 2009"
80.51,"Mar 14, 2009"
80.51,"Mar 15, 2009"
82.27,"Mar 16, 2009"
83.38,"Mar 17, 2009"
84.56,"Mar 18, 2009"
85.69,"Mar 19, 2009"
85.28,"Mar 20, 2009"
85.28,"Mar 21, 2009"
85.28,"Mar 22, 2009"
85.28,"Mar 23, 2009"
87.03,"Mar 24, 2009"
87.61,"Mar 25, 2009"
86.66,"Mar 26, 2009"
87.89,"Mar 27, 2009"
87.89,"Mar 28, 2009"
87.89,"Mar 29, 2009"
88.87,"Mar 30, 2009"
88.04,"Mar 31, 2009"
88.47,"Apr 01, 2009"
90.33,"Apr 02, 2009"
91.6,"Apr 03, 2009"
91.6,"Apr 04, 2009"
91.6,"Apr 05, 2009"
91.8,"Apr 06, 2009"
91.69,"Apr 07, 2009"
89.69,"Apr 08, 2009"
89.35,"Apr 09, 2009"
91.14,"Apr 10, 2009"
91.14,"Apr 11, 2009"
91.14,"Apr 12, 2009"
93.03,"Apr 13, 2009"
92.97,"Apr 14, 2009"
93.11,"Apr 15, 2009"
92.33,"Apr 16, 2009"
92.93,"Apr 17, 2009"
92.93,"Apr 18, 2009"
92.93,"Apr 19, 2009"
94.03,"Apr 20, 2009"
93.98,"Apr 21, 2009"
91.73,"Apr 22, 2009"
89.39,"Apr 23, 2009"
91.49,"Apr 24, 2009"
91.49,"Apr 25, 2009"
91.49,"Apr 26, 2009"
88.69,"Apr 27, 2009"
89.01,"Apr 28, 2009"
87.61,"Apr 29, 2009"
86.78,"Apr 30, 2009"
86.78,"May 01, 2009"
86.78,"May 02, 2009"
86.78,"May 03, 2009"
85.39,"May 04, 2009"
85.62,"May 05, 2009"
86.74,"May 06, 2009"
86.42,"May 07, 2009"
86.6,"May 08, 2009"
86.6,"May 09, 2009"
86.6,"May 10, 2009"
86.75,"May 11, 2009"
88.94,"May 12, 2009"
88.94,"May 13, 2009"
88.64,"May 14, 2009"
88.68,"May 15, 2009"
88.68,"May 16, 2009"
88.68,"May 17, 2009"
89.04,"May 18, 2009"
87.86,"May 19, 2009"
87.89,"May 20, 2009"
86.86,"May 21, 2009"
89,"May 22, 2009"
89,"May 23, 2009"
89,"May 24, 2009"
90.25,"May 25, 2009"
90.74,"May 26, 2009"
90.83,"May 27, 2009"
91.95,"May 28, 2009"
91.9,"May 29, 2009"
91.9,"May 30, 2009"
91.9,"May 31, 2009"
90.82,"Jun 01, 2009"
90.55,"Jun 02, 2009"
90.08,"Jun 03, 2009"
89.28,"Jun 04, 2009"
89.86,"Jun 05, 2009"
89.86,"Jun 06, 2009"
89.86,"Jun 07, 2009"
90.35,"Jun 08, 2009"
