s_close,s_date
100.725,"Jul 02, 2013"
101.624,"Jul 03, 2013"
101.974,"Jul 04, 2013"
102.947,"Jul 05, 2013"
104.53,"Jul 08, 2013"
106.508,"Jul 09, 2013"
107.937,"Jul 10, 2013"
107.197,"Jul 12, 2013"
106.67,"Jul 15, 2013"
106.827,"Jul 16, 2013"
106.11,"Jul 17, 2013"
106.981,"Jul 18, 2013"
109.123,"Jul 19, 2013"
110.958,"Jul 22, 2013"
111.392,"Jul 23, 2013"
112.41,"Jul 24, 2013"
112.664,"Jul 25, 2013"
113.516,"Jul 26, 2013"
112.549,"Jul 29, 2013"
112.182,"Jul 30, 2013"
112.147,"Jul 31, 2013"
111.187,"Aug 01, 2013"
111.181,"Aug 02, 2013"
109.087,"Aug 05, 2013"
106.957,"Aug 06, 2013"
110.015,"Aug 07, 2013"
111.443,"Aug 12, 2013"
111.587,"Aug 13, 2013"
111.137,"Aug 15, 2013"
110.938,"Aug 16, 2013"
110.385,"Aug 19, 2013"
109.431,"Aug 20, 2013"
107,"Aug 21, 2013"
105.553,"Aug 22, 2013"
104.776,"Aug 23, 2013"
106.499,"Aug 26, 2013"
104.273,"Aug 27, 2013"
102.593,"Aug 28, 2013"
101.299,"Aug 29, 2013"
101.026,"Aug 30, 2013"
99.4054,"Sep 02, 2013"
100.012,"Sep 03, 2013"
99.7623,"Sep 04, 2013"
102.1,"Sep 05, 2013"
103.438,"Sep 06, 2013"
103.773,"Sep 09, 2013"
104.706,"Sep 10, 2013"
106.238,"Sep 11, 2013"
105.355,"Sep 12, 2013"
105.112,"Sep 13, 2013"
104.552,"Sep 16, 2013"
103.337,"Sep 17, 2013"
102.189,"Sep 18, 2013"
103.855,"Sep 19, 2013"
104.933,"Sep 20, 2013"
105.012,"Sep 23, 2013"
103.236,"Sep 24, 2013"
103.161,"Sep 25, 2013"
102.148,"Sep 26, 2013"
100.946,"Sep 27, 2013"
99.4537,"Sep 30, 2013"
100.927,"Oct 01, 2013"
101.546,"Oct 02, 2013"
101.885,"Oct 03, 2013"
101.645,"Oct 04, 2013"
100.64,"Oct 07, 2013"
101.032,"Oct 08, 2013"
99.061,"Oct 09, 2013"
99.5017,"Oct 10, 2013"
99.5147,"Oct 11, 2013"
99.1375,"Oct 14, 2013"
100.161,"Oct 21, 2013"
102.657,"Oct 22, 2013"
103.324,"Oct 23, 2013"
103.264,"Oct 24, 2013"
103.604,"Oct 25, 2013"
103.196,"Oct 28, 2013"
102.731,"Oct 29, 2013"
102.554,"Oct 30, 2013"
103.72,"Oct 31, 2013"
103.159,"Nov 01, 2013"
101.834,"Nov 04, 2013"
102.845,"Nov 05, 2013"
105.035,"Nov 06, 2013"
105.549,"Nov 07, 2013"
105.845,"Nov 08, 2013"
105.979,"Nov 11, 2013"
105.249,"Nov 12, 2013"
104.508,"Nov 13, 2013"
106.018,"Nov 18, 2013"
107.417,"Nov 19, 2013"
107.502,"Nov 20, 2013"
107.427,"Nov 21, 2013"
107.842,"Nov 22, 2013"
108.408,"Nov 25, 2013"
107.687,"Nov 26, 2013"
107.138,"Nov 27, 2013"
108.648,"Nov 28, 2013"
109.055,"Nov 29, 2013"
109.858,"Dec 02, 2013"
110.516,"Dec 03, 2013"
110.592,"Dec 04, 2013"
112.608,"Dec 05, 2013"
113.269,"Dec 06, 2013"
114.03,"Dec 09, 2013"
113.724,"Dec 10, 2013"
114.522,"Dec 11, 2013"
115.373,"Dec 12, 2013"
116.427,"Dec 13, 2013"
117.024,"Dec 16, 2013"
117.389,"Dec 17, 2013"
118.349,"Dec 18, 2013"
118.207,"Dec 19, 2013"
117.951,"Dec 20, 2013"
117.988,"Dec 23, 2013"
118.401,"Dec 24, 2013"
118.061,"Dec 26, 2013"
117.462,"Dec 27, 2013"
117.187,"Dec 30, 2013"
117.137,"Dec 31, 2013"
120.622,"Jan 02, 2014"
121.087,"Jan 03, 2014"
121.006,"Jan 06, 2014"
121.116,"Jan 07, 2014"
121.248,"Jan 08, 2014"
121.317,"Jan 09, 2014"
121.233,"Jan 10, 2014"
121.626,"Jan 13, 2014"
121.515,"Jan 15, 2014"
121.46,"Jan 16, 2014"
122.505,"Jan 17, 2014"
123.652,"Jan 20, 2014"
124.623,"Jan 21, 2014"
124.208,"Jan 22, 2014"
124.332,"Jan 23, 2014"
123.655,"Jan 24, 2014"
121.374,"Jan 27, 2014"
120.809,"Jan 28, 2014"
120.51,"Jan 29, 2014"
120.8,"Jan 30, 2014"
122.517,"Jan 31, 2014"
123.589,"Feb 03, 2014"
122.479,"Feb 04, 2014"
122.965,"Feb 06, 2014"
122.239,"Feb 07, 2014"
120.437,"Feb 10, 2014"
120.549,"Feb 11, 2014"
122.917,"Feb 12, 2014"
122.454,"Feb 13, 2014"
121.04,"Feb 14, 2014"
119.669,"Feb 17, 2014"
118.942,"Feb 18, 2014"
117.868,"Feb 19, 2014"
117.046,"Feb 20, 2014"
117.867,"Feb 21, 2014"
118.43,"Feb 24, 2014"
118.18,"Feb 25, 2014"
117.705,"Feb 26, 2014"
117.347,"Feb 27, 2014"
119.824,"Feb 28, 2014"
121.119,"Mar 03, 2014"
123.401,"Mar 04, 2014"
124.449,"Mar 05, 2014"
125.148,"Mar 06, 2014"
124.595,"Mar 07, 2014"
126.533,"Mar 10, 2014"
126.848,"Mar 11, 2014"
126.404,"Mar 12, 2014"
127.052,"Mar 13, 2014"
127.374,"Mar 14, 2014"
126.62,"Mar 17, 2014"
126.697,"Mar 18, 2014"
126.19,"Mar 19, 2014"
125.699,"Mar 20, 2014"
124.343,"Mar 21, 2014"
122.965,"Mar 24, 2014"
124.061,"Mar 25, 2014"
124.891,"Mar 26, 2014"
125.299,"Mar 27, 2014"
124.909,"Mar 28, 2014"
125.91,"Mar 31, 2014"
127.739,"Apr 01, 2014"
129.281,"Apr 02, 2014"
130.927,"Apr 03, 2014"
130.834,"Apr 04, 2014"
131.488,"Apr 07, 2014"
131.563,"Apr 08, 2014"
132.782,"Apr 09, 2014"
134.086,"Apr 10, 2014"
134.006,"Apr 11, 2014"
134.087,"Apr 14, 2014"
133.565,"Apr 15, 2014"
134.706,"Apr 16, 2014"
133.276,"Apr 17, 2014"
132.123,"Apr 18, 2014"
131.643,"Apr 21, 2014"
133.962,"Apr 22, 2014"
132.638,"Apr 23, 2014"
132.801,"Apr 24, 2014"
133.105,"Apr 25, 2014"
132.38,"Apr 28, 2014"
130.629,"Apr 29, 2014"
132.11,"Apr 30, 2014"
131.068,"May 02, 2014"
128.827,"May 05, 2014"
127.682,"May 06, 2014"
127.858,"May 07, 2014"
128.825,"May 08, 2014"
129.039,"May 09, 2014"
127.813,"May 12, 2014"
127.615,"May 13, 2014"
128.281,"May 14, 2014"
129.587,"May 15, 2014"
130.091,"May 16, 2014"
129.814,"May 19, 2014"
129.852,"May 20, 2014"
129.704,"May 21, 2014"
129.611,"May 22, 2014"
129.758,"May 23, 2014"
131.601,"May 26, 2014"
131.795,"May 27, 2014"
132.366,"May 28, 2014"
134.638,"May 29, 2014"
134.752,"May 30, 2014"
135.22,"Jun 02, 2014"
134.444,"Jun 03, 2014"
135.059,"Jun 04, 2014"
135.379,"Jun 05, 2014"
135.889,"Jun 06, 2014"
136.046,"Jun 09, 2014"
136.72,"Jun 10, 2014"
138.057,"Jun 11, 2014"
138.451,"Jun 12, 2014"
138.347,"Jun 13, 2014"
137.768,"Jun 16, 2014"
135.327,"Jun 17, 2014"
134.534,"Jun 18, 2014"
132.097,"Jun 19, 2014"
132.765,"Jun 20, 2014"
134.209,"Jun 23, 2014"
134.914,"Jun 24, 2014"
134.121,"Jun 25, 2014"
135.016,"Jun 26, 2014"
135.853,"Jun 27, 2014"
137.301,"Jun 30, 2014"
138.213,"Jul 02, 2014"
139.266,"Jul 03, 2014"
139.269,"Jul 04, 2014"
138.17,"Jul 07, 2014"
137.231,"Jul 08, 2014"
136.718,"Jul 09, 2014"
136.349,"Jul 10, 2014"
136.649,"Jul 11, 2014"
138.676,"Jul 14, 2014"
139.326,"Jul 15, 2014"
139.546,"Jul 16, 2014"
141.477,"Jul 17, 2014"
142.485,"Jul 18, 2014"
143.587,"Jul 21, 2014"
143.518,"Jul 22, 2014"
