s_close,s_date
100.033,"Jun 30, 2022"
100.065,"Jul 01, 2022"
100.102,"Jul 02, 2022"
100.137,"Jul 03, 2022"
100.171,"Jul 04, 2022"
100.206,"Jul 05, 2022"
100.24,"Jul 06, 2022"
100.275,"Jul 07, 2022"
100.309,"Jul 08, 2022"
100.344,"Jul 09, 2022"
100.378,"Jul 10, 2022"
100.413,"Jul 11, 2022"
100.447,"Jul 12, 2022"
100.482,"Jul 13, 2022"
100.519,"Jul 14, 2022"
100.557,"Jul 15, 2022"
100.595,"Jul 16, 2022"
100.633,"Jul 17, 2022"
100.671,"Jul 18, 2022"
100.709,"Jul 19, 2022"
100.747,"Jul 20, 2022"
100.785,"Jul 21, 2022"
100.823,"Jul 22, 2022"
100.86,"Jul 23, 2022"
100.898,"Jul 24, 2022"
100.936,"Jul 25, 2022"
100.974,"Jul 26, 2022"
101.012,"Jul 27, 2022"
101.05,"Jul 28, 2022"
101.088,"Jul 29, 2022"
101.126,"Jul 30, 2022"
101.164,"Jul 31, 2022"
101.202,"Aug 01, 2022"
101.24,"Aug 02, 2022"
101.278,"Aug 03, 2022"
101.316,"Aug 04, 2022"
101.354,"Aug 05, 2022"
101.392,"Aug 06, 2022"
101.429,"Aug 07, 2022"
101.467,"Aug 08, 2022"
101.505,"Aug 09, 2022"
101.543,"Aug 10, 2022"
101.581,"Aug 11, 2022"
101.619,"Aug 12, 2022"
101.657,"Aug 13, 2022"
101.695,"Aug 14, 2022"
101.733,"Aug 15, 2022"
101.771,"Aug 16, 2022"
101.809,"Aug 17, 2022"
101.847,"Aug 18, 2022"
101.885,"Aug 19, 2022"
101.923,"Aug 20, 2022"
101.961,"Aug 21, 2022"
101.998,"Aug 22, 2022"
102.036,"Aug 23, 2022"
102.074,"Aug 24, 2022"
102.112,"Aug 25, 2022"
102.15,"Aug 26, 2022"
102.188,"Aug 27, 2022"
102.226,"Aug 28, 2022"
102.264,"Aug 29, 2022"
102.286,"Aug 30, 2022"
102.322,"Aug 31, 2022"
102.36,"Sep 01, 2022"
102.391,"Sep 02, 2022"
102.43,"Sep 03, 2022"
102.468,"Sep 04, 2022"
102.506,"Sep 05, 2022"
102.493,"Sep 06, 2022"
102.454,"Sep 07, 2022"
102.57,"Sep 08, 2022"
102.906,"Sep 09, 2022"
102.944,"Sep 10, 2022"
102.982,"Sep 11, 2022"
103.103,"Sep 12, 2022"
103.131,"Sep 13, 2022"
102.946,"Sep 14, 2022"
102.533,"Sep 15, 2022"
102.182,"Sep 16, 2022"
102.199,"Sep 17, 2022"
102.215,"Sep 18, 2022"
101.772,"Sep 19, 2022"
101.269,"Sep 20, 2022"
100.728,"Sep 21, 2022"
100.653,"Sep 22, 2022"
100.109,"Sep 23, 2022"
100.126,"Sep 24, 2022"
100.142,"Sep 25, 2022"
100.497,"Sep 26, 2022"
101.127,"Sep 27, 2022"
100.813,"Sep 28, 2022"
100.213,"Sep 29, 2022"
100.225,"Sep 30, 2022"
100.242,"Oct 01, 2022"
100.259,"Oct 02, 2022"
100.365,"Oct 03, 2022"
100.427,"Oct 04, 2022"
101.326,"Oct 05, 2022"
103.004,"Oct 06, 2022"
102.658,"Oct 07, 2022"
102.66,"Oct 08, 2022"
102.662,"Oct 09, 2022"
102.882,"Oct 10, 2022"
102.941,"Oct 11, 2022"
103.007,"Oct 12, 2022"
102.942,"Oct 13, 2022"
103.093,"Oct 14, 2022"
103.095,"Oct 15, 2022"
103.097,"Oct 16, 2022"
102.76,"Oct 17, 2022"
103.016,"Oct 18, 2022"
104.146,"Oct 19, 2022"
103.725,"Oct 20, 2022"
103.98,"Oct 21, 2022"
103.987,"Oct 22, 2022"
103.985,"Oct 23, 2022"
104.169,"Oct 24, 2022"
103.689,"Oct 25, 2022"
102.361,"Oct 26, 2022"
102.519,"Oct 27, 2022"
101.577,"Oct 28, 2022"
101.579,"Oct 29, 2022"
101.581,"Oct 30, 2022"
101.686,"Oct 31, 2022"
103.338,"Nov 01, 2022"
103.871,"Nov 02, 2022"
104.391,"Nov 03, 2022"
103.655,"Nov 04, 2022"
103.657,"Nov 05, 2022"
103.659,"Nov 06, 2022"
104.324,"Nov 07, 2022"
105.337,"Nov 08, 2022"
105.339,"Nov 09, 2022"
107.101,"Nov 10, 2022"
107.396,"Nov 11, 2022"
107.398,"Nov 12, 2022"
107.4,"Nov 13, 2022"
106.672,"Nov 14, 2022"
