s_close,s_date
100,"Oct 05, 2021"
100.02,"Oct 06, 2021"
100.03,"Oct 07, 2021"
100.036,"Oct 08, 2021"
100.04,"Oct 09, 2021"
100.05,"Oct 10, 2021"
100.06,"Oct 11, 2021"
100.06,"Oct 12, 2021"
100.7,"Oct 13, 2021"
100.08,"Oct 14, 2021"
100.08,"Oct 15, 2021"
100.09,"Oct 16, 2021"
100.1,"Oct 17, 2021"
100.1,"Oct 18, 2021"
100.11,"Oct 19, 2021"
100.12,"Oct 20, 2021"
100.13,"Oct 21, 2021"
100.13,"Oct 22, 2021"
100.14,"Oct 23, 2021"
100.15,"Oct 24, 2021"
100.15,"Oct 25, 2021"
100.16,"Oct 26, 2021"
100.166,"Oct 27, 2021"
100.173,"Oct 28, 2021"
100.18,"Oct 29, 2021"
100.187,"Oct 30, 2021"
100.193,"Oct 31, 2021"
100.2,"Nov 01, 2021"
100.27,"Nov 02, 2021"
100.214,"Nov 03, 2021"
100.221,"Nov 04, 2021"
100.232,"Nov 05, 2021"
100.243,"Nov 06, 2021"
100.254,"Nov 07, 2021"
100.265,"Nov 08, 2021"
100.275,"Nov 09, 2021"
100.282,"Nov 10, 2021"
100.289,"Nov 11, 2021"
100.296,"Nov 12, 2021"
100.303,"Nov 13, 2021"
100.31,"Nov 14, 2021"
100.317,"Nov 15, 2021"
100.324,"Nov 16, 2021"
100.321,"Nov 17, 2021"
100.328,"Nov 18, 2021"
100.335,"Nov 19, 2021"
100.342,"Nov 20, 2021"
100.349,"Nov 21, 2021"
100.355,"Nov 22, 2021"
100.362,"Nov 23, 2021"
100.369,"Nov 24, 2021"
100.376,"Nov 25, 2021"
100.387,"Nov 26, 2021"
100.398,"Nov 27, 2021"
100.409,"Nov 28, 2021"
100.42,"Nov 29, 2021"
100.431,"Nov 30, 2021"
100.442,"Dec 01, 2021"
100.453,"Dec 02, 2021"
100.464,"Dec 03, 2021"
100.475,"Dec 04, 2021"
100.486,"Dec 05, 2021"
100.497,"Dec 06, 2021"
100.508,"Dec 07, 2021"
100.519,"Dec 08, 2021"
100.53,"Dec 09, 2021"
100.541,"Dec 10, 2021"
100.552,"Dec 11, 2021"
100.563,"Dec 12, 2021"
100.571,"Dec 13, 2021"
100.579,"Dec 14, 2021"
100.587,"Dec 15, 2021"
100.594,"Dec 16, 2021"
100.602,"Dec 17, 2021"
100.609,"Dec 18, 2021"
100.617,"Dec 19, 2021"
100.624,"Dec 20, 2021"
100.632,"Dec 21, 2021"
100.64,"Dec 22, 2021"
100.647,"Dec 23, 2021"
100.655,"Dec 24, 2021"
100.662,"Dec 25, 2021"
100.67,"Dec 26, 2021"
100.677,"Dec 27, 2021"
100.685,"Dec 28, 2021"
100.692,"Dec 29, 2021"
100.699,"Dec 30, 2021"
100.562,"Dec 31, 2021"
100.569,"Jan 01, 2022"
100.576,"Jan 02, 2022"
100.584,"Jan 03, 2022"
100.591,"Jan 04, 2022"
100.599,"Jan 05, 2022"
100.606,"Jan 06, 2022"
100.614,"Jan 07, 2022"
100.621,"Jan 08, 2022"
100.629,"Jan 09, 2022"
100.636,"Jan 10, 2022"
100.644,"Jan 11, 2022"
100.647,"Jan 12, 2022"
100.655,"Jan 13, 2022"
100.651,"Jan 14, 2022"
100.658,"Jan 15, 2022"
100.666,"Jan 16, 2022"
100.67,"Jan 17, 2022"
100.675,"Jan 18, 2022"
100.679,"Jan 19, 2022"
100.684,"Jan 20, 2022"
100.688,"Jan 21, 2022"
100.693,"Jan 22, 2022"
100.697,"Jan 23, 2022"
100.701,"Jan 24, 2022"
99.8845,"Jan 25, 2022"
100.508,"Jan 26, 2022"
