s_close,s_date
100.02,"Jul 02, 2007"
100.02,"Jul 03, 2007"
100.03,"Jul 04, 2007"
100.04,"Jul 05, 2007"
100.05,"Jul 06, 2007"
100.05,"Jul 07, 2007"
100.06,"Jul 09, 2007"
100.07,"Jul 10, 2007"
100.08,"Jul 11, 2007"
100.09,"Jul 12, 2007"
100.11,"Jul 13, 2007"
100.12,"Jul 14, 2007"
100.16,"Jul 16, 2007"
100.18,"Jul 17, 2007"
100.2,"Jul 18, 2007"
100.22,"Jul 19, 2007"
100.23,"Jul 20, 2007"
100.25,"Jul 21, 2007"
100.29,"Jul 23, 2007"
100.31,"Jul 24, 2007"
100.33,"Jul 25, 2007"
99.99,"Jul 26, 2007"
99.55,"Jul 27, 2007"
99.55,"Jul 28, 2007"
99.53,"Jul 30, 2007"
100.68,"Jul 31, 2007"
100.31,"Aug 01, 2007"
101.31,"Aug 02, 2007"
101.61,"Aug 03, 2007"
101.61,"Aug 04, 2007"
100.13,"Aug 06, 2007"
99.32,"Aug 07, 2007"
100.08,"Aug 08, 2007"
97.9,"Aug 09, 2007"
96.99,"Aug 10, 2007"
96.99,"Aug 11, 2007"
95.24,"Aug 13, 2007"
95.67,"Aug 15, 2007"
95.15,"Aug 16, 2007"
95.34,"Aug 17, 2007"
95.34,"Aug 18, 2007"
95.49,"Aug 20, 2007"
92.79,"Aug 21, 2007"
93.49,"Aug 22, 2007"
91.5,"Aug 23, 2007"
92.84,"Aug 24, 2007"
92.84,"Aug 25, 2007"
91.73,"Aug 27, 2007"
92.53,"Aug 28, 2007"
93.52,"Aug 29, 2007"
94.01,"Aug 30, 2007"
92.77,"Aug 31, 2007"
92.76,"Sep 01, 2007"
92.69,"Sep 03, 2007"
93.69,"Sep 04, 2007"
95.67,"Sep 05, 2007"
95.27,"Sep 06, 2007"
94.09,"Sep 07, 2007"
94.09,"Sep 08, 2007"
94.84,"Sep 10, 2007"
95.1,"Sep 11, 2007"
96.54,"Sep 12, 2007"
96.99,"Sep 13, 2007"
96.79,"Sep 14, 2007"
96.79,"Sep 15, 2007"
96.87,"Sep 17, 2007"
97.94,"Sep 18, 2007"
99.6,"Sep 19, 2007"
98.94,"Sep 20, 2007"
99.46,"Sep 21, 2007"
99.46,"Sep 22, 2007"
100.34,"Sep 24, 2007"
100.41,"Sep 25, 2007"
100.81,"Sep 26, 2007"
101.35,"Sep 27, 2007"
101.04,"Sep 28, 2007"
101.04,"Sep 29, 2007"
103.82,"Oct 01, 2007"
104.21,"Oct 02, 2007"
105.03,"Oct 03, 2007"
105.99,"Oct 04, 2007"
106.09,"Oct 05, 2007"
106.09,"Oct 06, 2007"
107.23,"Oct 08, 2007"
107.71,"Oct 09, 2007"
107.71,"Oct 10, 2007"
108.29,"Oct 11, 2007"
108.29,"Oct 12, 2007"
109.26,"Oct 17, 2007"
110.9,"Oct 18, 2007"
111.83,"Oct 19, 2007"
111.82,"Oct 20, 2007"
111.52,"Oct 22, 2007"
111.1,"Oct 23, 2007"
108.88,"Oct 24, 2007"
109.17,"Oct 25, 2007"
109.25,"Oct 26, 2007"
109.25,"Oct 27, 2007"
108.71,"Oct 29, 2007"
106.41,"Oct 30, 2007"
108.12,"Oct 31, 2007"
106.27,"Nov 01, 2007"
106.21,"Nov 02, 2007"
106.2,"Nov 03, 2007"
102.01,"Nov 05, 2007"
103.05,"Nov 06, 2007"
104.11,"Nov 07, 2007"
103.97,"Nov 08, 2007"
103.97,"Nov 10, 2007"
105.77,"Nov 12, 2007"
105.4,"Nov 13, 2007"
103.29,"Nov 14, 2007"
101.79,"Nov 15, 2007"
101.78,"Nov 16, 2007"
101.78,"Nov 17, 2007"
102.49,"Nov 19, 2007"
103.28,"Nov 20, 2007"
104.71,"Nov 21, 2007"
105.56,"Nov 22, 2007"
107.19,"Nov 23, 2007"
107.19,"Nov 24, 2007"
107.16,"Nov 26, 2007"
107.02,"Nov 27, 2007"
107.84,"Nov 28, 2007"
107.86,"Nov 29, 2007"
108.29,"Nov 30, 2007"
108.28,"Dec 01, 2007"
107.34,"Dec 03, 2007"
108.15,"Dec 04, 2007"
109.04,"Dec 05, 2007"
109.92,"Dec 06, 2007"
110.31,"Dec 07, 2007"
110.31,"Dec 08, 2007"
109.85,"Dec 10, 2007"
109.76,"Dec 11, 2007"
109.36,"Dec 12, 2007"
109.07,"Dec 13, 2007"
108.91,"Dec 14, 2007"
108.91,"Dec 15, 2007"
108.68,"Dec 17, 2007"
108.32,"Dec 18, 2007"
109.23,"Dec 19, 2007"
109.39,"Dec 24, 2007"
109.68,"Dec 26, 2007"
109.31,"Dec 27, 2007"
104.59,"Dec 31, 2007"
101.89,"Jan 01, 2008"
99.71,"Jan 02, 2008"
103.97,"Jan 03, 2008"
105.23,"Jan 04, 2008"
105.22,"Jan 05, 2008"
104.03,"Jan 07, 2008"
105.62,"Jan 08, 2008"
104.95,"Jan 09, 2008"
103.94,"Jan 10, 2008"
102.86,"Jan 11, 2008"
102.86,"Jan 12, 2008"
103.23,"Jan 14, 2008"
103.25,"Jan 15, 2008"
101.91,"Jan 16, 2008"
100.95,"Jan 17, 2008"
101.99,"Jan 18, 2008"
102.34,"Jan 21, 2008"
101.19,"Jan 22, 2008"
101.1,"Jan 23, 2008"
100.31,"Jan 24, 2008"
101.52,"Jan 25, 2008"
