s_close,s_date
100,"May 19, 2010"
99.93,"May 20, 2010"
99.94,"May 21, 2010"
99.67,"May 24, 2010"
99.25,"May 25, 2010"
99.59,"May 26, 2010"
99.29,"May 27, 2010"
99.48,"May 28, 2010"
99.29,"May 31, 2010"
99.15,"Jun 01, 2010"
99.59,"Jun 02, 2010"
99.89,"Jun 03, 2010"
99.95,"Jun 04, 2010"
100.22,"Jun 07, 2010"
100.24,"Jun 08, 2010"
100.02,"Jun 09, 2010"
99.3,"Jun 10, 2010"
99.53,"Jun 11, 2010"
98.99,"Jun 14, 2010"
99,"Jun 15, 2010"
99.58,"Jun 16, 2010"
99.95,"Jun 17, 2010"
99.61,"Jun 18, 2010"
99.67,"Jun 21, 2010"
99.72,"Jun 22, 2010"
99.67,"Jun 23, 2010"
99.53,"Jun 24, 2010"
99.41,"Jun 25, 2010"
98.88,"Jun 28, 2010"
99.14,"Jun 29, 2010"
99.23,"Jun 30, 2010"
99.22,"Jul 01, 2010"
99.09,"Jul 02, 2010"
99.11,"Jul 03, 2010"
99.12,"Jul 04, 2010"
99.01,"Jul 05, 2010"
98.78,"Jul 06, 2010"
99.69,"Jul 07, 2010"
100.21,"Jul 08, 2010"
100.64,"Jul 09, 2010"
100.65,"Jul 10, 2010"
100.66,"Jul 11, 2010"
100.64,"Jul 12, 2010"
101.25,"Jul 13, 2010"
101.58,"Jul 14, 2010"
100.99,"Jul 15, 2010"
101.26,"Jul 16, 2010"
101.26,"Jul 17, 2010"
101.27,"Jul 18, 2010"
101.61,"Jul 19, 2010"
102.1,"Jul 20, 2010"
101.88,"Jul 21, 2010"
101.91,"Jul 22, 2010"
101.87,"Jul 23, 2010"
101.85,"Jul 26, 2010"
102.6,"Jul 27, 2010"
103.16,"Jul 28, 2010"
103.4,"Jul 29, 2010"
104,"Jul 30, 2010"
103.44,"Aug 02, 2010"
103.41,"Aug 03, 2010"
103.39,"Aug 04, 2010"
102.76,"Aug 05, 2010"
102.27,"Aug 06, 2010"
100.24,"Aug 09, 2010"
99.99,"Aug 10, 2010"
100.15,"Aug 11, 2010"
99.96,"Aug 12, 2010"
100.43,"Aug 13, 2010"
98.79,"Aug 16, 2010"
99.64,"Aug 17, 2010"
99.75,"Aug 18, 2010"
100.32,"Aug 19, 2010"
100.62,"Aug 20, 2010"
100.08,"Aug 23, 2010"
99.32,"Aug 24, 2010"
98.77,"Aug 25, 2010"
99.21,"Aug 26, 2010"
99.2,"Aug 27, 2010"
98.85,"Aug 30, 2010"
100.24,"Aug 31, 2010"
100.03,"Sep 01, 2010"
99.94,"Sep 02, 2010"
99.51,"Sep 03, 2010"
