0,1,s_close,s_date
"Jun 26, 15",11.15,11.15,"Jun 26, 15"
"Jun 29, 15",11.03,11.03,"Jun 29, 15"
"Jun 30, 15",11.01,11.01,"Jun 30, 15"
"Jul 01, 15",11.00,11.00,"Jul 01, 15"
"Jul 02, 15",11.00,11.00,"Jul 02, 15"
"Jul 03, 15",10.92,10.92,"Jul 03, 15"
"Jul 06, 15",10.75,10.75,"Jul 06, 15"
"Jul 07, 15",10.54,10.54,"Jul 07, 15"
"Jul 08, 15",10.29,10.29,"Jul 08, 15"
"Jul 09, 15",10.35,10.35,"Jul 09, 15"
"Jul 10, 15",10.46,10.46,"Jul 10, 15"
"Jul 13, 15",10.51,10.51,"Jul 13, 15"
"Jul 14, 15",10.69,10.69,"Jul 14, 15"
"Jul 15, 15",10.73,10.73,"Jul 15, 15"
"Jul 16, 15",11.10,11.10,"Jul 16, 15"
"Jul 22, 15",10.96,10.96,"Jul 22, 15"
"Jul 23, 15",10.87,10.87,"Jul 23, 15"
"Jul 24, 15",10.79,10.79,"Jul 24, 15"
"Jul 27, 15",10.65,10.65,"Jul 27, 15"
"Jul 28, 15",10.60,10.60,"Jul 28, 15"
"Jul 29, 15",10.51,10.51,"Jul 29, 15"
"Jul 30, 15",10.52,10.52,"Jul 30, 15"
"Jul 31, 15",11.01,11.01,"Jul 31, 15"
"Aug 03, 15",10.78,10.78,"Aug 03, 15"
"Aug 04, 15",10.62,10.62,"Aug 04, 15"
"Aug 05, 15",10.60,10.60,"Aug 05, 15"
"Aug 06, 15",10.75,10.75,"Aug 06, 15"
"Aug 07, 15",10.76,10.76,"Aug 07, 15"
"Aug 10, 15",10.74,10.74,"Aug 10, 15"
"Aug 11, 15",10.64,10.64,"Aug 11, 15"
"Aug 12, 15",10.62,10.62,"Aug 12, 15"
"Aug 13, 15",10.67,10.67,"Aug 13, 15"
"Aug 17, 15",10.67,10.67,"Aug 17, 15"
"Aug 18, 15",10.76,10.76,"Aug 18, 15"
"Aug 19, 15",10.69,10.69,"Aug 19, 15"
"Aug 20, 15",10.53,10.53,"Aug 20, 15"
"Aug 21, 15",10.45,10.45,"Aug 21, 15"
"Aug 24, 15",9.93,9.93,"Aug 24, 15"
"Aug 25, 15",10.25,10.25,"Aug 25, 15"
"Aug 26, 15",10.19,10.19,"Aug 26, 15"
"Aug 27, 15",10.21,10.21,"Aug 27, 15"
"Aug 28, 15",10.53,10.53,"Aug 28, 15"
"Aug 31, 15",10.33,10.33,"Aug 31, 15"
"Sep 01, 15",10.29,10.29,"Sep 01, 15"
"Sep 02, 15",10.28,10.28,"Sep 02, 15"
"Sep 03, 15",10.26,10.26,"Sep 03, 15"
"Sep 04, 15",10.22,10.22,"Sep 04, 15"
"Sep 07, 15",10.10,10.10,"Sep 07, 15"
"Sep 08, 15",10.11,10.11,"Sep 08, 15"
"Sep 09, 15",10.26,10.26,"Sep 09, 15"
"Sep 10, 15",10.13,10.13,"Sep 10, 15"
"Sep 11, 15",10.14,10.14,"Sep 11, 15"
"Sep 14, 15",10.21,10.21,"Sep 14, 15"
"Sep 15, 15",10.24,10.24,"Sep 15, 15"
"Sep 16, 15",10.16,10.16,"Sep 16, 15"
"Sep 17, 15",10.26,10.26,"Sep 17, 15"
"Sep 18, 15",10.26,10.26,"Sep 18, 15"
"Sep 21, 15",10.11,10.11,"Sep 21, 15"
"Sep 22, 15",10.05,10.05,"Sep 22, 15"
"Sep 23, 15",10.24,10.24,"Sep 23, 15"
"Sep 28, 15",10.15,10.15,"Sep 28, 15"
"Sep 29, 15",10.10,10.10,"Sep 29, 15"
"Sep 30, 15",10.56,10.56,"Sep 30, 15"
"Oct 01, 15",10.21,10.21,"Oct 01, 15"
"Oct 02, 15",10.25,10.25,"Oct 02, 15"
"Oct 05, 15",10.18,10.18,"Oct 05, 15"
"Oct 06, 15",10.16,10.16,"Oct 06, 15"
"Oct 07, 15",10.13,10.13,"Oct 07, 15"
"Oct 08, 15",10.23,10.23,"Oct 08, 15"
"Oct 09, 15",10.22,10.22,"Oct 09, 15"
"Oct 12, 15",10.36,10.36,"Oct 12, 15"
"Oct 13, 15",10.31,10.31,"Oct 13, 15"
"Oct 14, 15",10.28,10.28,"Oct 14, 15"
"Oct 15, 15",10.33,10.33,"Oct 15, 15"
"Oct 16, 15",10.25,10.25,"Oct 16, 15"
"Oct 19, 15",10.14,10.14,"Oct 19, 15"
"Oct 20, 15",10.15,10.15,"Oct 20, 15"
"Oct 21, 15",10.10,10.10,"Oct 21, 15"
"Oct 22, 15",10.08,10.08,"Oct 22, 15"
"Oct 26, 15",10.41,10.41,"Oct 26, 15"
"Oct 27, 15",10.18,10.18,"Oct 27, 15"
"Oct 28, 15",10.15,10.15,"Oct 28, 15"
"Oct 29, 15",10.15,10.15,"Oct 29, 15"
"Oct 30, 15",10.11,10.11,"Oct 30, 15"
"Nov 02, 15",10.19,10.19,"Nov 02, 15"
"Nov 03, 15",10.17,10.17,"Nov 03, 15"
"Nov 04, 15",10.12,10.12,"Nov 04, 15"
"Nov 05, 15",10.14,10.14,"Nov 05, 15"
"Nov 06, 15",10.05,10.05,"Nov 06, 15"
"Nov 09, 15",10.25,10.25,"Nov 09, 15"
"Nov 10, 15",10.25,10.25,"Nov 10, 15"
"Nov 11, 15",10.25,10.25,"Nov 11, 15"
"Nov 12, 15",10.34,10.34,"Nov 12, 15"
"Nov 13, 15",10.39,10.39,"Nov 13, 15"
"Nov 16, 15",10.47,10.47,"Nov 16, 15"
"Nov 17, 15",10.40,10.40,"Nov 17, 15"
"Nov 18, 15",10.41,10.41,"Nov 18, 15"
"Nov 19, 15",10.51,10.51,"Nov 19, 15"
"Nov 20, 15",10.54,10.54,"Nov 20, 15"
"Nov 23, 15",10.51,10.51,"Nov 23, 15"
"Nov 24, 15",10.50,10.50,"Nov 24, 15"
"Nov 25, 15",10.63,10.63,"Nov 25, 15"
"Nov 26, 15",10.59,10.59,"Nov 26, 15"
"Nov 27, 15",10.50,10.50,"Nov 27, 15"
"Nov 30, 15",10.40,10.40,"Nov 30, 15"
"Dec 01, 15",10.21,10.21,"Dec 01, 15"
"Dec 02, 15",10.25,10.25,"Dec 02, 15"
"Dec 03, 15",10.16,10.16,"Dec 03, 15"
