Date,Price
2022-12-28,10.7
2022-12-29,10.81
2022-12-30,10.79
2023-01-02,10.29
2023-01-03,10.5
2023-01-04,10.6
2023-01-05,10.38
2023-01-06,10.47
2023-01-09,10.5
2023-01-10,10.58
2023-01-11,10.55
2023-01-12,10.6
2023-01-13,10.5
2023-01-16,10.5
2023-01-17,10.4
2023-01-18,10.5
2023-01-19,10.5
2023-01-20,10.5
2023-01-23,10.52
2023-01-24,10.5
2023-01-25,10.6
2023-01-26,10.5
2023-01-27,10.5
2023-01-30,10.55
2023-01-31,10.49
2023-02-01,10.5
2023-02-02,10.45
2023-02-03,10.3
2023-02-06,10.31
2023-02-07,10.3
2023-02-08,10.1
2023-02-09,10.1
2023-02-10,10.1
2023-02-13,10.04
2023-02-14,10.28
2023-02-15,10.09
2023-02-16,10.0
2023-02-17,10.19
2023-02-20,9.75
2023-02-21,9.69
2023-02-22,9.7
2023-02-23,9.2
2023-02-24,10.15
2023-02-27,10.0
2023-02-28,9.9
2023-03-01,9.8
2023-03-02,9.65
2023-03-03,9.8
2023-03-06,9.9
2023-03-08,9.85
2023-03-09,9.95
2023-03-10,9.9
2023-03-13,9.9
2023-03-14,9.78
2023-03-16,9.8
2023-03-17,9.7
2023-03-20,9.75
2023-03-21,9.8
2023-03-22,9.8
2023-03-27,9.8
2023-03-28,9.8
2023-03-29,9.5
2023-03-31,9.8
2023-04-03,9.55
2023-04-04,9.6
2023-04-06,9.75
2023-04-10,9.33
2023-04-11,9.49
2023-04-12,9.3
2023-04-13,9.4
2023-04-17,9.5
2023-04-18,9.55
2023-04-19,9.6
2023-04-20,9.6
2023-04-26,9.43
2023-04-27,9.81
2023-04-28,9.8
2023-05-02,9.68
2023-05-03,9.52
2023-05-04,9.78
2023-05-08,9.8
2023-05-09,9.78
2023-05-11,9.75
2023-05-12,9.75
2023-05-15,9.8
2023-05-16,9.5
2023-05-17,9.65
2023-05-18,9.73
2023-05-19,9.85
2023-05-22,9.85
2023-05-23,9.99
2023-05-24,9.95
2023-05-25,10.01
2023-05-26,10.01
2023-05-29,10.0
2023-05-30,10.35
2023-05-31,10.02
2023-06-02,10.18
2023-06-05,10.03
2023-06-06,10.15
2023-06-07,11.02
2023-06-08,11.26
2023-06-09,11.5
2023-06-12,12.0
2023-06-13,11.54
2023-06-14,11.51
2023-06-15,11.9
2023-06-16,12.0
2023-06-19,11.89
2023-06-20,12.25
2023-06-21,12.25
2023-06-22,12.49
2023-06-26,13.0
2023-06-27,13.73
2023-07-03,12.75
2023-07-04,11.91
2023-07-05,11.51
2023-07-06,11.83
2023-07-07,11.65
2023-07-10,11.5
2023-07-11,11.26
2023-07-12,12.0
2023-07-13,11.6
2023-07-17,11.34
2023-07-18,11.41
2023-07-19,11.4
2023-07-20,11.15
2023-07-21,11.05
2023-07-24,12.05
2023-07-25,12.0
2023-07-26,12.07
2023-07-27,12.3
2023-07-31,12.54
