Date,Price
2024-05-20,16.50
2024-05-21,16.41
2024-05-22,16.17
2024-05-23,16.22
2024-05-24,15.81
2024-05-27,16.06
2024-05-29,15.35
2024-05-30,15.26
2024-05-31,15.26
2024-06-03,15.59
2024-06-04,15.51
2024-06-05,15.51
2024-06-06,15.69
2024-06-07,15.60
2024-06-10,15.42
2024-06-11,15.38
2024-06-12,14.90
2024-06-13,15.41
2024-06-14,15.80
2024-06-20,15.61
2024-06-21,15.79
2024-06-24,14.87
2024-06-25,15.22
2024-06-26,15.56
2024-06-27,15.54
2024-06-28,15.00
2024-07-01,15.45
2024-07-02,15.14
2024-07-03,15.00
2024-07-05,15.08
2024-07-08,14.81
2024-07-09,14.80
2024-07-10,14.75
2024-07-11,14.60
2024-07-12,14.50
2024-07-15,14.45
2024-07-18,14.70
2024-07-19,14.28
2024-07-22,13.46
2024-07-23,13.46
2024-07-24,14.05
2024-07-25,13.75
2024-07-26,14.00
2024-07-29,13.51
2024-07-30,14.10
2024-07-31,14.38
2024-08-01,14.30
2024-08-02,15.00
2024-08-05,15.69
2024-08-06,15.56
2024-08-07,15.93
2024-08-08,15.91
2024-08-09,15.84
2024-08-12,15.54
2024-08-13,14.42
2024-08-15,14.20
2024-08-16,14.25
2024-08-19,15.39
2024-08-20,14.70
2024-08-21,15.78
2024-08-22,16.00
2024-08-23,15.82
2024-08-26,15.71
2024-08-27,14.14
2024-08-28,14.14
2024-08-29,13.60
2024-08-30,13.55
2024-09-02,14.72
2024-09-03,14.70
2024-09-04,14.60
2024-09-05,14.92
2024-09-06,15.22
2024-09-09,14.93
2024-09-10,14.03
2024-09-11,13.56
2024-09-12,14.33
2024-09-13,14.33
2024-09-16,13.59
2024-09-18,13.62
2024-09-19,13.55
2024-09-20,13.70
2024-09-23,13.50
2024-09-25,13.50
2024-09-26,13.22
2024-09-27,13.22
2024-09-30,14.00
2024-10-01,13.51
2024-10-02,13.60
2024-10-03,14.23
2024-10-04,14.30
2024-10-07,14.47
2024-10-08,14.38
2024-10-09,14.14
2024-10-10,14.06
2024-10-11,14.46
2024-10-14,14.49
2024-10-15,13.51
2024-10-16,13.01
2024-10-17,13.00
2024-10-18,13.00
2024-10-21,13.70
2024-10-22,13.70
2024-10-23,14.24
2024-10-24,13.65
2024-10-25,13.63
2024-10-28,13.15
2024-10-29,13.73
2024-10-30,13.73
2024-11-01,14.21
2024-11-04,14.00
2024-11-05,14.09
2024-11-06,13.59
2024-11-07,13.71
2024-11-08,13.50
2024-11-11,13.50
2024-11-12,13.50
2024-11-13,13.61
2024-11-14,13.50
2024-11-15,13.84
2024-11-19,13.70
2024-11-20,13.35
2024-11-21,13.44
2024-11-22,13.07
2024-11-25,13.30
2024-11-26,12.99
2024-11-27,12.55
2024-11-28,12.75
2024-11-29,13.16
2024-12-02,12.59
2024-12-03,12.50
2024-12-04,12.22
2024-12-05,12.51
2024-12-06,12.80
2024-12-09,13.14
2024-12-10,13.10
2024-12-11,13.25
2024-12-12,13.10
2024-12-13,13.00
2024-12-16,13.31
2024-12-17,13.96
2024-12-18,13.80
2024-12-19,13.30
2024-12-20,14.00
2024-12-23,13.96
2024-12-24,14.21
2024-12-26,14.17
2024-12-27,14.32
2024-12-30,15.24
2024-12-31,16.68
2025-01-01,15.00
2025-01-02,15.00
2025-01-03,14.80
2025-01-06,14.79
2025-01-07,14.50
2025-01-08,14.34
2025-01-09,15.48
2025-01-10,14.80
2025-01-14,14.61
2025-01-15,14.61
2025-01-16,14.00
2025-01-17,14.00
2025-01-20,14.00
2025-01-21,14.66
2025-01-22,14.18
2025-01-23,14.18
2025-01-24,13.90
2025-01-27,14.13
2025-01-28,14.13
2025-01-29,13.70
2025-01-30,13.99
2025-01-31,14.02
2025-02-03,14.19
2025-02-04,13.97
2025-02-06,14.00
2025-02-07,14.46
2025-02-10,14.55
2025-02-11,14.69
2025-02-12,14.39
2025-02-13,14.38
2025-02-14,14.00
2025-02-17,14.00
2025-02-18,13.99
2025-02-19,13.94
2025-02-20,13.55
2025-02-21,13.67
2025-02-24,13.99
2025-02-25,13.99
2025-02-26,14.10
2025-02-27,14.00
2025-02-28,14.10
2025-03-03,13.92
2025-03-04,13.20
2025-03-05,13.60
2025-03-06,13.89
2025-03-07,13.94
