From,To,"Profit on Rs. 100,000/-",Rate (% p.a.)
1-Jan-20,23-Apr-20,880,10.56%
24-Apr-20,1-Jun-20,690,8.28%
2-Jun-20,1-Jul-20,620,7.44%
2-Jul-20,3-Aug-20,634,7.61%
4-Aug-20,27-Aug-20,650,7.80%
28-Aug-20,21-Jan-21,670,8.04%
22-Jan-21,24-Mar-21,750,9.00%
25-Mar-21,6-May-21,780,9.36%
7-May-21,18-May-21,770,9.24%
19-May-21,16-Jun-21,720,8.64%
17-Jun-21,9-Dec-21,730,8.76%
10-Dec-21,3-Feb-22,900,10.80%
4-Feb-22,21-Feb-22,860,10.32%
22-Feb-22,24-Mar-22,850,10.20%
25-Mar-22,9-May-22,920,11.04%
10-May-22,2-Jun-22,1000,12.00%
3-Jun-22,9-Aug-22,1030,12.36%
10-Aug-22,6-Nov-22,1050,12.60%
7-Nov-22,11-Jan-23,1030,12.30%
12-Jan-23,9-Apr-23,1050,12.60%
10-Apr-23,11-Jul-23,1070,12.84%
12-Jul-23,4-Sep-23,1190,14.28%
5-Sep-23,29-Oct-23,1260,15.12%
30-Oct-23,18-Dec-23,1340,16.08%
19-Dec-23,25-Jan-24,1260,15.12%
26-Jan-24,20-Feb-24,1250,15.00%
21-Feb-24,18-Mar-24,1220,14.64%
19-Mar-24,13-May-24,1230,14.76%
14-May-24,11-Sep-24,1220,14.64%
12-Sep-24,24-Sep-24,1210,14.52%
25-Sep-24,3-Nov-24,1060,12.72%
4-Nov-24,9-Dec-24,1010,12.10%
10-Dec-24,Till Date,1000,12.00%
