Crude Oil (petroleum) - Monthly Price (Pakistan Rupee per Barrel),,
Month,Price,Change
Dec-04,"2,323.06",-
Jan-05,"2,540.56",9.36%
Feb-05,"2,649.94",4.31%
Mar-05,"3,011.78",13.65%
Apr-05,"2,994.04",-0.59%
May-05,"2,845.65",-4.96%
Jun-05,"3,216.55",13.03%
Jul-05,"3,362.16",4.53%
Aug-05,"3,692.95",9.84%
Sep-05,"3,691.91",-0.03%
Oct-05,"3,475.20",-5.87%
Nov-05,"3,290.38",-5.32%
Dec-05,"3,376.32",2.61%
Jan-06,"3,738.21",10.72%
Feb-06,"3,574.71",-4.37%
Mar-06,"3,655.81",2.27%
Apr-06,"4,077.17",11.53%
May-06,"4,125.40",1.18%
Jun-06,"4,110.07",-0.37%
Jul-06,"4,367.91",6.27%
Aug-06,"4,332.08",-0.82%
Sep-06,"3,757.52",-13.26%
Oct-06,"3,508.55",-6.63%
Nov-06,"3,529.67",0.60%
Dec-06,"3,713.76",5.22%
Jan-07,"3,259.35",-12.24%
Feb-07,"3,498.62",7.34%
Mar-07,"3,678.79",5.15%
Apr-07,"3,951.08",7.40%
May-07,"3,952.82",0.04%
Jun-07,"4,135.64",4.63%
Jul-07,"4,447.26",7.53%
Aug-07,"4,242.37",-4.61%
Sep-07,"4,653.63",9.69%
Oct-07,"4,974.38",6.89%
Nov-07,"5,569.86",11.97%
Dec-07,"5,480.48",-1.60%
Jan-08,"5,552.11",1.31%
Feb-08,"5,717.40",2.98%
Mar-08,"6,246.44",9.25%
Apr-08,"6,932.01",10.98%
May-08,"8,314.89",19.95%
Jun-08,"8,860.00",6.56%
Jul-08,"9,411.03",6.22%
Aug-08,"8,541.88",-9.24%
Sep-08,"7,707.59",-9.77%
Oct-08,"5,839.84",-24.23%
Nov-08,"4,317.73",-26.06%
Dec-08,"3,269.47",-24.28%
Jan-09,"3,476.28",6.33%
Feb-09,"3,330.10",-4.20%
Mar-09,"3,750.71",12.63%
Apr-09,"4,049.50",7.97%
May-09,"4,690.89",15.84%
Jun-09,"5,609.06",19.57%
Jul-09,"5,319.61",-5.16%
Aug-09,"5,938.29",11.63%
Sep-09,"5,669.38",-4.53%
Oct-09,"6,171.22",8.85%
Nov-09,"6,480.13",5.01%
Dec-09,"6,299.69",-2.78%
Jan-10,"6,527.64",3.62%
Feb-10,"6,353.06",-2.67%
Mar-10,"6,697.18",5.42%
Apr-10,"7,070.25",5.57%
May-10,"6,380.80",-9.75%
Jun-10,"6,379.48",-0.02%
Jul-10,"6,383.80",0.07%
Aug-10,"6,496.91",1.77%
Sep-10,"6,535.68",0.60%
Oct-10,"7,028.88",7.55%
Nov-10,"7,235.93",2.95%
Dec-10,"7,720.79",6.70%
Jan-11,"7,948.79",2.95%
Feb-11,"8,360.02",5.17%
Mar-11,"9,278.76",10.99%
Apr-11,"9,843.68",6.09%
May-11,"9,210.02",-6.44%
Jun-11,"9,087.02",-1.34%
Jul-11,"9,291.29",2.25%
Aug-11,"8,711.46",-6.24%
Sep-11,"8,823.83",1.29%
Oct-11,"8,681.21",-1.62%
Nov-11,"9,165.24",5.58%
Dec-11,"9,319.33",1.68%
Jan-12,"9,667.98",3.74%
Feb-12,"10,225.88",5.77%
Mar-12,"10,696.34",4.60%
Apr-12,"10,312.41",-3.59%
May-12,"9,498.52",-7.89%
Jun-12,"8,553.61",-9.95%
Jul-12,"9,139.41",6.85%
Aug-12,"9,951.83",8.89%
Sep-12,"10,059.08",1.08%
Oct-12,"9,867.95",-1.90%
Nov-12,"9,719.82",-1.50%
Dec-12,"9,844.17",1.28%
Jan-13,"10,253.63",4.16%
Feb-13,"10,552.97",2.92%
Mar-13,"10,062.05",-4.65%
Apr-13,"9,725.98",-3.34%
May-13,"9,783.98",0.60%
Jun-13,"9,842.23",0.60%
Jul-13,"10,600.04",7.70%
Aug-13,"11,150.98",5.20%
Sep-13,"11,470.97",2.87%
Oct-13,"11,211.53",-2.26%
Nov-13,"11,037.98",-1.55%
Dec-13,"11,297.74",2.35%
Jan-14,"10,771.84",-4.65%
Feb-14,"11,025.69",2.36%
Mar-14,"10,390.94",-5.76%
Apr-14,"10,243.86",-1.42%
May-14,"10,436.65",1.88%
Jun-14,"10,683.31",2.36%
Jul-14,"10,395.17",-2.70%
Aug-14,"10,040.63",-3.41%
Sep-14,"9,828.54",-2.11%
Oct-14,"8,858.56",-9.87%
Nov-14,"7,848.48",-11.40%
Dec-14,"6,127.92",-21.92%
Jan-15,"4,750.95",-22.47%
Feb-15,"5,562.75",17.09%
Mar-15,"5,381.87",-3.25%
Apr-15,"5,856.55",8.82%
May-15,"6,368.33",8.74%
Jun-15,"6,243.57",-1.96%
Jul-15,"5,530.66",-11.42%
Aug-15,"4,681.11",-15.36%
Sep-15,"4,829.97",3.18%
Oct-15,"4,912.54",1.71%
Nov-15,"4,548.25",-7.42%
Dec-15,"3,832.22",-15.74%
Jan-16,"3,124.97",-18.46%
Feb-16,"3,249.50",3.99%
Mar-16,"3,911.00",20.36%
Apr-16,"4,268.99",9.15%
May-16,"4,813.05",12.74%
Jun-16,"4,992.27",3.72%
Jul-16,"4,627.18",-7.31%
Aug-16,"4,700.62",1.59%
Sep-16,"4,713.84",0.28%
Oct-16,"5,162.19",9.51%
Nov-16,"4,743.71",-8.11%
Dec-16,"5,516.59",16.29%
Jan-17,"5,619.07",1.86%
Feb-17,"5,697.75",1.40%
Mar-17,"5,337.12",-6.33%
Apr-17,"5,469.24",2.48%
May-17,"5,231.04",-4.36%
Jun-17,"4,842.30",-7.43%
Jul-17,"5,033.81",3.95%
Aug-17,"5,263.50",4.56%
Sep-17,"5,581.56",6.04%
Oct-17,"5,790.08",3.74%
Nov-17,"6,319.47",9.14%
Dec-17,"6,673.46",5.60%
Jan-18,"7,321.76",9.71%
Feb-18,"7,016.16",-4.17%
Mar-18,"7,196.06",2.56%
Apr-18,"7,952.40",10.51%
May-18,"8,489.61",6.76%
Jun-18,"8,595.89",1.25%
Jul-18,"9,086.69",5.71%
Aug-18,"8,819.56",-2.94%
Sep-18,"9,363.37",6.17%
Oct-18,"10,065.92",7.50%
Nov-18,"8,344.77",-17.10%
Dec-18,"7,484.70",-10.31%
Jan-19,"7,853.61",4.93%
