Date,Silver Price (oz),Silver Price (gram)
12/3/2007,864.76,27.803
12/4/2007,881.59,28.344
12/5/2007,874.14,28.104
12/6/2007,887.4,28.531
12/7/2007,879.75,28.285
12/10/2007,897.8,28.865
12/11/2007,889.85,28.609
12/12/2007,898.95,28.902
12/13/2007,867.68,27.896
12/14/2007,843.98,27.135
12/17/2007,845.15,27.172
12/18/2007,858.79,27.611
12/19/2007,866.76,27.867
12/20/2007,870.13,27.975
12/21/2007,881.48,28.34
12/24/2007,890.46,28.629
12/26/2007,900.79,28.961
12/27/2007,899.56,28.922
12/28/2007,905.7,29.119
12/31/2007,918.06,29.516
1/2/2008,942.75,30.31
1/3/2008,951.24,30.583
1/4/2008,948.58,30.497
1/7/2008,944.47,30.365
1/8/2008,976.52,31.396
1/9/2008,977.14,31.416
1/10/2008,"1,004.78",32.304
1/11/2008,"1,009.13",32.444
1/14/2008,"1,018.13",32.734
1/15/2008,991.43,31.875
1/16/2008,988.76,31.79
1/17/2008,993.77,31.95
1/18/2008,"1,012.23",32.544
1/21/2008,968.45,31.137
1/22/2008,"1,000.46",32.166
1/23/2008,"1,006.25",32.352
1/24/2008,"1,025.62",32.975
1/25/2008,"1,028.40",33.064
1/28/2008,"1,047.07",33.664
1/29/2008,"1,048.19",33.7
1/30/2008,"1,057.51",34.0
1/31/2008,"1,057.53",34.0
2/1/2008,"1,051.25",33.798
2/4/2008,"1,053.13",33.859
2/5/2008,"1,027.87",33.047
2/6/2008,"1,035.90",33.305
2/7/2008,"1,054.48",33.902
2/8/2008,"1,078.13",34.663
2/11/2008,"1,098.79",35.327
2/12/2008,"1,082.25",34.795
2/13/2008,"1,089.98",35.044
2/14/2008,"1,088.15",34.985
2/15/2008,"1,077.04",34.628
2/18/2008,"1,082.08",34.79
2/19/2008,"1,105.40",35.54
2/20/2008,"1,125.86",36.197
2/21/2008,"1,121.77",36.066
2/22/2008,"1,134.83",36.486
2/25/2008,"1,140.97",36.683
2/26/2008,"1,181.63",37.99
2/27/2008,"1,203.75",38.701
2/28/2008,"1,236.56",39.756
2/29/2008,"1,237.45",39.785
3/3/2008,"1,270.00",40.831
3/4/2008,"1,236.25",39.746
3/5/2008,"1,306.44",42.003
3/6/2008,"1,261.25",40.55
3/7/2008,"1,259.69",40.5
3/10/2008,"1,236.53",39.755
3/11/2008,"1,232.19",39.616
3/12/2008,"1,265.77",40.696
3/13/2008,"1,289.40",41.455
3/14/2008,"1,297.87",41.727
3/17/2008,"1,269.26",40.808
3/18/2008,"1,244.51",40.012
3/19/2008,"1,153.04",37.071
