s_close,s_date
10.0299,"Oct 07, 2020"
10.2502,"Oct 08, 2020"
10.4643,"Oct 09, 2020"
10.497,"Oct 10, 2020"
10.4964,"Oct 11, 2020"
10.4958,"Oct 12, 2020"
10.3257,"Oct 13, 2020"
10.2776,"Oct 14, 2020"
10.3008,"Oct 15, 2020"
10.2438,"Oct 16, 2020"
10.2234,"Oct 17, 2020"
10.2229,"Oct 18, 2020"
10.2239,"Oct 19, 2020"
10.305,"Oct 20, 2020"
10.5063,"Oct 21, 2020"
10.6009,"Oct 22, 2020"
10.4871,"Oct 23, 2020"
10.5366,"Oct 24, 2020"
10.5361,"Oct 25, 2020"
10.5371,"Oct 26, 2020"
10.7421,"Oct 27, 2020"
10.6087,"Oct 28, 2020"
10.5007,"Oct 29, 2020"
10.1883,"Oct 30, 2020"
10.1878,"Oct 31, 2020"
10.1873,"Nov 01, 2020"
10.1887,"Nov 02, 2020"
9.9744,"Nov 03, 2020"
10.321,"Nov 04, 2020"
10.2558,"Nov 05, 2020"
10.4537,"Nov 06, 2020"
10.3498,"Nov 07, 2020"
10.3493,"Nov 08, 2020"
10.3502,"Nov 09, 2020"
10.332,"Nov 10, 2020"
10.4567,"Nov 11, 2020"
10.465,"Nov 12, 2020"
10.2773,"Nov 13, 2020"
10.198,"Nov 14, 2020"
10.1976,"Nov 15, 2020"
10.1984,"Nov 16, 2020"
10.1616,"Nov 17, 2020"
10.2109,"Nov 18, 2020"
10.1367,"Nov 19, 2020"
10.1358,"Nov 20, 2020"
10.1358,"Nov 21, 2020"
10.1358,"Nov 22, 2020"
10.0567,"Nov 23, 2020"
9.9137,"Nov 24, 2020"
9.9671,"Nov 25, 2020"
10.1419,"Nov 26, 2020"
10.3115,"Nov 27, 2020"
10.3115,"Nov 28, 2020"
10.3115,"Nov 29, 2020"
10.181,"Nov 30, 2020"
10.2712,"Dec 01, 2020"
10.3875,"Dec 02, 2020"
10.456,"Dec 03, 2020"
10.4744,"Dec 04, 2020"
10.4744,"Dec 05, 2020"
10.4744,"Dec 06, 2020"
10.4785,"Dec 07, 2020"
10.4051,"Dec 08, 2020"
10.4112,"Dec 09, 2020"
10.4502,"Dec 10, 2020"
10.4239,"Dec 11, 2020"
10.4239,"Dec 12, 2020"
10.4239,"Dec 13, 2020"
10.5,"Dec 14, 2020"
