Date,Price,Monthly Return
2022-01-31,10.0,
2022-02-28,9.67,-0.03300000000000003
2022-03-31,9.46,-0.021716649431230528
2022-04-30,10.3,0.08879492600422823
2022-05-31,8.13,-0.21067961165048543
2022-06-30,7.84,-0.03567035670356711
2022-07-31,7.3,-0.06887755102040816
2022-08-31,8.31,0.1383561643835618
2022-09-30,8.01,-0.036101083032491044
2022-10-31,7.39,-0.07740324594257175
2022-11-30,7.07,-0.04330175913396472
2022-12-31,6.72,-0.04950495049504955
2023-01-31,6.72,0.0
2023-02-28,6.29,-0.06398809523809523
2023-03-31,6.33,0.006359300476947549
2023-04-30,6.43,0.015797788309636518
2023-05-31,6.44,0.0015552099533437946
2023-06-30,6.33,-0.017080745341614967
2023-07-31,7.75,0.22432859399684046
2023-08-31,7.46,-0.03741935483870973
2023-09-30,7.4,-0.008042895442359144
2023-10-31,8.49,0.14729729729729724
2023-11-30,10.19,0.2002355712603061
2023-12-31,10.98,0.07752698724239471
2024-01-31,9.2,-0.16211293260473603
2024-02-29,9.75,0.05978260869565233
2024-03-31,9.78,0.003076923076922977
2024-04-30,10.69,0.09304703476482623
2024-05-31,11.04,0.032740879326473404
2024-06-30,10.89,-0.013586956521739024
2024-07-31,10.44,-0.04132231404958686
2024-08-31,9.85,-0.056513409961685857
2024-09-30,9.99,0.014213197969543234
2024-10-31,11.27,0.12812812812812813
2024-11-30,12.66,0.12333629103815436
2024-12-31,15.03,0.1872037914691942
2025-01-31,14.34,-0.04590818363273452
2025-02-28,14.3,-0.002789400278939924
