Date,Price,Monthly Return
2023-02-28,50.0,
2023-03-31,50.0,0.0
2023-04-30,50.0,0.0
2023-05-31,50.0,0.0
2023-06-30,50.0,0.0
2023-07-31,50.0,0.0
2023-08-31,50.0,0.0
2023-09-30,50.0,0.0
2023-10-31,50.0,0.0
2023-11-30,50.0,0.0
2023-12-31,50.0,0.0
2024-01-31,50.0,0.0
2024-02-29,50.0,0.0
2024-03-31,50.0,0.0
2024-04-30,50.0,0.0
2024-05-31,50.0,0.0
2024-06-30,50.0,0.0
2024-07-31,50.0,0.0
2024-08-31,50.0,0.0
2024-09-30,50.0,0.0
2024-10-31,50.0,0.0
2024-11-30,50.0,0.0
2024-12-31,50.0,0.0
2025-01-31,50.0,0.0
