Date,Price,Monthly Return
2020-08-31,100.0,
2020-09-30,100.0,0.0
2020-10-31,100.0,0.0
2020-11-30,100.0,0.0
2020-12-31,100.0,0.0
2021-01-31,100.0,0.0
2021-02-28,100.0,0.0
2021-03-31,100.0,0.0
2021-04-30,100.0,0.0
2021-05-31,100.0,0.0
2021-06-30,100.0,0.0
2021-07-31,100.0,0.0
2021-08-31,100.0,0.0
2021-09-30,100.0,0.0
2021-10-31,100.0,0.0
2021-11-30,100.0,0.0
2021-12-31,100.0,0.0
2022-01-31,100.0,0.0
2022-02-28,100.0,0.0
2022-03-31,100.0,0.0
2022-04-30,100.0,0.0
2022-05-31,100.0,0.0
2022-06-30,100.0,0.0
2022-07-31,100.0,0.0
2022-08-31,100.0,0.0
2022-09-30,100.0,0.0
2022-10-31,100.0,0.0
2022-11-30,100.0,0.0
2022-12-31,100.0,0.0
2023-01-31,100.0,0.0
2023-02-28,100.0,0.0
2023-03-31,100.0,0.0
2023-04-30,100.0,0.0
2023-05-31,100.0,0.0
2023-06-30,100.0,0.0
2023-07-31,100.0,0.0
2023-08-31,100.0,0.0
2023-09-30,100.0,0.0
2023-10-31,100.0,0.0
2023-11-30,100.0,0.0
2023-12-31,100.0,0.0
2024-01-31,100.0,0.0
2024-02-29,100.0,0.0
2024-03-31,100.0,0.0
2024-04-30,100.0,0.0
2024-05-31,100.0,0.0
2024-06-30,100.0,0.0
2024-07-31,101.615,0.016149999999999887
2024-08-31,103.128,0.014889534025488427
2024-09-30,104.696,0.015204406174850638
2024-10-31,106.223,0.014585084434935336
2024-11-30,107.441,0.011466443237340362
2024-12-31,108.669,0.01142952876462422
2025-01-31,109.744,0.009892425622762824
2025-02-28,109.876,0.0012027992418719435
