Effective Period (Start),Effective Period (End),Monthly Profit (Rs.),Rate (% p.a.)
01-Jul-03,30-Jun-05,Rs. 840,10.08%
01-Jul-05,04-Jun-06,Rs. 920,11.04%
05-Jun-06,22-Jun-07,Rs. 960,11.52%
23-Jun-07,23-Jun-08,Rs. 970,11.64%
24-Jun-08,30-Sep-08,Rs. 1130,13.56%
01-Oct-08,30-Nov-08,Rs. 1250,15.00%
01-Dec-08,31-Mar-09,Rs. 1400,16.80%
01-Apr-09,30-Jun-09,Rs. 1342,16.10%
01-Jul-09,30-Sep-10,Rs. 1180,14.16%
01-Oct-10,31-Dec-10,Rs. 1220,14.64%
01-Jan-11,30-Sep-11,Rs. 1280,15.36%
01-Oct-11,31-Dec-11,Rs. 1200,14.40%
01-Jan-12,31-Mar-12,Rs. 1155,13.86%
01-Apr-12,30-Jun-12,Rs. 1190,14.28%
01-Jul-12,26-Aug-12,Rs. 1220,14.64%
27-Aug-12,11-Oct-12,Rs. 1125,13.50%
12-Oct-12,31-Dec-12,Rs. 1080,12.96%
01-Jan-13,30-Jun-13,Rs. 1060,12.72%
01-Jul-13,30-Sep-13,Rs. 1020,12.24%
01-Oct-13,31-Dec-13,Rs. 1120,13.44%
01-Jan-14,30-Nov-14,Rs. 1170,14.04%
01-Dec-14,31-Jan-15,Rs. 1060,12.72%
01-Feb-15,31-Mar-15,Rs. 940,11.28%
01-Apr-15,31-May-15,Rs. 900,10.80%
01-Jun-15,31-Jul-15,Rs. 880,10.56%
01-Aug-15,30-Sep-15,Rs. 920,11.04%
01-Oct-15,30-Nov-15,Rs. 900,10.80%
01-Dec-15,31-Jan-16,Rs. 880,10.56%
01-Feb-16,31-Mar-16,Rs. 860,10.32%
01-Apr-16,31-May-16,Rs. 800,9.60%
01-Jun-16,31-Jul-16,Rs. 800,9.60%
01-Aug-16,30-Sep-16,Rs. 760,9.12%
01-Oct-16,30-Apr-18,Rs. 780,9.36%
01-May-18,30-Jun-18,Rs. 840,10.08%
01-Jul-18,31-Aug-18,Rs. 850,10.20%
01-Sep-18,31-Oct-18,Rs. 910,10.92%
01-Nov-18,31-Dec-18,Rs. 990,11.88%
01-Jan-19,30-Jun-19,Rs. 1190,14.28%
01-Jul-19,31-Oct-19,Rs. 1230,14.76%
01-Nov-19,31-Dec-19,Rs. 1040,12.48%
01-Jan-20,23-Apr-20,Rs. 1020,12.24%
24-Apr-20,01-Jun-20,Rs. 860,10.32%
02-Jun-20,01-Jul-20,Rs. 820,9.84%
02-Jul-20,03-Aug-20,Rs. 830,9.96%
04-Aug-20,20-Jan-21,Rs. 860,10.32%
21-Jan-21,24-Mar-21,Rs. 940,11.28%
25-Mar-21,18-May-21,Rs. 960,11.52%
19-May-21,09-Dec-21,Rs. 920,11.04%
10-Dec-21,03-Feb-22,Rs. 1080,12.96%
04-Feb-22,24-Mar-22,Rs. 1020,12.24%
25-Mar-22,09-May-22,Rs. 1060,12.72%
10-May-22,04-Oct-22,Rs. 1180,14.16%
05-Oct-22,09-Apr-23,Rs. 1160,13.92%
10-Apr-23,29-Oct-23,Rs. 1380,16.56%
30-Oct-23,18-Dec-23,Rs. 1360,16.32%
19-Dec-23,20-Feb-24,Rs. 1340,16.08%
21-Feb-24,18-Mar-24,Rs. 1280,15.36%
19-Mar-24,13-May-24,Rs. 1300,15.60%
14-May-24,24-Sep-24,Rs. 1280,15.36%
25-Sep-24,03-Nov-24,Rs. 1180,14.16%
04-Nov-24,Till Date,Rs. 1160,13.92%
