Performance Summary | MUTUAL FUNDS ASSOCIATION OF PAKISTAN,,,,,,,,,,,,,,,,,
Sector,Category,Fund Name,Rating,Benchmark,Validity Date,NAV,YTD,MTD,1 Day,15 Days,30 Days,90 Days,180 Days,270 Days,365 Days,2 Years,3 Years
Open-End Funds,Money Market (Annualized Return ),ABL Cash Fund,AA+(f),N/A,"Jan 21, 2025",11.2255,17.24,10.28,10.73,9.84,10.60,13.67,16.74,18.70,19.59,22.74,22.13
Open-End Funds,Money Market (Annualized Return ),ABL Money Market Plan I,AA+(f),N/A,"Jan 21, 2025",10.9706,20.39,10.74,8.98,9.86,10.82,13.74,16.79,18.41,19.41,N/A,N/A
Open-End Funds,Money Market (Annualized Return ),AKD Cash Fund,AA+(f),N/A,"Jan 20, 2025",56.4618,17.03,10.21,9.64,9.97,10.09,13.54,16.47,(8.59),(1.54),9.78,11.96
Open-End Funds,Money Market (Annualized Return ),AL Habib Cash Fund,AAA(f),N/A,"Jan 21, 2025",111.2942,16.71,10.31,9.56,9.99,10.55,13.01,16.19,17.95,19.11,22.62,21.63
Open-End Funds,Money Market (Annualized Return ),AL Habib Money Market Fund,AAA(f),N/A,"Jan 21, 2025",109.2595,16.57,10.00,8.54,9.63,10.13,12.57,16.03,17.91,19.21,22.22,21.58
Open-End Funds,Money Market (Annualized Return ),Alfalah Cash Fund - II (Formerly: Faysal Cash Fund),,N/A,"Jan 21, 2025",111.9157,16.36,(17.98),14.31,48.02,77.94,21.93,15.97,19.56,21.12,23.01,22.02
Open-End Funds,Money Market (Annualized Return ),Alfalah GHP Cash Fund,,Nil,"Jan 19, 2025",551.1769,16.76,9.76,9.38,9.39,10.18,13.22,16.36,18.06,19.01,26.79,21.89
Open-End Funds,Money Market (Annualized Return ),Alfalah GHP Money Market Fund,AA+(f),N/A,"Jan 15, 2025",108.2681,17.29,10.89,8.14,10.89,11.37,14.27,16.98,18.62,19.50,22.62,22.09
Open-End Funds,Money Market (Annualized Return ),Alfalah Money Market Fund - II (Formerly: Faysal Money Market Fund),AA(f),N/A,"Jan 21, 2025",112.1749,15.75,10.83,10.18,9.94,11.31,14.64,15.03,17.36,18.47,21.57,21.02
Open-End Funds,Money Market (Annualized Return ),Askari Sovereign Cash Fund,AA+(f),N/A,"Jan 21, 2025",112.841,16.32,10.61,8.98,10.20,10.82,13.57,15.64,17.61,18.68,22.22,21.55
Open-End Funds,Money Market (Annualized Return ),Atlas Liquid Fund,AA+(f),N/A,"Jan 21, 2025",549.3647,17.66,10.98,9.20,10.61,11.35,14.20,17.20,18.81,19.60,22.52,21.74
Open-End Funds,Money Market (Annualized Return ),Atlas Money Market Fund,AA+(f),N/A,"Jan 20, 2025",561.1893,17.56,10.46,9.05,10.24,10.87,13.88,17.05,18.77,19.61,22.78,22.13
Open-End Funds,Money Market (Annualized Return ),AWT Money Market Fund,AA+(f),N/A,"Jan 20, 2025",129.0883,17.13,10.39,10.26,10.19,10.81,13.91,16.59,18.52,19.47,22.95,22.13
Open-End Funds,Money Market (Annualized Return ),HBL Cash Fund,,N/A,"Jan 21, 2025",112.8534,16.82,10.09,7.52,9.40,10.95,13.20,16.22,18.24,17.87,21.72,19.37
Open-End Funds,Money Market (Annualized Return ),HBL Money Market Fund,AA+(f),N/A,"Jan 21, 2025",112.9088,16.38,9.43,6.94,8.82,9.55,12.86,15.82,17.73,18.61,21.77,20.83
Open-End Funds,Money Market (Annualized Return ),JS Cash Fund,AA+(f),N/A,"Jan 21, 2025",115.1675,17.24,10.81,8.69,10.35,10.87,13.15,16.75,18.61,19.47,22.78,22.14
Open-End Funds,Money Market (Annualized Return ),JS Money Market Fund,,N/A,"Jan 21, 2025",115.9318,18.55,11.08,6.79,10.44,15.84,16.34,18.27,19.58,20.15,N/A,N/A
Open-End Funds,Money Market (Annualized Return ),Lakson Money Market Fund,AA+(f),N/A,"Jan 21, 2025",112.8796,17.46,10.85,8.76,10.22,11.09,13.77,16.98,18.76,19.73,23.01,22.43
Open-End Funds,Money Market (Annualized Return ),MCB Cash Management Optimizer,AA+(f),N/A,"Jan 21, 2025",111.9994,17.46,10.57,8.54,10.00,10.64,13.61,17.00,18.70,19.52,22.48,21.96
Open-End Funds,Money Market (Annualized Return ),NBP Cash Plan I,,N/A,"Jan 20, 2025",11.0414,17.31,10.07,7.92,9.49,10.63,13.75,16.84,18.53,19.50,22.67,N/A
Open-End Funds,Money Market (Annualized Return ),NBP Cash Plan II,,N/A,"Jan 20, 2025",10,17.55,10.19,7.67,9.51,11.08,14.01,17.05,18.77,19.73,22.92,N/A
Open-End Funds,Money Market (Annualized Return ),NBP Government Securities Liquid Fund,AAA(f),N/A,"Jan 20, 2025",11.2872,17.40,10.28,8.10,9.61,10.44,13.63,16.93,18.65,19.68,23.00,22.13
Open-End Funds,Money Market (Annualized Return ),NBP Money Market Fund,AA(f),N/A,"Jan 20, 2025",10.9807,17.39,10.28,7.99,9.68,10.38,13.68,16.88,18.65,19.64,22.69,22.31
Open-End Funds,Money Market (Annualized Return ),NIT Money Market Fund,AAA(f),N/A,"Jan 21, 2025",10.6853,17.71,10.88,8.87,10.31,10.91,14.10,17.23,18.98,20.01,23.31,22.66
Open-End Funds,Money Market (Annualized Return ),Pakistan Cash Management Fund,AA+(f),N/A,"Jan 20, 2025",50.4678,17.69,12.59,9.42,12.81,11.89,14.94,17.38,18.72,19.58,22.39,21.84
Open-End Funds,Money Market (Annualized Return ),UBL Cash Fund,AA+(f),N/A,"Jan 21, 2025",109.644,16.85,10.50,9.86,10.21,10.63,13.29,16.34,18.26,19.28,22.33,21.81
Open-End Funds,Money Market (Annualized Return ),UBL Liquidity Plus Fund,AA+(f),N/A,"Jan 21, 2025",111.0699,17.04,10.51,8.65,10.12,10.91,13.45,16.53,18.31,20.28,22.41,21.79
Open-End Funds,Money Market (Annualized Return ),UBL Money Market Fund,AA+(f),N/A,"Jan 21, 2025",110.4631,16.90,11.29,10.29,11.18,11.32,13.39,16.38,18.18,19.22,22.20,20.79
Open-End Funds,Income (Annualized Return ),ABL Financial Sector Fund Plan I,,N/A,"Jan 20, 2025",10.9744,17.23,11.92,10.99,11.70,12.51,14.14,16.66,18.53,19.72,N/A,N/A
Open-End Funds,Income (Annualized Return ),ABL Government Securities Fund,AA-(f),N/A,"Jan 20, 2025",11.344,20.89,14.66,17.70,11.81,14.85,13.59,20.69,21.61,21.14,23.95,21.35
Open-End Funds,Income (Annualized Return ),ABL Income Fund,A+(f),N/A,"Jan 20, 2025",11.2864,19.36,15.71,20.40,14.33,14.60,13.63,18.94,20.92,21.16,21.48,19.70
Open-End Funds,Income (Annualized Return ),AL Habib Government Securities Fund,AAA(f),N/A,"Jan 20, 2025",110.6747,18.20,13.14,11.39,12.59,13.62,14.81,17.78,19.06,19.97,N/A,N/A
Open-End Funds,Income (Annualized Return ),AL Habib Income Fund,AA(f),N/A,"Jan 20, 2025",112.139,18.29,13.07,14.24,12.57,13.63,14.29,17.90,19.11,20.02,23.09,22.24
Open-End Funds,Income (Annualized Return ),Alfalah Financial Sector Income Fund,,N/A,"Jan 17, 2025",109.2091,16.25,12.93,11.64,12.74,13.46,14.32,15.80,(8.09),(1.40),N/A,N/A
Open-End Funds,Income (Annualized Return ),Alfalah Financial Sector Income Plan II,,N/A,"Jan 17, 2025",100,14.58,8.87,8.91,10.00,5.10,6.63,14.41,N/A,N/A,N/A,N/A
Open-End Funds,Income (Annualized Return ),Alfalah Financial Sector Opportunity Fund  (Formerly: Faysal Financial Sector Opportunity Fund),AA-(f),N/A,"Jan 20, 2025",109.0574,12.46,16.35,16.32,16.43,24.03,5.57,11.39,14.59,16.81,21.82,21.64
Open-End Funds,Income (Annualized Return ),Alfalah GHP Income Fund,,12,"Jan 17, 2025",125.6744,18.52,18.03,23.98,16.27,16.22,15.22,18.21,20.16,20.04,24.10,21.76
Open-End Funds,Income (Annualized Return ),Alfalah GHP Sovereign Fund,AA-(f),N/A,"Jan 17, 2025",119.9742,20.77,17.21,19.86,14.73,14.04,14.95,20.97,21.37,20.60,24.05,21.79
Open-End Funds,Income (Annualized Return ),Alfalah Government Securities Fund - II (Formerly: Faysal Government Securities Fund),AA(f),N/A,"Jan 20, 2025",139.4127,19.07,7.55,11.42,11.80,87.58,38.32,18.58,19.62,19.51,18.97,17.64
Open-End Funds,Income (Annualized Return ),Alfalah Government Securities Fund Plan I,,N/A,"Jan 15, 2025",105.1658,19.16,17.78,66.28,17.78,16.08,18.35,N/A,N/A,N/A,N/A,N/A
Open-End Funds,Income (Annualized Return ),Alfalah Government Securities Fund Plan II,AM1,N/A,"Jan 17, 2025",102.5783,14.26,9.18,(1.17),8.21,11.63,N/A,N/A,N/A,N/A,N/A,N/A
Open-End Funds,Income (Annualized Return ),Alfalah MTS Fund (Formerly: Faysal MTS Fund),AA-(f),N/A,"Jan 20, 2025",111.0343,13.12,10.90,10.84,11.04,9.95,20.57,12.01,15.31,17.37,22.18,21.86
Open-End Funds,Income (Annualized Return ),Alfalah Savings Growth Fund (Formerly: Faysal Savings Growth Fund),AA-(f),N/A,"Jan 20, 2025",119.5054,25.82,13.47,15.11,12.60,21.63,19.87,25.95,24.99,24.36,24.10,22.11
Open-End Funds,Income (Annualized Return ),Askari Sovereign Yield Enhancer,AA-(f),N/A,"Jan 20, 2025",113.4243,17.14,13.20,5.11,12.48,13.80,14.82,16.68,18.47,20.10,23.94,22.33
Open-End Funds,Income (Annualized Return ),Atlas Income Fund,AA-(f),N/A,"Jan 20, 2025",585.4756,19.68,12.75,9.78,11.96,12.42,14.46,19.33,20.20,20.39,22.50,20.66
Open-End Funds,Income (Annualized Return ),Atlas Sovereign Fund,AA-(f),N/A,"Jan 20, 2025",116.0034,24.17,18.87,26.68,17.42,17.09,14.40,24.41,23.65,22.42,23.45,21.27
Open-End Funds,Income (Annualized Return ),AWT Financial Sector Income Fund,,N/A,"Jan 20, 2025",109.5077,16.39,9.82,10.04,9.95,10.25,12.30,15.92,17.58,18.83,23.35,N/A
Open-End Funds,Income (Annualized Return ),AWT Income Fund,A+(f),N/A,"Jan 20, 2025",123.2896,20.43,14.76,7.67,14.69,16.96,15.72,20.34,20.70,20.89,24.15,22.53
Open-End Funds,Income (Annualized Return ),HBL Financial Sector Income Fund Plan I,,N/A,"Jan 20, 2025",112.0966,17.60,12.77,10.69,12.06,12.55,14.53,17.25,18.54,19.68,23.45,23.04
Open-End Funds,Income (Annualized Return ),HBL Financial Sector Income Fund Plan II,,N/A,"Jan 17, 2025",100,19.48,14.30,13.94,15.12,27.79,19.44,18.92,19.81,N/A,N/A,N/A
Open-End Funds,Income (Annualized Return ),HBL Government Securities Fund,AA(f),N/A,"Jan 20, 2025",129.2283,24.89,17.82,9.16,15.95,16.88,18.67,25.22,23.25,22.25,24.30,20.96
Open-End Funds,Income (Annualized Return ),HBL Income Fund,A+(f),N/A,"Jan 20, 2025",125.5106,19.25,14.47,N/A,14.47,14.93,15.39,19.11,19.90,20.21,23.32,22.18
Open-End Funds,Income (Annualized Return ),JS Government Securities Fund,AA(f),N/A,"Jan 20, 2025",115.8859,18.61,12.54,13.14,10.84,10.98,12.28,18.05,19.78,19.73,23.05,N/A
Open-End Funds,Income (Annualized Return ),JS Income Fund,A+(f),N/A,"Jan 20, 2025",112.1352,16.91,15.11,27.96,13.01,13.98,12.28,16.69,17.98,18.51,20.65,19.83
Open-End Funds,Income (Annualized Return ),JS Microfinance Sector Fund,A(f),N/A,"Jan 20, 2025",111.56,17.52,12.28,11.86,12.07,12.63,14.49,16.97,23.97,24.55,27.35,N/A
Open-End Funds,Income (Annualized Return ),Lakson Income Fund,A+(f),N/A,"Jan 20, 2025",113.6519,20.55,13.49,16.86,12.24,12.60,14.54,20.46,21.31,21.24,18.66,15.57
Open-End Funds,Income (Annualized Return ),MCB DCF Income Fund,AA-(f),N/A,"Jan 20, 2025",120.9247,19.42,11.27,16.90,11.07,11.58,13.24,19.10,19.77,19.10,21.26,19.87
Open-End Funds,Income (Annualized Return ),MCB Government Securities Plan I,AM1,N/A,"Jan 20, 2025",102.5144,12.76,11.32,18.98,11.45,10.67,N/A,N/A,N/A,N/A,N/A,N/A
Open-End Funds,Income (Annualized Return ),MCB Pakistan Sovereign Fund,AA-(f),N/A,"Jan 20, 2025",60.75,22.37,14.23,18.03,13.29,13.98,13.59,22.63,21.74,20.61,22.58,21.24
Open-End Funds,Income (Annualized Return ),NBP Financial Sector Income Fund,A+(f),N/A,"Jan 20, 2025",11.6865,17.31,11.72,10.62,11.53,12.09,13.90,16.80,18.54,19.81,23.33,22.81
Open-End Funds,Income (Annualized Return ),NBP Government Securities Plan IV,,N/A,"Jan 20, 2025",11.1817,20.42,14.15,10.44,13.30,13.68,15.42,20.06,21.01,21.06,N/A,N/A
Open-End Funds,Income (Annualized Return ),NBP Government Securities Savings Fund,AA-(f),N/A,"Jan 20, 2025",11.6679,20.12,13.42,9.09,12.79,13.07,15.24,19.69,20.95,21.21,23.86,22.29
Open-End Funds,Income (Annualized Return ),NBP Income Opportunity Fund,A+(f),N/A,"Jan 20, 2025",12.0582,19.53,13.94,14.53,12.94,13.51,14.76,19.13,20.23,20.46,22.50,21.14
