From,To,6th Month Rate (%),Profit (PKR),1 Year Rate (%),Profit (PKR),1.5 Year Rate (%),Profit (PKR),2 Year Rate (%),Profit (PKR),2.5 Year Rate (%),Profit (PKR),3 Year Rate (%),Profit (PKR)
01-Nov-18,31-Dec-18,8.60%,4300,8.60%,4300,8.60%,4300,8.60%,4300,8.60%,4300,10.00%,5000
01-Jan-19,30-Jun-19,11.40%,5700,11.40%,5700,11.40%,5700,11.40%,5700,11.40%,5700,12.40%,6200
01-Jul-19,31-Oct-19,12.70%,6350,12.70%,6350,12.70%,6350,12.70%,6350,12.70%,6350,13.90%,6950
01-Nov-19,23-Apr-20,11.00%,5500,11.00%,5500,11.00%,5500,11.00%,5500,11.00%,5500,11.80%,5900
24-Apr-20,01-Jun-20,8.00%,4000,8.00%,4000,8.00%,4000,8.00%,4000,8.00%,4000,8.60%,4300
02-Jun-20,01-Jul-20,7.10%,3550,7.10%,3550,7.10%,3550,7.10%,3550,7.10%,3550,7.40%,3700
02-Jul-20,03-Aug-20,7.00%,3500,7.00%,3500,7.00%,3500,7.00%,3500,7.00%,3500,7.30%,3650
04-Aug-20,27-Aug-20,6.80%,3400,6.80%,3400,6.80%,3400,6.80%,3400,6.80%,3400,7.20%,3600
28-Aug-20,20-Jan-21,7.60%,3800,7.60%,3800,7.60%,3800,7.60%,3800,7.60%,3800,8.60%,4300
21-Jan-21,28-Feb-21,7.80%,3900,7.80%,3900,7.80%,3900,7.80%,3900,7.80%,3900,8.80%,4400
03-Mar-21,24-Mar-21,8.40%,4200,8.40%,4200,8.40%,4200,8.40%,4200,8.40%,4200,9.20%,4600
25-Mar-21,06-May-21,8.80%,4400,8.80%,4400,8.80%,4400,8.80%,4400,8.80%,4400,9.20%,4600
07-May-21,18-May-21,8.70%,4350,8.70%,4350,8.70%,4350,8.70%,4350,8.70%,4350,9.00%,4500
19-May-21,12-Aug-21,8.00%,4000,8.00%,4000,8.00%,4000,8.00%,4000,8.00%,4000,9.00%,4500
13-Aug-21,09-Dec-21,8.20%,4100,8.20%,4100,8.20%,4100,8.20%,4100,8.20%,4100,9.40%,4700
10-Dec-21,03-Feb-22,10.40%,5200,10.40%,5200,10.40%,5200,10.40%,5200,10.40%,5200,11.60%,5800
04-Feb-22,24-Mar-22,10.00%,5000,10.00%,5000,10.00%,5000,10.00%,5000,10.00%,5000,11.00%,5500
25-Mar-22,09-May-22,11.00%,5500,11.00%,5500,11.00%,5500,11.00%,5500,11.00%,5500,11.80%,5900
10-May-22,02-Jun-22,12.40%,6200,12.40%,6200,12.40%,6200,12.40%,6200,12.40%,6200,13.40%,6700
03-Jun-22,09-Aug-22,13.00%,6500,13.00%,6500,13.00%,6500,13.00%,6500,13.00%,6500,14.40%,7200
10-Aug-22,04-Oct-22,13.00%,6500,13.00%,6500,13.00%,6500,13.00%,6500,13.00%,6500,14.20%,7100
05-Oct-22,06-Nov-22,13.00%,6500,13.00%,6500,13.00%,6500,13.00%,6500,13.00%,6500,13.60%,6800
07-Nov-22,09-Apr-23,17.00%,8500,17.00%,8500,17.00%,8500,17.00%,8500,17.00%,8500,17.80%,8900
10-Apr-23,26-May-23,17.80%,8900,17.80%,8900,17.80%,8900,17.80%,8900,17.80%,8900,19.00%,9500
29-May-23,11-Jul-23,17.80%,8900,17.80%,8900,17.80%,8900,17.80%,8900,17.80%,8900,19.00%,9500
12-Jul-23,29-Oct-23,18.20%,9100,18.20%,9100,18.20%,9100,18.20%,9100,18.20%,9100,19.00%,9500
30-Oct-23,18-Dec-23,18.00%,9000,18.00%,9000,18.00%,9000,18.00%,9000,18.00%,9000,19.00%,9500
19-Dec-23,25-Jan-24,16.40%,8200,16.40%,8200,16.40%,8200,16.40%,8200,16.40%,8200,17.40%,8700
26-Jan-24,20-Feb-24,16.00%,8000,16.00%,8000,16.00%,8000,16.00%,8000,16.00%,8000,16.60%,8300
21-Feb-24,18-Mar-24,15.80%,7900,15.80%,7900,15.80%,7900,15.80%,7900,15.80%,7900,16.60%,8300
19-Mar-24,13-May-24,15.70%,7850,15.70%,7850,15.70%,7850,15.70%,7850,15.70%,7850,16.60%,8300
14-May-24,24-Jun-24,15.20%,7600,15.20%,7600,15.20%,7600,15.20%,7600,15.20%,7600,16.00%,8000
25-Jun-24,18-Aug-24,15.60%,7800,15.60%,7800,15.60%,7800,15.60%,7800,15.60%,7800,16.80%,8300
19-Aug-24,11-Sep-24,15.50%,7750,15.50%,7750,15.50%,7750,15.50%,7750,15.50%,7750,16.50%,8250
12-Sep-24,24-Sep-24,15.20%,7600,15.20%,7600,15.20%,7600,15.20%,7600,15.20%,7600,16.20%,8100
25-Sep-24,Till Date,12.10%,6050,12.10%,6050,12.10%,6050,12.10%,6050,12.10%,6050,13.00%,6500
