"Date","Price","Open","High","Low","Vol.","Change %"
"12/06/2024","277.825","277.800","277.825","277.053","","0.07%"
"12/05/2024","277.620","277.850","277.915","277.760","","0.04%"
"12/04/2024","277.500","277.800","278.225","277.675","","-0.07%"
"12/03/2024","277.700","277.850","277.950","277.800","","0.00%"
"12/02/2024","277.700","277.850","278.225","277.800","","-0.04%"
"12/01/2024","277.800","277.800","277.800","277.800","","0.00%"
"11/30/2024","277.800","277.800","277.800","277.800","","0.00%"
"11/29/2024","277.800","277.950","278.200","277.860","","-0.04%"
"11/28/2024","277.900","277.900","277.900","277.900","","0.14%"
"11/27/2024","277.520","277.520","277.520","277.520","","0.00%"
"11/26/2024","277.520","277.520","277.520","277.520","","-0.06%"
"11/25/2024","277.700","277.700","277.700","277.700","","0.04%"
"11/23/2024","277.600","277.600","277.600","277.600","","0.00%"
"11/22/2024","277.600","277.600","277.600","277.600","","0.00%"
"11/21/2024","277.600","277.600","277.600","277.600","","-0.07%"
"11/20/2024","277.800","277.800","277.800","277.800","","0.04%"
"11/19/2024","277.700","277.700","277.700","277.700","","0.01%"
"11/18/2024","277.670","277.670","277.670","277.670","","0.08%"
"11/16/2024","277.450","277.450","277.450","277.450","","0.00%"
"11/15/2024","277.450","277.450","277.450","277.450","","-0.08%"
"11/14/2024","277.670","277.670","277.670","277.670","","0.06%"
"11/13/2024","277.500","277.500","277.500","277.500","","-0.07%"
"11/12/2024","277.700","277.700","277.700","277.700","","-0.04%"
"11/11/2024","277.800","277.800","277.800","277.800","","0.00%"
"11/09/2024","277.800","277.800","277.800","277.800","","0.00%"
"11/08/2024","277.800","277.800","277.800","277.800","","0.02%"
"11/07/2024","277.750","277.750","277.750","277.750","","0.09%"
"11/06/2024","277.500","277.500","277.500","277.500","","-0.04%"
